TRONCON,BV_PRIMAIRE,QUANTILE,REFERENCE,H20_RCP4,H20_RCP8,H50_RCP4,H50_RCP8,H80_RCP4,H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",10,0.95,0.82,0.82,0.74,0.64,0.68,0.45
"ABIT00003","0807 -Rivi̬re Nottaway",25,1.52,1.3,1.3,1.17,1.04,1.09,0.77
"ABIT00003","0807 -Rivi̬re Nottaway",50,2.58,2.23,2.23,2.02,1.83,1.91,1.4
"ABIT00003","0807 -Rivi̬re Nottaway",75,4.56,3.91,3.91,3.56,3.25,3.38,2.59
"ABIT00003","0807 -Rivi̬re Nottaway",90,7.23,6.61,6.59,6.03,5.52,5.72,4.54
"ABIT00005","0807 -Rivi̬re Nottaway",10,0.92,0.79,0.79,0.71,0.62,0.66,0.43
"ABIT00005","0807 -Rivi̬re Nottaway",25,1.45,1.25,1.25,1.13,1.01,1.05,0.74
"ABIT00005","0807 -Rivi̬re Nottaway",50,2.49,2.14,2.14,1.94,1.75,1.83,1.35
"ABIT00005","0807 -Rivi̬re Nottaway",75,4.29,3.73,3.73,3.41,3.11,3.23,2.47
"ABIT00005","0807 -Rivi̬re Nottaway",90,6.89,6.28,6.25,5.74,5.24,5.45,4.32
"ABIT00007","0807 -Rivi̬re Nottaway",10,0.78,0.68,0.68,0.61,0.53,0.56,0.38
"ABIT00007","0807 -Rivi̬re Nottaway",25,1.23,1.07,1.07,0.97,0.86,0.9,0.64
"ABIT00007","0807 -Rivi̬re Nottaway",50,2.04,1.8,1.8,1.64,1.48,1.55,1.15
"ABIT00007","0807 -Rivi̬re Nottaway",75,3.51,3.11,3.1,2.84,2.58,2.69,2.07
"ABIT00007","0807 -Rivi̬re Nottaway",90,5.58,5.15,5.11,4.73,4.3,4.49,3.58
"ABIT00009","0807 -Rivi̬re Nottaway",10,0.18,0.15,0.14,0.13,0.11,0.12,0.07
"ABIT00009","0807 -Rivi̬re Nottaway",25,0.28,0.23,0.23,0.21,0.18,0.19,0.12
"ABIT00009","0807 -Rivi̬re Nottaway",50,0.46,0.4,0.39,0.35,0.31,0.33,0.23
"ABIT00009","0807 -Rivi̬re Nottaway",75,0.83,0.71,0.7,0.64,0.56,0.59,0.44
"ABIT00009","0807 -Rivi̬re Nottaway",90,1.48,1.26,1.24,1.13,1.01,1.06,0.81
"ABIT00011","0807 -Rivi̬re Nottaway",10,0.07,0.05,0.05,0.04,0.04,0.04,0.02
"ABIT00011","0807 -Rivi̬re Nottaway",25,0.1,0.08,0.08,0.07,0.06,0.06,0.04
"ABIT00011","0807 -Rivi̬re Nottaway",50,0.16,0.13,0.13,0.12,0.1,0.11,0.08
"ABIT00011","0807 -Rivi̬re Nottaway",75,0.3,0.25,0.24,0.22,0.19,0.2,0.15
"ABIT00011","0807 -Rivi̬re Nottaway",90,0.63,0.56,0.54,0.49,0.43,0.45,0.33
"ABIT00012","0807 -Rivi̬re Nottaway",10,0.18,0.15,0.14,0.12,0.1,0.11,0.07
"ABIT00012","0807 -Rivi̬re Nottaway",25,0.28,0.23,0.23,0.2,0.17,0.19,0.12
"ABIT00012","0807 -Rivi̬re Nottaway",50,0.47,0.4,0.39,0.35,0.31,0.33,0.23
"ABIT00012","0807 -Rivi̬re Nottaway",75,0.84,0.74,0.72,0.66,0.58,0.61,0.45
"ABIT00012","0807 -Rivi̬re Nottaway",90,1.58,1.4,1.37,1.25,1.11,1.16,0.87
"ABIT00016","0807 -Rivi̬re Nottaway",10,106.5,89.77,85.92,77.38,66.6,71.02,43.76
"ABIT00016","0807 -Rivi̬re Nottaway",25,115.38,101.3,99.23,90.37,81.64,85.28,60.54
"ABIT00016","0807 -Rivi̬re Nottaway",50,125.5,114.24,114.06,104.45,97.59,100.36,81
"ABIT00016","0807 -Rivi̬re Nottaway",75,137.56,128.02,128.74,118.35,112.65,114.99,100.81
"ABIT00016","0807 -Rivi̬re Nottaway",90,148.74,141.9,142.53,131.59,126.32,128.83,117.78
"ABIT00018","0807 -Rivi̬re Nottaway",10,106.49,89.59,85.79,77.31,66.5,70.91,43.73
"ABIT00018","0807 -Rivi̬re Nottaway",25,115.34,101.24,99.15,90.31,81.54,85.22,60.55
"ABIT00018","0807 -Rivi̬re Nottaway",50,125.4,114.22,114.03,104.45,97.57,100.37,81.03
"ABIT00018","0807 -Rivi̬re Nottaway",75,137.84,128.16,128.78,118.42,112.72,115.04,100.85
"ABIT00018","0807 -Rivi̬re Nottaway",90,148.96,142.14,142.82,131.81,126.54,128.99,117.87
"ABIT00019","0807 -Rivi̬re Nottaway",10,98.3,83.46,80.67,72.47,63.33,66.99,42.78
"ABIT00019","0807 -Rivi̬re Nottaway",25,110.46,97.45,95.68,87.02,78.7,82.13,59.17
"ABIT00019","0807 -Rivi̬re Nottaway",50,125.29,114.08,113.55,103.88,96.83,99.7,80.25
"ABIT00019","0807 -Rivi̬re Nottaway",75,144.06,132.99,133.13,122.31,115.92,118.59,102.49
"ABIT00019","0807 -Rivi̬re Nottaway",90,164.07,153.52,153.63,141.45,135.25,138.04,123.61
"ABIT00020","0807 -Rivi̬re Nottaway",10,0.08,0.07,0.06,0.06,0.05,0.05,0.04
"ABIT00020","0807 -Rivi̬re Nottaway",25,0.12,0.1,0.1,0.09,0.08,0.08,0.06
"ABIT00020","0807 -Rivi̬re Nottaway",50,0.18,0.16,0.15,0.14,0.13,0.13,0.1
"ABIT00020","0807 -Rivi̬re Nottaway",75,0.32,0.29,0.28,0.26,0.23,0.24,0.19
"ABIT00020","0807 -Rivi̬re Nottaway",90,0.65,0.59,0.56,0.52,0.47,0.49,0.39
"ABIT00024","0807 -Rivi̬re Nottaway",10,97.27,82.75,80.12,71.94,62.95,66.59,42.49
"ABIT00024","0807 -Rivi̬re Nottaway",25,109.68,96.8,95.06,86.41,78.21,81.6,58.83
"ABIT00024","0807 -Rivi̬re Nottaway",50,125.01,113.54,112.99,103.39,96.35,99.16,79.84
"ABIT00024","0807 -Rivi̬re Nottaway",75,143.32,132.51,132.68,121.87,115.46,118.12,102.11
"ABIT00024","0807 -Rivi̬re Nottaway",90,164.23,153.33,153.6,141.35,134.98,137.97,123.29
"ABIT00025","0807 -Rivi̬re Nottaway",10,96.29,82.07,79.51,71.45,62.62,66.13,42.34
"ABIT00025","0807 -Rivi̬re Nottaway",25,108.88,96.3,94.62,85.92,77.82,81.25,58.64
"ABIT00025","0807 -Rivi̬re Nottaway",50,124.74,113.36,112.84,103.22,96.12,98.98,79.67
"ABIT00025","0807 -Rivi̬re Nottaway",75,143.49,132.72,132.88,122.11,115.61,118.31,102.05
"ABIT00025","0807 -Rivi̬re Nottaway",90,164.89,153.9,154.11,141.96,135.38,138.39,123.54
"ABIT00027","0807 -Rivi̬re Nottaway",10,91.83,78.78,76.31,68.48,60.53,63.6,41.54
"ABIT00027","0807 -Rivi̬re Nottaway",25,106.55,94.44,92.64,84.12,76.3,79.55,57.74
"ABIT00027","0807 -Rivi̬re Nottaway",50,125.48,113.52,112.94,103.23,96.11,98.91,79.43
"ABIT00027","0807 -Rivi̬re Nottaway",75,147.8,136.14,136.18,124.97,118.13,121.07,103.74
"ABIT00027","0807 -Rivi̬re Nottaway",90,174.94,162.32,162.03,149.2,141.9,145.19,128.39
"ABIT00029","0807 -Rivi̬re Nottaway",10,91.68,78.54,76.04,68.28,60.31,63.36,41.42
"ABIT00029","0807 -Rivi̬re Nottaway",25,106.05,94.14,92.39,83.9,76.12,79.35,57.6
"ABIT00029","0807 -Rivi̬re Nottaway",50,125.26,113.25,112.69,102.98,95.89,98.66,79.27
"ABIT00029","0807 -Rivi̬re Nottaway",75,147.94,136.02,136,124.79,117.97,120.91,103.45
"ABIT00029","0807 -Rivi̬re Nottaway",90,175.21,161.66,161.78,148.86,141.63,144.99,128.07
"ABIT00030","0807 -Rivi̬re Nottaway",10,0.25,0.21,0.2,0.18,0.15,0.16,0.1
"ABIT00030","0807 -Rivi̬re Nottaway",25,0.38,0.33,0.31,0.28,0.25,0.26,0.18
"ABIT00030","0807 -Rivi̬re Nottaway",50,0.64,0.55,0.52,0.49,0.43,0.44,0.33
"ABIT00030","0807 -Rivi̬re Nottaway",75,1.16,1.03,0.98,0.92,0.81,0.84,0.66
"ABIT00030","0807 -Rivi̬re Nottaway",90,2.73,2.31,2.18,2.04,1.79,1.86,1.45
"ABIT00032","0807 -Rivi̬re Nottaway",10,0.2,0.17,0.16,0.14,0.12,0.13,0.08
