TRONCON,BV_PRIMAIRE,QUANTILE,REFERENCE,H20_RCP4,H20_RCP8,H50_RCP4,H50_RCP8,H80_RCP4,H80_RCP8
"ABIT00003","0807 -Rivi̬re Nottaway",10,0.98,1.05,1.01,1.08,1.12,1.08,1.06
"ABIT00003","0807 -Rivi̬re Nottaway",25,1.23,1.32,1.29,1.37,1.43,1.39,1.47
"ABIT00003","0807 -Rivi̬re Nottaway",50,1.59,1.72,1.68,1.8,1.88,1.84,2.03
"ABIT00003","0807 -Rivi̬re Nottaway",75,2.09,2.3,2.23,2.4,2.52,2.48,2.82
"ABIT00003","0807 -Rivi̬re Nottaway",90,2.8,3.01,2.92,3.16,3.33,3.27,3.79
"ABIT00005","0807 -Rivi̬re Nottaway",10,0.93,1.01,0.97,1.04,1.07,1.03,1
"ABIT00005","0807 -Rivi̬re Nottaway",25,1.18,1.27,1.23,1.31,1.36,1.33,1.39
"ABIT00005","0807 -Rivi̬re Nottaway",50,1.52,1.65,1.6,1.72,1.8,1.76,1.92
"ABIT00005","0807 -Rivi̬re Nottaway",75,2.01,2.2,2.14,2.3,2.41,2.37,2.66
"ABIT00005","0807 -Rivi̬re Nottaway",90,2.64,2.89,2.81,3.04,3.19,3.14,3.59
"ABIT00007","0807 -Rivi̬re Nottaway",10,0.8,0.85,0.82,0.88,0.89,0.87,0.79
"ABIT00007","0807 -Rivi̬re Nottaway",25,1,1.07,1.04,1.11,1.15,1.12,1.14
"ABIT00007","0807 -Rivi̬re Nottaway",50,1.3,1.4,1.36,1.45,1.52,1.49,1.59
"ABIT00007","0807 -Rivi̬re Nottaway",75,1.71,1.87,1.82,1.95,2.05,2.01,2.22
"ABIT00007","0807 -Rivi̬re Nottaway",90,2.28,2.47,2.4,2.58,2.72,2.66,3
"ABIT00009","0807 -Rivi̬re Nottaway",10,0.21,0.22,0.22,0.23,0.23,0.23,0.22
"ABIT00009","0807 -Rivi̬re Nottaway",25,0.26,0.28,0.27,0.29,0.3,0.29,0.3
"ABIT00009","0807 -Rivi̬re Nottaway",50,0.33,0.36,0.35,0.37,0.39,0.38,0.41
"ABIT00009","0807 -Rivi̬re Nottaway",75,0.43,0.47,0.46,0.49,0.51,0.51,0.56
"ABIT00009","0807 -Rivi̬re Nottaway",90,0.56,0.61,0.6,0.64,0.67,0.66,0.74
"ABIT00011","0807 -Rivi̬re Nottaway",10,0.1,0.11,0.11,0.11,0.12,0.11,0.11
"ABIT00011","0807 -Rivi̬re Nottaway",25,0.13,0.14,0.14,0.14,0.15,0.15,0.15
"ABIT00011","0807 -Rivi̬re Nottaway",50,0.17,0.18,0.18,0.19,0.2,0.19,0.21
"ABIT00011","0807 -Rivi̬re Nottaway",75,0.23,0.24,0.24,0.25,0.26,0.26,0.29
"ABIT00011","0807 -Rivi̬re Nottaway",90,0.3,0.33,0.32,0.34,0.35,0.35,0.39
"ABIT00012","0807 -Rivi̬re Nottaway",10,0.21,0.23,0.22,0.23,0.23,0.23,0.2
"ABIT00012","0807 -Rivi̬re Nottaway",25,0.27,0.28,0.28,0.29,0.3,0.29,0.28
"ABIT00012","0807 -Rivi̬re Nottaway",50,0.34,0.37,0.36,0.37,0.39,0.38,0.39
"ABIT00012","0807 -Rivi̬re Nottaway",75,0.46,0.49,0.48,0.5,0.52,0.52,0.54
"ABIT00012","0807 -Rivi̬re Nottaway",90,0.6,0.66,0.64,0.68,0.7,0.7,0.74
"ABIT00016","0807 -Rivi̬re Nottaway",10,66.19,69.55,66.47,71.46,72.49,69.89,68.55
"ABIT00016","0807 -Rivi̬re Nottaway",25,69.63,74.42,71.46,76.67,79.18,77.87,82.8
"ABIT00016","0807 -Rivi̬re Nottaway",50,73.51,80.04,77.22,83.02,86.94,86.5,96.44
"ABIT00016","0807 -Rivi̬re Nottaway",75,77.28,86.1,83.33,90.48,95.01,95.31,110.4
"ABIT00016","0807 -Rivi̬re Nottaway",90,81.61,92.51,89.28,98.84,103.19,104.25,124.28
"ABIT00018","0807 -Rivi̬re Nottaway",10,66.06,69.43,66.36,71.37,72.37,69.79,68.49
"ABIT00018","0807 -Rivi̬re Nottaway",25,69.53,74.31,71.37,76.56,79.09,77.77,82.78
"ABIT00018","0807 -Rivi̬re Nottaway",50,73.46,79.96,77.13,82.96,86.87,86.41,96.34
"ABIT00018","0807 -Rivi̬re Nottaway",75,77.27,86.04,83.28,90.41,94.94,95.23,110.29
"ABIT00018","0807 -Rivi̬re Nottaway",90,81.58,92.44,89.24,98.76,103.11,104.17,124.19
"ABIT00019","0807 -Rivi̬re Nottaway",10,62.83,66.78,63.88,68.83,69.81,67.94,66.88
"ABIT00019","0807 -Rivi̬re Nottaway",25,68.03,73.04,70.18,75.44,77.9,76.58,81.59
"ABIT00019","0807 -Rivi̬re Nottaway",50,73.65,80.38,77.52,83.54,87.17,86.68,96.49
"ABIT00019","0807 -Rivi̬re Nottaway",75,79.89,88.49,85.5,92.9,97.34,97.5,112.35
"ABIT00019","0807 -Rivi̬re Nottaway",90,86.42,97.27,93.66,103.23,107.94,108.63,128.11
"ABIT00020","0807 -Rivi̬re Nottaway",10,0.09,0.1,0.1,0.1,0.11,0.11,0.1
"ABIT00020","0807 -Rivi̬re Nottaway",25,0.13,0.14,0.13,0.14,0.15,0.14,0.15
"ABIT00020","0807 -Rivi̬re Nottaway",50,0.17,0.19,0.18,0.19,0.2,0.2,0.21
"ABIT00020","0807 -Rivi̬re Nottaway",75,0.23,0.25,0.24,0.26,0.26,0.26,0.28
"ABIT00020","0807 -Rivi̬re Nottaway",90,0.31,0.33,0.32,0.34,0.35,0.35,0.38
"ABIT00024","0807 -Rivi̬re Nottaway",10,62.39,66.39,63.5,68.45,69.42,67.6,66.54
"ABIT00024","0807 -Rivi̬re Nottaway",25,67.76,72.78,69.91,75.17,77.6,76.3,81.25
"ABIT00024","0807 -Rivi̬re Nottaway",50,73.35,80.17,77.33,83.37,86.97,86.48,96.25
"ABIT00024","0807 -Rivi̬re Nottaway",75,79.8,88.44,85.42,92.86,97.27,97.44,112.29
"ABIT00024","0807 -Rivi̬re Nottaway",90,86.43,97.41,93.79,103.3,107.99,108.73,128.23
"ABIT00025","0807 -Rivi̬re Nottaway",10,62.2,66.23,63.34,68.31,69.24,67.48,66.37
"ABIT00025","0807 -Rivi̬re Nottaway",25,67.71,72.73,69.83,75.11,77.55,76.22,81.12
"ABIT00025","0807 -Rivi̬re Nottaway",50,73.33,80.21,77.35,83.39,87,86.5,96.18
"ABIT00025","0807 -Rivi̬re Nottaway",75,79.89,88.59,85.57,92.99,97.43,97.58,112.41
"ABIT00025","0807 -Rivi̬re Nottaway",90,86.7,97.74,94.11,103.63,108.34,109.11,128.62
"ABIT00027","0807 -Rivi̬re Nottaway",10,60.56,64.95,62.14,67.03,68.01,66.46,65.47
"ABIT00027","0807 -Rivi̬re Nottaway",25,67.27,72.28,69.4,74.72,77.06,75.85,80.74
"ABIT00027","0807 -Rivi̬re Nottaway",50,73.73,80.77,77.85,84.01,87.55,87.03,96.69
"ABIT00027","0807 -Rivi̬re Nottaway",75,81.5,90.43,87.22,94.91,99.32,99.38,114.13
"ABIT00027","0807 -Rivi̬re Nottaway",90,90.15,101.13,97.4,107.11,111.95,112.47,131.82
"ABIT00029","0807 -Rivi̬re Nottaway",10,60.31,64.64,61.87,66.74,67.69,66.18,65.24
"ABIT00029","0807 -Rivi̬re Nottaway",25,66.86,72.04,69.13,74.45,76.81,75.59,80.46
"ABIT00029","0807 -Rivi̬re Nottaway",50,73.53,80.61,77.71,83.86,87.37,86.86,96.49
"ABIT00029","0807 -Rivi̬re Nottaway",75,81.6,90.46,87.23,94.89,99.28,99.34,114.08
"ABIT00029","0807 -Rivi̬re Nottaway",90,90.49,101.3,97.52,107.18,112.09,112.6,132.01
"ABIT00030","0807 -Rivi̬re Nottaway",10,0.51,0.55,0.52,0.55,0.54,0.55,0.48
"ABIT00030","0807 -Rivi̬re Nottaway",25,0.7,0.75,0.72,0.75,0.75,0.76,0.71
"ABIT00030","0807 -Rivi̬re Nottaway",50,0.98,1.03,1,1.04,1.05,1.06,1.04
"ABIT00030","0807 -Rivi̬re Nottaway",75,1.28,1.38,1.34,1.4,1.42,1.43,1.47
"ABIT00030","0807 -Rivi̬re Nottaway",90,1.67,1.79,1.73,1.81,1.85,1.86,1.96
"ABIT00032","0807 -Rivi̬re Nottaway",10,0.41,0.44,0.42,0.44,0.44,0.44,0.38
"ABIT00032","0807 -Rivi̬re Nottaway",25,0.56,0.59,0.57,0.59,0.6,0.6,0.56
"ABIT00032","0807 -Rivi̬re Nottaway",50,0.78,0.81,0.78,0.82,0.83,0.83,0.82
"ABIT00032","0807 -Rivi̬re Nottaway",75,1.02,1.09,1.05,1.1,1.11,1.12,1.15
"ABIT00032","0807 -Rivi̬re Nottaway",90,1.33,1.41,1.36,1.43,1.45,1.46,1.54
"ABIT00033","0807 -Rivi̬re Nottaway",10,0.36,0.39,0.37,0.39,0.39,0.39,0.34
"ABIT00033","0807 -Rivi̬re Nottaway",25,0.49,0.52,0.5,0.52,0.53,0.53,0.5
"ABIT00033","0807 -Rivi̬re Nottaway",50,0.68,0.71,0.69,0.71,0.72,0.73,0.72
"ABIT00033","0807 -Rivi̬re Nottaway",75,0.89,0.94,0.91,0.95,0.97,0.98,1.01
"ABIT00033","0807 -Rivi̬re Nottaway",90,1.15,1.22,1.18,1.24,1.26,1.27,1.33
"ABIT00034","0807 -Rivi̬re Nottaway",10,0.24,0.26,0.25,0.26,0.26,0.26,0.22
"ABIT00034","0807 -Rivi̬re Nottaway",25,0.33,0.35,0.34,0.35,0.35,0.36,0.33
"ABIT00034","0807 -Rivi̬re Nottaway",50,0.45,0.48,0.46,0.48,0.49,0.49,0.48
"ABIT00034","0807 -Rivi̬re Nottaway",75,0.61,0.65,0.62,0.65,0.66,0.67,0.68
"ABIT00034","0807 -Rivi̬re Nottaway",90,0.79,0.85,0.81,0.86,0.87,0.88,0.91
