"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-36T-3",2014-05-14 13:17,102,"11,2",132,"7,6","11,2","<",100,1,,,,,,,,,,,,,,,,,,29,,28,,,,,,,,,
"EMIS-36T-3",2014-05-21 13:08,103,"10,7",125,"7,5","14,2","=",270,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-4",2014-05-12 13:40,110,"12,1",148,"7,7","11,0","=",180,-2,,,,,,,,,,,,,,,,,,20,,27,,,,,,,,,
"EMIS-36T-4",2014-05-14 13:20,102,"11,2",137,"7,7","11,1","=",180,1,,,,,,,,,,,,,,,,,,27,,28,,,,,,,,,
"EMIS-36T-4",2014-05-21 13:12,104,"10,7",131,"7,6","14,0","=",360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-5",2014-05-12 13:43,109,"12,0",159,"7,7","10,9","=",990,-2,,,,,,,,,,,,,,,,,,24,,27,,,,,,,,,
"EMIS-36T-5",2014-05-14 13:23,102,"11,2",170,"7,7","11,0","=",450,1,,,,,,,,,,,,,,,,,,27,,24,,,,,,,,,
"EMIS-36T-5",2014-05-21 13:16,105,"10,9",140,"7,6","13,8","=",360,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-6",2014-05-12 13:46,109,"12,0",171,"7,7","10,9","=",1500,-2,,,,,,,,,,,,,,,,,,23,,26,,,,,,,,,
"EMIS-36T-6",2014-05-14 13:25,102,"11,2",182,"7,8","11,0","=",900,1,,,,,,,,,,,,,,,,,,33,,23,,,,,,,,,
"EMIS-36T-6",2014-05-21 13:18,105,"10,9",153,"7,6","13,7","=",1700,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-7",2014-05-12 13:49,108,"11,9",188,"7,8","10,8","=",2200,-2,,,,,,,,,,,,,,,,,,39,,24,,,,,,,,,
"EMIS-36T-7",2014-05-14 13:28,102,"11,2",199,"7,8","11,0","=",990,1,,,,,,,,,,,,,,,,,,49,,21,,,,,,,,,
"EMIS-36T-7",2014-05-21 13:20,104,"10,8",171,"7,6","13,7","=",2100,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-8",2014-05-12 13:53,108,"11,9",209,"7,8","10,9","=",5600,-2,,,,,,,,,,,,,,,,,,99,,23,,,,,,,,,
"EMIS-36T-8",2014-05-14 13:32,102,"11,2",218,"7,8","11,0","=",2800,1,,,,,,,,,,,,,,,,,,72,,21,,,,,,,,,
"EMIS-36T-8",2014-05-21 13:25,104,"10,8",192,"7,7","13,6","=",4900,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-36T-9",2014-05-12 13:56,106,"11,9",231,"7,9","10,7","=",5300,-2,,,,,,,,,,,,,,,,,,223,,21,,,,,,,,,
"EMIS-36T-9",2014-05-14 13:34,101,"11,2",237,"7,9","10,8","=",4000,1,,,,,,,,,,,,,,,,,,104,,19,,,,,,,,,
"EMIS-36T-9",2014-05-21 13:27,103,"10,8",221,"7,7","13,4","=",7300,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40P",2014-10-01 11:11,102,"9,8",271,"8,2","17,3","=",15000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40P",2014-10-28 10:54,100,"10,9",212,"7,8","11,4","=",8200,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40RN",2014-10-01 11:07,97,"9,5",123,"7,9","16,6","=",730,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40RN",2014-10-28 10:46,102,"11,2",106,"8,0","11,0","=",150,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40RS",2014-10-01 11:16,107,"10,2",291,"8,7","17,6","=",170,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40RS",2014-10-28 10:59,101,"10,9",292,"8,3","11,9","=",81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-1",2014-10-01 11:05,99,"9,7",112,"8,3","16,4","=",1000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-1",2014-10-28 10:43,100,"11,1",107,"8,2","10,8","=",550,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-2",2014-10-01 11:09,102,"9,9",193,"7,9","16,9","=",4600,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-2",2014-10-28 10:49,102,"11,2",160,"7,8","11,3","=",2300,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-3",2014-10-01 11:13,107,"10,2",285,"8,5","17,6","=",450,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EMIS-40T-3",2014-10-28 10:56,103,"11,1",276,"8,0","11,9","=",2400,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
