"Point d'échantillonnage","Date","%OD","O2 (mg/L)","Conductivité (µs/cm2)","pH","Température (oC)","Signe COLI","COLI","MÉTÉO","Ag (µg/L)","Al (µg/L)","As (µg/L)","Ba (µg/L)","Be (µg/L)","Ca (µg/L)","Cd (µg/L)","Co (µg/L)","COT (µg/L)","Cr (µg/L)","Cu (µg/L)","Fe (µg/L)","K (µg/L)","Mg (µg/L)","Mn (µg/L)","Mo (µg/L)","Na (µg/L)","NH3 (µg/L)","Ni (µg/L)","Ptot (µg/L)","Pb (µg/L)","MES  (mg/L)","Sb (µg/L)","Se (µg/L)","Sn2 ug/L","Tl ug/L","U (µg/L)","V (µg/L)","Zn (µg/L)"
"EMIS-(-1)P",2012-06-27 09:38,100,"9,1",282,"8,4","19,9","<",10,0,"0,1",106,"0,8",26,"0,1",30640,"0,1","0,1",,"0,4","1,1",143,1404,7822,"7,9","1,0",12080,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","5,9"
"EMIS-(-1)P",2012-07-18 09:56,101,"8,5",297,"8,5","24,3","=",220,-1,"0,1",150,"0,9",23,"0,1",30220,"0,1","0,1",,"0,3","1,1",172,1480,8258,"8,6","1,0",12326,,"0,8",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,5","5,2"
"EMIS-(-1)P",2012-07-31 09:23,104,"8,7",293,"8,5","24,4","<",10,1,"0,1",73,"0,9",23,"0,1",31760,"0,1","0,1",,"0,3","0,8",99,1569,8578,"6,4","1,0",13018,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","3,0"
"EMIS-(-1)P",2012-08-13 09:16,94,"7,9",302,"8,5","23,6","=",54,-1,"0,1",110,"0,9",24,"0,1",32200,"0,1","0,1",,"0,4","1,0",133,1644,8748,"8,2","1,0",13420,,"0,8",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","3,0"
"EMIS-(-1)P",2012-09-19 09:37,100,"9,2",293,"8,7","19,3","=",300,-1,"0,1",102,"0,9",24,"0,1",32880,"0,1","0,1",,"0,5","0,8",130,1670,8510,"8,6","1,0",12822,,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","3,0"
"EMIS-(-1)P",2012-09-26 09:26,100,"9,6",287,"8,4","17,4","<",10,1,"0,1",110,"0,8",24,"0,1",29520,"0,1","0,1",,"0,4","1,4",155,1829,8452,"8,2","1,0",13126,,"0,8",,"0,3",,"0,5","0,5","1,0","0,2","0,3","0,4","5,4"
"EMIS-(-1)P",2012-10-17 09:27,126,"13,6",289,"8,3","12,1","=",9,-2,"0,1",133,"0,8",24,"0,1",32060,"0,1","0,1",,"0,7","1,4",146,1662,8640,"7,0","1,0",12950,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,4","3,0"
"EMIS-(-1)RS",2012-07-18 09:52,98,"8,2",302,"8,6","24,1","=",3200,-1,"0,1",115,"0,9",23,"0,1",29300,"0,1","0,1",,"0,3","1,1",128,1527,8542,"6,5","1,0",12756,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,5","6,5"
"EMIS-(-1)RS",2012-07-31 09:34,102,"8,6",301,"8,5","24,1","=",270,1,"0,1",77,"0,9",24,"0,1",32020,"0,1","0,1",,"0,3","0,8",106,1578,8484,"5,4","1,0",12820,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,7","3,0"
"EMIS-(-1)RS",2012-08-13 09:20,93,"7,9",308,"8,4","23,4","=",640,-1,"0,1",91,"0,9",25,"0,1",32760,"0,1","0,1",,"0,4","1,1",109,1660,8814,"6,5","1,0",13256,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,4","3,0"
"EMIS-(-1)RS",2012-09-19 09:29,100,"9,2",302,"8,7","19,4","=",370,-1,"0,1",101,"0,9",25,"0,1",34260,"0,1","0,1",,"0,5","0,8",132,1752,9000,"7,8","1,0",13508,,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,4","0,6","3,0"
"EMIS-(-1)RS",2012-09-26 09:23,98,"9,4",297,"8,4","17,7","=",820,1,"0,1",64,"0,8",23,"0,1",30620,"0,1","0,1",,"0,6","1,0",104,1646,8522,"5,4","1,0",13008,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,3","3,0"
"EMIS-(-1)RS",2012-10-17 09:22,125,"13,5",297,"8,3","12,4","=",540,-2,"0,1",67,"0,8",24,"0,1",32220,"0,1","0,1",,"0,6","1,7",81,1667,8720,"3,8","1,0",12990,,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,4","0,3","3,0"
"EMIS-16P",2012-06-27 12:41,98,"8,9",283,"8,3","20,1","=",20000,0,"0,1",107,"0,7",26,"0,1",30460,"0,1","0,1",,"0,3","1,2",142,1349,7252,"6,9","1,0",11594,,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","4,6"
"EMIS-16P",2012-07-18 12:50,102,"8,5",296,"8,4","24,6","=",42000,-1,"0,1",169,"1,4",24,"0,1",30300,"0,1","0,2",,"0,4","1,4",191,1546,8364,"8,1","2,0",12758,,"0,9",,"0,2",,"0,5","0,8","1,0","0,2","0,4","0,6","6,2"
"EMIS-16P",2012-07-31 13:25,106,"8,8",298,"8,5","24,7","=",15000,1,"0,1",133,"1,1",24,"0,1",31720,"0,1","0,2",,"0,4","1,0",171,1626,8600,"8,0","1,0",13154,,"0,8",,"0,2",,"0,5","0,6","1,0","0,2","0,4","0,7","3,0"
"EMIS-16P",2012-08-13 10:48,99,"8,4",309,"8,3","23,2","=",27000,-1,"0,1",147,"1,0",25,"0,1",34180,"0,1","0,2",,"0,5","1,2",166,1726,9086,"9,2","1,0",14044,,"0,8",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","3,0"
"EMIS-16P",2012-09-19 13:08,102,"9,3",298,"8,5","19,5","=",11000,-1,"0,1",107,"0,9",23,"0,1",32380,"0,1","0,1",,"0,5","0,8",134,1672,8504,"7,9","1,0",12996,,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","3,0"
"EMIS-16P",2012-09-26 12:27,98,"9,4",294,"8,3","17,6","=",9100,1,"0,1",91,"0,9",24,"0,1",32600,"0,1","0,2",,"0,3","1,0",136,1657,8506,"7,4","1,0",13224,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,4","3,0"
"EMIS-16P",2012-10-17 12:06,127,"14,0",298,"8,1","12,4","=",80000,-2,"0,1",122,"0,8",24,"0,1",31680,"0,1","0,3",,"0,7","1,6",143,1794,8628,"6,8","1,0",13656,,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,4","3,0"
"EMIS-26T-1",2012-06-27 15:36,96,"8,5",207,"8,2","21,1","=",19000,0,"0,1",413,"0,6",25,"0,1",21380,"0,1","0,3",,"1,1","1,9",514,1277,5476,"25,7","1,0",9820,74,"1,1",,"0,5",,"0,5","0,5","1,0","0,2","0,2","1,3","7,9"
"EMIS-26T-1",2012-07-18 15:13,96,"7,9",218,"8,2","25,5","=",22000,-1,"0,1",627,"0,8",24,"0,1",21380,"0,1","0,4",,"1,4","2,7",665,1438,5876,"33,0","1,0",10734,48,"1,5",,"0,6",,"0,5","0,5","1,0","0,2","0,2","1,7","9,8"
"EMIS-26T-1",2012-07-31 14:46,105,"8,5",186,"8,5","26,5","=",1000,1,"0,1",1833,"0,9",37,"0,1",19832,"0,1","1,2",,"3,9","4,4",2016,1653,5596,"76,0","1,0",9596,20,"3,2",,"1,7",,"0,5","0,5","1,0","0,2","0,3","3,7","12,9"
"EMIS-26T-1",2012-08-13 11:57,98,"8,4",172,"8,0","23,2","=",1600,-1,"0,1",3077,"0,7",52,"0,1",16674,"0,1","1,4",,"6,0","7,4",2676,2480,4966,"67,2","1,0",11198,81,"5,9",,"2,2",,"0,5","0,5","1,0","0,2","0,2","5,9","18,0"
"EMIS-26T-1",2012-09-19 14:16,102,"9,6",144,"8,2","18,2","=",1200,-1,"0,1",547,"0,6",21,"0,1",13994,"0,1","0,3",,"1,5","1,9",580,1405,3530,"23,2","1,0",8784,76,"1,0",,"0,4",,"0,5","0,5","1,0","0,2","0,1","1,6","3,8"
"EMIS-26T-1",2012-09-26 13:37,96,"9,5",129,"8,1","16,0","=",910,1,"0,1",432,"0,5",19,"0,1",11166,"0,1","0,3",,"1,0","1,8",547,1233,3184,"21,1","1,0",7712,76,"1,0",,"0,4",,"0,5","0,5","1,0","0,2","0,1","1,2","3,0"
"EMIS-26T-1",2012-10-17 13:54,122,"13,6",146,"8,0","10,5","=",450,-2,"0,1",1063,"0,5",26,"0,1",13030,"0,1","0,4",,"1,9","2,4",981,1696,3904,"25,7","1,0",8990,95,"1,6",,"0,6",,"0,5","0,5","1,2","0,2","0,2","1,9","4,7"
"EMIS-26T-10",2012-06-27 15:03,90,"8,2",284,"8,4","20,2","=",14000,0,"0,1",99,"0,8",26,"0,1",31120,"0,1","0,1",,"0,3","1,1",123,1467,8032,"6,8","1,0",12500,28,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","4,7"
"EMIS-26T-10",2012-07-18 14:49,115,"9,6",297,"8,6","24,7","=",14000,-1,"0,1",133,"0,9",24,"0,1",30640,"0,1","0,1",,"0,3","1,9",141,1496,8160,"7,2","1,0",12474,20,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,6","4,7"
"EMIS-26T-10",2012-07-31 14:21,111,"9,1",298,"8,7","25,0","=",2000,1,"0,1",78,"0,9",22,"0,1",31800,"0,1","0,1",,"0,3","0,9",101,1583,8394,"6,1","1,0",12830,20,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,7","3,0"
"EMIS-26T-10",2012-08-13 11:35,130,"13,6",307,"8,4","23,8","=",31000,-1,"0,1",110,"0,9",24,"0,1",32240,"0,1","0,2",,"0,4","1,1",129,1652,8602,"7,5","1,0",13358,24,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,5","3,0"
"EMIS-26T-10",2012-09-19 13:55,107,"9,9",297,"8,5","19,1","=",11000,-1,"0,1",100,"0,9",23,"0,1",32140,"0,1","0,1",,"0,3","1,0",119,1651,8242,"7,2","1,0",12858,20,"0,5",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,4","3,0"
"EMIS-26T-10",2012-09-26 13:16,99,"9,5",291,"8,5","17,6","=",5500,1,"0,1",82,"0,9",23,"0,1",29500,"0,1","0,1",,"0,4","0,7",118,1606,8426,"6,6","1,0",12974,20,"0,6",,"0,2",,"0,5","0,5","1,0","0,2","0,3","0,3","3,0"
"EMIS-26T-10",2012-10-17 13:29,122,"13,5",295,"8,3","12,5","=",23000,-2,"0,1",98,"0,8",24,"0,1",32120,"0,1","0,2",,"0,3","1,3",126,1748,8682,"5,5","1,0",13604,44,"0,7",,"0,2",,"0,5","0,5","1,0","0,2","0,4","0,4","3,0"
"EMIS-26T-2",2012-06-27 15:32,96,"8,6",210,"8,2","21,0","=",16000,0,"0,1",340,"0,6",24,"0,1",21920,"0,1","0,3",,"0,9","1,7",416,1299,5592,"19,0","1,0",10006,70,"1,1",,"0,4",,"0,5","0,5","1,0","0,2","0,2","1,1","6,4"
"EMIS-26T-2",2012-07-18 15:10,96,"7,9",222,"8,2","25,4","=",29000,-1,"0,1",402,"0,8",24,"0,1",24720,"0,1","0,3",,"1,0","2,2",421,1456,6050,"18,3","1,0",11146,44,"1,2",,"0,4",,"0,5","0,5","1,0","0,2","0,2","1,2","8,0"
"EMIS-26T-2",2012-07-31 14:44,108,"8,8",184,"8,5","25,5","=",2400,1,"0,1",448,"0,7",22,"0,1",18542,"0,1","0,3",,"1,0","1,8",479,1292,4866,"19,9","1,0",9202,20,"1,1",,"0,4",,"0,5","0,5","1,0","0,2","0,2","1,6","3,1"
"EMIS-26T-2",2012-08-13 11:54,96,"8,3",167,"8,1","23,0","=",3000,-1,"0,1",3207,"0,7",51,"0,1",16210,"0,1","1,4",,"6,2","7,4",2780,2500,4948,"69,6","1,0",10514,78,"5,7",,"2,0",,"0,5","0,5","1,0","0,2","0,2","5,9","17,5"
"EMIS-26T-2",2012-09-19 14:14,97,"9,1",146,"8,2","18,2","=",3500,-1,"0,1",472,"0,5",21,"0,1",13168,"0,1","0,3",,"1,2","1,9",500,1350,3598,"21,0","1,0",8726,79,"1,2",,"0,4",,"0,5","0,5","1,0","0,2","0,1","1,2","4,8"
"EMIS-26T-2",2012-09-26 13:36,97,"9,6",131,"8,3","16,0","=",910,1,"0,1",398,"0,5",19,"0,1",11628,"0,1","0,2",,"1,4","1,5",501,1236,3360,"20,1","1,0",7800,66,"1,0",,"0,4",,"0,5","0,5","1,0","0,2","0,1","1,1","4,4"
"EMIS-26T-2",2012-10-17 13:50,,"13,1",142,"8,1","10,2","=",510,-2,"0,1",1265,"0,5",28,"0,1",13238,"0,1","0,5",,"2,3","2,7",1193,1740,3962,"38,6","1,0",8878,87,"1,9",,"0,8",,"0,5","0,5","1,0","0,2","0,2","2,3","6,1"
"EMIS-26T-3",2012-06-27 15:29,97,"8,7",219,"8,1","20,9","=",21000,0,"0,1",287,"0,6",25,"0,1",23240,"0,1","0,3",,"0,7","1,7",346,1316,5818,"15,4","1,0",10168,85,"0,9",,"0,3",,"0,5","0,5","1,0","0,2","0,3","1,0","7,6"
"EMIS-26T-3",2012-07-18 15:08,93,"7,7",231,"8,2","25,3","=",15000,-1,"0,1",362,"0,7",22,"0,1",22140,"0,1","0,3",,"0,9","2,0",383,1406,6132,"16,3","1,0",11056,35,"1,1",,"0,3",,"0,5","0,5","1,0","0,2","0,2","1,1","4,6"
