NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN,NOM_SECTION
183,"Ville-Marie","Sainte-Marie","ÉCOLE GARNEAU-Grande salle","183-010"
183,"Ville-Marie","Sainte-Marie","ÉCOLE GARNEAU-Grande salle","183-009"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE-Gymnase","034-039"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","CENTRE GABRIELLE-ROY-Gymnase","191-007"
191,"Villeray-Saint-Michel-Parc-Extension","Saint-Michel","CENTRE DE LOISIRS RENÉ-GOUPIL-La Grande Salle","191-040"
183,"Ville-Marie","Sainte-Marie","TOURS FRONTENAC-Salon vert","183-041"
183,"Ville-Marie","Sainte-Marie","TOURS FRONTENAC-Salon vert","183-040"
183,"Ville-Marie","Sainte-Marie","ÉCOLE PIERRE-DUPUY-Hall d'entrée","183-024"
183,"Ville-Marie","Sainte-Marie","ÉCOLE PIERRE-DUPUY-Hall d'entrée","183-023"
183,"Ville-Marie","Sainte-Marie","ÉCOLE PIERRE-DUPUY-Hall d'entrée","183-022"
72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","CENTRE PIERRE-CHARBONNEAU (HORS-DISTRICT)-Hall d'entrée 1","072-053"
183,"Ville-Marie","Sainte-Marie","ÉCOLE PIERRE-DUPUY-Hall d'entrée","183-018"
183,"Ville-Marie","Sainte-Marie","ÉCOLE GARNEAU-Grande salle","183-012"
183,"Ville-Marie","Sainte-Marie","ÉCOLE GARNEAU-Grande salle","183-011"
171,"Verdun","Champlain–L’Île-des-Sœurs","ÉCOLE PRIMAIRE ÎLE-DES-SŒURS-Vieux gymnase","171-008"
41,"Lachine","du Canal","ÉGLISE DES SAINTS-ANGES-Salle Albert-Simard","041-012"
41,"Lachine","du Canal","ÉCOLE MARTIN-BÉLANGER-Gymnase","041-007"
41,"Lachine","du Canal","ÉCOLE MARTIN-BÉLANGER-Gymnase","041-006"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE ST. MONICA-Gymnase","035-022"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE LES-ENFANTS-DU-MONDE-Gymnase","035-045"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE LES-ENFANTS-DU-MONDE-Gymnase","035-044"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE LES-ENFANTS-DU-MONDE-Gymnase","035-043"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","WILLINGDON SENIOR CAMPUS-Gymnase","035-047"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WESTHAVEN-Gymnase","035-017"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-013"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-012"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-011"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-010"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE LES-ENFANTS-DU-MONDE-Gymnase","035-042"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","WILLINGDON SENIOR CAMPUS-Gymnase","035-050"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","WILLINGDON SENIOR CAMPUS-Gymnase","035-049"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","WILLINGDON SENIOR CAMPUS-Gymnase","035-048"
41,"Lachine","du Canal","ÉCOLE MARTIN-BÉLANGER-Gymnase","041-005"
41,"Lachine","du Canal","ÉCOLE MARTIN-BÉLANGER-Gymnase","041-003"
41,"Lachine","du Canal","CHEVALIERS DE COLOMB - CONSEIL 1776 - LACHINE-Salle Wilfrid-Bélanger","041-018"
41,"Lachine","du Canal","CHEVALIERS DE COLOMB - CONSEIL 1776 - LACHINE-Salle Wilfrid-Bélanger","041-017"
42,"Lachine","J.-Émery-Provost","ÉCOLE TRÈS-SAINT-SACREMENT-Gymnase","042-001"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE SAINT-LUC-Cafétéria","035-036"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE SAINT-LUC-Cafétéria","035-034"
171,"Verdun","Champlain–L’Île-des-Sœurs","ÉCOLE PRIMAIRE ÎLE-DES-SŒURS-Vieux gymnase","171-007"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE ST. MONICA-Gymnase","035-024"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE ST. MONICA-Gymnase","035-023"
183,"Ville-Marie","Sainte-Marie","ÉCOLE CHAMPLAIN-Gymnase","183-008"
183,"Ville-Marie","Sainte-Marie","ÉCOLE CHAMPLAIN-Gymnase","183-007"
183,"Ville-Marie","Sainte-Marie","ÉCOLE CHAMPLAIN-Gymnase","183-006"
183,"Ville-Marie","Sainte-Marie","ÉCOLE CHAMPLAIN-Gymnase","183-005"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE WILLINGDON-Gymnase","034-016"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE WILLINGDON-Gymnase","034-014"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE SAINT-RAYMOND-Gymnase","034-046"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-010"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-006"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-004"
171,"Verdun","Champlain–L’Île-des-Sœurs","ÉCOLE PRIMAIRE ÎLE-DES-SŒURS-Salle Multifonctionnelle","171-015"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE NOTRE-DAME-DE-GRÂCE-Gymnase","034-027"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-009"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-008"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ROYAL VALE-Gymnase","034-007"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-009"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF NDG-Gymnase 1","035-007"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF NDG-Gymnase 1","035-006"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF NDG-Gymnase 1","035-005"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF NDG-Gymnase 1","035-003"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-021"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-020"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-019"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE MACKAY / PHILIP E. LAYTON-Gymnase","035-030"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE MACKAY / PHILIP E. LAYTON-Gymnase","035-027"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE MACKAY / PHILIP E. LAYTON-Gymnase","035-026"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WALKLEY-Salle polyvalente","035-040"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WALKLEY-Salle polyvalente","035-039"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","WESLEY UNITED CHURCH-Harvey Lee Hall","034-012"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","WESLEY UNITED CHURCH-Harvey Lee Hall","034-011"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-060"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CENTRE RÉCRÉATIF RIVIÈRE-DES-PRAIRIES-Salle polyvalente","123-041"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ACADÉMIE LEONARDO DA VINCI-Gymnase","123-043"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CENTRE RÉCRÉATIF RIVIÈRE-DES-PRAIRIES-Salle polyvalente","123-042"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","CEGEP MARIE-VICTORIN-Gymnase double","123-016"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 2","112-009"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 1","112-004"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 1","112-001"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 2","112-012"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 2","112-010"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ACADÉMIE LEONARDO DA VINCI-Gymnase","123-036"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE FERNAND-GAUTHIER-Gymnase","123-069"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE DENISE-PELLETIER-Gymnase","123-064"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-053"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE FERNAND-GAUTHIER-Gymnase","123-073"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE DENISE-PELLETIER-Gymnase","123-048"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE DENISE-PELLETIER-Gymnase","123-045"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE-Gymnase","034-038"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE SPORTIF TRENHOLME-Gymnase","035-014"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-063"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE DE L'ÉTINCELLE-Gymnase","111-021"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE DE L'ÉTINCELLE-Gymnase","111-020"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Cafétéria","102-054"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Cafétéria","102-051"
111,"Le Plateau-Mont-Royal","Mile-End","CENTRE ST-DENIS - RELANCE DES LOISIRS TOUT 9 INC.-Gymnase","111-071"
111,"Le Plateau-Mont-Royal","Mile-End","CENTRE ST-DENIS - RELANCE DES LOISIRS TOUT 9 INC.-Gymnase","111-068"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE ENFANTS-DU-MONDE-Gymnase 2","141-028"
141,"Saint-Laurent","Côte-de-Liesse","ÉCOLE ENFANTS-DU-MONDE-Gymnase 2","141-025"
112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DE RÉADAPTATION LUCIE-BRUNEAU-Gymnase","112-023"
111,"Le Plateau-Mont-Royal","Mile-End","YMCA DU PARC-Gymnase","111-001"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE SAINT-ENFANT-JÉSUS-Gymnase","111-055"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE SAINT-ENFANT-JÉSUS-Gymnase","111-054"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE ROBERT-GRAVEL-Gymnase","111-047"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE ROBERT-GRAVEL-Gymnase","111-046"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE ROBERT-GRAVEL-Gymnase","111-045"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE ROBERT-GRAVEL-Gymnase","111-040"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE LAMBERT-CLOSSE-Gymnase et Salle polyvalente","111-031"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE LAMBERT-CLOSSE-Gymnase et Salle polyvalente","111-028"
111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE DE L'ÉTINCELLE-Gymnase","111-025"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. ANTHONY-Gymnase","102-033"
82,"Montréal-Nord","Ovide-Clermont","ÉCOLE SAINTE-COLETTE-Gymnase","082-020"
81,"Montréal-Nord","Marie-Clarac","ÉCOLE SECONDAIRE MARIE-CLARAC-Gymnase","081-029"
81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINT-RÉMI-Gymnase","081-003"
72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE LOUIS-DUPIRE-Gymnase 1","072-018"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE L'EAU-VIVE-Gymnase","052-008"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE HENRI-FOREST-Gymnase","052-014"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE DU PETIT-COLLÈGE-Gymnase","052-076"
81,"Montréal-Nord","Marie-Clarac","ÉCOLE SAINT-RÉMI ANNEXE-Grande salle","081-019"
81,"Montréal-Nord","Marie-Clarac","ÉCOLE RENÉ-GUÉNETTE-Gymnase","081-023"
73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE BARIL-Gymnase","073-029"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. ANTHONY-Gymnase","102-029"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. ANTHONY-Gymnase","102-027"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE DE L'ODYSSÉE-Gymnase","102-011"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","CENTRE COMMUNAUTAIRE DE L'OUEST-Salles 1 et 2","102-041"
101,"Pierrefonds-Roxboro","Bois-de-Liesse","SAINT-BARNABAS ANGLICAN CHURCH-Hall","101-033"
94,"Outremont","Jeanne-Sauvé","CENTRE COMMUNAUTAIRE INTERGÉNÉRATIONNEL D'OUTREMONT-Salle de banquet 2","094-004"
93,"Outremont","Robert-Bourassa","ÉCOLE VINCENT D'INDY-Gymnase","093-001"
91,"Outremont","Claude-Ryan","ÉCOLE PAUL-GÉRIN-LAJOIE-D'OUTREMONT-Gymnase","091-008"
111,"Le Plateau-Mont-Royal","Mile-End","MAIRIE D'ARRONDISSEMENT LE PLATEAU-MONT-ROYAL-Salle Le Plateau","111-038"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Auditorium","102-046"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Auditorium","102-049"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. CHARLES-Gymnase","102-024"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. CHARLES-Gymnase","102-023"
102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. CHARLES-Gymnase","102-019"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","ÉCOLE DES CINQ-CONTINENTS, PAVILLON DUPUIS-Gymnase","033-032"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","CENTRE SPORTIF CÔTE-DES-NEIGES-Gymnase 2","033-018"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","CENTRE SPORTIF CÔTE-DES-NEIGES-Gymnase 2","033-016"
31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","CENTRE DE RESSOURCES COMMUNAUTAIRES DE CÔTE-DES-NEIGES-Grande salle","031-030"
23,"Anjou","Centre","CENTRE COMMUNAUTAIRE D'ANJOU-Salle 1.28","023-018"
23,"Anjou","Centre","ÉCOLE WILFRID-PELLETIER-Annexe","023-012"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","ACADÉMIE INTERNATIONALE MARYMOUNT-Gymnase","033-005"
33,"Côte-des-Neiges-Notre-Dame-de-Grâce","Snowdon","CEGEP MARIE-VICTORIN - CENTRE D'ÉDUCATION MULTICULTUREL-Pavillon Namur - Gymnase","033-025"
32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","ÉCOLE FÉLIX-LECLERC-Gymnase","032-007"
32,"Côte-des-Neiges-Notre-Dame-de-Grâce","Côte-des-Neiges","CENTRE COMMUNAUTAIRE DE LOISIR DE LA CÔTE-DES-NEIGES-Gymnase","032-024"
52,"LaSalle","Cecil-P.-Newman","ÉCOLE DU PETIT-COLLÈGE-Gymnase","052-075"
52,"LaSalle","Cecil-P.-Newman","ECOLE CAVELIER-DE LASALLE-Gymnase filles","052-004"
52,"LaSalle","Cecil-P.-Newman","CHILDREN'S WORLD ACADEMY-Gymnase","052-032"
51,"LaSalle","Sault-Saint-Louis","LASALLE COMMUNITY COMPREHENSIVE HIGH SCHOOL-Gymnase A","051-043"
43,"Lachine","Fort-Rolland","ÉCOLE VICTOR-THÉRIEN-Gymnase","043-018"
43,"Lachine","Fort-Rolland","COLLÈGE SAINT-LOUIS-Cafétéria","043-007"
42,"Lachine","J.-Émery-Provost","ÉCOLE TRÈS-SAINT-SACREMENT-Gymnase","042-003"
42,"Lachine","J.-Émery-Provost","ÉCOLE PHILIPPE-MORIN-Gymnase","042-012"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","ÉCOLE SAINTE-CATHERINE-DE-SIENNE-Gymnase","035-053"
35,"Côte-des-Neiges-Notre-Dame-de-Grâce","Loyola","CENTRE COMMUNAUTAIRE WALKLEY-Salle polyvalente","035-041"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","ÉCOLE ÉTOILE FILANTE-Gymnase","034-020"
34,"Côte-des-Neiges-Notre-Dame-de-Grâce","Notre-Dame-de-Grâce","CENTRE COMMUNAUTAIRE NOTRE-DAME-DE-GRÂCE-Gymnase","034-030"
13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE MARIE-ANNE-Salle de jeux","013-018"
13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE FERNAND-SÉGUIN, PAVILLON HUBERT-REEVES-Nouveau gymnase","013-031"
13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE ÉVANGÉLINE-Gymnase double","013-009"
13,"Ahuntsic-Cartierville","Ahuntsic","ÉCOLE AHUNTSIC-Gymnase","013-049"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LOUIS-COLIN-Gymnase","011-051"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LOUIS-COLIN-Gymnase","011-048"
31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","ÉCOLE LA VOIE-Gymnase","031-017"
14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE GILLES-VIGNEAULT-Gymnase 2","014-014"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-061"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-059"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LA VISITATION-Gymnase","011-020"
12,"Ahuntsic-Cartierville","Saint-Sulpice","CENTRE HENRI-JULIEN-Grande salle","012-026"
193,"Villeray-Saint-Michel-Parc-Extension","Villeray","ÉCOLE HENRI-JULIEN-Gymnase","193-004"
182,"Ville-Marie","Saint-Jacques","MARCHÉ BONSECOURS-Salle Ville-Marie","182-013"
31,"Côte-des-Neiges-Notre-Dame-de-Grâce","Darlington","ÉCOLE LA VOIE-Gymnase","031-018"
12,"Ahuntsic-Cartierville","Saint-Sulpice","ÉGLISE SAINT-ISAAC-JOGUES-Sous-sol","012-002"
12,"Ahuntsic-Cartierville","Saint-Sulpice","COLLÈGE ANDRÉ-GRASSET-Salle L'Escale","012-010"
12,"Ahuntsic-Cartierville","Saint-Sulpice","COLLÈGE ANDRÉ-GRASSET-Salle L'Escale","012-008"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SOPHIE-BARAT-Gymnase 1-A","011-043"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SAINT-ANTOINE-MARIE-CLARET-Gymnase","011-007"
12,"Ahuntsic-Cartierville","Saint-Sulpice","CENTRE COMMUNAUTAIRE ET CULTUREL BOIS-DE-BOULOGNE-Salle Chalhoub 1-A","012-059"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE SAINT-ANTOINE-MARIE-CLARET-Gymnase","011-002"
11,"Ahuntsic-Cartierville","Sault-au-Récollet","ÉCOLE LOUIS-COLIN-Gymnase","011-052"
22,"Anjou","Est","ÉCOLE SAINT-JOSEPH-Gymnase","022-006"
14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE LOUISBOURG-Gymnase","014-040"
14,"Ahuntsic-Cartierville","Bordeaux-Cartierville","ÉCOLE LOUISBOURG-Gymnase","014-038"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE CHARLES-BRUNEAU-Gymnase","132-021"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Gymnase","132-048"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Gymnase","132-042"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-029"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-028"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","CENTRE MARIE-MÉDIATRICE-Gymnase","132-027"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria","132-056"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria","132-055"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","COLLÈGE DE ROSEMONT (CEGEP)-Cafétéria","132-054"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-058"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE SANS-FRONTIÈRES-Gymnase","132-057"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE PIERRE ELLIOT TRUDEAU-Gymnase","132-002"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE PIERRE ELLIOT TRUDEAU-Gymnase","132-001"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE MADELEINE-DE-VERCHÈRES-Gymnase","132-016"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE MADELEINE-DE-VERCHÈRES-Gymnase","132-013"
133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase","133-051"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE MADELEINE-DE-VERCHÈRES-Gymnase","132-010"
132,"Rosemont-La Petite-Patrie","Étienne-Desmarteau","ÉCOLE CHARLES-BRUNEAU-Gymnase","132-023"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ÉTIENNE-Gymnase","131-039"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ÉTIENNE-Gymnase","131-034"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE SAINT-ARSÈNE-Gymnase","131-019"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA PETITE-PATRIE - PAVILLON NOTRE-DAME-DE-LA-DÉFENSE-Gymnase","131-012"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE LA PETITE-PATRIE - PAVILLON NOTRE-DAME-DE-LA-DÉFENSE-Gymnase","131-010"
131,"Rosemont-La Petite-Patrie","Saint-Édouard","ÉCOLE FÉLIX-LECLERC TRANSITOIRE-Gymnase","131-008"
123,"Rivière-des-Prairies-Pointe-aux-Trembles","Rivière-des-Prairies","ÉCOLE MARC-AURÈLE-FORTIN-Gymnase","123-059"
