ï»¿ID,JOUR1,JOUR2,JOUR3,CALENDRIER,OBJECTID,SHAPE__Area,SHAPE__Length
180,,,Lundi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3B.pdf,1,165777437.605469,69566.045956165
181,,Lundi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2B-FR-EN.pdf,2,20247489.484375,32802.9497755958
182,,Jeudi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2B-FR-EN.pdf,3,50702831.7070313,62355.2071143702
183,Lundi,,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-1A-FR-EN.pdf,4,38740729.5078125,38797.1607109848
184,Jeudi,,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-1A-FR-EN.pdf,5,177152678.300781,71809.8520653341
185,,,Mercredi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3B.pdf,6,54577376.96875,50912.404375907
186,Mercredi,,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-1A-FR-EN.pdf,7,38212514.8398438,33136.933220748
187,,,Jeudi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3B.pdf,8,35154086.1015625,32620.3919106153
188,,,Mardi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3B.pdf,9,30758269.1328125,37651.351217621
189,Mardi,,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-1A-FR-EN.pdf,10,14333717.078125,21182.562947779
190,,Mardi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2A.pdf,11,20380590.5703125,21042.6448789357
191,Lundi,Lundi,Lundi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-CV.pdf,12,1392883.484375,7850.18402038625
192,,Mercredi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2B-FR-EN.pdf,13,25638590.28125,30293.1676343113
193,,,Mercredi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3A.pdf,14,34676227.6289063,29682.7196214183
194,,,Jeudi,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-3A.pdf,15,10515696.7421875,18346.4151603762
196,,Mardi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2B-FR-EN.pdf,16,6718846.73046875,15891.9793453004
197,,Lundi,,https://www.sherbrooke.ca/Fichiers/3337a882-4a53-e611-80ea-00155d09650f/Sites/333ceda8-915d-e611-80ea-00155d09650f/Documents/Collecte-matieres-residuelles/2024-Calendrier-2A.pdf,17,17478601.984375,35426.7041262638
