TransactionID,DateChargement,IdenfiantSecteur,NomSecteur,IdentifiantArrondissement,ArrondissementCode,Arrondissement,IdentifiantDepot,NomDepot,DateDechargement,volume,TypeTransaction,IdentifiantContrat,NumeroContrat
2962176,2024-12-08T19:35:49,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T19:54:28,49.64,"AUT",1490,"VSP-114"
2962177,2024-12-08T19:46:03,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T19:56:52,27.74,"AUT",1490,"VSP-114"
2962178,2024-12-08T19:50:02,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T19:58:19,31.91,"AUT",1490,"VSP-114"
2962179,2024-12-08T19:52:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:01:05,30.07,"AUT",1490,"VSP-114"
2962180,2024-12-08T19:58:56,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:06:04,31.02,"AUT",1490,"VSP-114"
2962181,2024-12-08T20:02:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:13:16,49.36,"AUT",1490,"VSP-114"
2962182,2024-12-08T19:57:00,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:15:45,29.75,"AUT",1490,"VSP-114"
2962183,2024-12-08T20:07:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:16:14,25.56,"AUT",1490,"VSP-114"
2962184,2024-12-08T20:19:02,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:27:39,27.74,"AUT",1490,"VSP-114"
2962185,2024-12-08T20:13:03,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:29:20,49.64,"AUT",1490,"VSP-114"
2962186,2024-12-08T19:54:44,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:30:33,24.98,"AUT",1490,"VSP-114"
2962187,2024-12-08T20:29:00,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:39:25,25.56,"AUT",1490,"VSP-114"
2962188,2024-12-08T20:25:24,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:44:10,31.91,"AUT",1490,"VSP-114"
2962189,2024-12-08T20:46:38,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:46:38,31.02,"N-AUT",1490,"VSP-114"
2962190,2024-12-08T20:37:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T20:56:51,25.30,"AUT",1490,"VSP-114"
2962191,2024-12-08T20:40:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:01:06,49.36,"AUT",1490,"VSP-114"
2962192,2024-12-08T20:47:05,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:04:31,25.72,"AUT",1490,"VSP-114"
2962193,2024-12-08T20:53:02,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:05:24,30.07,"AUT",1490,"VSP-114"
2962194,2024-12-08T20:50:04,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:07:06,25.31,"AUT",1490,"VSP-114"
2962195,2024-12-08T20:55:29,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:11:37,27.74,"AUT",1490,"VSP-114"
2962196,2024-12-08T20:59:01,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:18:10,42.19,"AUT",1490,"VSP-114"
2962197,2024-12-08T21:04:03,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:18:29,29.39,"AUT",1490,"VSP-114"
2962198,2024-12-08T21:07:40,493,"VSP-114B",24,"VSP","Villeray–Saint-Michel–Parc-Extension",31,"St-Michel - Robert (VSP)",2024-12-08T21:21:55,31.91,"AUT",1490,"VSP-114"
