Année,No_Min,Nom_du_MO,NPD,1ere_(NCI),2e_ligne_(NCI),NCI,NPDCI,NCG,NDPCG,NTRI,NPDRI
2015-2016,10,Culture et des Communications,399,108,164,272,54,0,0,3,73
2015-2016,30,Relations internationales et Francophonie,343,0,188,188,27,0,0,3,27
2015-2016,50,Affaires municipales et Occupation du territoire,570,35,0,35,29,0,0,0,0
2015-2016,52,"Forêts, Faune et Parcs",3796,406,1449,1855,295,1,4,1,10
2015-2016,55,"Immigration, Diversité et Inclusion",1321,116,9,125,125,1,12,0,0
2015-2016,60,Santé et des Services sociaux,1167,84,960,1044,184,1,10,0,0
2015-2016,64,Régie de l'assurance maladie du Québec,1770,303,1051,1354,196,1,18,2,190
2015-2016,65,Famille,482,0,279,279,65,1,23,0,0
2015-2016,80,"Agriculture, Pêcheries et Alimentation",1743,256,1307,1563,188,0,0,0,0
2015-2016,95,Sécurité publique,5698,1002,3868,4870,770,7,64,0,0
2015-2016,140,Conseil exécutif,1288,263,1212,1475,185,1,24,2,34
2015-2016,160,Secrétariat du Conseil du trésor,663,158,731,889,107,0,0,2,90
2015-2016,188,Bureau de décision et de révision,16,3,2,5,3,0,0,1,7
2015-2016,210,Finances,626,138,737,875,99,0,0,4,44
2015-2016,240,Retraite Québec,2381,374,1875,2249,264,0,0,64,245
2015-2016,246,Directeur des poursuites criminelles et pénales,439,216,833,1049,148,0,0,5,25
2015-2016,247,Commissaire au lobbyisme du Québec,33,6,11,17,4,0,0,0,0
2015-2016,256,Bureau d'audiences publiques sur l'environnement,56,11,67,78,6,0,0,0,0
2015-2016,271,Commission des droits de la personne et des droits de la jeunesse,14,27,53,80,12,0,0,0,0
2015-2016,280,"Économie, Science et Innovation",805,138,601,739,97,0,0,2,3
2015-2016,295,Protecteur du citoyen,12,44,173,217,25,0,0,2,21
2015-2016,320,Société de l'assurance automobile de Québec,3742,2978,0,2978,1161,6,0,18,0
2015-2016,323,Institut de la statistique du Québec,386,47,138,185,47,0,0,0,0
2015-2016,328,Commission de protection du territoire agricole du Québec,102,10,59,69,8,0,0,0,0
2015-2016,344,Office de la protection du consommateur,123,12,44,56,12,0,0,0,0
2015-2016,347,Centre de services partagés du Québec,2126,495,1654,2149,284,1,9,2,36
2015-2016,350,Éducation et Enseignement supérieur,1711,264,834,1098,186,0,0,2,147
2015-2016,352,Régie du Cinéma,41,5,0,5,5,0,0,0,0
2015-2016,360,Office des professions du Québec,72,7,7,14,7,0,0,0,0
2015-2016,367,Régie du bâtiment du Québec,517,151.75,0,151.75,56,0,0,0,0
2015-2016,374,Vérificateur général du Québec,288,0,76,76,28,0,0,1,14
2015-2016,380,"Développement durable, Environnement et Lutte contre les changements climatiques",1924,473,1800,2273,275,1,10,2,78
2015-2016,386,"Régie des alcools, des courses et des jeux",223,24,149,173,21,0,0,0,0
2015-2016,390,Sûreté du Québec,2305,0,5382.5,5382.5,1799,24,133,0,0
2015-2016,400,Justice,3694,477,1846,2323,361,4,44,2,20
2015-2016,408,Tribunal administratif du travail,71,9,25,34,8,0,0,1,2
2015-2016,415,Commission de la fonction publique,559,98,0,98,41,0,0,0,0
2015-2016,430,Tribunal administratif du Québec,44,13,37,50,8,0,0,2,4
2015-2016,450,Commission d'accès à l'information,286,0,27,27,21,0,0,0,0
2015-2016,505,Conseil de gestion de l'assurance parentale ,14,,,,,,,,
2015-2016,510,Régie du logement,228,30,51,81,19,0,0,0,0
2015-2016,520,La Financière agricole du Québec,656,74,58,132,74,1,16,0,0
2015-2016,538,Office des personnes handicapées du Québec,131,11,11,22,11,0,0,0,0
2015-2016,547,Institut de tourisme et d'hôtellerie du Québec,331,30,62,92,21,0,0,0,0
2015-2016,560,Curateur public du Québec,736,0,101,101,85,1,12,0,0
2015-2016,600,Énergie et Ressources naturelles,1541,487,1012,1499,245,3,28,2,17
2015-2016,630,Directeur général des élections,324,92,195,287,49,0,0,0,0
2015-2016,660,Conseil du statut de la femme,42,24,110,134,16,0,0,0,0
2015-2016,690,Conseil supérieur de la langue française,10,0,0,0,0,0,0,0,0
2015-2016,700,"Travail, Emploi et Solidarité sociale",6630,1781,4785,6566,1032,4,150,3,113
2015-2016,710,Office québécois de la langue française,243,30,89,119,30,0,0,0,0
2015-2016,730,Société d'habitation du Québec,408,0,184,184,55,0,0,2,20
2015-2016,814,Tourisme,265,19,40,59,59,0,0,0,0
2015-2016,830,Commission des Transports,126,3,23,26,3,0,0,0,0
2015-2016,850,"Transports, Mobilité durable et Électrification des transports",7948,1196,3323,4519,672,7,141,0,0
