PERIODE,MO,NTII,NTIG,NPDII,NPDIG,NPDEPAE
2011,"Affaires municipales, Régions et Occupation du territoire",261,0,69,2,777
2011,"Agriculture, Pêcheries et Alimentation",445,1,163,2,1877
2011,Assemblée nationale,279,2,91,2,1401
2011,Bureau d'audiences publiques sur l'environnement,17,0,5,1,45
2011,Centre de services partagés du Québec,610,2,308,1,2034
2011,Commissaire au lobbyisme,7,0,2,1,28
2011,Commission administrative des régimes de retraite et d'assurances,263,1,102,1,629
2011,Commission d'accès à l'information,38,0,4,1,56
2011,Commission de la fonction publique,6,0,5,1,42
2011,Commission de l'équité salariale,41,0,8,1,64
2011,Commission de protection du territoire agricole du Québec,19,0,5,1,99
2011,Commission des droits de la personne et des droits de la jeunesse,59,1,21,1,159
2011,Commission des lésions professionnelles,91,0,45,1,293
2011,Commission des normes du travail,169,1,58,1,510
2011,Commission des relations du travail,21,0,8,1,126
2011,Commission des transports du Québec,6,0,6,1,143
2011,Conseil de gestion de l'assurance parentale,0,0,0,1,0
2011,Conseil du statut de la femme,2,0,1,1,43
2011,Conseil exécutif,166,0,74,1,547
2011,Conseil supérieur de la langue française,0,0,0,1,12
2011,Culture et Communications,118,1,44,3,491
2011,Curateur public,290,1,80,1,728
2011,"Développement durable, Environnement, Faune et Parcs",456,0,238,1,1913
2011,Directeur des poursuites criminelles et pénales,79,1,69,1,905
2011,Directeur général des élections,87,0,39,1,241
2011,"Éducation, Loisir et Sport",632,0,164,1,1433
2011,Emploi et Solidarité sociale,2082,6,1030,5,6771
2011,"Enseignement supérieur, Recherche, Science et Technologie",158,0,114,1,811
2011,Famille,233,3,50,1,482
2011,Finances et Économie,581,0,139,4,980
2011,Immigration et Communautés culturelles,270,1,84,2,1499
2011,Institut de la statistique du Québec,133,1,34,1,328
2011,Institut de tourisme et d'hôtellerie du Québec,49,0,13,1,245
2011,Justice,403,2,266,4,3337
2011,La Financière agricole du Québec,135,0,70,1,674
2011,Office de la protection du consommateur,33,0,6,1,102
2011,Office des personnes handicapées du Québec,79,0,20,1,142
2011,Office des professions du Québec,30,0,7,1,53
2011,Office québécois de la langue française,86,0,37,1,252
2011,Protecteur du citoyen,13,0,13,1,152
2011,Régie de l'assurance maladie du Québec,770,0,272,1,1785
2011,Régie des rentes du Québec,275,2,200,1,1245
2011,Régie du bâtiment du Québec,113,0,39,1,449
2011,"Relations internationales, Francophonie et Commerce extérieur",164,0,28,1,575
2011,Ressources naturelles,764,2,481,7,4589
2011,Santé et Services sociaux,157,2,122,1,743
2011,Secrétariat du Conseil du trésor,335,0,117,2,545
2011,Sécurité publique,2136,18,712,2,5461
2011,Société de l'assurance automobile du Québec,1712,8,635,1,3613
2011,Société d'habitation du Québec,140,0,34,1,389
2011,Sûreté du Québec,3845,36,772,2,7094
2011,Transports,1118,4,532,3,6042
2011,Travail,44,0,14,2,126
2011,Tribunal administratif du Québec,29,0,14,1,229
2011,Vérificateur général,44,0,20,1,299
2012,"Affaires municipales, Régions et Occupation du territoire",236,0,70,2,810
2012,"Agriculture, Pêcheries et Alimentation",434,2,171,2,1884
2012,Assemblée nationale,237,0,109,2,1165
2012,Bureau d'audiences publiques sur l'environnement,23,0,5,1,47
2012,Centre de services partagés du Québec,534,1,298,1,2170
2012,Commissaire au lobbyisme,18,0,7,1,30
2012,Commission administrative des régimes de retraite et d'assurances,292,0,110,1,882
2012,Commission d'accès à l'information,22,0,3,1,60
2012,Commission de la fonction publique,19,0,14,1,0
2012,Commission de l'équité salariale,33,0,12,1,95
2012,Commission de protection du territoire agricole du Québec,17,0,5,1,97
2012,Commission des droits de la personne et des droits de la jeunesse,46,0,23,1,162
2012,Commission des lésions professionnelles,96,0,58,1,297
2012,Commission des normes du travail,139,0,65,1,529
2012,Commission des relations du travail,50,0,13,1,128
2012,Commission des transports du Québec,36,0,9,1,132
2012,Conseil de gestion de l'assurance parentale,0,0,0,1,0
2012,Conseil du statut de la femme,32,0,7,1,47
2012,Conseil exécutif,127,0,89,1,690
2012,Conseil supérieur de la langue française,0,0,0,1,0
2012,Culture et Communications,168,1,50,2,551
2012,Curateur public,294,0,112,1,729
2012,"Développement durable, Environnement, Faune et Parcs",495,0,261,1,2022
2012,Directeur des poursuites criminelles et pénales,128,0,94,1,998
2012,Directeur général des élections,73,0,42,1,254
2012,"Éducation, Loisir et Sport",597,0,153,1,1425
2012,Emploi et Solidarité sociale,1895,2,1076,4,6863
2012,"Enseignement supérieur, Recherche, Science et Technologie",159,0,107,1,839
2012,Famille,242,0,60,1,502
2012,Finances et Économie,674,0,165,4,920
2012,Immigration et Communautés culturelles,120,0,94,1,1509
2012,Institut de la statistique du Québec,110,0,28,1,341
2012,Institut de tourisme et d'hôtellerie du Québec,113,0,16,1,261
2012,Justice,479,2,307,5,3441
2012,La Financière agricole du Québec,140,0,71,1,651
2012,Office de la protection du consommateur,26,0,8,1,108
2012,Office des personnes handicapées du Québec,105,0,27,1,142
2012,Office des professions du Québec,14,0,4,1,53
2012,Office québécois de la langue française,136,2,40,1,243
2012,Protecteur du citoyen,21,0,17,1,156
2012,Régie de l'assurance maladie du Québec,772,0,235,1,1813
2012,Régie des rentes du Québec,279,1,184,1,1227
2012,Régie du bâtiment du Québec,140,0,49,1,496
2012,"Relations internationales, Francophonie et Commerce extérieur",133,0,26,1,570
2012,Ressources naturelles,867,3,526,4,4089
2012,Santé et Services sociaux,180,1,139,2,748
2012,Secrétariat du Conseil du trésor,179,0,86,3,561
2012,Sécurité publique,2175,13,725,2,5607
2012,Société de l'assurance automobile du Québec,3223,7,645,1,3762
2012,Société d'habitation du Québec,197,0,47,1,393
2012,Sûreté du Québec,4459,41,731,2,8100
2012,Transports,970,19,577,3,6523
2012,Travail,52,0,21,1,129
2012,Tribunal administratif du Québec,44,0,16,1,227
2012,Vérificateur général,52,0,24,1,277
2013-2014,"Affaires municipales, Régions et Occupation du territoire",266,0,87,3,821
2013-2014,"Agriculture, Pêcheries et Alimentation",293,1,184,2,2013
2013-2014,Assemblée nationale,279,0,106,2,560
2013-2014,Bureau d'audiences publiques sur l'environnement,9,0,5,1,48
2013-2014,Centre de services partagés du Québec,2940,0,500,1,2656
2013-2014,Commissaire au lobbyisme,6,0,3,1,36
2013-2014,Commission administrative des régimes de retraite et d'assurances,187,1,94,1,1197
2013-2014,Commission d'accès à l'information,28,0,6,1,66
2013-2014,Commission de la fonction publique,14,0,10,1,47
2013-2014,Commission de l'équité salariale,36,0,12,1,100
2013-2014,Commission de protection du territoire agricole du Québec,7,0,18,1,112
2013-2014,Commission des droits de la personne et des droits de la jeunesse,100,0,20,1,176
2013-2014,Commission des lésions professionnelles,78,0,44,1,469
2013-2014,Commission des normes du travail,136,0,66,1,573
2013-2014,Commission des relations du travail,48,0,15,1,154
2013-2014,Commission des transports du Québec,37,0,10,1,146
2013-2014,Conseil de gestion de l'assurance parentale,0,0,0,1,18
2013-2014,Conseil du statut de la femme,8,0,3,1,50
2013-2014,Conseil exécutif,136,0,93,1,753
2013-2014,Conseil supérieur de la langue française,0,0,0,1,14
2013-2014,Culture et Communications,183,0,61,3,529
2013-2014,Curateur public,331,3,74,1,763
2013-2014,"Développement durable, Environnement, Faune et Parcs",437,4,317,1,3244
2013-2014,Directeur des poursuites criminelles et pénales,1058,3,142,1,466
2013-2014,Directeur général des élections,114,0,44,1,507
2013-2014,"Éducation, Loisir et Sport",590,2,140,1,1127
2013-2014,Emploi et Solidarité sociale,2012,8,1166,2,7482
