ï»¿OBJECTID,LABEL,TYPE,DIAMETER__VALVE_
13061,54VRP04,VANNE DE REDUCTION DE PRESSION,200
13062,54VRP03,VANNE DE REDUCTION DE PRESSION,250
13063,42VRP18,VANNE DE REDUCTION DE PRESSION,250
13064,37VRP16,VANNE DE REDUCTION DE PRESSION,152.4
13065,43VRP20,VANNE DE REDUCTION DE PRESSION,200
13067,42VRP12,VANNE DE REDUCTION DE PRESSION,200
13068,61VRP02,VANNE DE REDUCTION DE PRESSION,152.4
13069,61VRP21,VANNE DE REDUCTION DE PRESSION,152.4
13070,61VRP22,VANNE DE REDUCTION DE PRESSION,152.4
13071,61VRP23,VANNE DE REDUCTION DE PRESSION,152.4
13072,42VRP16,VANNE DE REDUCTION DE PRESSION,250
13073,61VRP01,VANNE DE REDUCTION DE PRESSION,152.4
13074,43VRP02,VANNE DE REDUCTION DE PRESSION,400
13075,43VRP22,VANNE DE REDUCTION DE PRESSION,250
13076,43VRP23,VANNE DE REDUCTION DE PRESSION,200
13077,43VRP26,VANNE DE REDUCTION DE PRESSION,152.4
13078,25VRP22,VANNE DE REDUCTION DE PRESSION,250
13079,43VRP30,VANNE DE REDUCTION DE PRESSION,100
13080,12VRP10,VANNE DE REDUCTION DE PRESSION,152.4
13081,43VRP24,VANNE DE REDUCTION DE PRESSION,152.4
13082,26VRP16,VANNE DE REDUCTION DE PRESSION,152.4
13083,43VRP27,VANNE DE REDUCTION DE PRESSION,152.4
13084,25VRP23,VANNE DE REDUCTION DE PRESSION,250
13085,37VRP15,VANNE DE REDUCTION DE PRESSION,152.4
13086,37VRP13,VANNE DE REDUCTION DE PRESSION,152.4
13087,26VRP18,VANNE DE REDUCTION DE PRESSION,80
13088,26VRP14,VANNE DE REDUCTION DE PRESSION,152.4
13089,26VRP20,VANNE DE REDUCTION DE PRESSION,150
13090,26VRP22,VANNE DE REDUCTION DE PRESSION,152.4
13091,37VRP02,VANNE DE REDUCTION DE PRESSION,200
13092,37VRP24,VANNE DE REDUCTION DE PRESSION,152.4
13093,26VRP23,VANNE DE REDUCTION DE PRESSION,152.4
13094,23VRP20,VANNE DE REDUCTION DE PRESSION,152.4
13095,24VRP03,VANNE DE REDUCTION DE PRESSION,152.4
13096,24VRP31,VANNE DE REDUCTION DE PRESSION,152.4
13097,25VRP21,VANNE DE REDUCTION DE PRESSION,200
13098,13VRP5B,VANNE DE REDUCTION DE PRESSION,152.4
13099,12VRP4B,VANNE DE REDUCTION DE PRESSION,63
13100,12VRP04,VANNE DE REDUCTION DE PRESSION,200
13101,12VRP1B,VANNE DE REDUCTION DE PRESSION,32
13102,12VRP1A,VANNE DE REDUCTION DE PRESSION,150
13103,12VRP06,VANNE DE REDUCTION DE PRESSION,152.4
13104,13VRP5A,VANNE DE REDUCTION DE PRESSION,152.4
13105,12VRP02,VANNE DE REDUCTION DE PRESSION,152.4
13106,12VRP4A,VANNE DE REDUCTION DE PRESSION,200
13107,43VRP28,VANNE DE REDUCTION DE PRESSION,400
13108,37VRP01,VANNE DE REDUCTION DE PRESSION,152.4
13110,37VRP14,VANNE DE REDUCTION DE PRESSION,152.4
13111,43VRP25,VANNE DE REDUCTION DE PRESSION,152.4
13112,43VRP29,VANNE DE REDUCTION DE PRESSION,152.4
13113,54VRP05,VANNE DE REDUCTION DE PRESSION,150
13114,24VRP01,,200
13115,25VRP24,,200
13116,25VRP25,,152.4
13123,15VRP01,,250
