FID,CODE,BUP_NO_BUREA,BUP_NO_REGIO,BUP_NOM_REGIO,BUP_NOM_BUREA,TYPE,BUP_ADR_DGPF,BUP_ADR_QUEBE,BUP_NOM_MUNIC,BUP_CODE_POSTA,SHAPE
Bureaux_protection_faune.fid--36104af1_191566b56df_6fc9,48,17_01,17,Mauricie/Centre-du-Québec-Lanaudière,Bureau local de Victoriaville,local,"985, boulevard Pierre-Roux Est, Bureau 3, Victoriaville, G6T 1T8","985, boulevard Pierre-Roux Est, Victoriaville, G6T 1T8",Victoriaville,G6T1T8,POINT (-71.9456249043456 46.085824002804)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fca,49,17_02,17,Mauricie/Centre-du-Québec-Lanaudière,Bureau local de Drummondville,local,"620, boulevard Saint-Joseph Ouest, Suite 3, Drummondville, J2E 1H5","620, boulevard Saint-Joseph Ouest, Drummondville, J2E 1H5",Drummondville,J2E1H5,POINT (-72.5366210941392 45.9068822764118)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fcb,50,05,5,Estrie/Montréal/Montérégie,Direction de la protection de la faune de lEstrie et de Montréal-Montérégie,regional,"770, rue Goretti, Sherbrooke, J1E 3H4","770, rue Goretti, Sherbrooke, J1E 3H4",Sherbrooke,J1E3H4,POINT (-71.8949551128463 45.4121140691395)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fcc,51,05_51,5,Estrie/Montréal/Montérégie,Bureau local de Lac-Mégantic,local,"3804, rue Laval,  Lac-Mégantic, G6B 1A4","3804, rue Laval,  Lac-Mégantic, G6B 1A4",Lac-Mégantic,G6B1A4,POINT (-70.9000129048657 45.5886564981534)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fcd,52,05_52,5,Estrie/Montréal/Montérégie,Bureau local de Sherbrooke,local,"125, chemin Georges-Vallières, Sherbrooke, J1H 0B7","125, chemin Georges-Vallières, Sherbrooke, J1H 0B7",Sherbrooke,J1H0B7,POINT (-71.9714245874744 45.4246727520354)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fce,53,16_01,16,Estrie/Montréal/Montérégie,Bureau local de Saint-Jean-sur-Richelieu ,local,"640, Dorchester, Suite 80, Saint-Jean-sur-Richelieu, J3B 5A4","640, Dorchester, Suite 80, Saint-Jean-sur-Richelieu, J3B 5A4",Saint-Jean-sur-Richelieu,J3B5A4,POINT (-73.270174661488 45.3201602587295)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fcf,54,16_02,16,Estrie/Montréal/Montérégie,Bureau local de Sorel-Tracy ,local,"410, rue de Ramesay, Sorel-Tracy, J3P 8B3","410, rue de Ramesay, Sorel-Tracy, J3P 8B3",Sorel-Tracy,J3P8B3,POINT (-73.1082011433113 46.0279052398673)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd0,55,16_04,16,Estrie/Montréal/Montérégie,Bureau local de Salaberry-de-Valleyfield ,local,"5400 Avenue Pierre-Dansereau, Salaberry-de-Valleyfield J6S0M1","5400 Avenue Pierre-Dansereau, Salaberry-de-Valleyfield J6S0M1",Salaberry-de-Valleyfield,J6S0M1,POINT (-74.029166 45.288026)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd1,56,16_05,16,Estrie/Montréal/Montérégie,Bureau local de Granby,local,"329, rue Racine, Granby, J2G 3B6","329, rue Racine, Granby, J2G 3B6",Granby,J2G3B6,POINT (-72.7320026850427 45.4007833546839)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd2,57,07,7,Outaouais/Laurentides,"Direction de la protection de la faune de lOutaouais, de Laval et des Laurentides",regional,"16, Impasse de la Gare-Talon, RC 100, Gatineau, J8T 0B1","16, Impasse de la Gare-Talon, RC 100, Gatineau, J8T 0B1",Gatineau,J8T0B1,POINT (-75.6890244930528 45.481196907969)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd3,58,07_01,7,Outaouais/Laurentides,Bureau local de Gatineau ,local,"33, rue Jean Proulx, bureau RC 1, Gatineau, J8Z 1X1","33, rue Jean Proulx, Gatineau, J8Z 1X1",Gatineau,J8Z1X1,POINT (-75.7433221500482 45.4661101712537)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd4,59,07_02,7,Outaouais/Laurentides,Bureau local de Campbells Bay ,local,"1290-A Route 148 RR2, Campbell's Bay, J0X 1K0","1290-A Route 148, Campbell's Bay, J0X 1K0",Campbell's Bay,J0X1K0,POINT (-76.5960176323232 45.7253341766528)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd5,60,07_08,7,Outaouais/Laurentides,Bureau local de Maniwaki,local,"88, rue Roy, Maniwaki, J9E 2M5","88, rue Roy, Maniwaki, J9E 2M5",Maniwaki,J9E2M4,POINT (-75.973698717382 46.378608919069)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd6,61,07_09,7,Outaouais/Laurentides,Bureau local de Papineauville ,local,"208, Henri-Bourassa - C.P. 300, Papineauville, J0V 1R0","208, Henri-Bourassa, Papineauville, J0V 1R0",Papineauville,J0V1R0,POINT (-75.0165485629225 45.6197487061936)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd7,62,15_02,15,Outaouais/Laurentides,Bureau local de Saint-Jérôme,local,"999, rue Nobel, local 1.50B, Saint-Jérôme, J7Z 7A3","999, rue Nobel, Saint-Jérôme, J7Z 7A3",Saint-Jérôme,J7Z7A3,POINT (-73.9882257531132 45.7563935309624)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd8,63,15_03,15,Outaouais/Laurentides,Bureau local de Labelle,local,"5497, boulevard Curé-Labelle, Labelle, J0T 1H0","5497, boulevard Curé-Labelle, Labelle, J0T 1H0",Labelle,J0T1H0,POINT (-74.725163988518 46.2649713154894)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fd9,64,15_04,15,Outaouais/Laurentides,Bureau local de Mont-Laurier,local,"435, rue Panet, Mont-Laurier, J9L 2Z9","435, rue Panet, Mont-Laurier, J9L 2Z9",Mont-Laurier,J9L2Z9,POINT (-75.4877203892529 46.5530729468304)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fda,65,08,8,Abitibi-Témiscamingue,Direction de la protection de la faune de lAbitibi-Témiscamingue,regional,"70, avenue Québec, Rouyn-Noranda, J9X 6R1","70, avenue Québec, Rouyn-Noranda, J9X 6R1",Rouyn-Noranda,J9X6R1,POINT (-79.0276954119744 48.2416768995558)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fdb,66,08_01,8,Abitibi-Témiscamingue,Bureau local de Rouyn-Noranda,local,"165, 7e Rue, Rouyn-Noranda, J9X 1Z8","165, 7e Rue, Rouyn-Noranda, J9X 1Z8",Rouyn-Noranda,J9X1Z8,POINT (-79.0163763758295 48.2481907568394)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fdc,67,08_02,8,Abitibi-Témiscamingue,Bureau local de Ville-Marie,local,"23, rue Industrielle, Ville-Marie, J9V 1S3","23, rue Industrielle, Ville-Marie, J9V 1S3",Ville-Marie,J9V1S3,POINT (-79.4318547723337 47.3281186760942)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fdd,68,08_03,8,Abitibi-Témiscamingue,Bureau local de Témiscaming,local,"31, chemin Du Ruisseau Gordon, C.P. 850, Témiscaming, J0Z 3R0","31, chemin Du Ruisseau Gordon, Témiscaming, J0Z 3R0",Témiscaming,J0Z3R0,POINT (-79.0926526391401 46.7239486277179)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fde,69,08_04,8,Abitibi-Témiscamingue,Bureau local de La Sarre,local,"622, 2e rue Est, La Sarre, J9Z 2S5","622, 2e rue Est, La Sarre, J9Z 2S5",La Sarre,J9Z2S5,POINT (-79.2009316111865 48.7906325508348)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fdf,70,08_05,8,Abitibi-Témiscamingue,Bureau local dAmos,local,"41, rue des Papetiers, Amos, J9T 0A4","41, rue des Papetiers, Amos, J9T 0A4",Amos,J9T0A4,POINT (-78.1499786648521 48.5608074617689)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe0,71,08_06,8,Abitibi-Témiscamingue,Bureau local de Val-dOr,local,"1155, rue des Foreurs, Val d'Or, J9P 6X9","1155, rue des Foreurs, Val d'Or, J9P 6X9",Val-d'Or,J9P6X9,POINT (-77.7918115451972 48.1117531508072)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe1,72,08_07,8,Abitibi-Témiscamingue,Bureau local de Senneterre,local,"481, 7e Avenue Ouest, C.P. 68, Senneterre, J0Y 2M0","481, 7e Avenue Ouest, Senneterre, J0Y 2M0",Senneterre,J0Y2M0,POINT (-77.2391867955924 48.3872921296345)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe2,73,09,9,Côte-Nord,Direction de la protection de la faune de la Côte-Nord,regional,"456, rue Arnaud, bureau 1.03, Sept-Iles, G4R 3B1","456, rue Arnaud, Sept-Iles, G4R 3B1",Sept-Îles,G4R3B1,POINT (-66.3863367696467 50.2050298361887)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe3,74,09_10,9,Côte-Nord,Bureau local de Schefferville (Saisonnier),local,"73, route 138, Forestville, G0T 1E0","73, route 138, Forestville, G0T 1E0",Forestville,G0T1E0,POINT (-69.0912353252357 48.7349432787473)
Bureaux_protection_faune.fid--36104af1_191566b56df_6fe4,75,09_20,9,Côte-Nord,Bureau local de Baie-Comeau,local,"20, boulevard Comeau, 1er étage, Baie-Comeau, G4Z 3A8","20, boulevard Comeau, Baie-Comeau, G4Z 3A8",Baie-Comeau,G4Z3A8,POINT (-68.196724408689 49.2174686118285)
