NOM,GRAD,NO_POLE,WKT
Quartier Laval,Majeur,5,POINT  ( 287076.89933725 5046274.58993435)
Smartcentre Laval (Ouest),Intermédiaire,7,POINT  ( 282777.01505833 5042811.56264561)
Galeries Laval,Majeur,1,POINT  ( 286942.17960283 5047263.27983025)
Carrefour Laval,Majeur,1,POINT  ( 285101.76599125 5047884.66864766)
Centre Laval,Majeur,3,POINT  ( 286795.53085890 5046738.43830019)
Smartcentre Laval (Est),Mineur,8,POINT  ( 289723.08348161 5052605.66563277)
Mégacentre Notre-Dame,Intermédiaire,6,POINT  ( 282094.62461505 5043764.48657490)
Centropolis,Majeur,2,POINT  ( 285782.15170067 5046965.83275977)
