ï»¿NOM,ADRESSE,ARRONDISSEMENT,DISTRICT,TELEPHONE
"Ãcole Jacques-Ouellette,""1240, boulevard Nobert Longueuil QC CA J4K2P4"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 670-2951"
"Ãcole Jardin-Bienville,""3950,  Saint-Hubert QC CA J3Y0C1"",,,"
"Ãcole Joseph-De SÃ©rigny,""1000, chemin du Lac Longueuil QC CA J4J1W3"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 468-1247"
"Ãcole Lajeunesse,""160, rue RenÃ©-Philippe LeMoyne QC CA J4R2K1"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 671-7293 Poste 8050"
"Ãcole La MosaÃ¯que,""6905, boulevard Maricourt Saint-Hubert QC CA J3Y1T2"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 676-3101"
"Ãcole Laurent-BenoÃ®t,""5905, avenue Laurent-BenoÃ®t Saint-Hubert QC CA J3Y6H1"",Arrondissement de Saint-Hubert,District 14 - Saint-Hubert,450 656-2010"
"Ãcole le DÃ©clic,""1180, rue Saint-Ãdouard Longueuil QC CA J4K1T2"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-2628"
"Ãcole Lemoyne-D âIberville CEA,""560, rue Le Moyne Ouest Longueuil QC CA J4H1X3"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-3130"
"Ãcole Le Retour,""1600, rue Bourassa Longueuil QC CA J4J3A4"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0730 Poste 242"
"Ãcole les petits castors,""2101, rue LavallÃ©e Longueuil QC CA J4J4E7"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 674-8631"
"Ãcole Lionel-Groulx,""2725, rue Plessis Longueuil QC CA J4L1S3"",Arrondissement du Vieux-Longueuil,District 02 - Vieux-Longueuil,450 651-6104"
"Ãcole Lucille-Teasdale,""8350,  Brossard QC CA J4X1M8"",Arrondissement du Vieux-Longueuil,,"
"Ãcole Marie-Victorin (pavillon le Jardin),""2190, rue Limoges Longueuil QC CA J4G1E3"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 674-1388"
"Ãcole Marie-Victorin (Pavillon l'Herbier),""45, rue HÃ©mond Longueuil QC CA J4G1K2"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 674-1388"
"Ãcole Maurice-L.Duplessis,""3225, rue Windsor Saint-Hubert QC CA J4T2X3"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 678-1575"
"Ãcole Mille-Sports,""8370, avenue Gervais Saint-Hubert QC CA J3Y7Y9"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-0670"
"Ãcole Monseigneur-Forget,""1700, rue De Gaulle Saint-Hubert QC CA J4T1M8"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 678-2404"
"Ãcole Notre-Dame,""695, rue Duvernay Longueuil QC CA J4K4K9"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 677-2641"
"Ãcole Paul-De Maricourt,""1275, rue Papineau Longueuil QC CA J4K3K9"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 674-1753"
"Ãcole Plein Soleil,""2180, rue BrÃ©beuf Longueuil QC CA J4J3P8"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 674-7044"
"Ãcole primaire Pierre-D'Iberville,""897, rue Maple Longueuil QC CA J4J4N3"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,450 674-3285"
"Ãcole Sainte-Claire,""805, rue Gardenville Longueuil QC CA J4J3B3"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 670-0211"
"Ãcole Saint-Jean-Baptiste,""700, rue Duvernay Longueuil QC CA J4K4L1"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 679-3990"
"Ãcole Saint-Romain,""1995, rue BÃ©dard Longueuil QC CA J4N1B4"",Arrondissement du Vieux-Longueuil,District 01 - Vieux-Longueuil,450 468-1226"
"Ãcole secondaire AndrÃ©-Laurendeau,""7450, boulevard Cousineau Saint-Hubert QC CA J3Y3L4"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-2080"
"Ãcole secondaire Antoine-Brossard,""3055,  Brossard QC CA J4Y1S9"",,,"
"Ãcole secondaire GÃ©rard-Filion,""1330, boulevard CurÃ©-Poirier Ouest Longueuil QC CA J4K2G8"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,450 679-9100"
"Ãcole secondaire Jacques-Rousseau,""444, rue De Gentilly Est Longueuil QC CA J4H3X7"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-6800"
"Ãcole secondaire Mgr-A.-M.-Parent,""3875, Grande AllÃ©e Saint-Hubert QC CA J4T2V8"",Arrondissement de Saint-Hubert,District 11 - Saint-Hubert,450 676-0261"
"Ãcole secondaire rÃ©gionale HÃ©ritage,""7445, chemin de Chambly Saint-Hubert QC CA J3Y3S3"",Arrondissement de Saint-Hubert,District 15 - Saint-Hubert,450 678-1070"
"Ãcole Vieux-Greenfield Park,""482,  Greenfield Park QC CA J4V1Y1"",,,"
"Ãdifice du mÃ©tro de Longueuil,""100,  Longueuil QC CA J4K2T4"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"Ãdifice Marcel-Robidas,""300, rue Saint-Charles Ouest Longueuil QC CA J4H1E6"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 463-7311"
"Ãglise Saint-Georges,""700, rue PrÃ©fontaine Longueuil QC CA J4K3V9"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 677-6369"
"Ãglise St. Mark,""310, rue Saint-Charles Ouest Longueuil QC CA J4H1E5"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,"
"Ã. Marcelle-Gauvreau,""4405,  Brossard QC CA J4Z3S8"",,,"
"Groupe action nouvelle vie,""740, rue Saint-Charles Est Longueuil QC CA J4H1C2"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 646-5815"
"HÃ©bergement La Casa,""1215, chemin du Coteau-Rouge Longueuil QC CA J4K1X4"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 442-4777"
"HÃ©bergement maison de la paix,""1617, rue Sainte-HÃ©lÃ¨ne Longueuil QC CA J4K3S8"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,"
"L'Antre-Temps,""950, boulevard Roland-Therrien Longueuil QC CA J4J5H3"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-0125"
"Les Barbaparents,""542, rue Antoinette-Robidoux Longueuil QC CA J4J2V7"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 448-3454"
"Le Zocalo,""80, rue Saint-Jean Longueuil QC CA J4H2W9"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 679-5341"
"Local de L'APHRSM,""2545, rue De Lorimier Longueuil QC CA J4K3P7"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,"
"Local des chevaliers de Colomb conseil 3967,""276,  Saint-Lambert QC CA J4S1V8"",Arrondissement du Vieux-Longueuil,District 12 - Saint-Hubert,"
"Local des chevaliers de Colomb conseil 3967,""1685, rue Westgate Longueuil QC CA J4K4P6"",Arrondissement du Vieux-Longueuil,District 12 - Saint-Hubert,"
"Maison Boulogne (HLM),""2455, rue de Boulogne #504 Longueuil QC CA J4L2J7"",Arrondissement du Vieux-Longueuil,District 06 - Vieux-Longueuil,450 646-5347"
"Maison Carillon (HLM),""1501, rue LavallÃ©e #308 Longueuil QC CA J4J4Z1"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 651-8361"
"Maison de ferme du parc Michel-Chartrand (Parc rÃ©gional),""1800, chemin du Lac Longueuil QC CA J4J4V5"",Arrondissement du Vieux-Longueuil,District 03 - Vieux-Longueuil,"
"Maison de jeunes Kekpart,""1000, boulevard Roland-Therrien Longueuil QC CA J4J5H3"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 677-3821"
"Maison de jeunes Sac-Ado,""3025, rue de Lyon Longueuil QC CA J4L3R6"",Arrondissement du Vieux-Longueuil,District 05 - Vieux-Longueuil,450 677-7254"
"Maison de Jonathan,""81, rue Saint-Jean Longueuil QC CA J4H2W8"",Arrondissement du Vieux-Longueuil,District 08 - Vieux-Longueuil,450 670-4099"
"Maison de la Famille le Cavalier,""2027, rue Daniel Longueuil QC CA J4J3N4"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 646-8808"
"Maison de quartier Saint-Jean-Vianney,""2255, rue Cartier Longueuil QC CA J4K4G1"",Arrondissement du Vieux-Longueuil,District 09 - Vieux-Longueuil,"
"Maison des jeunes de Longueuil,""540, rue Antoinette-Robidoux Longueuil QC CA J4J2V7"",Arrondissement du Vieux-Longueuil,District 04 - Vieux-Longueuil,450 468-5907"
"Maison des Mutins,""733, rue Saint-Jean Longueuil QC CA J4H2Y7"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 679-3620"
"Maison des Scouts,""782, rue Saint-Jean Longueuil QC CA J4H2Y7"",Arrondissement du Vieux-Longueuil,District 07 - Vieux-Longueuil,450 422-3548"
