OID_;no_reg_for;nm_reg_for;annee;url
1;1;BAS-SAINT-LAURENT;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Bas-St-Laurent/Vigueur2021_Bas-St-Laurent.zip
2;1;BAS-SAINT-LAURENT;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Bas-St-Laurent/Vigueur2022_Bas-St-Laurent.zip
3;1;BAS-SAINT-LAURENT;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Bas-St-Laurent/Vigueur2023_Bas-St-Laurent.zip
4;2;SAGUENAY-LAC-SAINT-JEAN;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2021_Lac-St-Jean.zip
5;2;SAGUENAY-LAC-SAINT-JEAN;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2021_Saguenay.zip
6;2;SAGUENAY-LAC-SAINT-JEAN;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2022_Lac-St-Jean.zip
7;2;SAGUENAY-LAC-SAINT-JEAN;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2022_Saguenay.zip
8;2;SAGUENAY-LAC-SAINT-JEAN;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2023_Lac-St-Jean.zip
9;2;SAGUENAY-LAC-SAINT-JEAN;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Saguenay-Lac-Saint-Jean/Vigueur2023_Saguenay.zip
10;3;CAPITALE-NATIONALE-CHAUDIÈRE-APPALACHES;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Capitale-Nationale-Chaudiere-Appalaches/Vigueur2021_Capitale-Nationale-Chaudiere-Appalaches.zip
11;3;CAPITALE-NATIONALE-CHAUDIÈRE-APPALACHES;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Capitale-Nationale-Chaudiere-Appalaches/Vigueur2022_Capitale-Nationale-Chaudiere-Appalaches.zip
12;3;CAPITALE-NATIONALE-CHAUDIÈRE-APPALACHES;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Capitale-Nationale-Chaudiere-Appalaches/Vigueur2023_Capitale-Nationale-Chaudiere-Appalaches.zip
13;4;MAURICIE-CENTRE-DU-QUÉBEC;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Mauricie-Centre-du-Quebec/Vigueur2021_Mauricie-Centre-du-Quebec.zip
14;4;MAURICIE-CENTRE-DU-QUÉBEC;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Mauricie-Centre-du-Quebec/Vigueur2022_Mauricie-Centre-du-Quebec.zip
15;4;MAURICIE-CENTRE-DU-QUÉBEC;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Mauricie-Centre-du-Quebec/Vigueur2023_Mauricie-Centre-du-Quebec.zip
16;5;ESTRIE-MONTEREGIE-LAVAL-MONTREAL;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Estrie-Monteregie-Laval-Montreal/Vigueur2021_Estrie-Monteregie-Laval-Montreal.zip
17;5;ESTRIE-MONTEREGIE-LAVAL-MONTREAL;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Estrie-Monteregie-Laval-Montreal/Vigueur2022_Estrie-Monteregie-Laval-Montreal.zip
18;5;ESTRIE-MONTEREGIE-LAVAL-MONTREAL;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Estrie-Monteregie-Laval-Montreal/Vigueur2023_Estrie-Monteregie-Laval-Montreal.zip
19;7;OUTAOUAIS;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Outaouais/Vigueur2021_Outaouais.zip
20;7;OUTAOUAIS;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Outaouais/Vigueur2022_Outaouais.zip
21;7;OUTAOUAIS;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Outaouais/Vigueur2023_Outaouais.zip
22;8;ABITIBI-TEMISCAMINGUE;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Abitibi-Temiscamingue/Vigueur2021_Abitibi-Temiscamingue.zip
23;8;ABITIBI-TEMISCAMINGUE;2022;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Abitibi-Temiscamingue/Vigueur2022_Abitibi-Temiscamingue.zip
24;8;ABITIBI-TEMISCAMINGUE;2023;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Abitibi-Temiscamingue/Vigueur2023_Abitibi-Temiscamingue.zip
25;9;COTE-NORD;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2021_Escoumins-Forestville.zip
26;9;COTE-NORD;2021;https://diffusion.mffp.gouv.qc.ca/Diffusion/DonneeGratuite/Foret/IMAGERIE/Indice_vigueur/Vigueur_Cote-Nord/Vigueur2021_Havre-St-Pierre-Anticosti.zip
