record,SEXE,AGE,LANGU,Q0QC,Q0QCP,Q1Ar1,Q1Ar2,Q1Ar3,Q1Ar4,Q1Ar5,Q1Ar6,Q1Ar7,Q1Ar8,Q1Ar9,Q1Ar96,Q1C,Q1B,Q2,Q3,Q4r1,Q4r2,Q5,Q6,Q7,Q8r1,Q8r2,Q8r3,Q8r4,Q9r1,Q9r2,Q9r3,Q9r4,Q9r5,Q9r6,Q10,N_BARRIERES,pond
46,1,3,4,6,2,0,1,0,1,0,0,0,0,0,0,1,1,5,1,5,5,5,9,2,3,3,3,3,1,1,1,1,1,1,1,1,3.26386
48,1,10,2,6,7,0,0,1,0,0,0,0,0,0,0,1,98,3,1,4,5,7,11,1,3,4,3,4,1,2,1,1,1,1,1,2,1.1766
50,1,1,7,6,18,1,0,1,0,0,0,0,0,0,0,2,2,3,1,3,4,5,8,2,4,3,4,2,1,2,2,2,1,1,2,5,3.26386
51,2,4,7,6,18,0,0,1,0,0,0,0,0,0,0,3,1,3,1,5,3,5,8,1,3,3,4,3,1,2,2,1,2,1,1,4,1.41986
54,1,13,7,6,6,0,0,0,0,1,0,0,0,0,0,3,2,5,2,3,5,7,7,1,3,3,2,2,2,2,2,2,2,2,1,10,0.85801
56,1,5,2,6,30,0,0,1,0,0,0,0,0,0,0,1,1,5,1,3,5,7,9,2,3,4,5,4,1,1,1,1,2,1,2,2,2.0818
58,1,2,4,6,17,1,0,0,0,0,0,0,0,0,0,1,1,3,1,3,5,6,4,3,5,3,4,4,1,1,1,1,1,1,2,3,3.26386
62,1,5,1,6,23,1,0,0,0,0,0,0,0,0,0,1,2,3,1,4,3,6,6,1,4,4,4,4,1,1,1,1,1,1,2,0,1.24685
68,1,5,1,6,30,0,0,0,0,0,0,0,0,1,0,3,1,2,1,5,1,7,6,4,1,1,2,1,2,2,2,2,2,1,1,12,1.24685
70,1,8,1,6,32,0,0,0,1,0,0,0,0,0,0,1,1,6,2,5,3,3,8,1,2,4,4,4,1,2,2,1,1,1,2,4,1.15168
81,2,4,1,6,30,0,0,1,0,0,0,0,0,0,0,3,1,6,2,5,3,4,9,1,3,5,5,2,1,2,1,2,2,2,1,6,0.7034
83,1,4,4,6,16,0,0,1,0,0,0,0,0,0,0,1,1,5,2,5,5,4,8,1,5,3,5,4,2,2,1,2,2,1,1,5,2.46869
85,1,7,1,6,1,0,0,1,0,0,0,0,0,0,0,1,98,6,1,5,5,7,11,1,5,5,3,4,1,1,1,1,1,1,1,1,1.15168
88,1,6,1,6,18,0,0,1,0,0,0,0,0,0,0,2,2,6,2,5,3,4,6,2,2,2,4,3,2,2,2,1,1,1,1,6,1.24685
102,1,3,1,6,24,0,0,1,0,0,0,0,0,0,0,1,2,4,1,4,3,6,8,3,3,3,3,3,1,1,1,1,1,1,1,2,1.50291
103,1,8,1,6,16,0,0,0,0,0,0,0,1,0,0,2,98,3,1,4,4,7,2,3,4,3,5,4,1,2,1,2,2,1,1,6,0.8711
104,1,11,1,6,2,0,0,0,0,0,1,0,0,0,0,3,2,6,1,5,5,7,9,1,5,5,5,5,1,1,1,2,2,1,2,2,0.51389
108,1,13,7,6,1,0,0,0,0,1,0,0,0,0,0,3,2,6,1,4,5,7,10,1,5,5,5,5,1,1,1,1,1,1,1,1,0.85801
112,1,10,2,6,29,0,0,0,0,0,0,0,0,1,0,1,2,3,2,3,5,7,1,4,1,1,1,1,2,2,2,2,2,2,2,13,0.85703
113,1,3,2,6,17,1,0,0,0,0,0,0,0,0,0,1,1,5,2,1,5,1,1,1,1,1,5,5,1,1,1,1,1,1,1,6,3.26386
114,2,2,1,6,16,0,0,1,0,0,0,0,0,0,0,1,1,3,1,4,3,6,7,4,3,4,3,4,1,2,1,1,1,1,1,3,0.53204
118,1,4,9,6,23,0,0,1,0,0,0,0,0,0,0,2,98,5,1,4,5,7,9,1,3,3,4,3,1,1,1,2,2,1,2,2,3.26386
124,1,5,2,6,22,0,0,0,0,0,0,1,0,0,0,1,1,3,1,2,5,7,6,4,1,4,3,2,1,2,1,2,2,1,2,7,2.0818
126,1,2,4,6,6,0,0,1,0,0,0,0,0,0,0,1,1,5,1,4,5,6,8,1,5,5,3,4,1,1,1,1,1,1,1,1,3.26386
129,1,4,7,6,2,0,0,1,1,1,0,0,0,0,0,2,2,5,1,5,5,6,11,1,4,5,5,5,1,1,1,1,1,1,1,1,3.26386
