ï»¿Annee,Transaction,Famille,Type_halocarbure,Quantite(t),Quantite(t_eq_CFC-11),Quantite(t_eq_CO2),Note
1993,Vente,CFC,R-11,644.2,644.2,3059950.00,
1993,Vente,CFC,R-113,120.4,96.32,738052.00,
1993,Vente,CFC,R-114,5.1,5.1,51000.00,
1993,Vente,CFC,R-12,861.5,861.5,9390350.00,
1993,Vente,HCFC,R-123,8.7,0.174,669.90,
1993,Vente,HCFC,R-124,0.05,0.0011,30.45,
1993,Vente,HCFC,R-141b,104.6,11.506,75835.00,
1993,Vente,HCFC,R-22,1073.6,59.048,1943216.00,
1993,Vente,Halons,R-12B1,0.15,0.45,283.50,
1993,Vente,Halons,R-13B1,3.8,38,27132.00,
1993,Vente,MÃ©langes,R-500,3.7,2.7306,29883.75,
1993,Vente,MÃ©langes,R-502,240.5,80.33662,1112553.00,
1993,Vente,MÃ©langes,R-503,0.2,0.1198,2912.08,
1994,Vente,CFC,R-11,473.8,473.8,2250550.00,
1994,Vente,CFC,R-113,61.2,48.96,375156.00,
1994,Vente,CFC,R-114,1.8,1.8,18000.00,
1994,Vente,CFC,R-12,693.4,693.4,7558060.00,
1994,Vente,HCFC,R-123,14,0.28,1078.00,
1994,Vente,HCFC,R-124,0.8,0.0176,487.20,
1994,Vente,HCFC,R-141b,400.2,44.022,290145.00,
1994,Vente,HCFC,R-22,986.2,54.241,1785022.00,
1994,Vente,Halons,R-12B1,0.45,1.35,850.50,
1994,Vente,Halons,R-13B1,0.6,6,4284.00,
1994,Vente,MÃ©langes,R-500,2.8,2.0664,22614.73,
1994,Vente,MÃ©langes,R-502,135.4,45.229016,626360.40,
1994,Vente,MÃ©langes,R-503,0.03,0.01797,436.81,
1995,Vente,CFC,R-11,209.7,209.7,996075.00,
1995,Vente,CFC,R-113,37.5,30,229875.00,
1995,Vente,CFC,R-114,3.5,3.5,35000.00,
1995,Vente,CFC,R-12,707.6,707.6,7712840.00,
1995,Vente,HCFC,R-123,15.2,0.304,1170.40,
1995,Vente,HCFC,R-124,4.5,0.099,2740.50,
1995,Vente,HCFC,R-141b,474.2,52.162,343795.00,
1995,Vente,HCFC,R-22,1052.8,57.904,1905568.00,
1995,Vente,Halons,R-12B1,0.42,1.26,793.80,
1995,Vente,Halons,R-13B1,0.3,3,2142.00,
1995,Vente,MÃ©langes,R-500,5,3.69,40383.44,
1995,Vente,MÃ©langes,R-502,75.8,25.320232,350650.80,
1995,Vente,MÃ©langes,R-503,0.05,0.02995,728.02,
1996,Vente,CFC,R-11,1.4,1.4,6650.00,
1996,Vente,CFC,R-114,0.01,0.01,100.00,
1996,Vente,CFC,R-12,498.1,498.1,5429290.00,
1996,Vente,HCFC,R-123,13.5,0.27,1039.50,
1996,Vente,HCFC,R-124,6.4,0.1408,3897.60,
1996,Vente,HCFC,R-141b,722.3,79.453,523667.50,
1996,Vente,HCFC,R-142b,49.8,3.237,115038.00,
1996,Vente,HCFC,R-22,822.8,45.254,1489268.00,
1996,Vente,Halons,R-12B1,0.5,1.5,945.00,
1996,Vente,Halons,R-13B1,0.2,2,1428.00,
1996,Vente,MÃ©langes,R-502,31,10.35524,143406.00,
1997,Vente,CFC,R-11,4.9254,4.9254,23395.65,
1997,Vente,CFC,R-113,1.719,1.3752,10537.47,
1997,Vente,CFC,R-114,0.2313,0.2313,2313.00,
1997,Vente,CFC,R-12,204.7367,204.7367,2231630.03,
1997,Vente,HCFC,R-123,18.013,0.36026,1387.00,
1997,Vente,HCFC,R-124,3.909,0.085998,2380.58,
1997,Vente,HCFC,R-141b,722.442,79.46862,523770.45,
1997,Vente,HCFC,R-142b,132.721,8.626865,306585.51,
1997,Vente,HCFC,R-22,731.507,40.232885,1324027.67,
1997,Vente,Halons,R-12B1,0.5772,1.7316,1090.91,
1997,Vente,Halons,R-13B1,1.6991,16.991,12131.57,
1997,Vente,MÃ©langes,R-500,0.24,0.17712,1938.41,
1997,Vente,MÃ©langes,R-502,7.89,2.6355756,36499.14,
1998,Vente,CFC,R-11,2.465,2.465,11708.75,
1998,Vente,CFC,R-113,0.656,0.5248,4021.28,
1998,Vente,CFC,R-114,0.3808,0.3808,3808.00,
1998,Vente,CFC,R-12,122.4807,122.4807,1335039.63,
1998,Vente,HCFC,R-123,4.328,0.08656,333.26,
1998,Vente,HCFC,R-124,3.811,0.083842,2320.90,
1998,Vente,HCFC,R-141b,712.264,78.34904,516391.40,
1998,Vente,HCFC,R-142b,413.553,26.880945,955307.43,
1998,Vente,HCFC,R-22,862.971,47.463405,1561977.51,
1998,Vente,Halons,R-12B1,0.1682,0.5046,317.90,
1998,Vente,Halons,R-13B1,2.4735,24.735,17660.79,
1998,Vente,MÃ©langes,R-500,0.4488,0.3312144,3624.82,
1998,Vente,MÃ©langes,R-502,8.5708,2.862990032,39648.52,
1999,Vente,CFC,R-11,3.4443,3.4443,16360.43,
1999,Vente,CFC,R-113,2.1,1.68,12873.00,
1999,Vente,CFC,R-114,0.041,0.041,410.00,
1999,Vente,CFC,R-12,52.1065,52.1065,567960.85,
1999,Vente,HCFC,R-123,9.103,0.18206,700.93,
1999,Vente,HCFC,R-124,18.113,0.398486,11030.82,
1999,Vente,HCFC,R-141b,836.073,91.96803,606152.93,
1999,Vente,HCFC,R-142b,520.441,33.828665,1202218.71,
1999,Vente,HCFC,R-22,918.824,50.53532,1663071.44,
1999,Vente,Halons,R-13B1,1.4166,14.166,10114.52,
1999,Vente,MÃ©langes,R-500,0.672,0.495936,5427.53,
1999,Vente,MÃ©langes,R-502,0.884,0.29529136,4089.38,
2000,Vente,CFC,R-11,2.05,2.05,9737.50,
2000,Vente,CFC,R-113,0,0,0.00,
2000,Vente,CFC,R-114,0.286,0.286,2860.00,
2000,Vente,CFC,R-12,3.6854,3.6854,40170.86,
2000,Vente,HCFC,R-123,1.996,0.03992,153.69,
2000,Vente,HCFC,R-124,1.537,0.033814,936.03,
2000,Vente,HCFC,R-141b,809.147,89.00617,586631.58,
2000,Vente,HCFC,R-142b,705.058,45.82877,1628683.98,
2000,Vente,HCFC,R-22,793.122,43.62171,1435550.82,
2000,Vente,Halons,R-12B1,0.0893,0.2679,168.78,
2000,Vente,Halons,R-13B1,0.2288,2.288,1633.63,
2000,Vente,MÃ©langes,R-500,0.177,0.130626,1429.57,
2000,Vente,MÃ©langes,R-502,0.897,0.29963388,4149.52,
2001,Vente,CFC,R-11,0.35,0.35,1662.50,
2001,Vente,CFC,R-113,0.984,0.7872,6031.92,
2001,Vente,CFC,R-12,1.7822,1.7822,19425.98,
2001,Vente,HCFC,R-123,2.29,0.0458,176.33,
2001,Vente,HCFC,R-124,7.33,0.16126,4463.97,
2001,Vente,HCFC,R-141b,963.441,105.97851,698494.73,
2001,Vente,HCFC,R-142b,1054.261,68.526965,2435342.91,
2001,Vente,HCFC,R-22,895.526,49.25393,1620902.06,
2001,Vente,Halons,R-12B1,0.1196,0.3588,226.04,
2001,Vente,Halons,R-13B1,0.825,8.25,5890.50,
2001,Vente,MÃ©langes,R-500,0.0816,0.0602208,659.06,
2001,Vente,MÃ©langes,R-502,0.544,0.18171776,2516.54,
2002,Vente,CFC,R-11,0.3,0.3,1425.00,
2002,Vente,CFC,R-113,1.5,1.2,9195.00,
2002,Vente,CFC,R-12,0.8,0.8,8720.00,
2002,Vente,HCFC,R-123,0.726,0.01452,55.90,
2002,Vente,HCFC,R-124,10.394,0.228668,6329.95,
2002,Vente,HCFC,R-141b,1134.539,124.79929,822540.78,
2002,Vente,HCFC,R-142b,1210.477,78.681005,2796201.87,
2002,Vente,HCFC,R-22,719.579,39.576845,1302437.99,
2002,Vente,Halons,R-12B1,0.5525,1.6575,1044.23,
2002,Vente,MÃ©langes,R-500,0.03,0.02214,242.30,
2003,Achat,CFC,R-11,0.95,0.95,4512.50,
2003,Achat,CFC,R-12,1.2814,1.28,13967.26,
2003,Achat,CFC,R-13,0.045,0.05,648.00,
2003,Achat,HCFC,R-123,14.8421,0.3,1142.84,
2003,Achat,HCFC,R-124,5.587,0.12,3402.48,
2003,Achat,HCFC,R-141b,126.9,13.96,92002.50,
2003,Achat,HCFC,R-22,1517.5869,83.47,2746832.29,
2003,Achat,HFC,R-134a,242.6286,0,346958.90,
2003,Achat,HFC,R-23,1.1666,0,17265.68,
2003,Achat,MÃ©langes,R-401A,24.697,0.91,30624.28,
2003,Achat,MÃ©langes,R-401B,12.0868,0.48,16317.18,
2003,Achat,MÃ©langes,R-402A,66.2197,13.91,198659.10,
2003,Achat,MÃ©langes,R-402B,0.0708,0,182.66,
2003,Achat,MÃ©langes,R-404A,191.5922,0,869828.59,
2003,Achat,MÃ©langes,R-407C,11.3591,0,22491.02,
2003,Achat,MÃ©langes,R-408A,110.7188,2.88,403016.43,
2003,Achat,MÃ©langes,R-409A,86.1448,4.11,139554.58,
2003,Achat,MÃ©langes,R-410A,6.3399,0,14835.37,
2003,Achat,MÃ©langes,R-412A,0.002,0,0.00,
2003,Achat,MÃ©langes,R-414B,4.0454,0.17,5704.01,
2003,Achat,MÃ©langes,R-507A,71.8637,0,330573.02,
2003,Achat,MÃ©langes,R-508A,0.0246,0,0.00,
2003,Achat,MÃ©langes,R-508B,0.2554,0,3243.58,
2003,Achat,PFC,R-116,0.474,0,5782.80,
2003,Achat,PFC,R-14,0.04,0,295.60,
2003,Vente,CFC,R-11,1.8948,1.89,9000.30,
2003,Vente,CFC,R-12,1.2504,1.25,13629.36,
2003,Vente,CFC,R-13,0.045,0.05,648.00,
2003,Vente,HCFC,R-123,9.1277,0.18,702.83,
2003,Vente,HCFC,R-124,5.371,0.12,3270.94,
2003,Vente,HCFC,R-141b,1064.1008,117.05,771473.04,
2003,Vente,HCFC,R-22,1605.3487,88.29,2905681.10,
2003,Vente,HFC,R-134a,269.7214,0,385701.57,
2003,Vente,HFC,R-23,1.0578,0,15655.44,
2003,Vente,HFC,R-245fa,8.0909,0,8333.64,
2003,Vente,MÃ©langes,R-401A,22.0888,0.82,27390.11,
2003,Vente,MÃ©langes,R-401B,10.6629,0.42,14394.88,
2003,Vente,MÃ©langes,R-402A,67.6643,14.21,202992.90,
2003,Vente,MÃ©langes,R-402B,0.0472,0,121.78,
2003,Vente,MÃ©langes,R-404A,226.4877,0,1028254.08,
2003,Vente,MÃ©langes,R-407A,3.0318,0,7094.41,
2003,Vente,MÃ©langes,R-407C,8.9367,0,17694.72,
2003,Vente,MÃ©langes,R-408A,85.7285,2.23,312051.74,
2003,Vente,MÃ©langes,R-409A,82.7008,3.95,133975.30,
2003,Vente,MÃ©langes,R-410A,22.1927,0,51930.92,
2003,Vente,MÃ©langes,R-412A,0.004,0,0.00,
2003,Vente,MÃ©langes,R-414A,5.1642,0.23,7901.23,
2003,Vente,MÃ©langes,R-414B,10.5801,0.45,14917.94,
2003,Vente,MÃ©langes,R-416A,4.504,0.04,5359.76,
2003,Vente,MÃ©langes,R-500,0.0408,0.03,321.10,
2003,Vente,MÃ©langes,R-502,0.1496,0.05,610.37,
2003,Vente,MÃ©langes,R-507A,28.8666,0,132786.36,
2003,Vente,MÃ©langes,R-508A,0.0722,0,0.00,
