ï»¿Annee,Secteur,Sous-secteur,Categorie,GES,Emissions(t),Emissions(t_eq_CO2)
1990,Transports,Transport routier,Automobiles,Dioxyde de carbone (CO2),11174423.53,11174423.53
1990,Transports,Transport routier,Automobiles,MÃ©thane (CH4),1722.149522,43053.73806
1990,Transports,Transport routier,Automobiles,Oxyde nitreux (N2O),2787.848685,830778.9082
1990,Transports,Transport routier,Automobiles,Dioxyde de carbone (CO2),189499.2651,189499.2651
1990,Transports,Transport routier,Automobiles,MÃ©thane (CH4),5.137244487,128.4311122
1990,Transports,Transport routier,Automobiles,Oxyde nitreux (N2O),14.33050469,4270.490398
1990,Transports,Transport routier,Camions lÃ©gers,Dioxyde de carbone (CO2),3832982.734,3832982.734
1990,Transports,Transport routier,Camions lÃ©gers,MÃ©thane (CH4),567.6832463,14192.08116
1990,Transports,Transport routier,Camions lÃ©gers,Oxyde nitreux (N2O),639.0885483,190448.3874
1990,Transports,Transport routier,Camions lÃ©gers,Dioxyde de carbone (CO2),315040.9814,315040.9814
1990,Transports,Transport routier,Camions lÃ©gers,MÃ©thane (CH4),8.070346194,201.7586548
1990,Transports,Transport routier,Camions lÃ©gers,Oxyde nitreux (N2O),24.45126549,7286.477117
1990,Transports,Transport routier,VÃ©hicules lourds,Dioxyde de carbone (CO2),561955.4413,561955.4413
1990,Transports,Transport routier,VÃ©hicules lourds,MÃ©thane (CH4),95.4184764,2385.46191
1990,Transports,Transport routier,VÃ©hicules lourds,Oxyde nitreux (N2O),16.03277453,4777.76681
1990,Transports,Transport routier,VÃ©hicules lourds,Dioxyde de carbone (CO2),3577323.916,3577323.916
1990,Transports,Transport routier,VÃ©hicules lourds,MÃ©thane (CH4),189.424111,4735.602774
1990,Transports,Transport routier,VÃ©hicules lourds,Oxyde nitreux (N2O),107.6263288,32072.64598
1990,Transports,Transport routier,Autres transports routiers,Dioxyde de carbone (CO2),74245.86781,74245.86781
1990,Transports,Transport routier,Autres transports routiers,MÃ©thane (CH4),74.01096345,1850.274086
1990,Transports,Transport routier,Autres transports routiers,Oxyde nitreux (N2O),1.544576629,460.2838353
1990,Transports,Transport routier,Autres transports routiers,Dioxyde de carbone (CO2),5642.413496,5642.413496
1990,Transports,Transport routier,Autres transports routiers,MÃ©thane (CH4),2.38359382,59.5898455
1990,Transports,Transport routier,Autres transports routiers,Oxyde nitreux (N2O),0.10428223,31.07610443
1990,Transports,Autres transports,VÃ©hicules hors route - Agriculture et foresterie,Dioxyde de carbone (CO2),810214.9047,810214.9047
1990,Transports,Autres transports,VÃ©hicules hors route - Agriculture et foresterie,MÃ©thane (CH4),43.53852663,1088.463166
