"Nom","Début","Fin","Période","Fonction"
"Mauzerolle, Sophie",2021-04-28,2021-11-18,"Plante (2017-2021)",
"Parenteau, Jean-François",2017-11-22,2021-11-18,"Plante (2017-2021)",
"Rabouin, Luc",2019-12-18,2021-11-18,"Plante (2017-2021)",
"Thullier, Émilie",2019-03-29,2021-11-18,"Plante (2017-2021)",
"Wong, Cathy",2020-06-17,2021-11-18,"Plante (2017-2021)",
"Coderre, Denis",2013-11-14,2017-11-16,"Coderre (2013-2017)","Maire"
"Desrochers, Pierre",2013-11-18,2017-11-16,"Coderre (2013-2017)","Président"
"Samson, Anie",2013-11-18,2017-11-16,"Coderre (2013-2017)","Vice-présidente"
"Chitilian, Harout",2013-11-18,2017-11-16,"Coderre (2013-2017)","Vice-président"
"Gauthier, Manon",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Rouleau, Chantal",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Copeman, Russell",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Ménard, Réal",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Beis, Demetrios Jim",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Perez, Lionel",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Vallée, Monique",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Salem, Aref",2013-11-18,2017-11-16,"Coderre (2013-2017)",
"Bergeron, Richard",2014-12-05,2017-11-16,"Coderre (2013-2017)",
"Blanchard, Laurent",2013-06-25,2013-11-14,"Blanchard (2013)","Maire"
"Duplessis, Josée",2013-06-28,2013-11-14,"Blanchard (2013)","Présidente (à compter du 4 juillet 2013)"
"Dorais, Benoit",2013-06-28,2013-11-14,"Blanchard (2013)","Vice-président"
"Thuillier, Émilie",2013-06-28,2013-11-14,"Blanchard (2013)","Vice-présidente"
"Deschamps, Richard",2013-06-28,2013-11-14,"Blanchard (2013)",
"Deros, Mary",2013-06-28,2013-11-14,"Blanchard (2013)",
"Bissonet, Michel",2013-06-28,2013-11-14,"Blanchard (2013)",
"Ménard, Réal",2013-06-28,2013-11-14,"Blanchard (2013)",
"Ayotte, Élaine",2013-06-28,2013-11-14,"Blanchard (2013)",
"Tassé, Alain",2013-06-28,2013-11-14,"Blanchard (2013)",
"Dubois, Christian G.",2013-06-28,2013-11-14,"Blanchard (2013)",
"Bourgeois, Caroline",2013-06-28,2013-11-14,"Blanchard (2013)",
"Applebaum, Michael",2012-11-19,2013-06-17,"Applebaum (2012-2013)","Maire"
"Ayotte, Élaine",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Bissonet, Michel",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Blanchard, Laurent",2012-11-22,2013-06-28,"Applebaum (2012-2013)","Président"
"Deros, Mary",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Deschamps, Richard",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Dorais, Benoit",2012-11-22,2013-06-28,"Applebaum (2012-2013)","Vice-président"
"Dubois, Christian G.",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Duplessis, Josée",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Ménard, Réal",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Tassé, Alain",2012-11-22,2013-06-28,"Applebaum (2012-2013)",
"Thuillier, Émilie",2012-11-22,2013-06-28,"Applebaum (2012-2013)","Vice-présidente"
"Bourque, Pierre",1994-11-23,1998-11-12,"Bourque (1994-1998)","Maire"
"Capparelli, Vittorio",1994-11-23,1996-10-04,"Bourque (1994-1998)",
"Coutu, Georgine",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Eloyan, Noushig",1994-11-23,1998-11-12,"Bourque (1994-1998)","Présidente"
"Forcillo,Sammy",1994-11-23,1998-11-12,"Bourque (1994-1998)","Vice-président "
"Goyer, Pierre",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Lemay, Martin ",1996-11-04,1997-01-23,"Bourque (1994-1998)",
"Lorrain, Johanne",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Melançon, Pierre-Yves",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Prégent, Germain",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Saint-Martin, Colette",1997-02-10,2001-11-19,"Bourque (1994-1998)",
"Zajdel, Saulie",1994-11-23,1998-11-12,"Bourque (1994-1998)",
"Bourque, Pierre",1998-11-12,2001-11-19,"Bourque (1998-2001)","Maire"
"Deros, Mary",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Eloyan, Noushig",1998-11-12,2001-11-19,"Bourque (1998-2001)","Vice-présidente"
"Fortier, Jean E.",1998-11-12,2001-11-19,"Bourque (1998-2001)","Président"
"Larouche, Denise",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Paquin, Pierre",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Tamburello, Paolo",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Weiner, Gerry",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Zajdel, Saulie",1998-11-12,2001-11-19,"Bourque (1998-2001)",
"Bordeleau, Jacqueline",1986-11-25,1990-11-15,"Doré (1986-1990)",
"Cousineau, Léa",1986-11-25,1990-11-15,"Doré (1986-1990)",
"Doré, Jean",1986-11-25,1990-11-15,"Doré (1986-1990)","Maire"
"Fainstat, Michael",1986-11-25,1990-11-15,"Doré (1986-1990)","Président"
"Gardiner, John",1986-11-25,1990-11-15,"Doré (1986-1990)",
"Perreault, Robert",1986-11-25,1990-11-15,"Doré (1986-1990)","Vice-président"
"Verdon, Kathleen",1986-11-26,1990-11-15,"Doré (1986-1990)",
"Biello, Joseph",1990-11-15,1994-11-23,"Doré (1990-1994)",
"Brunelle, Richard",1990-11-15,1994-11-23,"Doré (1990-1994)",
"Cousineau, Léa",1990-11-15,1994-11-23,"Doré (1990-1994)","Présidente"
"Daviau, Thérèse",1990-11-15,1994-11-23,"Doré (1990-1994)",
"Doré, Jean",1990-11-15,1994-11-23,"Doré (1990-1994)","Maire"
"Gardiner, John",1990-11-15,1994-11-23,"Doré (1990-1994)","Vice-président"
