ï»¿OBJECTID,MUNICIPALITE,HYDRONYME,LONGUEUR,SHAPE.STLength()
1,86042,,161.18734772,161.187347716791
2,86042,,19.19426098,19.1942609783175
3,86042,,54.95268662,54.9526866168228
4,86042,,53.89932002,53.8993200235488
5,86042,,8.17375026,8.17375025779173
6,86042,,113.21177576,113.211775758037
7,86042,,195.13131069,195.131310685709
8,86042,,110.33541407,110.335414068022
9,86042,,192.56387254,192.563872536358
10,86042,,8.63234564,8.63234564009111
11,86042,,63.44506583,63.4450658303028
12,86042,,4.22205177,4.22205177253903
13,86042,,8.31122253,8.31122252619914
14,86042,,36.40322788,36.4032278814327
15,86042,,171.05056034,171.050560336308
16,86042,,5,5
17,86042,,14.03566885,14.0356688476182
18,86042,,33.07680962,33.0768096208106
19,86042,,138.61020371,138.610203709594
20,86042,,373.15628038,373.15628037909
21,86042,,217.23136001,217.231360008604
22,86042,,172.41552347,172.415523469755
23,86042,,79.70787046,79.7078704586341
24,86042,,264.52701375,264.527013747623
25,86042,,149.48002838,149.480028378699
26,86042,,501.5091328,501.509132799545
27,86042,,2,2
28,86042,,399.2818718,399.281871801099
29,86042,,111.88330187,111.883301871192
30,86042,,265.80324285,265.803242845422
31,86042,,161.18734772,161.187347716791
32,86042,,27.01851217,27.0185121722126
33,86042,,99.14815756,99.1481575648726
34,86042,,84.62951547,84.6295154710115
35,86042,,17,17
36,86042,,119.7395984,119.739598404817
37,86042,,41.12478374,41.1247837363769
38,86042,,234.80677877,234.806778773713
39,86042,,25.23885893,25.2388589282479
40,86042,,236.63425855,236.634258551138
41,86042,,30.34546708,30.345467079707
42,86042,,9.21954446,9.21954445729289
43,86042,,34.258954,34.2589540025047
44,86042,,114.91846811,114.918468114287
45,86042,,16.33549503,16.3354950274179
46,86042,,103.51645086,103.516450863968
47,86042,,60.62603061,60.6260306143721
48,86042,,53.48443186,53.4844318552151
49,86042,,75.05253387,75.0525338659063
50,86042,,108.56502293,108.565022930169
51,86042,,111.88985445,111.889854449101
52,86042,,473.28152474,473.281524743743
53,86042,,58.68903506,58.6890350607135
54,86042,,155.32900293,155.329002925036
55,86042,,26.32255452,26.3225545237827
56,86042,,84.99049749,84.990497485163
57,86042,,68.66360227,68.6636022668358
58,86042,,39.46300113,39.4630011306903
59,86042,,204.79343737,204.793437368036
60,86042,,42.63279433,42.6327943300171
61,86042,,41.3441676,41.3441675966848
62,86042,,62.23748608,62.2374860779027
63,86042,,24.70031717,24.7003171740728
64,86042,,111.10139253,111.101392534574
65,86042,,616.095802,616.095801996838
66,86042,,212.11580218,212.115802178722
67,86042,,185.99347813,185.993478128581
68,86042,,134.1183289,134.118328902535
69,86042,,12.36931688,12.369316876853
70,86042,,29.29029807,29.2902980709897
71,86042,,276.34955402,276.349554019134
72,86042,,101.96260791,101.962607911727
73,86042,,327.45524726,327.455247263498
