ï»¿id,municipalite,arrondissement,secteur,nom_rue,type,longueur,geom
2781663,94068,Chicoutimi,Canton-Tremblay,Rue Jeanne,Rue,243,"LINESTRING (-71.12300062438028 48.45681862570556,-71.12306128374117 48.45664883281417,-71.12316347901633 48.456338056090075,-71.123097911345 48.45620912924271,-71.12291806590385 48.45598581279527,-71.12259402875257 48.45552992397172,-71.12245518009892 48.45533759449232,-71.12184160813433 48.4549182012071)"
3983213,94068,Chicoutimi,Canton-Tremblay,Rue Justine,Rue,65,"LINESTRING (-71.01901219083602 48.45292627417761,-71.01894896968444 48.452829598704604,-71.01888316079801 48.45278717749038,-71.01852532490139 48.45244080951929)"
37640,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,253,"LINESTRING (-71.01113545090764 48.45547872119054,-71.01400782321734 48.45423868242916)"
3985898,94068,Chicoutimi,Canton-Tremblay,Rue Simard,Rue,298,"LINESTRING (-71.01578122831104 48.453460460961125,-71.01623044461927 48.45409733166183,-71.01627868175372 48.454166592516806,-71.0162840021175 48.45421339495895,-71.01625323951721 48.45425579490594,-71.01619440969917 48.454288125347105,-71.01492738170585 48.454621204201935,-71.01484652456122 48.45464693121302,-71.01475886725248 48.454663388077904,-71.01464791106453 48.45468015322748,-71.01455852945965 48.45468253513293,-71.01446809864935 48.45466538079474,-71.01437874820228 48.4546286824909,-71.0143366611719 48.45459262101599,-71.01428642439667 48.454538945580175,-71.0141368770237 48.4543706406438,-71.01400782321734 48.45423868242916)"
3985893,94068,Chicoutimi,Canton-Tremblay,Route de Tadoussac,ArtÃ¨re Principale,157,"LINESTRING (-71.01578122831104 48.453460460961125,-71.01400782321734 48.45423868242916)"
3985538,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,355,"LINESTRING (-71.05559332574374 48.48121549822393,-71.05550915877424 48.48143403876431,-71.05541293875612 48.481616879021665,-71.0553689284665 48.48169921720198,-71.05526159303021 48.481856057771566,-71.05520536971953 48.481934489445095,-71.0551045933996 48.48202899560418,-71.054910998594 48.482205508403275,-71.05480200205193 48.48230056836685,-71.05471007448473 48.48237125556259,-71.0545345254218 48.48259941926097,-71.05448122340917 48.48272412298083,-71.05429217709667 48.48326636550803,-71.05419315849801 48.4834860998431,-71.05394192569014 48.48392498423857,-71.0538039374258 48.484109176174925,-71.0537805750862 48.484136183572154)"
37576,94068,Chicoutimi,Canton-Tremblay,Route Sainte-GeneviÃ¨ve,ArtÃ¨re Principale,113,"LINESTRING (-71.1164541028189 48.45571636358554,-71.11794021591038 48.45595516009877)"
3867269,94068,Chicoutimi,Canton-Tremblay,Rue Boucher,Rue,111,"LINESTRING (-71.11816298004939 48.455435348730504,-71.11723872119619 48.45526572035656,-71.11720529975081 48.45524385661422,-71.11719127993605 48.45522223237846,-71.11718614546821 48.455199991180336,-71.11719131340975 48.4551754651596,-71.1172081145247 48.455152360732036,-71.11724598444856 48.45512894723741,-71.11726882836227 48.455121927342006,-71.11729053043241 48.4551184220615,-71.11732254292973 48.45511809115736,-71.11735907227943 48.455124853734844,-71.11738437322968 48.45513514186181,-71.1174117953345 48.4551554404333,-71.11742805396871 48.45518205410266,-71.11743030965542 48.45520538999503,-71.11742505899372 48.45522330780079)"
5749014,94068,Chicoutimi,Canton-Tremblay,Rue Ãlie,Rue,31,"LINESTRING (-71.11926295942106 48.45745937282095,-71.11891526118949 48.45761773768172)"
35898,94068,Chicoutimi,Canton-Tremblay,Chemin Blackburn,Route Rurale,1368,"LINESTRING (-71.03799502530423 48.474154135506865,-71.03778806053171 48.473927407863385,-71.037717913376 48.473829504531594,-71.03770253213978 48.473793713651695,-71.0376822245283 48.47368173420145,-71.03765378821326 48.4728923075067,-71.03765837548873 48.47280199200425,-71.0376613330434 48.472678789318614,-71.03765544240152 48.4726049031538,-71.03765079981552 48.47248796596762,-71.03763024441888 48.47223545423303,-71.03753778764802 48.47208269660536,-71.03747857503707 48.471987498627584,-71.03740459751248 48.47191989866231,-71.03731198320483 48.47186086050711,-71.037156983666 48.4717822893337,-71.03666367637513 48.47128503841993,-71.0365533849023 48.471164912581216,-71.03643894250807 48.47105500044797,-71.0363623399615 48.47097946152508,-71.03626761269115 48.47088135163352,-71.0361728977254 48.47078437482351,-71.03605914798806 48.470659166930545,-71.03591781032766 48.47050236986786,-71.03583930852771 48.47040814852928,-71.0357758132082 48.47035389405951,-71.03561875213528 48.47027501471537,-71.0351688230522 48.470072273114305,-71.03438778988419 48.469745428741454,-71.03368449322178 48.46952440298067,-71.03331775764478 48.46931484136557,-71.03312609529327 48.46923133784074,-71.03279546177032 48.46913431758228,-71.03264512149852 48.46909253394952,-71.03257470004311 48.46907785098821,-71.03239703587079 48.469070177426566,-71.03220449646312 48.46906540362412,-71.03183122834602 48.469126599645485,-71.03159121355725 48.46914300063158,-71.03145973607526 48.469113023521544,-71.03130432758968 48.46907522690647,-71.03117116869682 48.46904752186669,-71.03105932724017 48.46902198384944,-71.03095256575281 48.468993591041155,-71.0308236659885 48.46896586595074,-71.0304034351376 48.468852260942114,-71.0301566231627 48.4687067038856,-71.02991919379242 48.46856223631604,-71.02972414946106 48.46843937864244,-71.02953575282234 48.468300347983096,-71.02932269999255 48.468288301419044,-71.02902754584817 48.468243781128145,-71.02848722339553 48.468137591425425,-71.02819717030289 48.4680836263776,-71.02700985076727 48.467833062617046,-71.02516712519308 48.467496273222515,-71.0247961394997 48.46744812361174)"
3985539,94068,Chicoutimi,Canton-Tremblay,Route Madoc,Route Rurale,186,"LINESTRING (-71.0559224593878 48.47964271841186,-71.05556221236333 48.48002016778565,-71.0555128783546 48.480090660846926,-71.05543245063032 48.48023337562588,-71.05540746912214 48.48036498169466,-71.0554236998951 48.48047329464937,-71.05555893435638 48.4808045440455,-71.05558721943069 48.4809754557695,-71.05559535964655 48.481136900737425,-71.05559332574374 48.48121549822393)"
