NOM,CATEG,WKT
Autoroutes 19/440,Pôle mineur,"POLYGON  (( 289876.27420079 5052277.28991253, 289871.46653622 5052329.42946596, 289860.44488833 5052358.55214535, 289832.29580729 5052399.56194636, 289809.81986500 5052434.68223532, 289764.75965639 5052499.14163088, 289742.60825943 5052551.60577548, 289669.93996828 5052685.98141049, 289544.69927436 5052792.42431810, 289434.63872606 5052782.91732341, 289288.15949969 5052681.55901432, 289170.04575582 5052550.75323753, 289106.77870689 5052403.15274530, 289156.70897007 5052307.78882403, 289293.45816939 5052166.84690835, 289414.58657927 5051979.80775592, 289442.37365741 5051956.88644639, 289471.34799710 5051955.97273475, 289570.45583099 5052005.41404091, 289663.92968262 5052055.71477792, 289728.38903459 5052100.77501120, 289769.50698549 5052134.70536986, 289822.40380953 5052179.98196588, 289875.30063830 5052225.25850923, 289876.27420079 5052277.28991253))"
Autoroute 13,Pôle intermédiaire,"POLYGON  (( 282265.63933422 5043292.71771777, 282278.61597982 5043274.00379524, 282292.70362447 5043254.37872327, 282308.02698028 5043233.66796021, 282324.83445382 5043211.53561345, 282340.99069461 5043190.69442081, 282359.20848965 5043167.56007969, 282425.03928633 5043085.19796581, 282450.78228687 5043052.63084885, 282464.27877629 5043035.25751747, 282476.57392132 5043019.16537344, 282487.91334867 5043004.03261625, 282498.41940283 5042989.69579728, 282510.62751891 5042972.54872575, 282521.77250342 5042956.30394934, 282531.93869979 5042940.83863176, 282541.17843048 5042926.07262741, 282549.54462982 5042911.91959281, 282557.05194806 5042898.35298730, 282563.72306294 5042885.33155052, 282569.57380492 5042872.82434099, 282572.76169849 5042865.39651868, 282575.64800841 5042858.14686701, 282578.23461283 5042851.07048164, 282580.52311176 5042844.16325883, 282582.51482358 5042837.42089599, 282584.21057956 5042830.84039157, 282585.61135117 5042824.41864362, 282586.71761891 5042818.15275184, 282587.53013649 5042812.03761630, 282588.04869332 5042806.07353744, 282588.27356104 5042800.25811555, 282588.20480233 5042794.58945145, 282587.84233870 5042789.06544659, 282587.18609384 5042783.68460214, 282586.23585027 5042778.44521990, 282584.99132170 5042773.34600175, 282583.44945374 5042768.37766390, 282581.61167560 5042763.54719757, 282579.47756095 5042758.85340519, 282577.04654406 5042754.29538958, 282574.31805851 5042749.87205369, 282571.29153830 5042745.58240046, 282567.96648840 5042741.42563256, 282564.34220306 5042737.40095338, 282560.41748375 5042733.50726830, 282556.19218859 5042729.74427858, 282551.66547213 5042726.11138813, 282546.83655886 5042722.60790076, 282541.70474393 5042719.23322000, 282536.26925331 5042715.98704950, 282530.52931195 5042712.86879315, 282524.48400468 5042709.87795530, 282512.49208862 5042704.51199934, 282500.09216444 5042699.55378792, 282487.05368057 5042694.90989662, 282472.96196637 5042690.43238960, 282461.42511365 5042687.09057030, 282448.33781587 5042683.55001183, 282395.25837568 5042670.08986466, 282369.47825427 5042663.23091385, 282360.56756329 5042661.03873650, 282350.83802450 5042659.15163215, 282340.20991296 5042657.55349932, 282328.52373721 5042656.22032777, 282317.01484848 5042655.23194803, 282304.02694497 5042654.39341210, 282257.25412836 5042652.30749901, 282239.30768568 5042651.23546050, 282229.93246170 5042650.44375172, 282221.49079382 5042649.52186793, 282213.80606316 5042648.45025268, 282206.79125049 5042647.21652378, 282198.65305464 5042645.37339563, 282191.42937106 5042643.22385244, 282185.06034788 5042640.74971716, 282179.50989405 5042637.93692536, 282177.02886315 5042636.39654507, 282174.74365590 5042634.76610973, 282172.65230022 5042633.04422703, 282170.75296418 5042631.22940422, 282169.04402627 5042629.32004789, 282167.52442847 5042627.31496238, 282166.19318192 5042625.21265195, 282165.04944012 5042623.01212011, 282163.35950391 5042618.83527321, 282162.02675844 5042614.31343117, 282161.05348054 5042609.45438119, 282160.44167188 5042604.26751057, 282160.19256007 5042598.76180976, 282160.30697076 5042592.95166762, 282160.78460601 5042586.85157713, 282161.62412250 5042580.47833375, 282162.82830921 5042573.82573109, 282164.39072699 5042566.93906712, 282166.30577315 5042559.84234883, 282168.56624146 5042552.56298712, 282171.16407898 5042545.12739662, 282174.08691092 5042537.57140221, 282177.32130456 5042529.92973330, 282180.85144889 5042522.24002622, 282184.72431118 5042514.41466140, 282188.86314990 5042506.62242122, 282193.24493783 5042498.90666480, 282197.84503201 5042491.31085706, 282202.63703322 5042483.87856905, 282207.59439203 5042476.65077382, 282212.68971210 5042469.66744796, 282217.89586811 5042462.96586845, 282223.16879527 5042456.60076346, 282228.49932111 5042450.58096116, 282233.86253502 5042444.93463549, 282239.23547931 5042439.68605544, 282244.59343794 5042434.85899657, 282249.91904137 5042430.46881263, 282255.19344497 5042426.53096258, 282260.39997154 5042423.05799915, 282265.94728175 5042419.80948881, 282271.78488950 5042416.83248735, 282277.91461820 5042414.12618947, 282284.33829050 5042411.68959006, 282291.05780030 5042409.52198360, 282298.07602428 5042407.62246124, 282305.39597959 5042405.99011365, 282313.02103565 5042404.62433013, 282320.94739822 5042403.52522535, 282329.18693216 5042402.69065909, 282337.74497456 5042402.12021374, 282346.62805642 5042401.81336746, 282355.84158528 5042401.76980245, 282365.39659018 5042401.98948074, 282375.30374944 5042402.47256558, 282385.57648347 5042403.21981023, 282404.80982866 5042405.20625950, 282425.38016871 5042408.04601526, 282447.46054850 5042411.76246049, 282471.41524199 5042416.41637947, 282490.85862147 5042420.56672462, 282512.29573600 5042425.43523728, 282599.80690171 5042446.56744230, 282618.80670142 5042450.97310997, 282635.31492255 5042454.58698942, 282659.48647559 5042459.44224500, 282687.68824934 5042464.64238339, 282787.44439927 5042481.65035042, 282825.54921163 5042488.45404096, 282861.75904867 5042495.55202729, 282877.90980554 5042499.01917759, 282892.99222014 5042502.48130519, 282910.94020962 5042506.95259434, 282927.44999840 5042511.49161392, 282942.62418949 5042516.12637906, 282956.52587243 5042520.87644925, 282969.21976491 5042525.76497764, 282980.72205285 5042530.79919648, 282991.05982835 5042535.99109824, 283000.25181418 5042541.35010675, 283006.07058426 5042545.26107066, 283011.50895662 5042549.40622988, 283016.56728337 5042553.78578211, 283021.24605826 5042558.40022441, 283025.54556369 5042563.24985482, 283029.46636346 5042568.33507036, 283033.00867092 5042573.65646926, 283036.17298016 5042579.21454890, 283038.95929216 5042585.00940865, 283041.36824378 5042591.04214519, 283043.40011929 5042597.31345672, 283045.05513242 5042603.82394180, 283046.33356830 5042610.57449865, 283047.23543149 5042617.56612649, 283047.76107753 5042624.79972342, 283047.91044123 5042632.27638897, 283047.68405822 5042639.98812578, 283047.08224560 5042647.94492718, 283046.10500904 5042656.14799260, 283044.75214527 5042664.59902198, 283043.02337981 5042673.29941576, 283040.91830055 5042682.25137444, 283038.43649410 5042691.45669885, 283035.57733846 5042700.91779029, 283032.34104544 5042710.63434870, 283028.72601941 5042720.61157732, 283024.73107911 5042730.85257919, 283020.35497417 5042741.36075747, 283015.59645296 5042752.13911567, 283010.45342719 5042763.19245922, 283004.92380729 5042774.52519389, 282999.00508513 5042786.14252654, 282988.52695846 5042805.68386143, 282976.99333384 5042826.02483858, 282964.38467615 5042847.20011251, 282950.67327373 5042869.25626026, 282935.84203374 5042892.22233253, 282919.82739500 5042916.19820307, 282902.56822954 5042941.27554313, 282883.96761743 5042967.59552262, 282867.07949947 5042990.98012037, 282849.00953501 5043015.56362878, 282829.59057952 5043041.57381597, 282808.48438785 5043069.46432615, 282767.77382850 5043122.47884537, 282668.94477335 5043249.92429683, 282642.75034246 5043284.16098257, 282619.97310693 5043314.37964779, 282595.55385413 5043347.46890151, 282573.99623469 5043377.54060206, 282554.86672963 5043405.19971753, 282546.14398804 5043418.22376114, 282537.95346384 5043430.75400455, 282526.59003996 5043448.55587111, 282514.58252319 5043467.73787375, 282501.78710913 5043488.52929915, 282487.92452289 5043511.38389168, 282462.14427191 5043554.52578334, 282393.82230725 5043669.92965043, 282373.78503018 5043703.35195285, 282355.47600621 5043733.50236966, 282336.27783543 5043764.61468974, 282317.99422410 5043793.68073902, 282300.36616399 5043821.11180809, 282283.25812079 5043847.11816002, 282262.05832238 5043878.42630044, 282241.38748812 5043907.89524321, 282221.13734736 5043935.67948613, 282211.14756743 5043948.97053253, 282201.23770258 5043961.87472420, 282191.38964126 5043974.41501323, 282181.60904361 5043986.58388303, 282171.89066236 5043998.38764868, 282162.22995089 5044009.83212302, 282152.62186996 5044020.92282087, 282143.06341113 5044031.66355069, 282133.55121416 5044042.05792237, 282124.08205894 5044052.10944534, 282113.66955006 5044062.81693042, 282103.30278888 5044073.11339795, 282092.97841259 5044083.00185817, 282082.69369023 5044092.48521908, 282072.44546872 5044101.56619038, 282062.23185567 5044110.24647779, 282052.05046783 5044118.52798867, 282041.89927276 5044126.41252920, 282031.77448581 5044133.90291140, 282021.67617447 5044140.99893496, 282011.60279552 5044147.70170473, 282001.55280541 5044154.01222561, 281991.52466025 5044159.93140257, 281981.51702652 5044165.46003990, 281971.52885127 5044170.59884090, 281961.55887017 5044175.34830981, 281951.59789496 5044179.71247774, 281941.65300413 5044183.68762089, 281931.72328454 5044187.27424222, 281921.80768187 5044190.47264532, 281911.90542275 5044193.28313277, 281902.01566285 5044195.70580749, 281892.13762919 5044197.74107203, 281882.27061757 5044199.38892887, 281872.41343286 5044200.64958221, 281862.56586216 5044201.52293281, 281852.72741272 5044202.00918233, 281842.89731013 5044202.10833352, 281833.07513077 5044201.82028796, 281823.26024072 5044201.14504790, 281813.45214686 5044200.08271506, 281803.65042526 5044198.63309107, 281790.02295857 5044196.50940730, 281775.30610933 5044194.76804181, 281773.29488559 5044194.34896699, 281771.85949149 5044193.67002214, 281765.57360576 5044189.79599549, 281759.14725217 5044186.17415041, 281742.70733485 5044177.75283802, 281724.54729219 5044168.78480890, 281721.11988274 5044166.93906501, 281719.26530262 5044165.70708574, 281718.71046907 5044165.16453326, 281718.37434971 5044164.62087579, 281717.80348516 5044162.33765721, 281717.08943354 5044160.69130947, 281716.10805297 5044159.06243686, 281714.77399862 5044157.22038303, 281712.73542781 5044154.75807253, 281710.18976520 5044151.97770930, 281703.57017911 5044145.45535724, 281698.78269103 5044140.69746951, 281694.37458454 5044135.75888770, 281690.34550825 5044130.63941243, 281686.69518032 5044125.33864423, 281683.42324877 5044119.85618399, 281680.52950173 5044114.19153217, 281678.01365685 5044108.34408963, 281675.87543291 5044102.31355714, 281674.11482973 5044096.09963450, 281672.73149340 5044089.70132326, 281671.72528191 5044083.11792411, 281671.09598308 5044076.34873804, 281670.84366573 5044069.39306509, 281670.96818694 5044062.24990635, 281671.46961495 5044054.91836207, 281672.34801766 5044047.39743268, 281673.60187968 5044039.69481964, 281675.23215046 5044031.80092506, 281677.23917796 5044023.71444869, 281679.62323963 5044015.43399069, 281682.38475383 5044006.95825067, 281685.52427650 5043998.28512830, 281689.04257626 5043989.41302222, 281692.94034969 5043980.33983171, 281697.21738921 5043971.06585808, 281701.87585627 5043961.58619693, 281706.91707766 5043951.89814574, 281712.34251963 5043941.99870176, 281718.15386034 5043931.88516134, 281724.35333409 5043921.55321977, 281730.94345735 5043910.99887120, 281737.92716556 5043900.21740874, 281749.26139309 5043883.44420870, 281761.52025913 5043866.11734108, 281774.72089454 5043848.21256207, 281788.88679574 5043829.69820923, 281804.03377017 5043810.55254343, 281820.21223952 5043790.71122313, 281837.47032895 5043770.11521327, 281855.88071920 5043748.67780548, 281874.72170596 5043727.20949557, 281894.84051069 5043704.71724796, 281916.40701238 5043681.01106154, 281939.75761801 5043655.72083215, 281986.80011162 5043605.61383346, 282073.56481648 5043514.39991006, 282106.53184876 5043479.52503708, 282139.69166255 5043443.93454692, 282167.97020361 5043412.89690350, 282184.09686725 5043394.77866967, 282198.93542554 5043377.74371462, 282212.60632492 5043361.65347281, 282225.18586583 5043346.41821200, 282236.75215521 5043331.94199820, 282247.32811530 5043318.19495999, 282256.94883616 5043305.13159159, 282265.63933422 5043292.71771777))"
