OBJECTID,URL_REGLEMENT,GEOM,LOCALISATION
1,,Polygone,Ancienne Ville de Pointe-au-Père
2,,Polygone,rue du Major-Abbé-Huard
3,332-2007,Polygone,Secteur résidentiel contigu au pôle commercial régional
4,,Polygone,rue Saint-Germain Est
5,,Polygone,rue Saint-Germain Ouest
6,,Polygone,Alcide-C.-Horth
7,332-2017 ,Polygone,Noyau villageois de Sainte-Blandine
8,332-2017 ,Polygone,Noyau villageois de Mont-Lebel
9,332-2017 ,Polygone,Noyau villageois de Le Bic
