ID_BASSIN,NUM_DISTRICT,ARRONDISSEMENT,NOM_DISTRICT,NOM_BASSIN
209,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Auditorium"
210,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","PARC-NATURE DU CAP-SAINT-JACQUES-Centre d'accueil"
211,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE SAINT-GÉRARD-Gymnase"
219,111,"Le Plateau-Mont-Royal","Mile-End","CENTRE CHAMPAGNAT-Cafétéria"
212,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. CHARLES-Gymnase"
213,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE DE L'ODYSSÉE-Gymnase"
214,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ÉCOLE ST. ANTHONY-Gymnase"
215,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","CENTRE COMMUNAUTAIRE DE L'OUEST-Salles 1 et 2"
216,102,"Pierrefonds-Roxboro","Cap-Saint-Jacques","ERMITAGE SAINTE-CROIX-Cafétéria"
217,111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE DE L'ÉTINCELLE-Gymnase"
329,142,"Saint-Laurent","Norman-McLaren","CENTRE DE SERVICES SCOLAIRE MARGUERITE-BOURGEOYS-Salle du conseil"
221,111,"Le Plateau-Mont-Royal","Mile-End","ÉCOLE SAINT-ENFANT-JÉSUS-Gymnase"
223,111,"Le Plateau-Mont-Royal","Mile-End","MAIRIE D'ARRONDISSEMENT LE PLATEAU-MONT-ROYAL-Salle Le Plateau"
224,111,"Le Plateau-Mont-Royal","Mile-End","CENTRE ST-DENIS - RELANCE DES LOISIRS TOUT 9 INC.-Gymnase"
225,111,"Le Plateau-Mont-Royal","Mile-End","YMCA DU PARC-Gymnase"
226,112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 2"
227,112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Salle communautaire - Sous-sol 1"
228,112,"Le Plateau-Mont-Royal","De Lorimier","ÉCOLE JEANNE-MANCE-Hall"
229,112,"Le Plateau-Mont-Royal","De Lorimier","ÉCOLE ÉLAN-Gymnase"
231,112,"Le Plateau-Mont-Royal","De Lorimier","ÉCOLE SAINT-LOUIS-DE-GONZAGUE-Gymnase"
233,112,"Le Plateau-Mont-Royal","De Lorimier","CENTRE DU PLATEAU-Gymnase 1"
234,112,"Le Plateau-Mont-Royal","De Lorimier","ÉCOLE LANAUDIÈRE-Gymnase"
235,112,"Le Plateau-Mont-Royal","De Lorimier","ANNEXE SAINT-LOUIS-DE-GONZAGUE-Gymnase"
337,151,"Saint-Léonard","Saint-Léonard-Est","ÉCOLE DANTE-Gymnase"
241,113,"Le Plateau-Mont-Royal","Jeanne-Mance","ÉCOLE ESPACE-JEUNESSE-Gymnase"
346,152,"Saint-Léonard","Saint-Léonard-Ouest","ÉCOLE PIE XII-Petit gymnase"
388,171,"Verdun","Champlain–L’Île-des-Sœurs","VERRIÈRES V-Bibliothèque et salle de réception"
294,133,"Rosemont-La Petite-Patrie","Vieux-Rosemont","ÉCOLE SAINT-ALBERT-LE-GRAND-Gymnase"
258,122,"Rivière-des-Prairies-Pointe-aux-Trembles","Pointe-aux-Trembles","DOMAINE BONNEVILLE-Salle communautaire"
136,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","LES TOITS DE MERCIER VOLET 2-Salle à manger"
137,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","MISSION DOMINIC-SAVIO-Grande Salle"
138,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE IRÉNÉE-LUSSIER ANNEXE LE CARON-Gymnase"
139,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE SECONDAIRE D'ANJOU-Salle de combat"
140,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE LOUISE-TRICHET-Gymnase"
141,71,"Mercier-Hochelaga-Maisonneuve","Tétreaultville","ÉCOLE SAINT-JUSTIN-Gymnase"
143,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE LOUIS-DUPIRE-Gymnase 3"
144,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE SAINT-CLÉMENT-Gymnase"
145,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","CENTRE PIERRE-CHARBONNEAU (HORS-DISTRICT)-Hall d'entrée 2"
147,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE LOUIS-DUPIRE-Gymnase 1"
148,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","CENTRE PIERRE-CHARBONNEAU (HORS-DISTRICT)-Hall d'entrée 1"
149,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE GUYBOURG - ANNEXE NOTRE-DAME-DES-VICTOIRES-Gymnase"
150,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉGLISE SAINT-FRANÇOIS-D'ASSISE-Salle paroissiale"
151,72,"Mercier-Hochelaga-Maisonneuve","Maisonneuve–Longue-Pointe","ÉCOLE BOUCHER-DE LA BRUÈRE-Gymnase"
152,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE IRÉNÉE-LUSSIER-Gymnase"
153,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE CHOMEDEY-DE MAISONNEUVE-Gymnase 170"
154,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE BARIL-Gymnase"
155,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE NOTRE-DAME-DE-L'ASSOMPTION-Gymnase"
156,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE SAINT-JEAN-BAPTISTE-DE-LA-SALLE-Gymnase"
157,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","LE CHIC RESTO POP-Salle de la popotte"
158,73,"Mercier-Hochelaga-Maisonneuve","Hochelaga","ÉCOLE SAINT-NOM-DE-JÉSUS-Gymnase"
159,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉCOLE LOUIS-RIEL-Cafétéria"
160,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉGLISE NOTRE-DAME-DES-VICTOIRES-Salle Joseph Thibaudeau"
161,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","SANCTUAIRE MARIE-REINE-DES-CŒURS-Salle de conférences - Sous-sol"
162,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉCOLE SAINT-FABIEN-Gymnase"
163,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉCOLE GUILLAUME-COUTURE-Gymnase"
164,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉCOLE NOTRE-DAME-DES-VICTOIRES-Gymnase"
165,74,"Mercier-Hochelaga-Maisonneuve","Louis-Riel","ÉCOLE SAINT-DONAT-Gymnase"
261,122,"Rivière-des-Prairies-Pointe-aux-Trembles","Pointe-aux-Trembles","ÉCOLE SAINTE-GERMAINE-COUSIN-Gymnase A"
