POINTS_DE_REJET1,POINTS_DE_REJET2,POINTS_DE_REJET3,Fermeture_des_vannes,Debut_du_deversement,Fin_du_deversement,Periode_estimee,Duree_du_deversement,Debit_eaux_usees,Volume_estime
1,Regulateur_ALEPIN,,11-11-2015 00:01,11-11-2015 12:20,14-11-2015 19:10,,78.83,842,238960
2,Regulateur_STEPHEN,,11-11-2015 00:01,11-11-2015 00:20,14-11-2015 18:20,,90.00,162,52488
3,1re_Ave,,11-11-2015 00:01,11-11-2015 03:50,14-11-2015 18:30,,86.67,149,46488
4,Regulateur_RHEAUME,,11-11-2015 00:01,11-11-2015 00:40,14-11-2015 18:54,,90.23,194,63019
5,Trop-plein_OUV.D'INT._ÃŽLE-SOEURS,,11-11-2015 04:00,11-11-2015 04:30,14-11-2015 20:00,Y,87.50,44,13860
6,Regulateur_ST-PIERRE,Haut_niveau,11-11-2015 00:01,11-11-2015 09:33,14-11-2015 18:26,,80.88,1417,412602
6,Regulateur_ST-PIERRE,Bas_niveau,11-11-2015 00:01,11-11-2015 06:00,14-11-2015 18:32,,84.53,2215,674069
7,Regulateur_RIVERSIDE,,11-11-2015 00:01,11-11-2015 23:30,14-11-2015 18:07,,66.62,882,211521
8,Station_de_pompage_Cite_du_Havre,,11-11-2015 00:01,11-11-2015 03:08,14-11-2015 18:17,,87.15,167,52395
9,Regulateur_McGILL,,11-11-2015 00:01,11-11-2015 03:54,14-11-2015 17:30,,85.60,1675,516168
10,Trop-plein_BELLERIVE,Mont-Royal,11-11-2015 00:01,11-11-2015 00:30,14-11-2015 17:28,,88.97,1236,395866
10,Trop-plein_BELLERIVE,Lafontaine,11-11-2015 00:01,11-11-2015 04:14,14-11-2015 17:24,,85.17,2457,753316
11,Trop-plein_JOLIETTE,Nicolet,11-11-2015 00:01,11-11-2015 01:13,13-11-2015 22:05,,68.87,175,43386
11,Trop-plein_JOLIETTE,Dezery,11-11-2015 00:01,11-11-2015 02:01,13-11-2015 22:06,,68.08,189,46324
12,Regulateur_DE_LA_SALLE,De_Lasalle,11-11-2015 00:01,11-11-2015 00:14,13-11-2015 21:47,,69.55,660,165251
13,Trop-plein_OUV._D'INTERC._VIAU,,11-11-2015 02:00,11-11-2015 02:30,13-11-2015 22:00,Y,67.50,117,28431
14,Trop-plein_OUV._D'INTERC._LOT_13,,11-11-2015 01:00,11-11-2015 01:30,13-11-2015 22:00,Y,68.50,77,18988
15,Regulateur_DICKSON,,11-11-2015 00:01,11-11-2015 01:10,13-11-2015 21:34,,68.40,1211,298197
16,Regulateur_CLARENCE-GAGNON,,11-11-2015 00:01,11-11-2015 00:20,13-11-2015 21:26,,69.10,678,168659
17,Regulateur_DE_BOUCHERVILLE,,11-11-2015 00:01,11-11-2015 00:17,13-11-2015 21:18,,69.02,369,91682
18,Regulateur_PARC_CLEMENT-JETTE,,11-11-2015 00:01,11-11-2015 00:15,13-11-2015 21:00,Y,68.75,660,163350
19,Regulateur_GONTHIER,,11-11-2015 00:01,11-11-2015 00:30,13-11-2015 20:40,Y,68.17,82,20123
20,Industrie_Indorama,,11-11-2015 08:30,11-11-2015 08:30,13-11-2015 17:00,,56.50,55,11187
21,Regulateur_RICHARD,,11-11-2015 00:01,11-11-2015 00:11,13-11-2015 20:20,,68.15,159,39009
22,Regulateur_LAURENDEAU,,11-11-2015 00:01,11-11-2015 01:49,13-11-2015 20:18,,66.48,69,16514
23,Regulateur_ST-JEAN-BAPT_SUD_(PAT),,11-11-2015 00:01,11-11-2015 01:07,13-11-2015 20:09,,67.03,157,37887
24,Regulateur_24e_AVE_(PAT),,11-11-2015 00:01,11-11-2015 00:29,13-11-2015 19:54,,67.42,30,7281
25,Trop-plein_LA_GAUCHETIERE-40e_AVE,,11-11-2015 03:00,11-11-2015 03:30,13-11-2015 19:00,Y,63.50,283,64694
26,Derivation_52e_Ave,,11-11-2015 03:00,11-11-2015 03:30,13-11-2015 19:00,Y,63.50,729,166649
27,Trop-plein_DER._HENRI-BOURASSA,,11-11-2015 00:30,11-11-2015 01:00,13-11-2015 19:00,Y,66.00,33,7841
