POINTS_DE_REJET1,POINTS_DE_REJET2,journee,heure,debit,volume_estime
8,Station_de_pompage_Cite_du_Havre,18-11-2015 00:00,8.95,167,5381
8,Station_de_pompage_Cite_du_Havre,19-11-2015 00:00,9.35,167,5621
8,Station_de_pompage_Cite_du_Havre,20-11-2015 00:00,9.38,167,5639
