Nom_du_site_minier,Coordonnees_geographiques_Latitude,Coordonnees_geographiques_Longitude,Statut_juridique,Commodite,Comm_Code,Type_de_mine,Derniere_annee_operation
St-Robert-Metals,45.771995,70.527726,Abandonné,SILVER,AG,Tranchée,1959
St-Robert-Metals,45.771995,70.527726,Abandonné,TUNGSTEN,WO,Tranchée,1959
St-Robert-Metals,45.771995,70.527726,Abandonné,MOLYBDENUM,MO,Tranchée,1959
St-Robert-Metals,45.771995,70.527726,Abandonné,ZINC,ZN,Tranchée,1959
Suffield,45.318152,71.959316,Abandonné,ZINC,ZN,Souterraine,1955
Suffield,45.318152,71.959316,Abandonné,COPPER,CU,Fosse,1955
Suffield,45.318152,71.959316,Abandonné,SILVER,AG,Fosse,1955
Suffield,45.318152,71.959316,Abandonné,LEAD,PB,Fosse,1955
Suffield,45.318152,71.959316,Abandonné,GOLD,AU,Fosse,1955
Sullipek,48.865520,65.966529,Abandonné,COPPER,CU,Souterraine,1968
Sullivan ,48.128506,77.838303,Abandonné,GOLD,AU,Puits,1968
Sullivan ,48.128506,77.838303,Abandonné,SILVER,AG,Puits,1968
Swanson,48.553985,77.567368,Abandonné,GOLD,AU,Galerie d'accès,
Swanson,48.553985,77.567368,Abandonné,SILVER,AG,À ciel ouvert,
Terrains Aurifères ,48.113494,77.998101,Abandonné,GOLD,AU,Puits,1965
Tétreault 1,46.826352,72.345542,Abandonné,ZINC,ZN,À ciel ouvert,1990
Tétreault 1,46.826352,72.345542,Abandonné,LEAD,PB,Puits,1990
Tétreault 1,46.826352,72.345542,Abandonné,SILVER,AG,Puits,1990
Tétreault 1,46.826352,72.345542,Abandonné,GOLD,AU,Puits,1990
Tétreault 2,46.822919,72.343810,Abandonné,ZINC,ZN,À ciel ouvert,1990
Tétreault 2,46.822919,72.343810,Abandonné,LEAD,PB,Puits,1990
Tétreault 2,46.822919,72.343810,Abandonné,SILVER,AG,Puits,1990
Tétreault 2,46.822919,72.343810,Abandonné,GOLD,AU,Puits,1990
Thompson Cadillac,48.233491,78.417806,Abandonné,GOLD,AU,Puits,1939
Van Reet,45.153468,72.395187,Abandonné,TALC,TC,Fosse,1996
Van Reet,45.153468,72.395187,Abandonné,TALC,TC,Puits,1996
Van Reet,45.153468,72.395187,Abandonné,TALC,TC,Souterraine,1996
Vauze ,48.359986,79.081998,Abandonné,COPPER,CU,Puits,1965
Vauze ,48.359986,79.081998,Abandonné,ZINC,ZN,À ciel ouvert,1965
Vauze ,48.359986,79.081998,Abandonné,GOLD,AU,À ciel ouvert,1965
Venus,48.464775,77.721196,Abandonné,GOLD,AU,Puits,
Venus,48.464775,77.721196,Abandonné,GOLD,AU,Galerie d'accès,
Venus,48.464775,77.721196,Abandonné,GOLD,AU,Tranchée,
Vianor,48.248836,77.241144,Abandonné,GOLD,AU,Puits,1938
Vianor,48.248836,77.241144,Abandonné,COPPER,CU,Puits,1938
Villeneuve,45.836371,75.595671,Abandonné,MICA,MI,Fosse,1900
Villeneuve,45.836371,75.595671,Abandonné,FELDSPAR,FD,Souterraine,1900
Villeneuve,45.836371,75.595671,Abandonné,URANIUM,UR,Souterraine,1900
Waite Ackerman,48.339931,79.088972,Abandonné,COPPER,CU,Puits,1948
Waite Ackerman,48.339931,79.088972,Abandonné,ZINC,ZN,À ciel ouvert,1948
Waite Ackerman,48.339931,79.088972,Abandonné,SILVER,AG,À ciel ouvert,1948
Waite-Amulet,48.312449,79.073638,Abandonné,COPPER,CU,À ciel ouvert,1962
Waite-Amulet,48.312449,79.073638,Abandonné,ZINC,ZN,À ciel ouvert,1962
Walker,45.634564,75.489771,Abandonné,APATITE,AP,Fosse,1906
Walker,45.634564,75.489771,Abandonné,MICA,MI,Souterraine,1906
Walker,45.634564,75.489771,Abandonné,GRAPHITE,GT,Souterraine,1906
Wasamac 2 (Francoeur 3),48.204037,79.276263,Abandonné,GOLD,AU,Puits,2001
Weedon,45.702863,71.371628,Abandonné,COPPER,CU,Puits,1973
Weedon,45.702863,71.371628,Abandonné,ZINC,ZN,Fosse,1973
Weedon,45.702863,71.371628,Abandonné,SILVER,AG,Fosse,1973
Welsh,45.681963,76.369163,Abandonné,MOLYBDENUM,MO,Fosse,1903
Welsh,45.681963,76.369163,Abandonné,MOLYBDENUM,MO,Galerie d'accès,1903
Welsh,45.681963,76.369163,Abandonné,MOLYBDENUM,MO,Tranchée,1903
Wendell,48.578963,77.955730,Abandonné,COPPER,CU,Fosse,
Wendell,48.578963,77.955730,Abandonné,NICKEL,NI,Puits,
Wendell,48.578963,77.955730,Abandonné,SILVER,AG,Puits,
West Malartic ,48.188232,78.240212,Abandonné,GOLD,AU,Puits,1946
Wilson,45.347837,71.905793,Abandonné,MICA,MI,Petite fosse,1944
Wood Cadillac ,48.233274,78.356079,Abandonné,GOLD,AU,Puits,1949
Wrightbar,48.098998,77.584205,Abandonné,GOLD,AU,Galerie d'accès,1988
Yale,45.719266,72.335455,Abandonné,COPPER,CU,Puits,1860
