IdGeom;nomprojet;nomrue;nlog;unites_typ;loghlm_fam;loghlm_pa;loghlm_aut;projettype;type_prog;an_program;an_effecti;arrondvill;villelie;qr2008;localisati;aired_id;longitude;latitude;xnad83;ynad83
147;Coleraine-Saint-Gabriel;Charon;4;logement;4;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661250;-73,56053117;45,47970735;300067,7751;5037755,314
148;Charlevoix;Châteauguay;77;logement;0;77;0;HLM;;1980;;Le Sud-Ouest;;47;Aire de diffusion;24662127;-73,56993153;45,47667938;299332,5782;5037419,412
149;De Châteauguay I et II;Châteauguay;5;logement;5;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24661128;-73,56509221;45,48000987;299711,2278;5037789,212
150;De Châteauguay I et II;Châteauguay;5;logement;5;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24661128;-73,56509221;45,48000987;299711,2278;5037789,212
151;De Châteauguay I et II;Châteauguay;6;logement;6;0;0;HLM;;1976;;Le Sud-Ouest;;47;Aire de diffusion;24661129;-73,56624384;45,47836223;299621,0447;5037606,183
152;Wellington-Centre;Châteauguay;30;logement;30;0;0;HLM;;1975;;Le Sud-Ouest;;47;Aire de diffusion;24662127;-73,56993153;45,47667938;299332,5782;5037419,412
153;Les Jardins Angevin;Châteauneuf;107;logement;0;107;0;HLM;;1977;;Anjou;;73;Aire de diffusion;24660181;-73,5580376;45,60443883;300272,7401;5051616,736
154;Les Jardins Châteauneuf;Châteauneuf;98;logement;0;98;0;HLM;;1978;;Anjou;;73;Aire de diffusion;24660181;-73,5580376;45,60443883;300272,7401;5051616,736
155;Les Jardins Chaumont;Chaumont;48;logement;0;48;0;HLM;;1988;;Anjou;;73;Aire de diffusion;24660163;-73,54591799;45,6111786;301218,5668;5052365,131
156;Christophe-Colomb;Christophe-Colomb;47;logement;0;47;0;HLM;;1993;;Rosemont–La Petite-Patrie;;15;Aire de diffusion;24661452;-73,59961868;45,53749776;297019,9449;5044180,641
157;Saint-Étienne;Christophe-Colomb;30;logement;26;0;4;HLM;;1988;;Rosemont–La Petite-Patrie;;15;Aire de diffusion;24661447;-73,59668477;45,53565326;297248,8316;5043975,38
158;Émile-Nelligan II;Clark;4;logement;2;0;2;HLM;;1983;;Le Plateau-Mont-Royal;;34;Aire de diffusion;24661429;-73,59342906;45,52250244;297501,4051;5042513,615
159;Sainte-Croix;Clark;65;logement;0;60;5;HLM;;1989;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24661962;-73,58493872;45,51876405;298164,2236;5042097,428
160;Coleraine-Saint-Gabriel;Coleraine;6;logement;6;0;0;HLM;;1973;;Le Sud-Ouest;;47;Aire de diffusion;24661131;-73,56298735;45,47648621;299875,4742;5037397,496
161;Plateau Mont-Royal;Coloniale;12;logement;12;0;0;HLM;;1973;;Le Plateau-Mont-Royal;;34;Aire de diffusion;24661423;-73,58752798;45,52131606;297962,2484;5042381,253
162;Plateau Mont-Royal;Coloniale;4;logement;4;0;0;HLM;;1980;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24663346;-73,57244731;45,51607597;299139,8362;5041797,743
163;Plateau Mont-Royal;Coloniale;3;logement;3;0;0;HLM;;1973;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24661946;-73,57667262;45,51656822;298809,7738;5041852,754
164;Lafontaine A et B;Coloniale;6;logement;6;0;0;HLM;;1979;;Le Plateau-Mont-Royal;;35;Aire de diffusion;24661946;-73,57667262;45,51656822;298809,7738;5041852,754
