IdGeom;nomprojet;nomrue;nlog;unites_typ;loghlm_fam;loghlm_pa;loghlm_aut;projettype;type_prog;an_program;an_effecti;arrondvill;villelie;qr2008;localisati;aired_id;longitude;latitude;xnad83;ynad83
43;Villeray A;Clark;8;logement;8;0;0;HLM;;1977;;Rosemont–La Petite-Patrie;;14;Aire de diffusion;24661626;-73,610238;45,5299765;296189,4461;5043345,88
44;Saint-Marc;6e;82;logement;0;77;5;HLM;;1985;;Rosemont–La Petite-Patrie;;17;Aire de diffusion;24661663;-73,58842358;45,5530912;297896,1729;5045912,537
45;Champagneur;Querbes;6;logement;6;0;0;HLM;;1977;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661540;-73,62697241;45,52989556;294882,3275;5043338,816
46;Champagneur;Birnam;4;logement;4;0;0;HLM;;1977;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661533;-73,6293945;45,52582742;294692,412;5042887,021
47;Fonteneau;Léo-Guindon;6;logement;6;0;0;HLM;;1990;;Mercier–Hochelaga-Maisonneuve;;22;Aire de diffusion;24660176;-73,54223222;45,59958958;301505,3647;5051077,055
48;Marie-Victorin;Jacques-Rousseau;120;logement;115;1;4;HLM;;1972;;Rivière-des-Prairies–Pointe-aux-Trembles;;52;Aire de diffusion;24662884;-73,60018462;45,63947457;296989,9015;5055513,599
49;Sainte-Yvette;7e;3;logement;3;0;0;HLM;;1993;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662630;-73,62827559;45,56844242;294787,3838;5047622,743
50;Sainte-Yvette;7e;3;logement;3;0;0;HLM;;1993;;Villeray–Saint-Michel–Parc-Extension;;7;Aire de diffusion;24662630;-73,62827559;45,56844242;294787,3838;5047622,743
51;Jarry;Jarry;94;logement;0;94;0;HLM;;1980;;Villeray–Saint-Michel–Parc-Extension;;13;Aire de diffusion;24660473;-73,62730642;45,54273081;294858,5;5044765,252
52;Champagneur;Casgrain;4;logement;4;0;0;HLM;;1977;;Villeray–Saint-Michel–Parc-Extension;;12;Aire de diffusion;24660468;-73,63187873;45,54113549;294501,1526;5044588,539
53;Champagneur;De L'Épée;4;logement;4;0;0;HLM;;1977;;Villeray–Saint-Michel–Parc-Extension;;11;Aire de diffusion;24661618;-73,63992745;45,53329038;293871,0811;5043717,767
54;Thomas-Chapais;De Forbin-Janson;90;logement;90;0;0;HLM;;1970;;Mercier–Hochelaga-Maisonneuve;;22;Aire de diffusion;24660156;-73,53091027;45,60663574;302388,9191;5051859,71
55;Thomas-Chapais;Berlinguet;90;logement;90;0;0;HLM;;1970;;Mercier–Hochelaga-Maisonneuve;;22;Aire de diffusion;24660156;-73,53091027;45,60663574;302388,9191;5051859,71
56;Roland-Farineau / Pierre-Rémy;8e;16;logement;16;0;0;HLM;;1981;;Lachine;;70;Aire de diffusion;24663395;-73,6704375;45,4325995;291464,3849;5032532,587
57;Place Hillside;Hillside;6;logement;6;0;0;HLM;;1974;;;Westmount;81;Aire de diffusion;24663257;-73,5902912;45,48130972;297741,3859;5037935,568
58;Berri-Lajeunesse;Lajeunesse;109;logement;2;98;9;HLM;;1975;;Ahuntsic-Cartierville;;5;Aire de diffusion;24660491;-73,64857793;45,54595598;293198,0482;5045126,525
59;Meunier-Tolhurst;Meunier;114;logement;113;0;1;HLM;;1972;;Ahuntsic-Cartierville;;3;Aire de diffusion;24660508;-73,66458413;45,54417359;291947,7712;5044930,884
60;Saint-Germain (Adam);Adam;9;logement;9;0;0;HLM;;1984;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661750;-73,54572779;45,54062925;301228,9328;5044524,837
61;Saint-Germain (Adam);Adam;6;logement;2;0;4;HLM;;1984;;Mercier–Hochelaga-Maisonneuve;;27;Aire de diffusion;24661748;-73,54456575;45,54253926;301319,7994;5044737,048
62;De Pontbriand II;D'Ailleboust;8;logement;8;0;0;HLM;;1981;;Villeray–Saint-Michel–Parc-Extension;;13;Aire de diffusion;24660436;-73,62028044;45,54299785;295407,2111;5044794,083
63;Pierre-de-Coubertin;Aird;106;logement;0;94;12;HLM;;1988;;Mercier–Hochelaga-Maisonneuve;;28;Aire de diffusion;24662055;-73,54639764;45,55844239;301177,766;5046504,466
64;Notre-Dame;Aird;9;logement;9;0;0;HLM;;1987;;Mercier–Hochelaga-Maisonneuve;;28;Aire de diffusion;24661922;-73,52895638;45,55290175;302539,1717;5045888,088
65;Notre-Dame;Aird;6;logement;6;0;0;HLM;;1987;;Mercier–Hochelaga-Maisonneuve;;28;Aire de diffusion;24661922;-73,52895638;45,55290175;302539,1717;5045888,088
66;Montcalm;Alexandre-DeSève;5;logement;5;0;0;HLM;;1974;;Ville-Marie;;30;Aire de diffusion;24661887;-73,55696068;45,52323995;300350,3402;5042592,908
67;Lafontaine A et B;Alexandre-DeSève;6;logement;6;0;0;HLM;;1979;;Ville-Marie;;30;Aire de diffusion;24661887;-73,55696068;45,52323995;300350,3402;5042592,908
68;Montcalm;Alexandre-DeSève;8;logement;8;0;0;HLM;;1974;;Ville-Marie;;30;Aire de diffusion;24661884;-73,55868709;45,5245358;300215,5816;5042737,013
69;Terrasse Ontario C-11;Alexandre-DeSève;18;logement;18;0;0;HLM;;1980;;Ville-Marie;;30;Aire de diffusion;24661853;-73,5595104;45,52239654;300151,0913;5042499,323
70;Sainte-Catherine d'Alexandrie;Atateken;110;logement;0;110;0;HLM;;1974;;Ville-Marie;;38;Aire de diffusion;24661859;-73,56001884;45,51723071;300110,9435;5041925,27
71;Jardins Claire-Fontaine;Assomption;108;logement;106;0;2;HLM;;1984;;Mercier–Hochelaga-Maisonneuve;;26;Aire de diffusion;24661709;-73,5459677;45,56914147;301212,0121;5047693,454
72;Workman-Delisle B;Atwater;6;logement;6;0;0;HLM;;1973;;Le Sud-Ouest;;51;Aire de diffusion;24661118;-73,57643748;45,48286403;298824,5801;5038107,175
73;Aubry;Aubry;36;logement;36;0;0;HLM;;1992;;Mercier–Hochelaga-Maisonneuve;;23;Aire de diffusion;24660069;-73,52577047;45,60950534;302789,9389;5052178,475
