ï»¿"Region;Services_generaux;Sante_physique;Sante_mentale;Sante_publique;Soutien_a_l'autonomie_des_PA;Deficience_intellectuelle_et_TSA;Deficience_physique;Dependances;Jeunes_en_difficulte;Administration;Soutien_aux_services;Gestion_des_batiments;GRAND_TOTAL"
RSS 01  Bas-Saint-Laurent,54312285.87,330179450.6,47592077.02,31569448,199132752.6,44150327.6,40401972.92,4244941,56967389.33,61610653,65394252,58342622,993898172
RSS 02  Saguenay--Lac-Saint-Jean,62368721.06,418344199,63353117.7,37646488,188940586.1,59922996.88,51363179.36,7545627,91060303.94,70568807,79588123,72468908,1203171057
RSS 03  Capitale-Nationale,166944900.9,1437122287,218266374.7,82208401,523963287.2,137172851.8,138369256.1,17502963.77,164378575,225997648,270770228,237230280,3619927053
RSS 04  Mauricie et Centre-du-QuÃ©bec,104858821.2,600476514.2,112906490.8,64475840,437178551.7,104785481.5,64771111.04,24481508.19,161036530.4,120198808,143045286,118745069,2056960012
RSS 05  Estrie,101686603.7,693358734.6,94508893.65,59530139,383745384.4,57667131.91,59849158.04,10100503.38,136315427.4,120859260,136590436,120905884,1975117556
RSS 06  MontrÃ©al,416439238.6,4404829166,678230895.9,315448289,1809994693,379791496.7,260438399.1,53917012.16,414426454.4,795944359,827548069,931845361,11288853434
RSS 07  Outaouais,69633451.31,382111659.7,82022229.04,40271806,230359431.6,53991586.54,48971825.54,13238454.92,76026181.39,68024282,92266859,78466603,1235384370
RSS 08  Abitibi-TÃ©miscamingue,34210576.86,207848881.3,38238944.02,20671476,173186969.6,38828123.71,24267641.71,7655271,64463959.84,42912214,44269679,46366768,742920505
RSS 09  CÃ´te-Nord,36712928.7,192066071.1,29303026.57,19809796,115752220.3,22169037.24,16729553.6,5196108,53549320.51,38741733,40360549,36631078,607021422
RSS 10  Nord-du-QuÃ©bec,8371873.446,33332432.17,3552576.784,5896729,15707039.52,1027393.746,838024.1353,893743.9253,3058902.273,9933023,7181274,6709332,96502344
RSS 11  GaspÃ©sie--Ãles-de-la-Madeleine,35082081.33,157250443.2,28921206.48,26929329,110820947.7,25716853.77,19043489.99,5561199.443,35738461.04,29140602,40058658,33860132,548123404
RSS 12  ChaudiÃ¨re-Appalaches,82237088.05,427586889.5,76100155.39,52580060,318073096.2,81861066.82,52786829.42,13763688.11,93524057.46,99239298,105622443,85398209,1488772881
RSS 13  Laval,65108651.95,472697730.3,68110410.81,44791200,301285473.2,73230788.92,43854928.75,11111389,84953607.63,58917174,87820005,66634261,1378515621
RSS 14  LanaudiÃ¨re,81480136.36,364344487.6,80172746.14,56132968,329688978.2,80608832.68,38998670,8571273,120401474,91273017,89246322,87336066,1428254971
RSS 15  Laurentides,91945162.63,513513069,107335458.5,58843842,363318006.3,100824755.1,83429224.36,12018625.45,160616231.7,85573330,124717153,125929573,1828064431
RSS 16  MontÃ©rÃ©gie ,201390379.9,1275393173,241783402.5,137541792.7,918495992.9,293609617,151791943.9,25265512.41,264971222.5,240419043.3,280474657.8,274500517.4,4305637255
RSS 17  Nunavik,60019984.21,122586847,5297372,31882472,18566355.17,6228594.447,3663155.149,4079318,73181866,43528750,17754152,38949247,425738113
RSS 18  Terres-Cries-de-la-Baie-James,11949562.01,180470628,3577910.008,7356495,11545421,820168.0092,10095147.99,207341,37489116,64467589,15466458,36367605,379813441
TOTAL QUÃBEC (CDN),1684752448,12213512663,1979273288,1093586571,6449755187,1562407104,1109663511,225354479.8,2092159081,2267349590,2468174604,2456687515,35602676042
Pourcentage,0.04732095,0.343050411,0.055593385,0.030716415,0.181159281,0.043884541,0.03116798,0.006329706,0.058764096,0.063684808,0.069325536,0.069002889,1
