TYPE,TENS_EX,WKT
souterrain,120,"LINESTRING  ( 290949.11890000 5051891.94760000, 290947.78600000 5051888.83880000, 290947.55030000 5051888.06140000, 290947.31430000 5051887.17290000, 290947.15630000 5051886.28410000, 290947.07660000 5051885.50640000, 290947.07460000 5051884.61730000, 290947.15070000 5051883.72810000, 290947.30500000 5051882.94980000, 290947.53700000 5051882.06020000, 290947.84730000 5051881.28160000, 290948.15760000 5051880.50300000, 290948.62390000 5051879.72400000, 290949.09040000 5051879.05620000, 290949.63490000 5051878.38820000, 290958.03850000 5051869.03440000, 290958.58310000 5051868.36640000, 290959.04940000 5051867.58750000, 290959.51590000 5051866.91960000, 290959.82620000 5051866.14100000, 290960.13630000 5051865.25130000, 290960.36850000 5051864.47280000, 290960.52260000 5051863.58340000, 290960.59890000 5051862.80530000, 290960.59690000 5051861.91630000, 290960.51690000 5051861.02740000, 290960.35920000 5051860.24980000, 290960.12320000 5051859.36120000, 290959.88750000 5051858.58380000, 290948.20130000 5051829.82620000, 290947.65160000 5051828.16050000, 290947.17970000 5051826.38340000, 290946.94200000 5051824.71690000, 290946.78200000 5051822.93910000, 290946.77810000 5051821.16100000, 290947.00840000 5051819.49350000, 290947.31650000 5051817.71470000, 290947.78080000 5051816.04670000, 290948.40110000 5051814.37830000, 290949.09970000 5051812.82090000, 290950.03260000 5051811.37410000, 290951.04340000 5051809.92710000, 290952.21050000 5051808.59100000, 290953.45590000 5051807.36570000, 290954.77950000 5051806.25150000, 290956.25930000 5051805.24800000, 290957.73960000 5051804.46680000, 290959.37600000 5051803.68520000, 290998.26590000 5051788.26290000, 290999.90220000 5051787.48140000, 291001.53810000 5051786.47760000, 291003.01800000 5051785.47410000, 291004.41940000 5051784.24860000, 291005.74270000 5051783.02320000, 291006.98760000 5051781.57570000, 291007.99820000 5051780.01760000, 291008.93080000 5051778.45970000, 291009.70720000 5051776.79100000, 291010.32730000 5051775.01150000, 291010.86940000 5051773.23220000, 291011.17750000 5051771.45340000, 291011.32930000 5051769.56380000, 291011.32540000 5051767.78570000, 291011.16530000 5051765.89680000, 291010.77130000 5051764.11950000, 291010.29940000 5051762.34240000, 291009.67140000 5051760.56570000, 291005.35890000 5051750.46210000, 290984.52310000 5051711.27810000, 290983.81790000 5051709.83490000, 290983.26840000 5051708.28030000, 290982.87500000 5051706.72530000, 290982.55950000 5051705.17010000, 290982.40010000 5051703.61460000, 290982.39640000 5051701.94760000, 290982.47100000 5051700.39160000, 290982.77950000 5051698.83500000, 290983.16610000 5051697.27830000, 290983.63070000 5051695.72140000, 290984.32960000 5051694.27520000, 290985.10640000 5051692.82870000, 290986.03950000 5051691.49310000, 290987.05090000 5051690.26840000, 290988.14050000 5051689.15460000, 290989.38610000 5051688.04060000, 290990.63230000 5051687.14870000, 290992.03440000 5051686.25660000, 291095.42420000 5051630.01820000, 291097.37190000 5051628.90260000, 291099.16340000 5051627.67620000, 291100.79830000 5051626.22790000, 291115.43350000 5051612.52650000, 291117.14570000 5051610.74460000, 291118.70170000 5051608.85190000, 291120.02320000 5051606.73750000, 291121.18840000 5051604.51230000, 291123.44010000 5051599.72870000, 291124.21680000 5051598.17110000, 291125.14970000 5051596.72430000, 291126.16090000 5051595.38850000, 291127.25030000 5051594.16370000, 291132.38680000 5051588.70690000, 291137.36680000 5051583.02830000, 291142.03460000 5051577.23920000, 291253.57160000 5051427.41170000, 291257.61820000 5051422.84640000, 291258.86300000 5051421.28790000, 291262.05000000 5051416.05770000, 291268.81730000 5051407.04130000, 291269.90650000 5051405.70540000, 291271.15200000 5051404.48020000, 291272.47550000 5051403.25490000, 291273.87750000 5051402.25170000, 291290.54780000 5051391.32460000, 291292.02780000 5051390.32120000, 291293.42930000 5051389.09570000, 291294.75250000 5051387.75930000, 291295.91960000 5051386.31200000, 291381.01550000 5051271.66200000, 291387.47010000 5051262.20190000, 291393.06540000 5051252.18790000, 291397.80160000 5051241.73130000, 291401.60100000 5051230.94320000, 291404.54190000 5051219.93480000, 291406.46810000 5051208.70620000, 291407.45780000 5051197.25740000, 291407.51130000 5051185.81060000, 291405.28670000 5051130.58230000, 291405.33170000 5051115.13480000, 291406.70300000 5051099.79550000, 291409.47890000 5051084.56440000, 291413.50370000 5051069.66390000, 291418.85560000 5051055.20520000, 291425.45680000 5051041.18840000, 291433.22960000 5051027.83580000, 291442.17430000 5051015.25870000, 291908.16080000 5050414.83090000, 291909.25030000 5050413.49510000, 291910.49610000 5050412.27000000, 291911.82020000 5050411.15600000, 291922.72600000 5050402.79860000, 291924.12850000 5050401.90660000, 291925.60910000 5050401.01450000, 291927.16790000 5050400.23340000, 291928.80520000 5050399.67430000, 291930.44270000 5050399.22640000, 291932.15850000 5050398.88950000, 291933.87470000 5050398.77490000, 291935.59120000 5050398.77130000, 291956.50420000 5050400.39540000, 291977.10880000 5050403.79820000, 291997.48270000 5050408.86860000, 292017.23630000 5050415.82960000, 292036.36890000 5050424.34770000, 292054.72430000 5050434.42340000, 292072.14660000 5050446.05690000, 292088.55750000 5050459.13720000, 292089.65160000 5050460.02400000, 292090.74530000 5050460.68860000, 292091.99520000 5050461.46400000, 292093.24440000 5050461.90600000, 292094.49380000 5050462.45910000, 292095.82090000 5050462.78980000, 292097.22540000 5050462.89810000, 292098.55200000 5050463.00650000, 292099.95640000 5050463.00370000, 292101.36050000 5050462.88970000, 292102.68640000 5050462.66470000, 292104.01210000 5050462.32870000, 292105.25930000 5050461.77050000, 292106.50650000 5050461.21230000, 292107.75340000 5050460.54290000, 292108.84410000 5050459.76280000, 292109.85660000 5050458.87170000, 292110.86880000 5050457.86940000, 292111.72500000 5050456.86750000, 292119.81800000 5050446.40460000, 292122.92860000 5050441.39730000, 292124.56300000 5050439.39360000, 292125.02960000 5050438.61480000, 292125.49610000 5050437.83590000, 292125.96290000 5050437.16820000, 292127.90570000 5050433.38570000, 292128.29430000 5050432.60700000, 292128.76100000 5050431.93930000, 292129.30560000 5050431.16020000, 292133.19650000 5050426.15140000, 292133.74130000 5050425.48350000, 292134.36410000 5050424.81540000, 292134.98690000 5050424.14740000, 292135.53220000 5050423.70170000, 292136.15500000 5050423.03370000, 292136.77780000 5050422.36560000, 292137.32260000 5050421.69770000, 292137.55620000 5050421.47500000, 292141.44870000 5050417.24410000, 292366.65730000 5050123.18000000, 292367.66920000 5050121.95550000, 292368.83740000 5050120.84190000, 292370.08360000 5050119.72810000, 292371.33000000 5050118.72540000, 292372.73290000 5050117.94470000, 292374.21380000 5050117.16380000, 292384.73760000 5050112.36430000, 292386.84270000 5050111.58210000, 292388.94810000 5050110.91120000, 292391.20970000 5050110.35100000, 292393.47190000 5050110.12430000, 292395.65640000 5050110.00880000, 292397.91930000 5050110.11550000, 292400.18270000 5050110.44440000, 292402.36830000 5050110.88460000, 292404.55450000 5050111.65820000, 292406.58490000 5050112.54320000, 292424.85960000 5050121.06430000, 292428.06190000 5050122.72490000, 292431.10830000 5050124.49700000, 292434.07720000 5050126.49150000, 292445.01600000 5050134.24920000, 292446.18790000 5050135.02480000, 292447.28180000 5050135.80060000, 292448.45370000 5050136.57620000, 292469.70210000 5050149.64800000, 292490.71720000 5050163.16480000, 292511.34300000 5050177.12700000, 292528.22050000 5050189.54070000, 292532.51900000 5050193.19960000, 292559.78770000 5050212.81670000, 292569.01140000 5050221.46700000, 292577.92360000 5050230.45140000, 292586.60220000 5050239.65840000, 292588.86980000 5050242.21010000, 292589.57330000 5050242.87550000, 292590.35490000 5050243.54070000, 292591.13600000 5050243.98380000, 292591.99510000 5050244.42660000, 292592.85420000 5050244.86950000, 292593.79090000 5050245.08990000, 292594.72760000 5050245.31030000, 292595.74210000 5050245.41950000, 292596.67860000 5050245.52880000, 292597.61470000 5050245.41580000, 292598.62880000 5050245.30270000, 292599.56460000 5050245.07860000, 292600.42240000 5050244.85470000, 292601.35800000 5050244.51950000, 292602.21540000 5050244.07330000, 292602.99460000 5050243.51610000, 292603.77370000 5050242.95890000, 292604.47460000 5050242.29080000, 292605.17530000 5050241.51150000, 292605.72020000 5050240.84360000, 292606.26460000 5050239.95350000, 292606.73120000 5050239.17460000, 292607.04160000 5050238.28500000, 292607.35170000 5050237.28420000, 292607.58410000 5050236.39470000, 292607.73820000 5050235.39420000, 292607.73620000 5050234.39400000, 292607.73450000 5050233.50490000, 292607.57650000 5050232.50500000, 292607.34070000 5050231.61640000, 292607.10470000 5050230.61670000, 292606.71280000 5050229.72840000, 292606.24320000 5050228.95140000, 292605.77330000 5050228.06320000, 292605.14760000 5050227.28650000, 292604.52210000 5050226.62100000, 292550.58090000 5050172.93810000, 292546.20310000 5050168.61250000, 292545.03030000 5050167.39230000, 292544.01340000 5050166.06070000, 292543.07430000 5050164.61790000, 292542.29100000 5050163.06350000, 292541.58570000 5050161.50910000, 292539.23280000 5050155.29020000, 292538.52730000 5050153.62460000, 292537.66600000 5050152.07050000, 292536.72690000 5050150.62760000, 292535.55370000 5050149.18520000, 292534.38080000 5050147.85390000, 292533.20800000 5050146.63370000, 292532.11330000 5050145.41340000, 292531.17410000 5050143.97050000, 292530.31300000 5050142.52750000, 292529.60780000 5050140.97300000, 292529.05860000 5050139.41820000)"
aérien,315,"LINESTRING  ( 291664.47520000 5058045.20220000, 291709.32030000 5057988.87420000)"
aérien,315,"LINESTRING  ( 302046.87040000 5060194.46760000, 301911.72120000 5060459.43570000, 301774.28710000 5060725.22240000, 301586.29100000 5061095.83770000, 301440.40500000 5061379.30680000, 301008.85860000 5061520.25010000, 300580.67680000 5061655.77560000, 300150.42340000 5061599.18080000, 299700.37560000 5061537.07520000, 299295.72660000 5061477.51780000, 298963.43790000 5061350.12670000, 298634.08690000 5061214.30420000, 298354.82880000 5061103.23000000, 298061.84330000 5060983.73690000, 297700.89960000 5060840.99640000, 297341.02860000 5060697.16420000, 296967.88900000 5060545.47880000, 296633.00310000 5060412.76950000, 296604.08850000 5060401.24950000, 296244.71360000 5060258.70230000, 295872.45890000 5060109.19270000, 295514.45060000 5059965.35200000, 295179.58020000 5059832.60950000, 294835.57160000 5059694.23170000, 294456.31550000 5059544.81780000, 294077.42550000 5059392.42570000, 293718.40200000 5059250.02330000, 293348.36740000 5059102.77180000, 292988.36910000 5058957.07910000, 292613.31560000 5058811.10310000, 292343.04440000 5058509.01850000, 292050.09970000 5058182.76460000, 291826.94840000 5057931.61680000, 291797.91110000 5057945.79130000, 291709.32030000 5057988.87420000)"
aérien,315,"LINESTRING  ( 281033.14950000 5046969.54050000, 281025.77340000 5047021.24550000, 281021.74820000 5047050.82220000, 281015.97490000 5047092.85250000, 281004.81130000 5047174.91120000, 280938.80600000 5047286.74010000)"
aérien,315,"LINESTRING  ( 280979.72480000 5046715.80410000, 280951.47630000 5046760.03140000)"
aérien,315,"LINESTRING  ( 278774.95620000 5049620.24290000, 278956.21310000 5049596.29810000, 279436.94820000 5049532.43000000, 279602.74840000 5049294.60070000, 279765.77900000 5049063.56620000, 279928.35830000 5048833.76050000, 280078.93660000 5048605.45120000, 280205.18600000 5048419.69430000, 280225.02140000 5048303.25950000, 280404.30970000 5048045.50660000, 280587.50650000 5047785.41010000, 280771.26800000 5047526.09500000, 280938.80600000 5047286.74010000)"
aérien,315,"LINESTRING  ( 291462.95090000 5057822.69460000, 291525.91320000 5057784.10800000)"
aérien,315,"LINESTRING  ( 291525.91320000 5057784.10800000, 291541.39280000 5057734.06480000, 291546.42350000 5057717.71740000, 291551.53190000 5057701.25870000, 291521.29080000 5057662.64830000, 291492.22160000 5057625.59140000, 291228.40790000 5057331.09850000, 291006.45250000 5057085.53430000, 290771.88920000 5056821.33570000, 290535.26920000 5056552.59420000, 290247.92390000 5056233.74720000, 289958.27800000 5055910.47350000, 289672.27540000 5055590.98300000, 289437.60390000 5055328.50190000, 289175.70380000 5055034.98030000, 288921.44060000 5054749.56300000, 288656.21790000 5054456.29380000, 288410.97960000 5054181.20940000, 288133.73630000 5053872.21300000, 287868.42490000 5053573.53200000, 287604.74230000 5053280.85910000, 287440.14380000 5053094.83180000, 287181.39340000 5052850.72830000, 286990.96480000 5052668.11970000, 286689.47860000 5052384.48380000, 286437.32170000 5052147.94900000, 286243.88540000 5051965.14970000, 286100.34610000 5051699.19020000, 285922.61160000 5051376.54810000, 285907.94240000 5051349.58690000, 285776.85250000 5051107.82450000, 285525.78080000 5050896.88390000, 285222.50700000 5050638.99580000, 284918.51520000 5050384.01420000, 284621.84870000 5050133.91360000, 284305.20320000 5049866.11100000, 283968.11420000 5049583.27820000, 283647.73100000 5049311.29810000, 283385.55860000 5049091.25650000, 283141.27790000 5048882.38840000, 282838.29410000 5048629.61540000, 282529.17290000 5048369.76640000, 282238.26330000 5048124.20310000, 281936.91580000 5047869.35610000, 281648.69300000 5047624.14370000, 281387.39040000 5047403.07080000, 281217.07430000 5047260.68120000, 281202.90010000 5047248.73220000, 281147.45740000 5047202.37650000, 281015.97490000 5047092.85250000, 280989.74030000 5047070.94770000, 280925.28880000 5047017.18230000, 280909.15370000 5046839.31950000, 280907.37390000 5046822.98970000, 280903.41340000 5046787.55330000, 280899.20980000 5046749.78410000, 281075.15080000 5046516.62470000, 281249.00240000 5046284.92310000, 281412.84040000 5046065.37730000, 281570.00900000 5045854.97360000, 281717.94900000 5045658.83300000, 281873.72410000 5045446.10860000, 282026.72740000 5045241.28860000, 282077.92400000 5045061.17890000, 282321.38880000 5044773.57860000, 282538.59470000 5044518.42090000, 282731.46960000 5044290.58410000, 282925.61520000 5044064.74920000, 282884.02770000 5043830.51610000, 282844.95950000 5043602.83130000, 283013.86410000 5043366.30830000, 283189.83650000 5043114.31820000, 283357.05270000 5042878.92180000, 283538.66210000 5042622.47730000, 283745.70230000 5042327.27890000, 283912.10110000 5042091.90070000, 284093.28050000 5041833.36280000, 284209.65680000 5041727.29340000, 284419.98040000 5041538.59810000)"
aérien,315,"LINESTRING  ( 291481.29590000 5057837.54740000, 291525.91320000 5057784.10800000)"
aérien,315,"LINESTRING  ( 291557.70730000 5057820.38130000, 291501.37330000 5057860.95380000)"
