;;;;;;
"VILLE DE MONTRÉAL  ";;;;;;
"Arrondissement Côte-des-neiges / Notre-Dame-de-Grâce";;;;;;
"Listes des bons de commandes approuvés pour AOÛT 2014";;;;;;
;;;;;;
;;;;;;
"Dernier Approbateur";"Nom fournisseur";"Numéro bon ";"Date ";"Montant de ";;"Description"
;;"commande";"d'approbation";"l'engagement";;
;;;;;;
;"LOCATION SAUVAGEAU INC.";"983569";08/18/14;1 221,71;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;"PRODUITS SANY INC.";"982846";08/13/14;200,58;;"BIENS NON DURABLES"
;"ROBERT BOILEAU INC";"983595";08/18/14;460,48;;"BIENS NON DURABLES"
;;"984511";08/22/14;776,80;;"BIENS NON DURABLES"
;"TUYAUX FLEXIBLES DU QUEBEC INC.";"984508";08/22/14;1 039,18;;"BIENS NON DURABLES"
;;"985715";08/29/14;556,74;;"BIENS NON DURABLES"
"FORTIN, ALAIN";"ATELIER N. C. LAMOUREUX";"983214";08/15/14;2 107,24;;"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
;"CITE NISSAN - GABRIEL";"981506";08/07/14;467,49;;"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
;"RMT EQUIPEMENT INC";"983112";08/14/14;344,84;;"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
"GAUDREAULT, SONIA";"A.D.I. ART DESIGN INTERNATIONAL INC.";"980683";08/27/14;345,38;;"FOURNITURES DE BUREAU"
;"AQUATECHNO SPECIALISTES AQUATIQUES INC.";"981996";08/08/14;2 566,84;;"BIENS NON DURABLES"
;"COMMISSION SCOLAIRE DE MONTREAL (CSDM)";"982333";08/11/14;81,28;;"LOCATION D'IMMEUBLES"
;"CORBEIL ELECTROMENAGERS";"973345";08/25/14;1 609,55;;"BIENS NON DURABLES"
;"DEMENAGEMENT MONTREAL EXPRESS INC.";"974750";08/20/14;1 980,88;;"FRAIS DE DÉMÉNAGEMENT"
;"DISCOVER COMMUNICATIONS INC";"985213";08/27/14;72,60;;"TÉLÉAVERTISSEURS"
;"PETITE CAISSE VILLE DE MONTREAL";"985448";08/28/14;97,09;;"BIENS NON DURABLES"
;"PRODUITS SANY INC.";"980395";08/12/14;89,61;;"BIENS NON DURABLES"
;;"980590";08/12/14;10,37;;"BIENS NON DURABLES"
;;"982064";08/08/14;246,01;;"BIENS NON DURABLES"
;;"982074";08/08/14;262,94;;"BIENS NON DURABLES"
;"TOSHIBA SOLUTION D'AFFAIRES";"924944";08/26/14;518,55;;"LOC.- AMEUBLEMENT, ÉQUIPEMENT DE BUREAU"
;"VILLA TOSCANA";"982069";08/08/14;2 029,57;;"ÉVÉNEMENT PUBLIC"
"GENDRON, DENIS";"CENTRE DE SERVICES PARTAGES DU QUEBEC";"973672";08/06/14;933,40;;"TÉLÉPHONIE"
;"CIMA +";"982500";08/12/14;8 296,86;;"HONORAIRES PROFESSIONNELS"
;"KERR NORTON INC.";"982860";08/13/14;516,78;;"SERVICES TECHNIQUES"
;"LES ENTREPRISES ARCHEOTEC INC.";"922832";08/06/14;6 274,50;;"HONORAIRES PROFESSIONNELS"
;"LES TERMINAUX KENMONT INC.";"958389";08/11/14;1 633,44;;"HONORAIRES PROFESSIONNELS"
"GERVAIS, ROBERT";"CLEAN HARBORS QUEBEC INC";"975004";08/06/14;121,34;;"SERVICES TECHNIQUES"
;"DEMIX";"979666";08/01/14;318,39;;"AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION"
;"DESCHAMPS IMPRESSION INC.";"981590";08/06/14;21,78;;"SERVICES TECHNIQUES"
;"DIV EQUIPEMENT DE SECURITE UNIVERSEL INC.";"981043";08/01/14;123,93;;"PIÈCES ET ACCESSOIRES"
;"ECO-GRAFFITI INC";"982036";08/08/14;1 244,53;;"PRODUITS CHIMIQUES"
;"GLOCO INC.";"981965";08/08/14;656,18;;"FOURNITURES HORTICOLES"
;"LA MAISON DU PEINTRE";"919258";08/06/14;240,19;;"BIENS NON DURABLES"
;"LOCATION GAMMA INC.";"970675";08/04/14;3,73;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;;"972283";08/04/14;3,73;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;"LOCATION SAUVAGEAU INC.";"981283";08/05/14;7 811,49;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;"MPB EXCAVATION";"974374";08/01/14;4 096,57;;"SERVICES TECHNIQUES"
;"PIVIN & DRAPEAU INC";"979502";08/08/14;549,67;;"ENT. RÉP. - VÉHICULES, OUT. ET ÉQUIP."
;"PPG REVETEMENTS ARCHITECTURAUX CANADA INC.";"919257";08/08/14;2 823,92;;"PRODUITS CHIMIQUES"
;"PRODUITS SANY INC.";"982046";08/08/14;110,45;;"BIENS NON DURABLES"
;"RENO-DEPOT";"981053";08/01/14;26,72;;"PIÈCES ET ACCESSOIRES"
;;"982024";08/08/14;222,36;;"BIENS NON DURABLES"
;"SAFETY-KLEEN CANADA INC.";"979340";08/05/14;1 503,91;;"PIÈCES ET ACCESSOIRES"
;"SECURITE LANDRY INC";"982052";08/08/14;1 131,02;;"PIÈCES ET ACCESSOIRES"
;"SERRURIER LACROIX";"982104";08/08/14;24,89;;"PIÈCES ET ACCESSOIRES"
;"ST-GERMAIN EGOUTS ET AQUEDUCS INC.";"982097";08/08/14;530,80;;"PIÈCES ET ACCESSOIRES"
;"U. CAYOUETTE INC.";"981318";08/05/14;319,30;;"AGRÉGATS ET MATÉRIAUX DE CONSTRUCTION"
"LAFOND, DANIEL";"DESCHAMPS IMPRESSION INC.";"980343";08/28/14;311,13;;"SERVICES TECHNIQUES"
"PLANTE, STÉPHANE";"LA BOITE - ARCHITECTURE DESIGN INC.";"984520";08/22/14;19 186,48;;"HONORAIRES PROFESSIONNELS"
;"LES ENTREPRISES DE CONSTRUCTION PROFIL INC.";"984765";08/25/14;2 092,08;;"ENT. RÉP. - IMMEUBLES ET TERRAINS"
;"MARCHAND HOULE & ASSOCIES INC";"941030";08/05/14;2 592,77;;"HONORAIRES PROFESSIONNELS"
"POLISENO, MARTIN";"ACKLANDS - GRAINGER INC.";"982085";08/08/14;325,56;;"PIÈCES ET ACCESSOIRES"
;"BARILS INTERNATIONAL LIMITEE";"983974";08/20/14;1 037,11;;"BIENS NON DURABLES"
;"CENTRE DE SERVICES PARTAGES DU QUEBEC";"985264";08/27/14;878,89;;"TÉLÉPHONIE"
;"CHAINES ET ELINGUES ST-PIERRE";"985397";08/28/14;51,34;;"PIÈCES ET ACCESSOIRES"
;"CHARIOTS KIRMAR INC.";"982078";08/08/14;2 053,47;;"BIENS NON DURABLES"
;"CHAUSSURES BELMONT INC";"985454";08/28/14;165,89;;"VÊTEMENTS, CHAUSSURES ET ACC."
;"CLOTURE CENTRALE";"983943";08/21/14;1 088,97;;"SERVICES TECHNIQUES"
;"DIV EQUIPEMENT DE SECURITE UNIVERSEL INC.";"982079";08/08/14;164,90;;"VÊTEMENTS, CHAUSSURES ET ACC."
;;"985445";08/28/14;108,85;;"PIÈCES ET ACCESSOIRES"
;"EQUIPEMENTS DE SECURITE HOTTE INC";"984043";08/20/14;298,69;;"BIENS NON DURABLES"
;;"984957";08/26/14;2 483,87;;"BIENS NON CAPITALISÉS"
;;"985571";08/28/14;48,85;;"PIÈCES ET ACCESSOIRES"
;"FASTENAL CANADA LTEE";"982086";08/08/14;91,16;;"BIENS NON DURABLES"
;;"983796";08/19/14;465,46;;"PIÈCES ET ACCESSOIRES"
;"GAZTEK INC";"984772";08/25/14;1 665,33;;"BIENS NON CAPITALISÉS"
;"HERCULES SLR INC";"984022";08/20/14;177,86;;"PIÈCES ET ACCESSOIRES"
;"INDUSTRIES DESORMEAU INC.";"983263";08/15/14;276,70;;"BIENS NON DURABLES"
;"INOLEC";"983237";08/15/14;255,47;;"BIENS NON CAPITALISÉS"
;;"983484";08/18/14;612,93;;"PIÈCES ET ACCESSOIRES"
;;"985458";08/28/14;136,85;;"BIENS NON CAPITALISÉS"
;"JEAN GUGLIA & FILS ENR.";"984036";08/20/14;236,15;;"VÊTEMENTS, CHAUSSURES ET ACC."
;"LEE VALLEY TOOLS LTD.";"982090";08/08/14;630,00;;"BIENS NON CAPITALISÉS"
;"MULTI-PRESSIONS L.C. INC.";"984271";08/21/14;214,68;;"PIÈCES ET ACCESSOIRES"
;"PRODUITS SANY INC.";"982553";08/13/14;226,25;;"BIENS NON DURABLES"
;;"983231";08/15/14;141,75;;"BIENS NON DURABLES"
;"QUINCAILLERIE J. CARRIER INC";"982070";08/08/14;258,24;;"BIENS NON CAPITALISÉS"
;"RENO-DEPOT";"983066";08/14/14;98,75;;"BIENS NON DURABLES"
;"SECURITE LANDRY INC";"983462";08/18/14;1 090,84;;"VÊTEMENTS, CHAUSSURES ET ACC."
;;"983985";08/20/14;597,89;;"VÊTEMENTS, CHAUSSURES ET ACC."
;;"984274";08/21/14;82,41;;"VÊTEMENTS, CHAUSSURES ET ACC."
;"SERVICES MATREC INC.";"956642";08/13/14;66,37;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;;"956657";08/13/14;51,86;;"LOC.- VÉHICULES-OUTILLAGE-ÉQUIPEMENT"
;"STINSON EQUIPMENT (QUEBEC) INC.";"982082";08/08/14;2 708,10;;"PRODUITS CHIMIQUES"
;"TECHNOLOGIES METEOROLOGIQUES MET-TECH INC.";"919280";08/13/14;917,84;;"SERVICES TECHNIQUES"
;"TENAQUIP LIMITED";"984025";08/20/14;244,71;;"BIENS NON CAPITALISÉS"
;;"984031";08/20/14;110,89;;"VÊTEMENTS, CHAUSSURES ET ACC."
;;"985398";08/28/14;39,34;;"BIENS NON DURABLES"
;;"985431";08/28/14;98,19;;"BIENS NON DURABLES"
;"TESSIER RECREO-PARC INC";"983481";08/18/14;1 834,64;;"ENT. RÉP. - IMMEUBLES ET TERRAINS"
;"U. CAYOUETTE INC.";"983233";08/15/14;298,19;;"BIENS NON DURABLES"
