Coordonné X;Coordonné Y;Titre;Date de début;Date de fin;Localisation;Type d'Entrave;Description;Horaire d'Entrave;Chemin de Fermeture complète;Information
-73,881543;45,531338;Intervention sur la Rue Les Érables entre ch. de l'Île-Russin et ch. Saint-Antoine;2022-05-05;2023-10-31;Rue Les Érables entre ch. de l'Île-Russin et ch. Saint-Antoine;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,690546;45,595033;Intervention sur l'A-19;2023-06-30;2023-09-16;A-19;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,697089;45,603524;Intervention sur l'A-19;2023-06-30;2023-09-16;A-19;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,764281;45,565873;Intervention face au Terrasse Paquin et Boul. Lévesque;2023-06-19;2023-10-09;Terrasse Paquin et Boul. Lévesque;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,809706;45,586516;Intervention sur la Rue Gilles;2023-06-19;2023-10-09;Rue Gilles;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,789494;45,576953;Intervention sur la Rue Élaine;2023-06-19;2023-10-09;Rue Élaine;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,755549;45,553756;Intervention sur le Boul. Saint-Martin;2023-08-14;2023-09-01;Boul. Saint-Martin;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,691744;45,561767;Intervention face au 7e Rue et 7e Av.;2023-08-07;2023-08-25;7e Rue et 7e Av.;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,802861;45,525887;Intervention sur la Rue Sylvie entre rue Lauzon et rue Dandurand - Côté opposé à l'aréna;2023-08-12;2023-09-15;Rue Sylvie entre rue Lauzon et rue Dandurand - Côté opposé à l'aréna;Stationnement;Normale;Maintien;-;www.travaux.laval.ca
-73,690799;45,571377;Intervention sur le Boul. de la Concorde Est en direction Ouest entre boul. des Laurentides et rue Jubinville;2023-08-22;2023-08-25;Boul. de la Concorde Est en direction Ouest entre boul. des Laurentides et rue Jubinville;Entrave partielle;Contresens;Maintien;-;www.travaux.laval.ca
-73,7559;45,585933;Intervention sur la Rues Michelin, Delaunay et Le Chatelier;2023-04-27;2023-08-28;Rues Michelin, Delaunay et Le Chatelier;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,764829;45,548873;Intervention sur la Terrasse Trépanier;2023-05-31;2023-09-16;Terrasse Trépanier;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
-73,772144;45,574459;Intervention sur la Rue Joachim-du-Bellay;2023-06-19;2023-10-09;Rue Joachim-du-Bellay;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,7696;45,559424;Intervention sur le Boulevard Curé-Labelle;2023-08-24;2023-08-25;Boulevard Curé-Labelle;Entrave partielle;Perte de voies;Maintien;-;www.travaux.laval.ca
-73,856732;45,522547;Intervention sur le Ch. du Bord-de-L'Eau entre av. du Bois et rue du Relais;2023-08-02;2023-08-27;Ch. du Bord-de-L'Eau entre av. du Bois et rue du Relais;Fermeture complète;Détour;Maintien;Détour via les rues adjacentes;www.travaux.laval.ca
