"  ",
,
,
"LISTE DES ÉDIFICES MUNICIPAUX",
,
,
"
ARÉNAS
",
"Aréna Bill-Durnan","4988, rue Vézina"
"Aréna Doug Harvey","4985, avenue West Hill"
,
"
BUREAU ACCÈS MONTRÉAL 
",
"BAM","5160, boulevard Décarie (rez-de-chaussée)"
,
"
BIBLIOTHÈQUES ET MAISON DE LA CUTLURE 
",
"Bibliothèque Benny","3465, avenue Benny "
"Bibliothèque Interculturelle","6767, chemin Côte-des-Neiges"
"Bibliothèque Notre-Dame-de-Grâce","3755, rue Botrel"
"Maison de la Culture de Notre-Dame-de-Grâce","3755, rue Botrel"
"Bibliothèque de Côte-des-Neiges","5290, chemin Côte-des-Neiges"
"Maison de la Culture de Côte-des-Neiges","5290, chemin Côte-des-Neiges"
,
"
CLOS DES TRAVAUX PUBLICS
",
"Clos Madison ","2140, avenue Madison"
"Essence Madison","6333, rue Saint-Jacques"
"Édifice du 6345, St-Jacques ","6345, rue St-Jacques"
"Chevalet d’estivation, cour Madison","2160, Madison"
"Entrepôt magasin pour cour Madison","2160, avenue Madison"
"Entrepôt à sel et à sable Madison","2160, Madison"
"Entrepôt matières inflammables Madison","2160, Madison"
"Clos Darlington ","6960, avenue Darlington"
"Entrepôt Darlington ","6960, avenue Darlington"
"Chevalet d’estivation, cour Darlington","6960, avenue Darlington"
"Entrepôt à sel et à sable Darlington","6960, Darlington"
"Garage Darlington","6960, Darlington"
,
"
PISCINES INTÉRIEURES 
",
"Piscine Côte-des-Neiges (Centre sportif CDN)","4880, avenue Van Horne"
"Piscine Centre sportif NDG (Centre sportif NDG)","6445, Ave Monkland "
"Piscine Notre-Dame-de-Grâce","3760, boulevard Décarie"
,
"CENTRE D'ACTIVITÉS SPORTIVES ET COMMUNAUTAIRES",
"Installations d'arrondissement ",
"Centre Appleton","6585, chemin de la Côte-des-Neiges"
"Centre communautaire de loisirs de la Côte-des-Neiges","5347, chemin de la Côte-des-Neiges"
"Centre communautaire de Saint-Raymond","5600, chemin Upper Lachine"
"Centre communautaire Monkland","4410, avenue Westhill"
"Centre communautaire Mountain Sights","7802, avenue Mountain Sights"
"Centre communautaire Notre-Dame-de-Grâce","3757, avenue Prud'homme "
"Centre de gymnastique Snowdon","5225, boulevard Décarie"
"Centre communautaire Sud-Asiatique","6420, avenue Victoria "
"Centre jeunesse Notre-Dame-de-Grâce","3770, boulevard Décarie "
"Centre jeunesse 2000 Notre-Dame-de-Grâce","3770, boulevard Décarie"
"Centre Le Manoir Notre-Dame-de-Grâce","5319, avenue Notre-Dame-de-Grâce"
"Centre Notre-Dame-de-Neiges","5354, avenue Gatineau"
"Centre sportif Côte-des-Neiges","4880, avenue Van Horne"
"Centre sportif Notre-Dame-de-Grâce (Benny)","6445, Ave Monkland "
"Centre sportif Trenholme","6800, rue Sherbrooke Ouest"
"Centre Walkley","6650, chemin Côte Saint-Luc"
"Centre Westhaven","7405, avenue Harley"
"Chalet du parc Macdonald ","5355, avenue Clanranald"
"Chalet du parc Nelson-Mandela","4920, avenue Vézina"
"Chalet du parc William Hurst","6230, rue de Terrebonne"
"Chalet du parc Loyola","4877, avenue Doherty"
