cod_geo,nom_organisme,desi_org,cod_mrc,nom_mrc,cod_cm,nom_cm,no_reg,desc_reg,type_org,population,CPAAX01796,CPALX01796,CPAAX01798,CPALX01798
09070,Saint-Joseph-de-Lepage,P,AR090,La Mitis,,,1,Bas-Saint-Laurent,Municipalité locale,580,,,,
09077,Mont-Joli,V,AR090,La Mitis,,,1,Bas-Saint-Laurent,Municipalité locale,6426,,,,
09092,Sainte-Luce,M,AR090,La Mitis,,,1,Bas-Saint-Laurent,Municipalité locale,2870,,,,
10043,Rimouski,V,AR100,Rimouski-Neigette,,,1,Bas-Saint-Laurent,Municipalité locale,50019,,1- Condominium hôtels (Condôtels) : 1.736 $,,Non résidentiels :Évaluation «= 1M$ : 1.736 $Évaluation » 1M$ : 2.0178 $Industriel Évaluation «= 1M$ : 1.626 $Évaluation » 1M$ : 1.830 $
11005,Saint-Clément,M,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,491,,,,
11010,Saint-Jean-de-Dieu,M,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,1691,,,,
11015,Sainte-Rita,M,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,318,,,,
11030,Sainte-Françoise,P,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,423,,,,
11035,Saint-Éloi,P,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,318,,,,
11040,Trois-Pistoles,V,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,3139,,,,
11045,Notre-Dame-des-Neiges,M,AR110,Les Basques,,,1,Bas-Saint-Laurent,Municipalité locale,1164,,,,
12005,Saint-Cyprien,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1058,,,,
12020,Saint-Modeste,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1201,,,,
12025,Saint-François-Xavier-de-Viger,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,247,,,,
12030,Saint-Épiphane,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,852,,,,
12043,L'Isle-Verte,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1404,,,,
12045,Notre-Dame-des-Sept-Douleurs,P,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,70,,,,
12057,Cacouna,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1873,,,,
12065,Saint-Arsène,P,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1215,,,,
12072,Rivière-du-Loup,V,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,20472,,,,
12080,Notre-Dame-du-Portage,M,AR120,Rivière-du-Loup,,,1,Bas-Saint-Laurent,Municipalité locale,1307,,,,
13005,Dégelis,V,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,2913,,,,
13010,Saint-Jean-de-la-Lande,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,245,,,,
13020,Saint-Marc-du-Lac-Long,P,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,375,,,,
13025,Rivière-Bleue,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,1306,,,,
13030,Saint-Eusèbe,P,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,589,,,,
13040,Saint-Juste-du-Lac,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,555,,,,
13045,Auclair,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,461,,,,
13055,Biencourt,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,435,,,,
13060,Lac-des-Aigles,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,499,,,,
13080,Saint-Louis-du-Ha! Ha!,P,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,1358,,,,
13085,Saint-Elzéar-de-Témiscouata,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,334,,,,
13090,Saint-Honoré-de-Témiscouata,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,763,,,,
13100,Saint-Athanase,M,AR130,Témiscouata,,,1,Bas-Saint-Laurent,Municipalité locale,298,,,,
14005,Mont-Carmel,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,1154,,,,
14010,Saint-Bruno-de-Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,523,,,,
14018,Saint-Pascal,V,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,3520,,,,
14025,Sainte-Hélène-de-Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,876,,,,
14035,Saint-Alexandre-de-Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,2367,,,,
14040,Saint-André-de-Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,662,,,,
14045,Saint-Germain-de-Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,303,,,,
14050,Kamouraska,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,620,,,,
14060,Saint-Philippe-de-Néri,P,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,829,,,,
14070,Saint-Pacôme,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,1572,,,,
14075,Saint-Gabriel-Lalemant,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,646,,,,
14080,Saint-Onésime-d'Ixworth,M,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,530,,,,
14090,Sainte-Anne-de-la-Pocatière,P,AR140,Kamouraska,,,1,Bas-Saint-Laurent,Municipalité locale,1596,,,,
15005,Saint-Irénée,M,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,698,,,,
15013,La Malbaie,V,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,8442,,,,
15025,Notre-Dame-des-Monts,M,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,805,,,,
15030,Saint-Aimé-des-Lacs,M,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,1175,,,,
15035,Clermont,V,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,3083,,,,
15058,Saint-Siméon,M,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,1157,,,,
15065,Baie-Sainte-Catherine,M,AR150,Charlevoix-Est,,,3,Capitale-Nationale,Municipalité locale,163,,,,
16005,Petite-Rivière-Saint-François,M,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,1245,,,,
16013,Baie-Saint-Paul,V,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,7600,,,,
16023,L'Isle-aux-Coudres,M,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,1099,,,,
16048,Les Éboulements,M,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,1570,,,,
16050,Saint-Hilarion,P,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,1201,,,,
16055,Saint-Urbain,P,AR160,Charlevoix,,,3,Capitale-Nationale,Municipalité locale,1384,,,,
17010,Saint-Pamphile,V,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,2337,,,,
17015,Saint-Adalbert,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,484,,,,
17020,Saint-Marcel,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,440,,,,
17025,Sainte-Félicité,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,367,,,,
17030,Sainte-Perpétue,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,1684,,,,
17035,Tourville,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,569,,,,
17040,Saint-Damase-de-L'Islet,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,567,,,,
17060,Sainte-Louise,P,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,695,,,,
17065,Saint-Roch-des-Aulnaies,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,965,,,,
17070,Saint-Jean-Port-Joli,M,AR170,L'Islet,,,12,Chaudière-Appalaches,Municipalité locale,3307,,,,
18015,Saint-Fabien-de-Panet,P,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,1010,,,,
18025,Sainte-Apolline-de-Patton,P,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,529,,,,
18035,Sainte-Euphémie-sur-Rivière-du-Sud,M,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,371,,,,
18040,Notre-Dame-du-Rosaire,M,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,394,,,,
18045,Cap-Saint-Ignace,M,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,3156,,,,
18050,Montmagny,V,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,10952,,,,
18060,Saint-François-de-la-Rivière-du-Sud,M,AR180,Montmagny,,,12,Chaudière-Appalaches,Municipalité locale,1586,,,,
19005,Saint-Philémon,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,702,,,,
19010,Notre-Dame-Auxiliatrice-de-Buckland,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,792,,,,
19015,Saint-Nazaire-de-Dorchester,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,336,,,,
19020,Saint-Léon-de-Standon,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1037,,,,
19025,Saint-Malachie,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1726,,,,
19030,Saint-Damien-de-Buckland,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1867,,,,
19037,Armagh,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1449,,,,
19045,Saint-Nérée-de-Bellechasse,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,748,,,,
19050,Saint-Lazare-de-Bellechasse,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1345,,,,
19055,Sainte-Claire,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,3619,,,,
19062,Saint-Anselme,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,4368,,,,
19068,Saint-Henri,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,6009,,,,
19070,Honfleur,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,875,,,,
19075,Saint-Gervais,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,2192,,,,
19090,La Durantaye,P,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,820,,,,
19097,Saint-Charles-de-Bellechasse,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,2652,,,,
19105,Beaumont,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,3096,,,,
19110,Saint-Michel-de-Bellechasse,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1902,,,,
19117,Saint-Vallier,M,AR190,Bellechasse,,,12,Chaudière-Appalaches,Municipalité locale,1026,,,,
20005,Saint-François-de-l'Île-d'Orléans,M,AR200,L'Île-d'Orléans,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,569,,,,
20010,Sainte-Famille-de-l'Île-d'Orléans,M,AR200,L'Île-d'Orléans,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,875,,,,
20015,Saint-Jean-de-l'Île-d'Orléans,M,AR200,L'Île-d'Orléans,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,1114,,,,
20020,Saint-Laurent-de-l'Île-d'Orléans,M,AR200,L'Île-d'Orléans,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,1773,,,,
20025,Saint-Pierre-de-l'Île-d'Orléans,M,AR200,L'Île-d'Orléans,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,1756,,,,
21005,Saint-Tite-des-Caps,M,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,1519,,,,
21020,Saint-Joachim,P,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,1425,,,,
21025,Beaupré,V,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,4194,,Station de ski : 24 159 840 : 2.27Terrains vacants : 1958 700 : 2.27,,
21030,Sainte-Anne-de-Beaupré,V,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,3067,,,,
21035,Château-Richer,V,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,4540,,,,
21040,L'Ange-Gardien,M,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,3919,,,,
21045,Boischatel,M,AR210,La Côte-de-Beaupré,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,8854,,,,
22005,Sainte-Catherine-de-la-Jacques-Cartier,V,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,9161,,,,
22010,Fossambault-sur-le-Lac,V,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,2421,,,,
22020,Shannon,V,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,6903,,,,
22025,Saint-Gabriel-de-Valcartier,M,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,3314,,,,
22030,Lac-Delage,V,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,796,,,,
22035,Stoneham-et-Tewkesbury,CU,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,9947,,,,
22040,Lac-Beauport,M,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,8396,,,,
22045,Sainte-Brigitte-de-Laval,V,AR220,La Jacques-Cartier,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,8781,,,,
23027,Québec,V,,,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,574482,,,,
23057,L'Ancienne-Lorette,V,,,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,17406,,,,
23072,Saint-Augustin-de-Desmaures,V,,,CM235,Communauté métropolitaine de Québec,3,Capitale-Nationale,Municipalité locale,20590,,Taxes générales- Immeubles non résidentiels inférieur à 400 000$ :     92 303 997 x 2.4847$ = 2 293 477 $- Immeubles non résidentiels supérieur à 400 000$ :   398 478 909  x 3.1372$ = 12 501 080 $,,
25213,Lévis,V,,,CM235,Communauté métropolitaine de Québec,12,Chaudière-Appalaches,Municipalité locale,156225,,,,
26005,Frampton,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,1382,,,,
26010,Saints-Anges,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,1315,,,,
26015,Vallée-Jonction,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,1982,,,,
26022,Saint-Elzéar,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,2792,,,,
26030,Sainte-Marie,V,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,13374,,,,
26035,Sainte-Marguerite,P,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,1262,,,,
26040,Sainte-Hénédine,P,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,1469,,,,
26048,Scott,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,2807,,,,
26055,Saint-Bernard,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,2637,,,,
26063,Saint-Isidore,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,3462,,,,
26070,Saint-Lambert-de-Lauzon,M,AR260,La Nouvelle-Beauce,,,12,Chaudière-Appalaches,Municipalité locale,6955,,,,
27008,Saint-Victor,M,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,2358,,,,
27015,Saint-Alfred,M,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,535,,,,
27028,Beauceville,V,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,6285,,,,
27035,Saint-Odilon-de-Cranbourne,M,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,1436,,,,
27043,Saint-Joseph-de-Beauce,V,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,5208,,,,
27050,Saint-Joseph-des-Érables,M,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,390,,,,
27055,Saint-Jules,P,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,543,,,,
27060,Tring-Jonction,VL,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,1550,,,,
27065,Saint-Frédéric,P,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,1156,,,,
27070,Saint-Séverin,P,AR270,Beauce-Centre,,,12,Chaudière-Appalaches,Municipalité locale,311,,,,
28005,Saint-Zacharie,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,1654,,,,
28015,Sainte-Aurélie,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,856,,,,
28020,Saint-Prosper,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,3720,,,,
28025,Saint-Benjamin,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,1189,,,,
28030,Sainte-Rose-de-Watford,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,756,,,,
28035,Saint-Louis-de-Gonzague,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,382,,,,
28040,Saint-Cyprien,P,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,473,,,,
28045,Sainte-Justine,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,1812,,,,
28053,Lac-Etchemin,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,4076,,,,
28060,Saint-Luc-de-Bellechasse,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,470,,,,
28065,Sainte-Sabine,P,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,362,,,,
28070,Saint-Camille-de-Lellis,P,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,745,,,,
28075,Saint-Magloire,M,AR280,Les Etchemins,,,12,Chaudière-Appalaches,Municipalité locale,732,,,,
29005,Saint-Théophile,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,698,,,,
29013,Saint-Gédéon-de-Beauce,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,2144,,,,
29030,La Guadeloupe,VL,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,1846,,,,
29038,Saint-Honoré-de-Shenley,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,1615,,,,
29050,Saint-René,P,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,987,,,,
29057,Saint-Côme–Linière,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,3406,,,,
29065,Saint-Philibert,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,361,,,,
29073,Saint-Georges,V,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,33546,,,,
29095,Lac-Poulin,VL,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,174,,,,
29100,Saint-Benoît-Labre,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,1676,,,,
29112,Saint-Éphrem-de-Beauce,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,2411,,,,
29120,Notre-Dame-des-Pins,P,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,1894,,,,
29125,Saint-Simon-les-Mines,M,AR290,Beauce-Sartigan,,,12,Chaudière-Appalaches,Municipalité locale,593,,,,
30005,Saint-Augustin-de-Woburn,P,AR300,Le Granit,,,5,Estrie,Municipalité locale,672,,,,
