Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles 
FRQNT,,2018-2019,2017-2018,"PROULX-CABANA, VINCENT",209583,École Polytechnique de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,18332,0,18332,Structures abstraites,Mécanique des fluides,Analyse numérique,Transport,,AÉRODYNAMIQUE-numérique // PROGRAMMATION-simulation // RÉSOLUTION-équations-différentielles // MAILLAGE // EFFET-de-fuselage // MÉTHODE-vortex-lattice
FRQNT,,2018-2019,2017-2018,"SCHEED, LAURENT",209591,Cégep Édouard-Montpetit,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,32000,0,32000,"Techniques, mesures et systèmes",Contrôle de qualité ,Imagerie,Fabrication et production industrielle,Transport,Analyse automatique // Porosité // Structures aéronautiques // Matériaux composites // Controle non destructifs (CND) // Ultrasons
FRQNT,,2018-2019,2017-2018,"LÉPINE EL MAAROUFI, MIRYAM",209595,Université du Québec à Chicoutimi [UQAC],CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,5000,0,5000,Technologie de l'information et des communications ,Anxiété,Bioinformatique,Évolution et traitement des maladies,Fondements biomédicaux de la santé humaine,Prévention // Santé mobile // Auto-traitement // Technologie smartphone // Anxiété // Biofeedback
FRQNT,,2018-2019,2017-2018,"TREMBLAY, SÉBASTIEN",209618,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Nature et interactions de la matière,Molécules organiques et biomolécules,Apoptose et cancer,Fondements et avancement des connaissances,Évolution et traitement des maladies,Biopharmaceutique // Synthèse organique // Tests biologiques // Développement de nouveaux médicaments // Agents anti-inflammatoire // Pharmacologie moléculaire
FRQNT,,2018-2019,2017-2018,"EBRAHIMI, DARIUSH",209627,Université du Québec à Montréal [UQAM],CANADA,Québec,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,35000,0,35000,Technologie de l'information et des communications ,Réseaux de télécommunications,,Technologies des communications et de l'information,,Network Communications // Internet of Things // Optimisation // Algorithm Design  // Data Monitoring  // Data Analysis 
FRQNT,,2018-2019,2017-2018,"BOLDUC, ETIENNE",209628,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,5000,0,5000,Matériaux,Métaux et alliages,,Fondements et avancement des connaissances,,Mécanique Quantique // Électricité // Supraconductivité
FRQNT,,2018-2019,2017-2018,"NÉRON, SÉBASTIEN",209630,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Matériaux,Matériaux organiques ou de synthèse,Synthèse chimique et catalyse,Énergie,Fondements et avancement des connaissances,Matériaux // Synthèse // Organique // Supramoléculaire // Optoélectronique // Énergie
FRQNT,,2018-2019,2017-2018,"SLIMANI, HOCINE",209656,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,35000,0,35000,Organismes vivants ,"Motivation, émotions et récompense",,Fondements et avancement des connaissances,,Prise de décision // Douleur // Apprentissage instrumental // Évitement excessif // Imagerie fonctionnelle
FRQNT,,2018-2019,2017-2018,"MARTIGNAGO ZILLI, GUILHERME",209679,Université Concordia,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat pour étudiants étrangers ou étudiantes étrangères,DES,Bourses au doctorat en recherche pour étudiants étrangers ou étudiantes étrangères ,DE,20000,0,20000,Technologie de l'information et des communications ,Systèmes de télécommunications,Transmission et traitement des signaux numériques,Technologies des communications et de l'information,,Signal Processing // Adaptive Filtering // Beamforming // Power Control // Antenna Selection
FRQNT,,2018-2019,2017-2018,"EVANGELISTA, CZARINA",209681,Université Concordia,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat pour étudiants étrangers ou étudiantes étrangères,DES,Bourses au doctorat en recherche pour étudiants étrangers ou étudiantes étrangères ,DE,6666,0,6666,Organismes vivants ,"Motivation, émotions et récompense",,Fondements et avancement des connaissances,,Reward // Motivation // Dopamine
FRQNT,,2018-2019,2017-2018,"JENDI, ZEINA",209699,Université de Toronto,CANADA,Ontario,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,58333,0,58333,Énergie,Énergie éolienne et solaire,,Énergie,,Energy // Solar Cell // Perovskite // Defects // Atomistic simulations // Diffusion Length
FRQNT,,2018-2019,2017-2018,"LAROCQUE, STEPHANIE",209720,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Technologie de l'information et des communications ,Systèmes neuronaux,Systèmes experts ,Fondements et avancement des connaissances,Évolution et traitement des maladies,Informatique // Apprentissage Machine // Intelligence Artificielle // Réseaux Neuronaux // Apprentissage Profond // Applications à la santé
FRQNT,,2018-2019,2017-2018,"RIOUX, KARINE",209728,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Environnement,Glace et neige,Processus géologiques et géomorphologiques,Environnement,Ressources naturelles,Hydrologie périglaciaire // Polygones à coins de glace // Flux du carbone // Ravins de thermo-érosion // Géomorphologie périglaciaire // Pergélisol
FRQNT,,2018-2019,2017-2018,"MBARECHE, HAMZA",209748,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,Organismes vivants ,Micro-organismes,Polluants atmosphériques,Environnement,Santé publique,Bioaérosols  // Moisissures  // Air des environnements de travail // Séquençage d'ADN de nouvelle génération // Mycotoxines
FRQNT,,2018-2019,2017-2018,"EL FATHI, ANAS",209750,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,13333,0,13333,"Techniques, mesures et systèmes",Systèmes de contrôle,Bioprocédés et systèmes biomédicaux,Fondements biomédicaux de la santé humaine,Technologies des communications et de l'information,Closed-loop control // Model Predictive Control // Type 1 diabetes // Detection theory // Identifcation theory
FRQNT,,2018-2019,2017-2018,"LEPAGE, HUGO",209758,University of Cambridge,ROYAUME-UNI,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,Nature et interactions de la matière,Électron et neutron ,Nanomatériaux ,Technologies des communications et de l'information,Fondements et avancement des connaissances,Informatique quantique // Ordinateur quantique // Semiconducteurs // Transport d'électron // Source de photons uniques // Détection de photons
FRQNT,,2018-2019,2017-2018,"BECERRA ROMERO, DAVID CAMILO",209767,University of Manitoba,CANADA,Manitoba,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,35000,0,35000,Structures abstraites,Modélisation et simulation,,Fondements et avancement des connaissances,Technologies des communications et de l'information,Bioinformatics // Structural Biology // Protein-RNA-DNA // DeNovo Folding // Co-evolution // Multiple Sequence Alignments
FRQNT,,2018-2019,2017-2018,"GISONDI, VÉRONIQUE",209768,École Polytechnique de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,5000,0,5000,Fabrication et construction,Technologies de la construction,Conception de matériaux,Construction,Environnement,Changements climatiques // Développement durable // Structure de bâtiment // Bilan énergétique // Géothermie // Pergélisol
FRQNT,,2018-2019,2017-2018,"MAROIS, FRANCIS",209770,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,"Techniques, mesures et systèmes",Systèmes aériens et aérogare,,Transport,,Aéronautique // Conception // Optimisation // Propulsion distribuée // Électrique // Hybride
FRQNT,,2018-2019,2017-2018,"CHARTRAND, CAMILLE",209771,Simon Fraser University [SFU],CANADA,Colombie-Britannique,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Nature et interactions de la matière,Interactions rayonnement-matière,Semiconducteurs,Fondements et avancement des connaissances,,Informatique quantique expérimentale // Caractérisation optique des matériaux // Physique des semiconducteurs // Spectroscopie
FRQNT,,2018-2019,2017-2018,"ABU SAFIA, OUSAMA",209785,Carleton University,CANADA,Ontario,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,35000,0,35000,Technologie de l'information et des communications ,Systèmes de télécommunications,,Technologies des communications et de l'information,,Microwave and Millimeter Wave Circuits // Broadband antenna design  // Microwave metamaterials // Modeling of wave propagation // Dual and multi-band microwave filters
FRQNT,,2018-2019,2017-2018,"MONETTE, MAXIME",209802,Technische Universitat Dresden,ALLEMAGNE,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,"Techniques, mesures et systèmes",Techniques de l'espace,Propulsion ,Transport,Énergie,Breakthrough Physics // Electric Propulsion // Propellantless Propulsion // Mach Effect Thruster // Space Propulsion
FRQNT,,2018-2019,2017-2018,"TÉTREAULT, ÉTIENNE",209818,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,15000,0,15000,"Techniques, mesures et systèmes",Systèmes aériens et aérogare,Robotique et automatisation,Fondements et avancement des connaissances,Transport,Drone volant // Robotique // Contrôle // Modélisation de vol
FRQNT,,2018-2019,2017-2018,"MORIN-LAPORTE, GABRIEL",209826,École de technologie supérieure [ÉTS],CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,"Techniques, mesures et systèmes",Circuits intégrés ,Micro et nanoélectronique ,Technologies des communications et de l'information,Énergie,Miniature // Circuits Intégrés // Ultra Basse Puissance // Conversion Analogique // Capteurs // Sans-fil
FRQNT,,2018-2019,2017-2018,"RICHARD-LAFERRIÈRE, ANNABELLE",209839,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Nature et interactions de la matière,Galactique et cosmique,,Fondements et avancement des connaissances,,Astrophysique extra-galactique // Trou noir supermassif // Galaxie active // Analyse de données du télescope Hubble
FRQNT,,2018-2019,2017-2018,"KIENZLE, JULIE",209840,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,5000,0,5000,Structures abstraites,"Optimisation, contrôle et recherche opérationnelle ",,Transport,Fondements et avancement des connaissances,Programmation à deux niveaux // Tarification  // Réseau de transport // Maximiser un profit // Reformulation // Inégalités varitionnelles
FRQNT,,2018-2019,2017-2018,"SAOUD, JOSEPH",209852,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,13333,0,13333,Ressources naturelles ,Micro-organismes,,Ressources naturelles,,Amoebe  // Eau // Biologie moléculaire // Régulation // Maladie du légionnaire
FRQNT,,2018-2019,2017-2018,"BUTT, KAREN",209859,University of Michigan,ÉTATS-UNIS,Michigan,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,20000,0,20000,Structures abstraites,Théorie des nombres ,Algèbre,Fondements et avancement des connaissances,,Algèbre // Théorie algébrique des nombres // Courbes elliptiques // Cohomologie Galoisienne // Groupes algébriques // Torseurs 
FRQNT,,2018-2019,2017-2018,"ROY, NATASHA",209909,Université de Franche-Comté [Besançon],FRANCE,,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,1087,0,1087,Environnement,"Changements climatiques, impacts",Écosystème (terrestre et aquatique) ,Environnement,,"Changements climatiques, impacts // Relation homme-environnement // Utilisation des ressources naturelles // Groenland // Inuits historiques // Norois"
FRQNT,,2018-2019,2017-2018,"BOURGAULT, PASCAL",209916,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,15000,0,15000,Environnement,Glace et neige,Modélisation et simulation,Environnement,,Modélisation // Dynamique des fluides // Océanographie physique // Arctique // Intéractions eau-glace // Chenaux arctiques
FRQNT,,2018-2019,2017-2018,"PICARD, MARIE-ÈVE",209953,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,Organismes vivants ,Enzymes et protéines,Protéomique fonctionnelle et structurale,Fondements et avancement des connaissances,Environnement,tordeuse des bourgeons de l'épinette // protéines // enzymes // cristallographie aux rayons-X // conception d'inhibiteurs // lutte contre des insectes ravageurs
FRQNT,,2018-2019,2017-2018,"BOUDJADA, NAZIM",209957,Université de Toronto,CANADA,Ontario,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,Nature et interactions de la matière,Transitions de phases ,"Surfaces, interfaces et couches minces",Fondements et avancement des connaissances,,Condensed matter physics // Strongly correlated electrons // Electron transport // Topological phases // Two dimensional electron gas
FRQNT,,2018-2019,2017-2018,"BOUTHILLIER, ÉTIENNE",210015,École Polytechnique de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,15000,0,15000,Matériaux,Nanomatériaux ,,Fondements et avancement des connaissances,,Nanotechnologies // Nanomatériaux // Physique des matériaux // Semi-conducteurs // Épitaxie // Photodétecteur
FRQNT,,2018-2019,2017-2018,"DAYANANDAN, ARUN",210021,Université Concordia,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Organismes vivants ,Comportement biologique,Animal,Environnement,Ressources naturelles,Behavioural Ecology // Neophobia // Predator Prey Dynamics // Predator Recognition // Habitat Choice // Foraging Trade-offs
FRQNT,,2018-2019,2017-2018,"CHARRON, PHILIPPE",210034,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,13333,0,13333,Structures abstraites,Équations différentielles ,Asymptotique et analyse classique appliquée ,Fondements et avancement des connaissances,,Géométrie // Spectrale // Asymptotique // Limite // Semi-classique // Pleijel
FRQNT,,2018-2019,2017-2018,"ABOUSSALAH, AMINE MOHAMED",210036,Université de Toronto,CANADA,Ontario,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,20000,0,20000,Technologie de l'information et des communications ,Exploration de données (Data mining),Mathématiques discrètes ,Évolution et traitement des maladies,Sécurité,Big Data // Science des données // Apprentissage profond // Optimisation discrète // Optimisation combinatoire // Optimisation en nombres entiers
FRQNT,,2018-2019,2017-2018,"BEAULIEU, JULIEN",210052,Cégep de Sorel-Tracy,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un chercheur à temps plein dans un CCTT,COC,32000,0,32000,Environnement,Traitement et recyclage des déchets solides,Technologies propres,Fabrication et production industrielle,Environnement,économie circulaire // écologie industrielle // symbiose industrielle // exploration de données // mise en valeur des résidus // procédés propres
FRQNT,,2018-2019,2017-2018,"LEBLOND MÉNARD, CÉDRIC",210064,École Polytechnique de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,13334,0,13334,"Techniques, mesures et systèmes",Mécatronique,Reconnaissance des formes et infographie,Fondements biomédicaux de la santé humaine,Technologies des communications et de l'information,Mécatronique // Robotique // Vision artificielle // Intelligence artificielle // Adaptation  // Contrôle
FRQNT,,2018-2019,2017-2018,"BOUCHARD, FRÉDÉRIC",210100,University of Waterloo,CANADA,Ontario,Bourses et stages de formation,Bourses de maîtrise en recherche,B1,Bourses de maîtrise en recherche,B1X,10000,0,10000,Technologie de l'information et des communications ,Algorithmes,Développement de logiciels,Technologies des communications et de l'information,Fabrication et production industrielle,Prédicat // Optimisation // Analyse numérique // Permutation // Règles de contraintes
FRQNT,,2018-2019,2017-2018,"ALAM, MD SAHABUL",210113,École de technologie supérieure [ÉTS],CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,3889,0,3889,Technologie de l'information et des communications ,Systèmes de télécommunications,Transmission et traitement des signaux numériques,Technologies des communications et de l'information,Énergie,Physical layer communications // Cooperative communication // Smart grid monitoring // Impulsive channel // Wireless sensor network // Iterative detection
FRQNT,,2018-2019,2017-2018,"ADAMS, RHYS",210138,Cégep Vanier,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,32000,0,32000,Technologie de l'information et des communications ,Transmission et traitement des signaux numériques,Systèmes de télécommunications,Technologies des communications et de l'information,,optical communications // optical signal processing // microwave photonics // silicon photonics // ultrafast photonics // nonlinear photonics  
FRQNT,,2018-2019,2017-2018,"ROY, MARIE-EVE",210151,Université du Québec en Outaouais [UQO],CANADA,Québec,Bourses et stages de formation,Bourses de réintégration à la recherche,A2,Bourses de réintégration à la recherche / Doctorat,A2X2,20000,0,20000,Ressources naturelles ,Sylviculture,Biodiversité et biocomplexité,Ressources naturelles,Environnement,Biodiversité // Productivité forestière // Qualité des sols // Perturbations anthropiques // Résilience des écosystèmes // Communautés microbiennes
FRQNT,,2018-2019,2017-2018,"SABERI DERAKHTENJANI, ALI",210179,Université Concordia,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,13333,0,13333,Énergie,Économie d'énergie,Énergie éolienne et solaire,Énergie,Construction,Efficacité énergétique // Énergie solaire // Modélisation // Model predictive control (MPC) // Optimisation // Bâtiment
FRQNT,,2018-2019,2017-2018,"SEAMONE, BENJAMIN",210238,Collège Dawson,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,32000,0,32000,Structures abstraites,Combinatoire (Math),Mathématiques discrètes ,Fondements et avancement des connaissances,Sécurité,forbidden induced subgraphs // infinite graphs // graph searching // geometric graphs // ad hoc networks
FRQNT,,2018-2019,2017-2018,"ROBERT, EMILIE",210277,Cégep de l'Abitibi-Témiscamingue,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,31451,0,31451,Environnement,Sylviculture,"Traitement des eaux usées urbaines, industrielles et agricoles",Environnement,Ressources naturelles,Valorisation des résidus // Sulfate d'ammonium // Biochar // granules  // substrat de culture // Production de plants 
FRQNT,,2018-2019,2017-2018,"AUBÉ, MARTIN",210478,Cégep de Sherbrooke,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,32000,0,32000,Environnement,"Pollution par les ondes (bruit, micro-ondes, champs électromagnétiques)",Santé environnementale,Environnement,Santé publique,pollution lumineuse // modélisation // télédétection // santé humaine // épidémiologie // cancer
FRQNT,,2018-2019,2017-2018,"YIN, SUZHOU",210716,Cégep de Rimouski,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un chercheur à temps plein dans un CCTT,COC,32000,0,32000,Fabrication et construction,Autres transformations du bois,Bois,Construction,Ressources naturelles,Composite à base de bois // Adhésif et collage // Matériaux isolants écologiques // Analyse thermique // Recyclage des bois usagés // Chauffage à la biomasse
FRQNT,,2018-2019,2017-2018,"TAMIGNEAUX, ERIC",210739,Cégep de la Gaspésie et des Îles,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,31158,0,31158,Ressources naturelles ,Aquaculture,,Ressources naturelles,,Phycologie // Aquaculture // Macroalgues marines // Cycle de vie // Reproduction // Palmaria palmata
FRQNT,,2018-2019,2017-2018,"NADEAU, MADELEINE",210748,Cégep de la Gaspésie et des Îles,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un chercheur à temps plein dans un CCTT,COC,7800,0,7800,Environnement,Contrôle des risques naturels,Milieux et habitats,Fondements et avancement des connaissances,Environnement,Espèce envahissante // Biologie marine // Aquaculture // Adaptation
FRQNT,,2018-2019,2017-2018,"ANNAN, CHARLES-DARWIN",210772,Université Laval,CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Production et transformation de l'aluminium,0LU,135360,36548,171908,Fabrication et construction,Technologies de la construction,,Construction,,ponts // aluminium // conception // fatigue // optimisation // norme // ponts // aluminium // conception // fatigue // optimisation // norme
FRQNT,,2018-2019,2017-2018,"LÉVEILLÉ, RICHARD",210798,Cégep John Abbott,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un enseignant dans un collège ou un CCTT,COB,32000,0,32000,Environnement,Processus géologiques et géomorphologiques,Micro-organismes,Environnement,Fondements et avancement des connaissances,Biominéralisations // Argiles // Phyllosilicates // Bactéries // Biosignatures  // Mars
FRQNT,,2018-2019,2017-2018,"CHAOUCH, MOUNIR",210801,Cégep de Rimouski,CANADA,Québec,Subventions de recherche,Programme de recherche collégiale,CO,Programme de recherche pour les chercheurs de collège / Projets de recherche par un chercheur à temps plein dans un CCTT,COC,32000,0,32000,Ressources naturelles ,Autres transformations du bois,Revêtements,Ressources naturelles,Fondements et avancement des connaissances,Extraction des hémicelluloses (Xylane) // Copeaux de bois // Caractérisation des hémicelluloses // Modification des hémicelluloses // Revêtements de barrières // Propriétés physico-mécaniques
FRQNT,,2018-2019,2016-2017,"DESCHÊNES, FRANÇOIS",210809,Université du Québec à Rimouski [UQAR],CANADA,Québec,Subventions d'infrastructure,Réseau Québec maritime ,RQM,Réseau Québec maritime ,PHQM,313333,0,313333,Environnement,,,,,
FRQNT,,2018-2019,2017-2018,"CHEN, X-GRANT",210883,Université du Québec à Chicoutimi [UQAC],CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Production et transformation de l'aluminium,0LU,78741,21259,100000,Matériaux,Métaux et alliages,Revêtements,Fabrication et production industrielle,Santé publique,Caractérisation de matériaux // Technologie des revêtements // Propriétés antibactériennes  // Anodisation des surfaces d’aluminium // Tests microbiologiques // Anodisation des surfaces d’aluminium // Caractérisation de matériaux // Technologie des revêtements // Propriétés antibactériennes  // Tests microbiologiques // Évaluation de la cytotoxicité  // Évalueration de la cytotoxicité 
FRQNT,,2018-2019,2017-2018,"GOSSELIN, FRÉDÉRICK",210888,École Polytechnique de Montréal,CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Production et transformation de l'aluminium,0LU,78741,21259,100000,Fabrication et construction,Procédés physiques et mécaniques,Mécanique des solides,Fabrication et production industrielle,Fondements et avancement des connaissances,Grenaillage // Mise en forme par grenaillage // Simulations par éléments finis // Contraintes résiduelles // Mécanique des corps élancés // Mécanique des coques et des plaques // Mise en forme par grenaillage // Simulations par éléments finis // Contraintes résiduelles // Grenaillage // Mécanique des corps élancés // Mécanique des coques et des plaques
FRQNT,,2018-2019,2016-2017,"MOHA, NAOUEL",211455,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions de recherche,Équipes bilatérales Québec-France,QFR,Projets ad hoc / Équipes de l'INRIA,PHIA,15500,0,15500,Technologie de l'information et des communications ,,,,,
FRQNT,Cofinancé FRQSC,2018-2019,2016-2017,"BRUNEAU, ANNE",211459,Institut de recherche en biologie végétale [IRBV],CANADA,Québec,"Projets stratégiques, prix et autres initiatives",Projets stratégiques,PST,Projets stratégiques,PSTX,75000,0,75000,Environnement,,,,,
FRQNT,,2018-2019,2016-2017,"WALDISPÜHL, JÉRÔME",211485,Université McGill,CANADA,Québec,Subventions de recherche,Équipes bilatérales Québec-France,QFR,Projets ad hoc / Équipes de l'INRIA,PHIA,15500,0,15500,Nature et interactions de la matière,,,,,
FRQNT,,2018-2019,2016-2017,"GUIBAULT, FRANÇOIS",211552,École Polytechnique de Montréal,CANADA,Québec,Subventions de recherche,Équipes bilatérales Québec-France,QFR,Projets ad hoc / Équipes de l'INRIA,PHIA,15500,0,15500,Structures abstraites,,,,,
FRQNT,Programme 3 Fonds,2018-2019,2017-2018,"MBOW, CHEIKH AHMED TIDIANE",212055,Autre,,,"Projets stratégiques, prix et autres initiatives","Grands défis de société / Prix, projets stratégiques et autres initiatives",GDS,Programme conjoint Research and action in Africa,PHSGX,200000,0,200000,Ressources naturelles ,,,,,
FRQNT,,2018-2019,2017-2018,"GIGUÈRE, NICOLAS",252205,Cégep de Trois-Rivières,CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Production et transformation de l'aluminium,0LU,78740,0,78740,Matériaux,Métaux et alliages,,Transport,,Aluminium // Fusion // extrusion // transformation // alliages // traitement thermique
FRQNT,,2018-2019,2017-2018,"LAROUCHE, DANIEL",252831,Université Laval,CANADA,Québec,Subventions de recherche,Projets de recherche orientée en partenariat,PRO,Projets de recherche orientée en partenariat / Production et transformation de l'aluminium,0LU,78740,21260,100000,Matériaux,Métaux et alliages,,Fabrication et production industrielle,,Coulée DC // semi-solide // Éléments finis // Alliages // simulation
FRQNT,,2018-2019,2018-2019,"JENA, SANJAY DOMINIK",252860,Université du Québec à Montréal [UQAM],CANADA,Québec,Subventions de recherche,Soutien à la recherche pour l'établissement de la relève professorale ,ERP,Établissement de la relève professorale,NC,20000,5400,25400,Technologie de l'information et des communications ,Algorithmes,,Transport,,Systèmes de partage de vélos // Optimisation mathématique // Programmation stochastique // Exploitation de données massives
FRQNT,,2018-2019,2018-2019,"FERNANDES TROVÃO, JOÃO PEDRO",252886,Université de Sherbrooke,CANADA,Québec,Subventions de recherche,Soutien à la recherche pour l'établissement de la relève professorale ,ERP,Établissement de la relève professorale,NC,30000,8100,38100,Énergie,Systèmes de contrôle,Transport des marchandises,Énergie,,Électrification des transports // Système multi-moteur // Gestion d'énergie // Système multi-source // Modélisation // Batteries
FRQNT,,2018-2019,2018-2019,"LIANG, JINYANG",252960,Institut national de la recherche scientifique [INRS],CANADA,Québec,Subventions de recherche,Soutien à la recherche pour l'établissement de la relève professorale ,ERP,Établissement de la relève professorale,NC,20000,5400,25400,"Techniques, mesures et systèmes",Imagerie,Instruments,Fondements et avancement des connaissances,,biophotonique // imagerie ultra-rapide // imagerie streak // microscopie // temps de vie de fluorescence // détection compressée
