Fonds_gestion,Cofinancement,Annee_financiere,Debut_financement,Titulaire,Dossier,Etablissement,Pays_etablissement,Province_etablissement,Categorie_de_financement,Programme,Code_programme,Programme_volet,Code_volet,Montant_recherche,Frais_indirects,Montant_total,Domaine_de_recherche,Objet_de_recherche_1,Objet_de_recherche_2,Champs_application_1,Champs_application_2,Mots_cles
FRQNT,,2018-2019,2014-2015,"BÉGIN, PASCHALE NOËL",181647,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6667,0,6667,Environnement,Écosystème (terrestre et aquatique) ,Micro-organismes,Environnement,,Écologie microbienne // Arctique // Lacs // Zooplancton // Relations trophiques // Changement climatique
FRQNT,,2018-2019,2014-2015,"MELOT, MATTHIEU",186331,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses en milieu de pratique,BP,Bourses en milieu de pratique - BMP Innovation / Doctorat,BP2,1500,0,1500,Énergie,Hydro-électricité,Mécanique des fluides,Énergie,,Hydro-électricité // Turbine // Mécanique des fluides // CFD // Démarrage
FRQNT,,2018-2019,2015-2016,"FORTIER, RICHARD",186794,Université Laval,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,510000,0,510000,Environnement,Processus géologiques et géomorphologiques,Écosystème (terrestre et aquatique) ,Ressources naturelles,Environnement,Archéologie environnementale  // Arctique et Subarctique // Changements climatiques // Pergélisol et aménagement du territoire // Géologie et géomorphologie du Nord // Biodiversité aquatique et terrestre // Changements climatiques // Lacs et rivières // Pergélisol // Biodiversité // Arctique // Forêt boréale // Toundra // Nunavik // Nunavut // Géomorphologie // Génétique // Archéologie environnemtale // Subarctique // Écosystème // Cryosphère
FRQNT,,2018-2019,2015-2016,"TREMBLAY, JEAN-ÉRIC",186795,Université Laval,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,480000,0,480000,Environnement,Milieu marin,Écosystème (terrestre et aquatique) ,Environnement,Ressources naturelles,Technologies d'observation // Flux de matière // Changement global // Risques environnementaux // Organismes marins // Hydrodynamique // Circulation marine // Géodynamique marine // Biogéochimie marine // Écosystèmes marins // Impact du changement global // Nouvelles technologies // Arctique // Saint-Laurent // Océanographie // Interfaces terre-mer-glace-atmosphère
FRQNT,Cofinancé FRQSC,2018-2019,2015-2016,"TRÉPANIER, MARTIN",187190,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,585000,0,585000,Structures abstraites,"Optimisation, contrôle et recherche opérationnelle ",Modélisation et simulation,Transport,Fabrication et production industrielle,Transport // Production/distribution // TIC (techno information communication) // Aide à la décision // Réseaux logistiques // Sécurité dans les transports // Réseaux logistiques // Réseaux de transport // Production/distribution // Technologies de l'information // Outils d'aide à la décision // Sécurité dans les transports // Géographie des transports // Environnement
FRQNT,,2018-2019,2015-2016,"FAVIS, BASIL D.",187414,École Polytechnique de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,510000,0,510000,Matériaux,Polymères ,Composites ,Fondements et avancement des connaissances,Transport,Composites // Polymères // Biopolymères // Haute performance // Mise en oeuvre // Nanocomposites // Haute performance // Nanocomposites // Polymères // Biopolymères // Composites // Mise en oeuvre
FRQNT,,2018-2019,2015-2016,"DESAULNIERS, GUY",187640,HEC Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,493806,0,493806,Structures abstraites,"Optimisation, contrôle et recherche opérationnelle ",Réseaux de télécommunications,Technologies des communications et de l'information,Fondements et avancement des connaissances,Recherche opérationnelle // Programmation mathématique // Énergie // Transport et logistique // Productique // Télécommunications // théorie des jeux // mathématiques discrètes // exploration de données // statistique // transports // télécommunications // finance // biotechnologies // environnement // optimisation // décisions stratégiques et ressources min // aide à la décision // modélisation
FRQNT,,2018-2019,2015-2016,"HILKE, MICHAEL",187779,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,600000,0,600000,Matériaux,Nanomatériaux ,"Surfaces, interfaces et couches minces",Fondements et avancement des connaissances,Fabrication et production industrielle,Nanomatériaux // Supraconducteurs // Électronique organique // Calculs et méthodes numériques // Magnétisme // Matériaux quantiques // Nanosciences // Nanoélectronique // Surfaces // Interfaces // Magnétisme // Matériaux quantiques // Optoélectronique // Biophysique // Revêtements // Supraconductivité
FRQNT,,2018-2019,2015-2016,"DARVISHI ALAMDARI, HOUSHANG",187836,Université Laval,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,510000,0,510000,Matériaux,Métaux et alliages,Nanomatériaux ,Fabrication et production industrielle,Transport,Production de l'aluminium // Métallurgie et alliages // Transformation et procédés  // Assemblage // Allègement des structures // cycle de vie et efficacité énergétique // Assemblage // Conception // Formage // Modélisation // Matériaux réfractaires // Nanomatériaux // Moulage // Procédé Hall-Héroult // Aluminium // Thermodynamique // Métallurgie physique
FRQNT,,2018-2019,2015-2016,"SAWAN, MOHAMAD",187988,École Polytechnique de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,540000,0,540000,Technologie de l'information et des communications ,Micro et nanoélectronique ,Circuits intégrés ,Technologies des communications et de l'information,,"Circuits & systèmes de télécommunication // Circuits et systèmes biomedicaux // Design, test et vérification // Micro et nanoélectronique // Microsystèmes // Algorithmes, modélisation et simulation // Test et vérification // Micro et nanoélectronique // Conception d'algorithmes // Applications télécommunications // Applications biomédicales // Modélisation & simulation // Microsystèmes hétérogènes // Conception de circuits et sytèmes // Applications aéronautiques // Applications multimedia"
FRQNT,,2018-2019,2015-2016,"VINET, LUC",187992,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,510000,0,510000,Structures abstraites,Géométrie,Équations différentielles ,Fondements et avancement des connaissances,Technologies des communications et de l'information,Analyse fondamentale et applications // Statistique et probabilité // Physique mathématique // Théorie des nombres et algèbre // Géométrie et topologie // Combinatoire et informatique théorique
FRQNT,,2018-2019,2015-2016,"VOYER, NORMAND",188158,Université Laval,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,510000,0,510000,Nature et interactions de la matière,Mécanismes biologiques et biochimiques,Protéomique fonctionnelle et structurale,Fondements et avancement des connaissances,Environnement,Biotechnologie // Biophysique moléculaire // Chimie bioorganique et médicinale // ingénierie et applications des protéines // Biocatalyse et enzymologie // Protéines et peptides membranaires // Chimie médicinale // Synthèse organique // Spectroscopie de protéine // Biotechnologie // Génomique // Peptides // Résistance aux antibiotiques // Protéomique // Modélisation moléculaire // Protéases et inhibiteurs // Protéines // Structure-fonction des protéines // Enzyme // Acides-aminés // Macromolécule // Biocatalyse // Biologie structurale // Enzymologie // Nanobiotechnologie // Cristallographie // Diffraction des rayons X // Dynamique moléculaire // Bioinformatique // Modélisation moléculaire // Évolution dirigée // Métalloprotéines // Regroupement stratégique - FRQNT // Biophysique moléculaire // Interactions protéiques // Ingénierie des protéines // Bioprocédés // Métabolomique // Bioéconomie // Génomique virale
FRQNT,Dossier 3 Fonds,2018-2019,2015-2016,"JACQUES, PIERRE-ÉTIENNE",188181,Université de Montréal,CANADA,Québec,Subventions d'infrastructure,Regroupements stratégiques,RS,Regroupements stratégiques / Centres de recherche,RS1,760000,0,760000,"Méthodologies, techniques et instrumentation",Phénomènes quantiques,Chimie combinatoire,Fondements et avancement des connaissances,Énergie,calcul informatique de pointe // parallélisme // modélisation numérique // optimisation // architecture à mémoire partagée // accélération de calculs sur GPU // calcul de haute performance // parallélisme // modélisation numérique // optimisation // architecture à mémoire partagée // accélération de calculs sur GPU
FRQNT,,2018-2019,2015-2016,"ALAMEH, ABDUL HAFIZ",189092,École de technologie supérieure [ÉTS],CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Technologie de l'information et des communications ,Semiconducteurs,Transmission et traitement des signaux numériques,Technologies des communications et de l'information,Fabrication et production industrielle,MEMS modelling methodology // MEMS electrostatic actuation // Reconfigurable charge pumps // Co-design and co-simulation   // Verilog Code // Circuit simulator
FRQNT,,2018-2019,2015-2016,"DA SILVA, PATRICK",189276,Université libre de Berlin ,ALLEMAGNE,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,7166,0,7166,Structures abstraites,Algèbre,Géométrie,Fondements et avancement des connaissances,,Géométrie algébrique // Espace de modules // Surfaces K3 // Cohomologie des faisceaux
FRQNT,,2018-2019,2015-2016,"BOUCHER LALONDE, VÉRONIQUE",189649,Université de Sherbrooke,CANADA,Québec,Bourses et stages de formation,Bourses de recherche postdoctorale,B3,Bourses de recherche postdoctorale,B3X,5833,0,5833,Organismes vivants ,Végétal,,Fondements et avancement des connaissances,,Biologie // Écologie // Biodiversité // Biogéographie // Forêts tempérées // Homogénéisation biotique
FRQNT,,2018-2019,2015-2016,"FISET, MARC-ANTOINE",190523,Université d'Oxford,ROYAUME-UNI,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Structures abstraites,Géométrie,Structure de l'univers,Fondements et avancement des connaissances,,Théorie des cordes // Géométrie spectrale // Théorie conforme des champs // Variétés Calabi-Yau // Espace des modules
FRQNT,,2018-2019,2015-2016,"WANG, YIZHONG",190945,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses en milieu de pratique,BP,Bourses en milieu de pratique - BMP Innovation / Doctorat,BP2,3000,0,3000,Technologie de l'information et des communications ,Systèmes informatiques ,Développement de logiciels,Technologies des communications et de l'information,,new musical instruments // interface design // gesture mapping // sensor interfaces
FRQNT,,2018-2019,2015-2016,"TREMBLAY-AUCLAIR, JEAN-PHILIPPE",191106,Université Laval,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,13333,0,13333,Fabrication et construction,Résistance sismique,Bâtiments,Fondements et avancement des connaissances,Construction,Structures en bois // Bâtiments multi-étagés // Murs de refend en bois // Performance parasismique // Conception basée sur les déplacements // Conception à faibles dommages
FRQNT,,2018-2019,2015-2016,"GOSSELIN, CATHERINE",191405,Université du Québec à Trois-Rivières [UQTR],CANADA,Québec,Bourses et stages de formation,Bourses de recherche en énergie,A7,Bourses de recherche en énergie / Doctorat,A7X2,13333,0,13333,Énergie,Stockage d'énergie,Technologie de l'hydrogène,Énergie,Fondements et avancement des connaissances,Stockage d'énergie // Hydrogène  // Hydrure métallique // Solution solide // Alliage cubique centré  (bcc) // Corrélation enthalpie / entropie
FRQNT,,2018-2019,2015-2016,"BECK, NICHOLAS",191726,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Structures abstraites,Études actuarielles,Statistiques théoriques,Croissance économique,Fondements et avancement des connaissances,Théorie du risque // Mesures de risque // Analyse Multivariée // Copules // Consistency // Théorie des Mesures
FRQNT,,2018-2019,2015-2016,"BERNARD, SIMON",191754,Université McGill,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Nature et interactions de la matière,Interactions rayonnement-matière,Phénomènes quantiques,Fondements et avancement des connaissances,Technologies des communications et de l'information,Optomechanics // Micro-electromechanical systems // Quantum optics // Nanofabrication // Photonic crystals
FRQNT,,2018-2019,2015-2016,"TREMBLAY, BENOIT",192108,Université de Montréal,CANADA,Québec,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Nature et interactions de la matière,Systèmes planétaire et solaire,,Fondements et avancement des connaissances,Environnement,Zone convective // Photosphère // Physique solaire // Magnétohydrodynamique // Simulations numériques // Assimilation de données
FRQNT,,2018-2019,2015-2016,"GAGNON, MARIANNE",192405,Temple University,ÉTATS-UNIS,Pennsylvania,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Organismes vivants ,Évolution et phylogénie,Comportement biologique,Environnement,Ressources naturelles,Evolutionary ecology // Sexual selection // Bird colour signaling // Colour discrimination // Behavioural ecology // Operant conditioning
FRQNT,,2018-2019,2015-2016,"ST-JEAN, SAMUEL",192865,Utrecht University,PAYS-BAS,,Bourses et stages de formation,Bourses de doctorat en recherche,B2,Bourses de doctorat en recherche,B2X,6666,0,6666,Technologie de l'information et des communications ,Transmission et traitement des signaux numériques,,Technologies des communications et de l'information,,Imagerie de diffusion // Apprentissage automatique // Microstructure // Débruitage // Super résolution
