ï»¿ID,MUNICIPALITE,MARQUE,MODELE,LAT,LONG,ETAT,ETAT_resolved,DEBITESTIME,DEBITDISPONIBLE,PROFONDEUR,DATEPEINTURE,CLASSEDEBITNFPA,CLASSEDEBITNFPA_resolved
86,25213,Couture,,46.67679722357117,-71.2241677378579,,,,,,,,
87,25213,Couture,,46.671412374458384,-71.22908969046483,,,,,,,,
88,25213,Couture,,46.675289575609845,-71.22738227142739,,,,,,,,
89,25213,Couture,,46.67413579962916,-71.22745374703032,,,,,,,,
90,25213,Couture,,46.6761824594639,-71.22809288820439,,,,,,,,
91,25213,Couture,,46.688443144290154,-71.23395362421418,,,,,,,,
92,25213,,,46.69095579831399,-71.23865201579241,,,,,,,,
93,25213,Drolet,400,46.66706880657074,-71.23068975877207,,,,,,,,
94,25213,Couture,,46.67342133783148,-71.22760013900813,,,,,,,,
95,25213,,,46.67381180734027,-71.22581564418797,,,,,,,,
96,25213,Daigle,D-63,46.72087066157313,-71.25710258155755,,,,,,,,
97,25213,Darling,B-50-B-18,46.718752864763474,-71.25559438690931,,,,,,,,
98,25213,Drolet,400,46.707735597158994,-71.26609465709767,,,,,,,,
99,25213,,,46.70714345043598,-71.26773649926052,,,,,,,,
100,25213,,,46.7149059661331,-71.26137327045042,,,,,,,,
101,25213,Darling,B-50-B-18,46.7208361777608,-71.26404383431522,,,,,,,,
102,25213,,,46.72020322311939,-71.25190307281484,,,,,,,,
103,25213,,,46.72173076185231,-71.24587293136194,,,,,,,,
104,25213,Drolet,400,46.719905309340014,-71.24923839010037,,,,,,,,
105,25213,Drolet,400,46.720030263911354,-71.25313984608442,,,,,,,,
106,25213,Drolet,400,46.711297393146026,-71.26845467883703,,,,,,,,
107,25213,Drolet,400,46.72239104358529,-71.27147056431491,,,,,,,,
108,25213,,,46.72247006857235,-71.26855075358478,,,,,,,,
109,25213,,,46.7207686532834,-71.26634897770258,,,,,,,,
110,25213,Drolet,400,46.70925266842554,-71.27677334029443,,,,,,,,
111,25213,,,46.712445992080355,-71.27665529678777,,,,,,,,
112,25213,Darling,B-50-B-18,46.72265893646035,-71.2772956480981,,,,,,,,
113,25213,Drolet,400,46.71651951554123,-71.2768466409718,,,,,,,,
114,25213,Mueller,Centurion,46.71663263914044,-71.27571797016745,,,,,,,,
115,25213,,,46.71146690023337,-71.2749521578475,,,,,,,,
116,25213,Darling,B-50-B-18,46.721062257868695,-71.27459008457252,,,,,,,,
117,25213,Darling,B-50-B-18,46.72133669735371,-71.27562477453631,,,,,,,,
118,25213,,,46.709343400745766,-71.27535238410385,,,,,,,,
119,25213,,,46.710994787990515,-71.27016432556754,,,,,,,,
120,25213,,,46.749727934138996,-71.2264375380036,,,,,,,,
121,25213,Sentinel,Sentinelle,46.75191035461741,-71.22266141010957,,,,,,,,
122,25213,,,46.752508767343386,-71.22228636503561,,,,,,,,
123,25213,Couture,,46.752688454759685,-71.21994486320598,,,,,,,,
124,25213,Couture,,46.75360607967918,-71.21937973072053,,,,,,,,
125,25213,Couture,,46.75338061685596,-71.21824705630397,,,,,,,,
126,25213,Darling,B-50-B-18,46.75028122053715,-71.22817841689856,,,,,,,,
127,25213,Mueller,Centurion,46.75131199682769,-71.22963429972955,,,,,,,,
128,25213,Drolet,400,46.75233715038876,-71.2281607151433,,,,,,,,
129,25213,Darling,B-50-B-18,46.75497261416583,-71.22762981653054,,,,,,,,
130,25213,Couture,,46.75348830885298,-71.22986347081695,,,,,,,,
131,25213,Sentinel,Sentinelle,46.75295625585253,-71.22644750021112,,,,,,,,
132,25213,Sentinel,Sentinelle,46.751775666060716,-71.22395130639352,,,,,,,,
133,25213,,,46.753993993926336,-71.22543328144943,,,,,,,,
134,25213,Sentinel,Sentinelle,46.752903100038296,-71.22760940922755,,,,,,,,
135,25213,Drolet,400,46.753635525852616,-71.2280304751275,,,,,,,,
136,25213,Daigle,D-67,46.75658955359101,-71.22474332043375,,,,,,,,
137,25213,,,46.75295109466664,-71.2239000817522,,,,,,,,
138,25213,Darling,B-50-B-18,46.75475533610668,-71.22156763189237,,,,,,,,
139,25213,Darling,B-50-B-18,46.753912924605096,-71.22248128587678,,,,,,,,
140,25213,,,46.753851853040864,-71.22379590812037,,,,,,,,
141,25213,Drolet,400,46.75500881153939,-71.22411441659771,,,,,,,,
142,25213,Drolet,400,46.75593355242577,-71.22424231125214,,,,,,,,
143,25213,,,46.755906726553434,-71.2228618245084,,,,,,,,
144,25213,,,46.67446530307706,-71.22448849358021,,,,,,,,
145,25213,Couture,,46.6814443764241,-71.22980221461053,,,,,,,,
146,25213,Drolet,400,46.681366592663906,-71.22468230037066,,,,,,,,
147,25213,,,46.68224583858298,-71.22604492112445,,,,,,,,
148,25213,Couture,,46.68286630259985,-71.22728664391794,,,,,,,,
149,25213,,,46.69531634524324,-71.23348754728649,,,,,,,,
150,25213,,,46.6958509951371,-71.23227665373678,,,,,,,,
151,25213,,,46.696461647095326,-71.23091463923201,,,,,,,,
152,25213,,,46.69459437539728,-71.23271452654343,,,,,,,,
153,25213,Couture,,46.67756851855345,-71.22854446220725,,,,,,,,
154,25213,Couture,,46.67921957440209,-71.22668590642188,,,,,,,,
155,25213,Couture,,46.67771793731287,-71.22242857736525,,,,,,,,
156,25213,Couture,,46.679001862621874,-71.22248189698446,,,,,,,,
157,25213,Canron,C-61A,46.68004906876031,-71.22160772603337,,,,,,,,
158,25213,,,46.680974056050104,-71.22258922157306,,,,,,,,
159,25213,,,46.682746427514594,-71.22322797499375,,,,,,,,
160,25213,,,46.683654082454304,-71.22204620461142,,,,,,,,
161,25213,,,46.68244519758583,-71.22224679953051,,,,,,,,
162,25213,Drolet,400,46.67173733183206,-71.22493130579515,,,,,,,,
163,25213,Couture,,46.69308781470857,-71.23639098295821,,,,,,,,
164,25213,Couture,,46.693098301915036,-71.23821219569895,,,,,,,,
165,25213,Drolet,100,46.675645815932164,-71.22297456879312,,,,,,,,
166,25213,Couture,,46.67183765538431,-71.22636228455109,,,,,,,,
167,25213,Couture,,46.67051348627819,-71.22875067004988,,,,,,,,
168,25213,Canron,C-61A,46.71137606948581,-71.27019871108247,,,,,,,,
169,25213,Darling,B-50-B-18,46.71045362945096,-71.27376177738422,,,,,,,,
170,25213,Sentinel,Sentinelle,46.72423030582607,-71.25042248130235,,,,,,,,
171,25213,Sentinel,Sentinelle,46.723200997126355,-71.25082233751289,,,,,,,,
172,25213,Sentinel,Sentinelle,46.717489480291,-71.25686558862256,,,,,,,,
173,25213,Darling,B-50-B-18,46.72038247164652,-71.25834317795399,,,,,,,,
174,25213,Darling,B-50-B-18,46.71799841317013,-71.25515971904717,,,,,,,,
175,25213,Drolet,400,46.719329364004125,-71.25545538876743,,,,,,,,
176,25213,Darling,B-50-B-18,46.719574492178424,-71.25715563848603,,,,,,,,
177,25213,Sentinel,Sentinelle,46.72404798745205,-71.25184495962498,,,,,,,,
178,25213,Mueller,Centurion,46.722453496799474,-71.25192729879242,,,,,,,,
179,25213,Sentinel,Sentinelle,46.72362688913226,-71.24895870982292,,,,,,,,
180,25213,Sentinel,Sentinelle,46.7246363486436,-71.24987175275919,,,,,,,,
181,25213,Darling,B-50-B-18,46.72031906884886,-71.25590447656158,,,,,,,,
182,25213,Darling,B-50-B-18,46.718752938243476,-71.25816890642834,,,,,,,,
183,25213,,,46.72187013717508,-71.25429843040577,,,,,,,,
184,25213,Mueller,Centurion,46.7207781001289,-71.25270262674172,,,,,,,,
185,25213,,,46.72080048662877,-71.24879269112388,,,,,,,,
186,25213,,,46.72119649681643,-71.2474840616262,,,,,,,,
187,25213,Daigle,D-63,46.72209337207762,-71.24979559498453,,,,,,,,
188,25213,Daigle,D-63,46.72173669092175,-71.25202950313437,,,,,,,,
189,25213,,,46.72224821353739,-71.25345013284795,,,,,,,,
190,25213,,,46.72312276169497,-71.25471061775099,,,,,,,,
191,25213,Drolet,400,46.72339271354083,-71.25339292065605,,,,,,,,
192,25213,,,46.757030432089316,-71.22596738148003,,,,,,,,
193,25213,,,46.75769753090359,-71.22571631110704,,,,,,,,
194,25213,,,46.75691805414659,-71.22771999004468,,,,,,,,
195,25213,,,46.75770400482381,-71.22634507046466,,,,,,,,
196,25213,,,46.75755721044379,-71.22864456292356,,,,,,,,
197,25213,,,46.764096248274804,-71.22602553454807,,,,,,,,
198,25213,Canron,C-61A,46.76501366132034,-71.22506872158374,,,,,,,,
199,25213,Drolet,400,46.76701519830339,-71.20235132492742,,,,,,,,
200,25213,Drolet,400,46.76443442040928,-71.2065072436853,,,,,,,,
201,25213,,,46.765843594979984,-71.207165210102,,,,,,,,
202,25213,Drolet,400,46.7508223283796,-71.18271799043704,,,,,,,,
203,25213,,,46.77150092865003,-71.19568037543182,,,,,,,,
204,25213,Drolet,400,46.775598851813406,-71.1996459711816,,,,,,,,
205,25213,,,46.77292000271168,-71.19059900616335,,,,,,,,
206,25213,,,46.776250203606715,-71.1883681169904,,,,,,,,
