IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;CODE_LOI_REGLEMENT;NO_ARTCL_L_R;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;DESC_TYP_VEH_INFRA;DESCN_CAT_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT
DI9999002AM300;4;2022-05-09;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI9999002AM300;5;2022-05-09;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI9999002AM300;6;2022-05-09;;ANC;c.C-24.2;646;EX;VL;Véhicule lourd;Matières dangereuses;;
DI9999002AM300;7;2022-05-09;;ANC;c.C-24.2;471;EX;VL;Véhicule lourd;Arrimage;;
DI99990038N300;1;2022-11-08;;ANC;c.C-24.2;531;AU;VR;Véhicule routier;Vérification mécanique;;
DI99990066N300;3;2022-10-31;;ANC;c.C-24.2;519.2;CD;VL;Véhicule lourd;Ronde de sécurité;;
DI99990066N300;4;2022-10-31;;ANC;c.C-24.2;519.15.1;EX;VL;Véhicule lourd;Ronde de sécurité;;
DI9999008UM300;2;2022-09-03;;ANC;c.C-24.2;370;CO;VR;Véhicule routier;Règles de circulation;;
DI999900B4M300;9;2022-03-25;;ANC;c.C-24.2;513;CO;EN;Ensemble de véhicules routiers;Permis spécial;;
DI999900B4M300;10;2022-03-25;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999900B4M300;11;2022-03-25;;ANC;c.C-24.2;519.8.1;CD;VL;Véhicule lourd;Heures de conduite;;
DI999900B4M300;12;2022-03-25;;ANC;c.C-24.2;513;AU;VR;Véhicule routier;Permis spécial;;
DI999900DSL300;1;2022-01-26;;ANC;c.C-24.2;646;CD;VL;Véhicule lourd;Matières dangereuses;;
DI999900IAN300;1;2022-11-21;;ANC;c.C-24.2;210;PR;VR;Véhicule routier;Équipement;;
DI999900KMM300;1;2022-07-18;;ANC;c.C-24.2;471;CD;VL;Véhicule lourd;Arrimage;;
DI999900QIM300;1;2022-06-26;;ANC;c.C-24.2;359;CO;VR;Véhicule routier;Règles de circulation;;
