IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT;NO_ARTCL_L_R;CODE_LOI_REGLEMENT;DESCR_TYPE_VEH_INFRA;DESCN_CAT_INFRA 
DI99997DD2L300;3;2021-08-25;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997DF2K300;1;2021-02-18;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997DIOK300;1;2021-06-01;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997DM8L300;5;2021-09-29;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997DM8L300;6;2021-09-29;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997DM8L300;11;2021-09-29;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997DNYJ300;1;2021-02-01;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997DO8K300;1;2021-03-18;;ANC;EX;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI99997DSGL300;2;2021-11-10;;ANC;PR;VL;;;270;c.C-24.2;Véhicule lourd;Équipement
DI99997DSGL300;3;2021-11-10;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997DTUJ300;1;2021-01-14;;ANC;PR;VR;;;32;c.C-24.2;Véhicule routier;Immatriculation
DI99997DXQK300;1;2021-06-15;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI99997E1ZK300;3;2021-08-03;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997E1ZK300;4;2021-08-03;;ANC;EX;VL;;;519.25;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997E6XJ300;1;2021-01-25;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997E6XJ300;2;2021-01-25;;ANC;PR;VR;;;473;c.C-24.2;Véhicule routier;Dimension
DI99997EA5K300;1;2021-03-04;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997EB3L300;1;2021-08-31;;ANC;EX;VL;15980;16490;463;c.C-24.2;Véhicule lourd;Surcharge totale
DI99997EB3L300;2;2021-08-31;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997EB3L300;3;2021-08-31;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997EDRK300;2;2021-06-16;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997EM9K300;1;2021-03-23;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997EUTJ300;2;2021-01-08;;ANC;CO;VR;;;443.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99997EW1L300;3;2021-08-23;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997EW1L300;4;2021-08-23;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997EYDK300;1;2021-04-12;;ANC;CO;EN;;;473.1;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI99997EYPK300;1;2021-06-09;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997F0AL300;1;2021-10-06;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997F2MK300;1;2021-05-19;;ANC;EX;VL;2,6;3,25;463;c.C-24.2;Véhicule lourd;Dimension
DI99997F5WK300;1;2021-07-14;;ANC;PR;VL;;;519.17;c.C-24.2;Véhicule lourd;Vérification mécanique
DI99997F8UK300;1;2021-07-05;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997F8UK300;2;2021-07-05;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997F8UK300;3;2021-07-05;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997FBGK300;1;2021-04-22;;ANC;PR;VR;;;32;c.C-24.2;Véhicule routier;Immatriculation
DI99997FBSK300;2;2021-06-22;;ANC;PR;VL;;;519.15;c.C-24.2;Véhicule lourd;Vérification mécanique
DI99997FBSK300;3;2021-06-22;;ANC;EX;VL;;;519.17;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997FFCL300;1;2021-10-19;;ANC;CO;HN;;;464;c.C-24.2;Véhicule hors normes;Permis spécial
DI99997FFCL300;2;2021-10-19;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997FHOK300;1;2021-06-01;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997FIAL300;1;2021-10-07;;ANC;EX;VL;19;20,1;463;c.C-24.2;Véhicule lourd;Dimension
DI99997FKMK300;2;2021-05-20;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI99997FQUK300;2;2021-07-07;;ANC;PR;VR;;;210.1;c.C-24.2;Véhicule routier;Équipement
DI99997FQUK300;3;2021-07-07;;ANC;PR;EN;;;272;c.C-24.2;Ensemble de véhicules routiers;Équipement
DI99997FR4L300;2;2021-09-08;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997FR4L300;3;2021-09-08;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997FTSK300;1;2021-06-23;;ANC;AU;VL;;;48;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI99997FTSK300;2;2021-06-23;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997FZ0K300;1;2021-02-10;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997FZCK300;2;2021-04-07;;ANC;EX;VL;;;4;c.T-12;Véhicule lourd;Documents d'expédition
DI99997G0BK300;2;2021-03-27;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997G0ZK300;1;2021-08-03;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997G19L300;1;2021-09-30;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997G67K300;1;2021-03-12;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997G67K300;2;2021-03-12;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997G75L300;1;2021-09-10;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI99997G9TK300;2;2021-06-28;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997GAFL300;3;2021-11-03;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997GAFL300;4;2021-11-03;;ANC;CO;VR;;;473.1;c.C-24.2;Véhicule routier;Permis spécial
DI99997GAFL300;5;2021-11-03;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997GD1L300;1;2021-08-18;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997GD1L300;2;2021-08-18;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997GGBL300;1;2021-10-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997GOVK300;2;2021-07-13;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997GQVJ300;3;2021-01-18;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997GRHK300;2;2021-04-29;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997GUFK300;1;2021-04-20;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99997GV1L300;1;2021-08-23;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI99997GXDK300;2;2021-04-12;;ANC;EX;VL;;;4;c.T-12;Véhicule lourd;Documents d'expédition
DI99997H3YJ300;2;2021-01-28;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997H5IL300;1;2021-11-17;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997HBEL300;5;2021-10-28;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997HDQK300;3;2021-06-10;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997HGOK300;3;2021-06-01;;ANC;;;;;50.0.8;c.T-1;;Permis IFTA
DI99997HGOK300;4;2021-06-01;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI99997HGOK300;5;2021-06-01;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI99997HGOK300;6;2021-06-01;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997HJMK300;2;2021-05-20;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997HOWJ300;1;2021-01-21;;ANC;EX;VL;3300;3500;463;c.C-24.2;Véhicule lourd;Surcharge axiale
DI99997HP6K300;2;2021-03-10;;ANC;AU;VR;4,4;4,6;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997HPUK300;2;2021-07-07;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997HPUK300;3;2021-07-07;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997HPUK300;4;2021-07-07;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997HQ4L300;1;2021-09-08;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997HSGK300;1;2021-04-25;;ANC;CO;VR;;;368;c.C-24.2;Véhicule routier;Règles de circulation
DI99997HWCL300;4;2021-10-21;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI99997I09L300;4;2021-09-30;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997I09L300;5;2021-09-30;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997I09L300;6;2021-09-30;;ANC;EX;VL;5600;6200;463;c.C-24.2;Véhicule lourd;Surcharge axiale
DI99997I1ZJ300;3;2021-02-02;;ANC;EX;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997I2LK300;5;2021-05-13;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997I37L300;1;2021-09-21;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI99997I5VK300;1;2021-07-08;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997I5VK300;2;2021-07-08;;ANC;PR;VR;;;270;c.C-24.2;Véhicule routier;Équipement
DI99997I5VK300;3;2021-07-08;;ANC;CQ;AQ;;;55;c.T-11.2;Automobile qualifiée;Loi concernant le transpt. rémunéré de pers. par automobile
DI99997I5VK300;4;2021-07-08;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997I9FL300;1;2021-11-03;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997I9FL300;2;2021-11-03;;ANC;CD;VL;;;310;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997I9FL300;3;2021-11-03;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IATJ300;1;2021-01-06;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IB3K300;3;2021-02-23;;ANC;CD;VL;;;519.6;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IB3K300;4;2021-02-23;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IBFK300;1;2021-04-18;;ANC;EX;VL;;;270;c.C-24.2;Véhicule lourd;Équipement
DI99997ICDL300;1;2021-10-25;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997IE1K300;2;2021-02-12;;ANC;CD;VL;;;310;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997IEDK300;1;2021-04-08;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI99997IEDK300;2;2021-04-08;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997IHNK300;1;2021-05-26;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997IK9K300;2;2021-03-22;;ANC;EX;VL;14,65;16,18;463;c.C-24.2;Véhicule lourd;Dimension
DI99997IK9K300;3;2021-03-22;;ANC;;;;;50.0.8;c.T-1;;Vignette IFTA
DI99997IMXJ300;2;2021-01-26;;ANC;CO;VR;;111;328;c.C-24.2;Véhicule routier;Règles de circulation
DI99997IQTK300;2;2021-06-30;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IQTK300;3;2021-06-30;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IR3L300;3;2021-09-01;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997ISTJ300;2;2021-01-07;;ANC;EX;VL;;;519.15.1;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997ISTJ300;3;2021-01-07;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997IUDL300;1;2021-10-27;;ANC;CO;VR;;;474;c.C-24.2;Véhicule routier;Dimension
DI99997IWDK300;2;2021-04-12;;ANC;EX;VL;;;519.15.1;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IWDK300;3;2021-04-12;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IWDK300;4;2021-04-12;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997IWDK300;5;2021-04-12;;ANC;CD;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI99997IWDK300;8;2021-04-12;;ANC;PR;VL;;;257.1;c.C-24.2;Véhicule lourd;Équipement
DI99997IZBK300;2;2021-03-31;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99997IZBK300;3;2021-03-31;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997J0AK300;1;2021-03-24;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997J0MK300;5;2021-05-18;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997J0MK300;6;2021-05-18;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997J46L300;1;2021-09-16;;ANC;CO;VR;;;366;c.C-24.2;Véhicule routier;Règles de circulation
DI99997J9SK300;1;2021-06-21;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997J9SK300;2;2021-06-21;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997JD0L300;4;2021-08-11;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997JD0L300;5;2021-08-11;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997JD0L300;6;2021-08-11;;ANC;EX;VL;;;519.17;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JDOL300;1;2021-12-30;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997JFOK300;1;2021-06-01;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99997JFOK300;2;2021-06-01;;ANC;EX;VL;;;519.27;c.C-24.2;Véhicule lourd;Règles de circulation
DI99997JGML300;1;2021-12-13;;ANC;CO;VR;;;50;c.C-24.2;Véhicule routier;Immatriculation
DI99997JIAK300;4;2021-03-25;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JIAK300;5;2021-03-25;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JO6K300;2;2021-03-10;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997JO6K300;3;2021-03-10;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JO6K300;4;2021-03-10;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JP4L300;1;2021-09-08;;ANC;PR;VR;;;518;c.C-24.2;Véhicule routier;Immatriculation
DI99997JR4K300;3;2021-03-02;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JSEL300;1;2021-11-01;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JU2K300;1;2021-02-20;;ANC;EX;VL;19;22,2;463;c.C-24.2;Véhicule lourd;Dimension
DI99997JUQK300;1;2021-06-14;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997JXCK300;3;2021-04-07;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997JXCK300;4;2021-04-07;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997K1LK300;1;2021-05-13;;ANC;CO;VR;;70;328;c.C-24.2;Véhicule routier;Règles de circulation
DI99997K27L300;1;2021-09-21;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997K27L300;2;2021-09-21;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997K75K300;1;2021-03-03;;ANC;CO;VR;;;423;c.C-24.2;Véhicule routier;Règles de circulation
DI99997KA3K300;2;2021-02-23;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KARK300;1;2021-06-16;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997KARK300;2;2021-06-16;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997KARK300;3;2021-06-16;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997KB1L300;2;2021-08-18;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KDDK300;1;2021-04-08;;ANC;PR;VL;10;16,16;463;c.C-24.2;Véhicule lourd;Dimension
DI99997KH9L300;3;2021-10-04;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KH9L300;4;2021-10-04;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997KIZJ300;2;2021-02-04;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI99997KIZJ300;3;2021-02-04;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997KIZJ300;4;2021-02-04;;ANC;PR;HN;2,6;2,63;463;c.C-24.2;Véhicule hors normes;Dimension
DI99997KJ9K300;2;2021-03-22;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997KJLK300;1;2021-05-17;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997KLXJ300;1;2021-01-26;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KLXJ300;2;2021-01-26;;ANC;EX;VL;;;5;c.P-30.3;Véhicule lourd;Règlement sur les PEVL
DI99997KOVJ300;2;2021-01-18;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997KQ3L300;3;2021-09-01;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KQ3L300;4;2021-09-01;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997KSRK300;4;2021-06-17;;ANC;EX;VL;57500;58060;463;c.C-24.2;Véhicule lourd;Surcharge totale
DI99997KSRK300;5;2021-06-17;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997KV1K300;3;2021-02-16;;ANC;CO;VR;;;426;c.C-24.2;Véhicule routier;Règles de circulation
DI99997KV1K300;4;2021-02-16;;ANC;CO;HN;;;464;c.C-24.2;Véhicule hors normes;Permis spécial
DI99997KVPK300;2;2021-06-08;;ANC;EX;VL;34000;36080;463;c.C-24.2;Véhicule lourd;Surcharge axiale
DI99997KWBL300;2;2021-10-15;;ANC;EX;VL;4,15;4,29;463;c.C-24.2;Véhicule lourd;Dimension
DI99997KYBK300;5;2021-03-31;;ANC;CD;VL;;;519.5;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997KYZK300;4;2021-08-10;;ANC;PR;VR;;;272;c.C-24.2;Véhicule routier;Équipement
DI99997L36L300;1;2021-09-15;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997L36L300;2;2021-09-15;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997L5IK300;4;2021-04-30;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI99997L5UK300;1;2021-07-03;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997L5UK300;2;2021-07-03;;ANC;EX;VL;;;519.21.2;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997L64L300;2;2021-09-03;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997L7UJ300;1;2021-01-12;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997L84K300;1;2021-02-26;;ANC;PR;VL;;;523;c.C-24.2;Véhicule lourd;Vérification mécanique (fréquence)
DI99997LFAL300;1;2021-10-07;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI99997LFAL300;2;2021-10-07;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997LI8L300;2;2021-09-28;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI99997LKWK300;1;2021-07-16;;ANC;AU;RM;;;437.1;c.C-24.2;Remorque;Équipement
DI99997LLIL300;3;2021-11-19;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997LLIL300;4;2021-11-19;;ANC;CD;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI99997LQ4K300;2;2021-03-02;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997LQGK300;2;2021-04-23;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997LTEK300;1;2021-04-15;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997LW0K300;1;2021-02-10;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997LXML300;2;2021-12-15;;ANC;TR;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI99997LZYK300;1;2021-08-03;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997M3VK300;1;2021-07-08;;ANC;PR;VR;;;30;c.C-24.2;Véhicule routier;Immatriculation
DI99997M4HL300;1;2021-11-11;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997M6TK300;1;2021-06-27;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997MA1L300;2;2021-08-18;;ANC;CD;VL;;;519.8.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997MC1K300;1;2021-02-12;;ANC;EX;VL;2,6;2,62;463;c.C-24.2;Véhicule lourd;Dimension
DI99997MCPK300;2;2021-06-04;;ANC;PR;VR;;;32;c.C-24.2;Véhicule routier;Immatriculation
DI99997MFZK300;1;2021-08-05;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI99997MFZK300;2;2021-08-05;;ANC;EX;VL;;;4;c.T-12;Véhicule lourd;Documents d'expédition
DI99997MG9L300;1;2021-10-04;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997MG9L300;2;2021-10-04;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997MG9L300;3;2021-10-04;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997MHZJ300;2;2021-02-03;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI99997MKXJ300;1;2021-01-26;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997MM5L300;1;2021-09-14;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997MM5L300;2;2021-09-14;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997MNVJ300;2;2021-01-18;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997MOTK300;2;2021-06-30;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI99997MU1K300;1;2021-02-16;;ANC;AU;VR;;;396;c.C-24.2;Véhicule routier;Règles de circulation
DI99997MXZK300;1;2021-08-09;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997N0YJ300;3;2021-01-27;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997N0YJ300;4;2021-01-27;;ANC;CD;VL;;;519.6;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997N0YJ300;5;2021-01-27;;ANC;PR;VL;;;519.17;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997N4IK300;1;2021-04-30;;ANC;CO;VR;;;470.1;c.C-24.2;Véhicule routier;Règles de circulation
DI99997NB0L300;2;2021-08-11;;ANC;CD;VL;;;519.2;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI99997NBOL300;1;2021-12-29;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI99997ND0K300;2;2021-02-09;;ANC;CD;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997ND0K300;3;2021-02-09;;ANC;EX;VL;;;471;c.C-24.2;Véhicule lourd;Arrimage
DI99997NEML300;1;2021-12-13;;ANC;CO;VR;;;97;c.C-24.2;Véhicule routier;Permis de conduire
DI99997NGAK300;1;2021-03-25;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI99997NGMK300;6;2021-05-20;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI99997NGMK300;7;2021-05-20;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
