IDENT_INTRT;NO_SEQ_DOCUM;DATE_ANC_COMMI;COD_MUNI_LIEU;TYP_DOCUM_INTRT;COD_TYP_RESP_INFRA;COD_TYP_VEH_INFRA;VL_CONF_PRMSE;VL_NCONF_CNTT;NO_ARTCL_L_R;CODE_LOI_REGLEMENT;DESCR_TYPE_VEH_INFRA;DESCN_CAT_INFRA
DI999903O9K300;2;2021-03-23;;ANC;AU;VR;;;37;c.C-24.2;Véhicule routier;Immatriculation
DI999903OLK300;5;2021-05-17;;ANC;CO;HN;;;464;c.C-24.2;Véhicule hors normes;Permis spécial
DI999903P7L300;1;2021-09-23;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI999903P7L300;2;2021-09-23;;ANC;CD;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI999903SHL300;1;2021-11-16;;ANC;CD;VL;;;646;c.C-24.2;Véhicule lourd;Matières dangereuses
DI999903SHL300;2;2021-11-16;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI999903TVJ300;1;2021-01-19;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI999903TVJ300;2;2021-01-19;;ANC;PR;VR;;;210;c.C-24.2;Véhicule routier;Équipement
DI999903WTJ300;2;2021-01-08;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999041CK300;1;2021-03-31;;ANC;AU;VR;;;513;c.C-24.2;Véhicule routier;Permis spécial
DI9999042AL300;6;2021-10-06;;ANC;EX;VL;;;519.16;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999042AL300;7;2021-10-06;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999042AL300;8;2021-10-06;;ANC;CO;VR;;;471;c.C-24.2;Véhicule routier;Arrimage
DI9999044MK300;3;2021-05-19;;ANC;PR;VA;;;265;c.C-24.2;Véhicule automobile;Équipement
DI99990458L300;1;2021-09-27;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI9999045KL300;1;2021-11-30;;ANC;CO;VA;;;498.1;c.C-24.2;Véhicule automobile;Autres
DI9999045KL300;2;2021-11-30;;ANC;CO;EN;;;513;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI9999045KL300;3;2021-11-30;;ANC;CO;EN;;;473.1;c.C-24.2;Ensemble de véhicules routiers;Permis spécial
DI9999046YJ300;1;2021-01-28;;ANC;AU;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI9999049WJ300;1;2021-01-20;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
DI9999049WJ300;2;2021-01-20;;ANC;CD;VL;;;519.10;c.C-24.2;Véhicule lourd;Heures de conduite
DI9999049WJ300;4;2021-01-20;;ANC;EX;VL;;;519.21.1;c.C-24.2;Véhicule lourd;Heures de conduite
DI999904AUK300;1;2021-07-05;;ANC;CO;HN;;;464;c.C-24.2;Véhicule hors normes;Permis spécial
DI999904B4L300;2;2021-09-06;;ANC;PR;VR;;;518;c.C-24.2;Véhicule routier;Immatriculation
DI999904B4L300;3;2021-09-06;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI999904B4L300;4;2021-09-06;;ANC;AU;VR;;;28;c.C-24.2;Véhicule routier;Immatriculation
DI999904EEL300;1;2021-10-28;;ANC;AU;VR;;;377;c.C-24.2;Véhicule routier;Règles de circulation
DI999904OYJ300;3;2021-02-01;;ANC;CO;VR;;;379;c.C-24.2;Véhicule routier;Règles de circulation
DI999904OYJ300;4;2021-02-01;;ANC;CO;VR;;;35;c.C-24.2;Véhicule routier;Immatriculation
DI999904UUJ300;1;2021-01-14;;ANC;CD;VL;;;291;c.C-24.2;Véhicule lourd;Signalisation routière
DI999904V4K300;1;2021-03-02;;ANC;CD;VL;;;519.3;c.C-24.2;Véhicule lourd;Ronde de sécurité
