NAC,Nom_collection,AR,TI,DFP,MED,MA,SUP,TF,Tirage,Hauteur,Hauteur_exterieur,Largeur,Largeur_exterieur,Profondeur,Profondeur_exterieur,Diametre_exterieur
"p.2004.013.1","","Jost, Geneviève","Évasion","1999","encre","","papier","sérigraphie","b.g. : 9/46","75.8","84.3","56.5","64.3","","3.2",""
"p.2004.013.2","","Condamin, Marie-Françoise","Reflets","1988","encre","","papier","eau-forte","b.g. : E.A. I/I","64","78.2","49.5","63.4","","",""
"p.2004.013.3","","Racette, Mireille","Peindre une estampe","1988","encre; peinture acrylique ?","","papier","techniques mixtes","b.g. : 1/3","56","70.2","65.1","79.9","","",""
"p.2004.013.4","","Carrier, Marcel","... en deça du verbe","1989","encre","","papier","eau-forte","b.c. : 1/50","","47.3","","42.4","","",""
"p.2007.004","","Carrier, Marcel","Un atelier qui roule","1995","encre","","papier","eau-forte","9/50","","48.5","","60","","",""
"p.2004.013.6","","Ballard, Paul","Three structures","1988","encre","","papier","sérigraphie","b.g.: 1/6","","56.2","","58","","",""
"p.2004.013.7","","Duclos, Gilbert","Les joueurs d'échecs New-York 1982","1989","épreuve argentique","","papier","","","","54.4","","47.5","","",""
"p.2004.013.8","","Boothroyd, Sue","Three Long Studies","","encre","","papier","","b.g. : 5/40","","70.2","","54.3","","",""
"p.2004.013.9","","Aprahamian, Mirella","Sarabande 2","1998","encre","","papier","eau-forte","b.g. : E/A","","41","","50","","",""
"p.2004.013.10","","Déry, Hélène","Mouvance","1989","encre","","papier","eau-forte","b.g. : 1/10","","58.8","","48.7","","",""
"p.2004.013.11","","Baxter, Bonnie","Grandma","1982","encre","","papier","lithographie","b.g. : E.A.","45.7","59.5","39.8","53.7","","",""
"p.2004.013.12","Prêt d'oeuvres d'art","Larocque, Lucie","Complicité","","encre","","papier","eau-forte","b.g. : 7/30","","44.1","","57.5","","",""
"p.2004.013.13","Prêt d'oeuvres d'art","Cantieni, Graham","Planche VII","1988","encre","","papier","eau-forte","b.g. : EA 4/4","","59","","67.6","","",""
"p.2004.013.14","Prêt d'oeuvres d'art","Aird-Bélanger, Jocelyne","D'où venons-nous?","1988","encre; pastel ?","","papier","eau-forte; collé","b.g. : 1/15","75.2","88","56.8","69","","",""
"p.2004.013.15","Prêt d'oeuvres d'art","Lauzé, Gilles","Lundi bleu","1989","épreuve couleur","","papier","","","","57.5","","73.5","","",""
"p.2004.013.16","Prêt d'oeuvres d'art","Ferreyra, Roberto","Eliptica","1989","encre","","papier","sérigraphie","b.g. : 10/10","57.3","","76.2","","","",""
"p.2004.013.17","Prêt d'oeuvres d'art","Bouruet-Auberto, Catherine","Safari","1987","encre","","papier","sérigraphie","b.g. : 11/30","","59","","78","","",""
"p.2004.013.18","Prêt d'oeuvres d'art","Sampson, Stéphanie","Western Landscape III","1988","papier","","carton","","","83","","42.4","","","",""
"p.2004.013.19","Prêt d'oeuvres d'art","Boisvert, Gilles","Espace morcelé","1988","encre","","papier","eau-forte","b.g. : 1/2 E.A.","37.2","53","55.6","71.5","","",""
"p.2004.013.20","Prêt d'oeuvres d'art","Pickersgill, Peter","Low water","1987","encre","","papier","lithographie","b.c. : artist's proof / 3","46","","61","","","",""
"p.2004.013.21","Prêt d'oeuvres d'art","Jutras, Andrée","Espace en altitude","1988","encre","","papier","gravure sur bois; collé","b.g. : 1/3","50","","65.8","","","",""
"2003.020.1","Collection permanente","Vermette, Claude","Case","1973","encre","","papier","","19/25","52.5","","37.7","","","",""
"cdi.2003.003","Collection didactique","Vermette, Claude","Non titré","1974","encre","","papier","","11/100","52.7","","37.5","","","",""
"cdi.2003.004","Collection didactique","Vermette, Claude","Non titré","1975","","","papier","double impression; double papier; frange","3/10","52.8","","37.5","","","",""
"cdi.2003.005","Collection didactique","Vermette, Claude","Non titré","1975","","","papier","double impression; double papier; frange","2/10","37.7","","34.4","","","",""
"2003.020.5","Collection permanente","Vermette, Claude","Non titré","1975","","","papier","double impression; double papier; frange","3/12","37.4","","52.1","","","",""
"2003.020.6","Collection permanente","Vermette, Claude","Non titré","1975","encre","","papier","double impression; double papier; frange","7/10","52.7","","37.5","","","",""
"cdi.2003.008","Collection didactique","Vermette, Claude","Non titré","1975","encre","","papier","double impression; double papier; frange","E/A III/III","52.7","","37.6","","","",""
"cdi.2003.006","Collection didactique","Vermette, Claude","Non titré","1975","encre","","papier","double impression; double papier; frange","E/A II/IV","52.6","","37.8","","","",""
"cdi.2003.007","Collection didactique","Vermette, Claude","Non titré","1975","encre","","papier","double impression; double papier; frange","2/10","52.7","","37.5","","","",""
"2003.020.10","Collection permanente","Vermette, Claude","Non titré","1975","encre","","papier","double impression; double papier; frange","2/10","24.3","","49.2","","","",""
"2003.020.11","Collection permanente","Vermette, Claude","Talisman","1973","encre","","papier","imprimé","5/20","75.1","","53","","","",""
"2003.020.12","Collection permanente","Vermette, Claude","Voyou","1973","encre","","papier","imprimé","18/20","75.2","","52.8","","","",""
"2003.020.13","Collection permanente","Vermette, Claude","Lanterne","1973","encre","","papier","imprimé","15/20","75","","52.9","","","",""
"2003.020.14","Collection permanente","Vermette, Claude","Lumière","1973","encre","","papier","imprimé","17/20","52.9","","75","","","",""
"2003.020.15","Collection permanente","Vermette, Claude","Xyste","1973","encre","","papier","imprimé","20/25","75.2","","52.3","","","",""
"2003.020.16","Collection permanente","Vermette, Claude","Son","1973","encre","","papier","imprimé","12/20","52.7","","75.1","","","",""
"cdi.2003.009","Collection didactique","Vermette, Claude","Archet","1973","encre","","papier","imprimé","E/A 10/10","53","","75.2","","","",""
"cdi.2003.010","Collection didactique","Vermette, Claude","Cardinal","1973","encre","","papier","imprimé","14/20","75","","52.9","","","",""
"cdi.2003.011","Collection didactique","Vermette, Claude","Blanc sur blanc","1975","encre","","papier","double impression; double papier; frange","10/12","75","","52","","","",""
"2003.020.20","Collection permanente","Vermette, Claude","Non titré","1975","encre","","papier","double impression; frange","5/10","74.9","","52.4","","","",""
"2003.020.21","Collection permanente","Vermette, Claude","Élan","1973","encre","","papier","imprimé","3/20","104.6","","75","","","",""
"2003.020.22","Collection permanente","Vermette, Claude","Pins de Rome","1973","encre","","papier","imprimé","24/25","105","","75","","","",""
"2003.020.23","Collection permanente","Vermette, Claude","Jardin","1973","encre","","papier","imprimé","2/25","104.5","","75","","","",""
"2003.020.24","Collection permanente","Vermette, Claude","Lune","1973","encre","","papier","imprimé","4/20","105","","75","","","",""
"2003.020.25","Collection permanente","Vermette, Claude","Complexe","1973","encre","","papier","imprimé","E/A V/V","104.5","","75","","","",""
"2003.020.26","Collection permanente","Vermette, Claude","Femme","1973","encre","","papier","imprimé","7/25","104.4","","75","","","",""
