ï»¿ID,RUE_1,RUE_2,LONGITUDE,LATITUDE,MUNICIPALITE,GEOM
959,Boulevard Brien,Rue Marquis,-73.46134,45.74724,Repentigny,Point
960,Boulevard Brien,Rue Marquis,-73.46173,45.74713,Repentigny,Point
961,Boulevard Brien,Rue Marquis,-73.46156,45.74704,Repentigny,Point
964,Boulevard Lacombe,Boulevard J.-A.-ParÃ©,-73.4632,45.75628,Repentigny,Point
965,Boulevard Brien,Rue Alice-Forest,-73.46922,45.75277,Repentigny,Point
966,Boulevard Brien,Rue Alice-Forest,-73.46932,45.75266,Repentigny,Point
967,Boulevard Brien,Rue Alice-Forest,-73.46961,45.75269,Repentigny,Point
968,Boulevard Brien,Rue Alice-Forest,-73.46947,45.75262,Repentigny,Point
969,Rue Rivest,Boulevard Lacombe,-73.47037,45.7533,Repentigny,Point
971,Rue AndrÃ©,Rue de la Place,-73.46922,45.75402,Repentigny,Point
974,Rue Rivest,Boulevard Lacombe,-73.47057,45.75319,Repentigny,Point
975,Rue Masson,Rue Valmont,-73.43648,45.76567,Repentigny,Point
977,Rue Masson,Rue Valmont,-73.43665,45.76552,Repentigny,Point
985,Rue Valmont,Boulevard Basile-Routhier,-73.4459,45.76786,Repentigny,Point
986,Rue Valmont,Boulevard Basile-Routhier,-73.44632,45.7678,Repentigny,Point
988,Rue Valmont,Boulevard Basile-Routhier,-73.4461,45.76771,Repentigny,Point
989,Rue Valmont,Rue Sartre,-73.43408,45.76462,Repentigny,Point
990,Rue Valmont,Rue Sartre,-73.43387,45.76452,Repentigny,Point
991,Rue Valmont,Rue Sartre,-73.43401,45.76437,Repentigny,Point
992,Rue Deschamps,Rue Notre-Dame,-73.47479,45.71436,Repentigny,Point
993,Rue Deschamps,Rue Notre-Dame,-73.47502,45.7142,Repentigny,Point
994,Rue Cherrier,Boulevard de La Rochelle,-73.46802,45.73324,Repentigny,Point
995,Rue Cherrier,Boulevard de La Rochelle,-73.46801,45.73339,Repentigny,Point
1000,MontÃ©e des Arsenaux,Boulevard Lacombe,-73.47644,45.74656,Repentigny,Point
1001,Boulevard Lacombe,Rue Saint-Paul,-73.47124,45.75278,Repentigny,Point
1005,MontÃ©e des Arsenaux,Boulevard Lacombe,-73.47621,45.74649,Repentigny,Point
1006,Boulevard Louis-Philippe-Picard,Rue Jacques-Plante,-73.41227,45.79237,Repentigny,Point
1375,Boulevard Iberville,Boulevard Industriel,-73.4401,45.75316,Repentigny,Point
1376,Boulevard Iberville,Boulevard Industriel,-73.44026,45.75343,Repentigny,Point
1377,Boulevard Iberville,Boulevard Industriel,-73.44038,45.75322,Repentigny,Point
1381,Boulevard Lacombe,Boulevard J.-A.-ParÃ©,-73.46301,45.75641,Repentigny,Point
1392,Boulevard Pierre-Le Gardeur,Rue de Lyon,-73.48653,45.7354,Repentigny,Point
1393,Boulevard Pierre-Le Gardeur,Rue de Lyon,-73.4866,45.73524,Repentigny,Point
1398,Boulevard de L'Assomption,Boulevard Notre-Dame-des-Champs,-73.47999,45.71761,Repentigny,Point
1399,Boulevard de L'Assomption,Boulevard Notre-Dame-des-Champs,-73.48002,45.7174,Repentigny,Point
1402,Rue Notre-Dame,Boulevard Claude-David,-73.47155,45.71662,Repentigny,Point
1403,Boulevard Claude-David,Rue Notre-Dame,-73.47118,45.71678,Repentigny,Point
1405,Rue Notre-Dame,Rue des Ormes,-73.47124,45.71646,Repentigny,Point
1407,Boulevard Iberville,Rue Notre-Dame,-73.46837,45.71834,Repentigny,Point
1414,Rue LÃ©vesque,Rue Notre-Dame,-73.45849,45.72511,Repentigny,Point
1415,Rue LÃ©vesque,Rue Notre-Dame,-73.45872,45.72521,Repentigny,Point
1416,Rue LÃ©vesque,Rue Notre-Dame,-73.45884,45.725,Repentigny,Point
1417,Rue LÃ©vesque,Rue Notre-Dame,-73.45862,45.7249,Repentigny,Point
1418,Rue Cherrier,Rue Notre-Dame,-73.45612,45.7301,Repentigny,Point
1419,Rue Cherrier,Rue Notre-Dame,-73.4559,45.73001,Repentigny,Point
1420,Rue Notre-Dame,Rue des Ãmeraudes,-73.45483,45.73163,Repentigny,Point
1421,Rue Notre-Dame,Rue des Ãmeraudes,-73.45462,45.73154,Repentigny,Point
1422,Rue de l'Aqueduc,Rue Notre-Dame,-73.45378,45.73222,Repentigny,Point
1424,Rue Notre-Dame,Rue Sarto,-73.45082,45.73466,Repentigny,Point
1426,Rue Notre-Dame,Rue Thouin,-73.45102,45.73444,Repentigny,Point
1429,Rue Lebel,Rue Notre-Dame,-73.44779,45.73763,Repentigny,Point
1435,Rue Cherrier,Boulevard de La Rochelle,-73.46778,45.73336,Repentigny,Point
1439,Boulevard de L'Assomption,Rue Paradis,-73.46089,45.75367,Repentigny,Point
1444,Boulevard Brien,Boulevard de L'Assomption,-73.46535,45.74939,Repentigny,Point
1448,Boulevard Brien,Rue De La Fayette,-73.45686,45.74496,Repentigny,Point
1451,Boulevard Brien,Rue Leclerc,-73.45436,45.7442,Repentigny,Point
1456,Rue Leclerc,Rue De La Fayette,-73.45229,45.74656,Repentigny,Point
1458,Boulevard Brien,Boulevard Iberville,-73.45043,45.74226,Repentigny,Point
1459,Boulevard Brien,Boulevard Iberville,-73.45023,45.74244,Repentigny,Point
1460,Boulevard Brien,Boulevard Iberville,-73.45,45.74232,Repentigny,Point
1466,Boulevard Brien,Rue Notre-Dame,-73.4453,45.7399,Repentigny,Point
1467,Boulevard Brien,Rue Notre-Dame,-73.44499,45.74007,Repentigny,Point
1468,Boulevard Brien,Rue Notre-Dame,-73.44549,45.74005,Repentigny,Point
1469,Boulevard Brien,Rue Notre-Dame,-73.44513,45.74021,Repentigny,Point
1474,Rue Notre-Dame,Rue Ritchot,-73.43695,45.74637,Repentigny,Point
1475,Rue Notre-Dame,Rue Ritchot,-73.43684,45.74649,Repentigny,Point
1476,Rue Notre-Dame,Rue Ritchot,-73.43707,45.74659,Repentigny,Point
1477,Rue LefranÃ§ois,Rue Notre-Dame,-73.4311,45.75295,Repentigny,Point
1479,Rue LefranÃ§ois,Rue Notre-Dame,-73.43117,45.75319,Repentigny,Point
1487,Rue Beauchesne,Rue Notre-Dame,-73.4171,45.76863,Repentigny,Point
1488,Rue Beauchesne,Rue Notre-Dame,-73.4169,45.76852,Repentigny,Point
1489,Rue Notre-Dame,Rue Philippe-Goulet,-73.40918,45.77671,Repentigny,Point
1496,Rue Notre-Dame,Boulevard Louis-Philippe-Picard,-73.4013,45.78312,Repentigny,Point
1497,Rue Notre-Dame,Boulevard Louis-Philippe-Picard,-73.40147,45.78292,Repentigny,Point
1499,Boulevard Louis-Philippe-Picard,Rue Jacques-Plante,-73.41247,45.79251,Repentigny,Point
1502,Boulevard Industriel,Rue de Marseille,-73.44132,45.75368,Repentigny,Point
1503,Boulevard Industriel,Rue de Marseille,-73.44115,45.75361,Repentigny,Point
1504,Boulevard Industriel,Rue de Marseille,-73.44097,45.75375,Repentigny,Point
1505,Boulevard Industriel,Rue de Marseille,-73.44118,45.75383,Repentigny,Point
1755,Rue de Lyon,Rue de la Couronne,-73.48902,45.73455,Repentigny,Point
998,Rue de Lyon,Rue de la Couronne,-73.48943,45.7344,Repentigny,Point
1411,Rue du Bord-de-l'Eau,Rue Notre-Dame,-73.46392,45.72091,Repentigny,Point
1412,Rue du Bord-de-l'Eau,Rue Notre-Dame,-73.46411,45.72104,Repentigny,Point
1409,Rue du Bord-de-l'Eau,Rue Notre-Dame,-73.46368,45.72104,Repentigny,Point
1430,Rue Lebel,Rue Notre-Dame,-73.44755,45.73782,Repentigny,Point
1470,Boulevard Brien,Rue Notre-Dame,-73.44532,45.74022,Repentigny,Point
1494,Rue Notre-Dame,Rue du Verdier,-73.4049,45.77983,Repentigny,Point
1492,Rue Notre-Dame,Rue du Verdier,-73.4047,45.77971,Repentigny,Point
1498,Rue Notre-Dame,Boulevard Louis-Philippe-Picard,-73.40165,45.78302,Repentigny,Point
1495,Rue Notre-Dame,Boulevard Louis-Philippe-Picard,-73.40146,45.78324,Repentigny,Point
1434,Rue Cherrier,Boulevard Iberville,-73.46045,45.73125,Repentigny,Point
1433,Rue Cherrier,Boulevard Iberville,-73.46056,45.7311,Repentigny,Point
1008,Boulevard Louis-Philippe-Picard,Rue Jacques-Plante,-73.41209,45.79255,Repentigny,Point
983,Boulevard de L'Assomption,Rue Valmont,-73.44917,45.76874,Repentigny,Point
982,Boulevard de L'Assomption,Rue Valmont,-73.44898,45.76871,Repentigny,Point
981,Boulevard de L'Assomption,Rue Valmont,-73.44893,45.7689,Repentigny,Point
957,Boulevard Brien,Rue Marquis,-73.46153,45.74732,Repentigny,Point
1446,Boulevard Brien,Boulevard de L'Assomption,-73.4653,45.74968,Repentigny,Point
1443,Boulevard Brien,Boulevard de L'Assomption,-73.46553,45.74952,Repentigny,Point
973,Boulevard Brien,Boulevard Lacombe,-73.47014,45.75318,Repentigny,Point
972,Rue AndrÃ©,Boulevard Lacombe,-73.46924,45.75375,Repentigny,Point
1384,Rue de la Paix,Boulevard Lacombe,-73.45842,45.76222,Repentigny,Point
1389,MontÃ©e des Arsenaux,Boulevard Pierre-Le Gardeur,-73.47977,45.74792,Repentigny,Point
1391,MontÃ©e des Arsenaux,Boulevard Pierre-Le Gardeur,-73.47969,45.74806,Repentigny,Point
1390,MontÃ©e des Arsenaux,Boulevard Pierre-Le Gardeur,-73.47947,45.74777,Repentigny,Point
1003,Boulevard Lacombe,Rue Saint-Paul,-73.47111,45.75255,Repentigny,Point
1002,Boulevard Lacombe,Rue Saint-Paul,-73.47095,45.75265,Repentigny,Point
1004,Boulevard Lacombe,Rue Saint-Paul,-73.47131,45.75267,Repentigny,Point
1406,Boulevard Iberville,Rue Notre-Dame,-73.46857,45.71846,Repentigny,Point
1454,Rue Leclerc,Rue De La Fayette,-73.45276,45.74647,Repentigny,Point
1455,Rue Leclerc,Rue De La Fayette,-73.4526,45.74665,Repentigny,Point
1457,Rue Leclerc,Rue De La Fayette,-73.45248,45.74635,Repentigny,Point
1447,Boulevard Brien,Rue De La Fayette,-73.45708,45.7451,Repentigny,Point
1442,Boulevard de L'Assomption,Rue Paradis,-73.46104,45.75351,Repentigny,Point
1441,Boulevard de L'Assomption,Rue Paradis,-73.46119,45.75357,Repentigny,Point
1440,Boulevard de L'Assomption,Rue Paradis,-73.46105,45.75374,Repentigny,Point
963,Boulevard Lacombe,Boulevard J.-A.-ParÃ©,-73.46299,45.7562,Repentigny,Point
1382,Boulevard Lacombe,Boulevard J.-A.-ParÃ©,-73.46285,45.7563,Repentigny,Point
970,Rue AndrÃ©,Rue de la Place,-73.46943,45.75392,Repentigny,Point
1404,Rue Notre-Dame,Boulevard Claude-David,-73.47153,45.71653,Repentigny,Point
1401,Rue Notre-Dame,Boulevard Notre-Dame-des-Champs,-73.47531,45.7145,Repentigny,Point
1400,Rue Notre-Dame,Boulevard Notre-Dame-des-Champs,-73.47506,45.71462,Repentigny,Point
996,Rue Cherrier,Boulevard de La Rochelle,-73.46781,45.73321,Repentigny,Point
1007,Rue de la Paix,Boulevard Lacombe,-73.45823,45.76213,Repentigny,Point
1385,Rue Colbert,Rue de la Paix,-73.47021,45.76831,Repentigny,Point
1483,Rue Notre-Dame,Rue Valmont,-73.42376,45.76172,Repentigny,Point
1485,Rue Notre-Dame,Rue Pierre,-73.42352,45.76165,Repentigny,Point
1484,Rue Notre-Dame,Rue Pierre,-73.42361,45.76156,Repentigny,Point
1482,Rue Notre-Dame,Rue Valmont,-73.42389,45.76159,Repentigny,Point
1478,Rue LefranÃ§ois,Rue Notre-Dame,-73.4313,45.75303,Repentigny,Point
1379,Rue Hervieux,Boulevard Lacombe,-73.46084,45.75891,Repentigny,Point
1380,Rue Hervieux,Boulevard Lacombe,-73.46066,45.7588,Repentigny,Point
1378,Rue Hervieux,Boulevard Lacombe,-73.46093,45.75874,Repentigny,Point
1408,Rue du Bord-de-l'Eau,Rue Notre-Dame,-73.46349,45.7211,Repentigny,Point
1386,Rue Colbert,Rue de la Paix,-73.46999,45.76837,Repentigny,Point
1387,Rue Colbert,Rue de la Paix,-73.46989,45.76821,Repentigny,Point
1427,Rue Notre-Dame,Rue Sarto,-73.45093,45.73469,Repentigny,Point
1490,Rue Notre-Dame,Rue Philippe-Goulet,-73.40895,45.77659,Repentigny,Point
1493,Rue Notre-Dame,Rue du Verdier,-73.40471,45.77996,Repentigny,Point
1491,Rue Notre-Dame,Rue du Verdier,-73.40452,45.77984,Repentigny,Point
