Station,Latitude,Longitude,Débit (m3/s),CL50 (% v/v),IC 95% - Inf (% v/v),IC 95% - Sup (% v/v),UT,Conclusion,100% EU Temp (oC),100% EU pH,100% EU OD (mg/L),100% EU Cond (uS/cm),100% EU Mortalité après 96 h (%),100% EU Nb mort jour 1,100% EU Nb mort jour 2 cumulatif,100% EU Nb mort jour 3 cumulatif,100% EU Nb mort jour 4 cumulatif,50% EU Temp (oC),50% EU pH,50% EU OD (mg/L),50% EU Cond (uS/cm),50% EU Mortalité après 96 h (%),50% EU Nb mort jour 1,50% EU Nb mort jour 2 cumulatif,50% EU Nb mort jour 3 cumulatif,50% EU Nb mort jour 4 cumulatif,25% EU Temp (oC),25% EU pH,25% EU OD (mg/L),25% EU Cond (uS/cm),25% EU Mortalité après 96 h (%),25% EU Nb mort jour 1,25% EU Nb mort jour 2 cumulatif,25% EU Nb mort jour 3 cumulatif,25% EU Nb mort jour 4 cumulatif,"12,5% EU Temp (oC)","12,5% EU pH","12,5% EU OD (mg/L)","12,5% EU Cond (uS/cm)","12,5% EU Mortalité après 96 h (%)","12,5% EU Nb mort jour 1","12,5% EU Nb mort jour 2 cumulatif","12,5% EU Nb mort jour 3 cumulatif","12,5% EU Nb mort jour 4 cumulatif","6,25% EU Temp (oC)","6,25% EU pH","6,25% EU OD (mg/L)","6,25% EU Cond (uS/cm)","6,25% EU Mortalité après 96 h (%)",0% EU Temp (oC),0% EU pH,0% EU OD (mg/L),0% EU Cond (uS/cm),0% EU Mortalité après 96 h (%)
Trop-plein JOLIETTE (DÉZÉRY/NICOLET),45.5407211946,-73.5348458628,0.364,> 100,NA,NA,< 1.0,Non létal,14.4,8,3.5,839,20%,0,0,0,2,14.6,8.1,6.9,598,0%,0,0,0,0,14.7,8.2,8.6,478,0%,0,0,0,0,14.8,8.3,9.1,417,0%,0,0,0,0,15.3,8.4,9.4,387,0%,15.3,8.4,9.5,359,0%
Régulateur DE LA SALLE,45.5479266007,-73.527967695,0.66,33.0,28.8,37.8,3.0,Létal,14.7,7.3,0.5,14010,100%,10,10,10,10,14.7,7.4,3.4,7490,100%,10,10,10,10,14.6,7.7,7.1,4050,0%,0,0,0,0,14.8,8,8.5,2329,10%,0,0,0,1,14.8,8.2,9.2,1351,0%,15,8.2,9.4,354,0%
Trop-plein OUV. D'INTERC. VIAU,45.5540456665,-73.5230278315,0.117,73.5,67.8,79.7,1.4,Létal,14.5,7.6,5.3,1033,90%,8,8,8,9,14.3,7.6,5.7,678,0%,0,0,0,0,14.2,7.8,8.9,492,0%,0,0,0,0,14,7.9,9.6,398,0%,0,0,0,0,14,7.9,9.9,350,0%,14,7.9,9.8,303,0%
Trop-plein OUV. D'INTERC. LOT 13,45.5624505616,-73.5211079062,0.077,70.7,50,100,1.4,Létal,14.4,7.2,3,750,100%,10,10,10,10,14.4,7.5,7,526,0%,0,0,0,0,14.4,7.6,8.1,416,0%,0,0,0,0,14.1,7.7,8.9,358,0%,0,0,0,0,14.1,7.9,9.7,333,0%,14.4,7.9,9.8,303,0%
Régulateur DICKSON,45.5639869094,-73.5198587723,1.211,89.1,66.1,120.1,1.1,Létal,14.7,7.4,2.5,891,60%,5,6,6,6,14.4,7.6,7.3,601,0%,0,0,0,0,14.3,7.9,9,455,0%,0,0,0,0,14.2,7.9,9.7,378,0%,0,0,0,0,14,7.7,9.6,341,0%,14,7.8,9.8,300,0%
Régulateur CLARENCE-GAGNON,45.5691380515,-73.517352631,0.678,> 100,NA,NA,> 1.0,Non létal,15.7,6.9,8.2,646,20%,2,2,2,2,14.5,7.7,9.2,476,0%,0,0,0,0,14.4,7.6,9.1,390,0%,0,0,0,0,14.2,7.8,9.6,345,0%,0,0,0,0,14.2,7.9,9.7,323,0%,14.3,7.9,9.6,302,0%
Régulateur DE BOUCHERVILLE,45.5838134195,-73.5046475267,0.369,89.1,66.1,120.1,1.1,Létal,15.7,6.8,7.6,787,60%,3,6,6,6,14.5,7.8,8.9,545,0%,0,0,0,0,14.4,7.6,8.5,426,0%,0,0,0,0,14.2,7.7,9.3,363,0%,0,0,0,0,14.1,7.8,9.8,330,0%,14.1,7.9,9.9,302,0%
Régulateur PARC CLÉMENT-JETTÉ,45.6008814758,-73.5089771353,0.66,> 100,NA,NA,< 1.0,Non létal,14.8,7.6,6.5,748,40%,0,0,0,4,14.7,7.9,9.2,524,0%,0,0,0,0,14.5,7.8,9.3,416,0%,0,0,0,0,14.4,7.8,9.4,360,0%,0,0,0,0,14.3,7.9,9.8,329,0%,14.3,7.9,9.6,302,0%
Régulateur GONTHIER,45.6106409147,-73.5074972603,0.082,31.6,51.7,73.4,1.6,Létal,14.9,7.4,4,760,100%,10,10,10,10,14.8,7.6,7.3,531,20%,0,0,0,2,14.7,7.7,8.6,418,0%,0,0,0,0,14.4,7.8,9.4,359,0%,0,0,0,0,14.4,7.9,9.5,332,0%,14.4,7.9,9.6,301,0%
Industrie Indorama,45.6166591712,-73.5041846205,0.055,57.4,47.0,70.2,1.7,Létal,14.3,7.6,9.3,8720,100%,9,9,9,10,14.4,7.7,9.6,4910,30%,0,0,0,3,14.6,7.7,9.6,2797,0%,0,0,0,0,14.6,7.8,9.7,1738,0%,0,0,0,0,14.6,7.9,9.6,1084,0%,14.9,8.1,9.5,389,0%
Régulateur RICHARD,45.6258688928,-73.4966902145,0.159,> 100,NA,NA,< 1.0,Non létal,14.9,7.9,9.2,1713,0%,0,0,0,0,14.8,7.9,9.5,1042,0%,0,0,0,0,14.8,7.9,9.7,688,0%,0,0,0,0,14.7,7.9,9.6,496,0%,0,0,0,0,14.5,7.8,9.2,404,0%,14.5,7.9,9.6,301,0%
Régulateur LAURENDEAU,45.6301899763,-73.4939780637,0.069,> 100,NA,NA,< 1.0,Non létal,14.8,7.5,7.8,807,0%,0,0,0,0,14.8,7.6,8,557,0%,0,0,0,0,14.8,7.6,8.9,431,0%,0,0,0,0,14.4,7.7,9.3,367,0%,0,0,0,0,14.5,7.9,9.8,335,0%,14.7,8,9.6,301,0%
Régulateur ST-JEAN-BAPT SUD (PAT),45.6395540779,-73.4871524353,0.157,> 100,NA,NA,< 1.0,Non létal,14.9,7.5,6.6,778,10%,0,0,0,1,14.7,7.7,8.6,542,0%,0,0,0,0,14.6,7.7,9.2,424,0%,0,0,0,0,14.4,7.8,9.1,364,0%,0,0,0,0,14.4,7.9,9.8,330,0%,14.4,7.9,9.7,301,0%
Régulateur 24è AVE (PAT),45.6498597425,-73.4865375458,0.03,100,NA,NA,1,Non létal,14.8,7.4,5.3,10.29,50%,3,4,4,5,14.7,7.4,6.4,673,0%,0,0,0,0,14.6,7.5,7.7,495,0%,0,0,0,0,14.4,7.7,8.9,402,0%,0,0,0,0,14.3,7.8,9.5,346,0%,14.3,8,9.8,302,0%
Trop-plein LA GAUCHETIÈRE-40e AVE,45.6691840424,-73.4912698498,0.283,61.6,51.7,73.4,1.6,Létal,14.7,7.5,0.8,828,100%,10,10,10,10,143.7,7.5,3.5,565,20%,0,0,0,2,14.6,7.6,6.7,436,0%,0,0,0,0,14.2,7.8,9.6,369,0%,0,0,0,0,14.2,7.9,9.6,338,0%,14.4,7.9,9.7,302,0%
Dérivation 52e Ave,45.6691737711,-73.4912124447,0.729,35.4,25,50,2.8,Létal,15,7.1,0.1,1052,100%,10,10,10,10,14.8,7.2,0.2,680,100%,10,10,10,10,14.8,7.4,5.4,489,0%,0,0,0,0,14.8,7.7,8.2,399,0%,0,0,0,0,14.7,7.8,9.1,348,0%,14.9,7.9,9.5,301,0%
Trop-plein DÉR. HENRI-BOURASSA,45.682012856,-73.4893248871,0.033,> 100,NA,NA,< 1.0,Non létal,14.7,7.6,6.3,836,10%,0,0,0,1,14.5,7.8,9.1,571,0%,0,0,0,0,14.5,7.8,9.4,438,0%,0,0,0,0,14.3,7.7,9.6,370,0%,0,0,0,0,14.3,7.9,9.8,340,0%,14.2,7.9,9.7,302,0%
