code_alea,alea,code_municipalite,municipalite,precision_localisation,info_compl_localisation,severite,date_signalement,date_debut,date_debut_imprecise,commentaire_date_debut,date_fin,coord_x,coord_y
"25",Panne d'électricité,"45072",Magog,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-12-13,2021-12-11,Non,,2022-02-23,-72.142437,45.279003
"142",Tempête hivernale,"45072",Magog,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-12-23,2022-12-23,Non,,2023-01-17,-72.142437,45.279003
"142",Tempête hivernale,"45072",Magog,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-12-24,2022-12-23,Non,,2023-01-17,-72.142437,45.279003
"8",Inondation,"45072",Magog,Précise,,Menace possible à la vie ou à la propriété,2023-07-17,2023-07-16,Non,,2024-01-30,-72.172467,45.272125
"8",Inondation,"45072",Magog,Précise,,Menace possible à la vie ou à la propriété,2023-07-19,2023-07-19,Non,,2023-07-21,-72.171554,45.273533
"8",Inondation,"45072",Magog,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2024-08-09,2024-08-09,Non,,2024-08-10,-72.142437,45.279003
"10",Matières dangereuses,"86042",Rouyn-Noranda,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2023-05-22,2023-05-22,Non,,2023-05-25,-79.016078,48.252983
"101",Mouvement de terrain,"86042",Rouyn-Noranda,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2024-06-22,2024-04-13,Oui,,,-79.131137,48.237888
"174",Panne de télécommunication,"86042",Rouyn-Noranda,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-11-14,2023-11-14,Non,,2023-11-23,-79.040703,48.2407
"8",Inondation,"86042",Rouyn-Noranda,Imprécise,,Menace possible à la vie ou à la propriété,2024-04-12,2024-04-12,Non,,2024-05-21,-79.040703,48.2407
"25",Panne d'électricité,"86042",Rouyn-Noranda,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-06-02,2023-06-02,Non,,2024-07-31,-79.040703,48.2407
"39",Feu de forêt,"97902",Rivière-Nipissis,Imprécise,,Menace possible à la vie ou à la propriété,2023-06-21,2023-06-21,Oui,Feu déjà en activité,2024-01-09,-65.899138,51.396314
"25",Panne d'électricité,"93065",L'Ascension-de-Notre-Seigneur,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2022-12-25,2022-12-23,Non,,2023-01-23,-71.669381,48.697358
"8",Inondation,"17010",Saint-Pamphile,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-07-11,2023-07-09,Non,,2024-01-26,-69.750659,46.956204
"142",Tempête hivernale,"17010",Saint-Pamphile,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2024-03-21,2024-03-21,Non,,2024-04-17,-69.750659,46.956204
"158",Fermeture de route,"30010",Notre-Dame-des-Bois,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2023-07-20,2023-07-16,Non,,2024-01-30,-71.06727,45.389083
"9",Érosion,"39020",Saint-Rémi-de-Tingwick,Très précise,,Menace faible ou non-existante à la vie ou la propriété,2020-09-21,2020-01-01,Oui,Au cours du mois d'août 2020,2021-01-19,-71.888405,45.806061
"8",Inondation,"39020",Saint-Rémi-de-Tingwick,Imprécise,,Menace faible ou non-existante à la vie ou la propriété,2021-03-27,2021-03-27,Non,,2021-08-18,-71.820219,45.864454
