NOM,TYPE,CODE,ADD_DEP,WKT
Lot 553,Zone d'empilement,8,Boul. Saint-Martn Ouest,POINT  ( 281775.01000000 5045298.62530000)
Sainte-Rose,Zone d'empilement,6,"81, boul. Sainte-Rose",POINT  ( 284278.40000000 5053496.82840000)
Dagenais,Zone d'empilement,7,"4026, boul. Dagenais Ouest",POINT  ( 279419.06500000 5046662.96200000)
Simard-Beaudry,Zone d'empilement,0,"4080, rang Saint-Elzéar",POINT  ( 290177.66000000 5055669.23190000)
Demix Saulnier,Zone d'empilement,5,Boul. Saint-Martin,POINT  ( 288699.23000000 5049708.66390000)
Demix Saint-Martin,Zone d'empilement,2,Boul. Saint-Martin,POINT  ( 288959.17500000 5049703.16410000)
Carré Laval,Zone d'empilement,3,Boul. du Souvenir,POINT  ( 285994.83000000 5046311.61220000)
