no_demande,date_inspection,fondation,structure,enveloppe,ouvertures,saillies,interieur,moy_composants_inspectes,constat_signifie,indicateur_insp_integrale,adresse,arrondissement,nombre_unite_logement,statut_dem,code_type_demande,no_ident_uev,longitude,latitude,X,Y
3003395817,2024-06-05,2,,2,3,3,3,2.6,"oui","oui"," 5985 boul. Roi-René","Anjou",60,"ET","PX","02030484",-73.54303016134836,45.60738214157058,301443.580477586,5051943.095450906
3003395819,,3,2,2,2,2,2,2.2,"non","non"," 8281 av. des Vendéens","Anjou",27,"ET","PX","02033026",-73.54849915046267,45.60456530634846,301016.8014802955,5051630.296975165
3003395835,2024-06-04,2,2,3,3,2,2,2.3,"oui","non"," 6780 av. Fielding","Côte-des-Neiges - Notre-Dame-de-Grâce",28,"ET","PX","03066709",-73.6439729697692,45.466118405354464,293541.7305321676,5036253.476008537
3003395857,2024-06-06,3,3,3,3,3,2,2.8,"oui","non"," 7125 rue Sherbrooke E","Mercier - Hochelaga-Maisonneuve",46,"ET","PX","02054095",-73.54019196308404,45.58867982906581,301663.9227025681,5049864.548632693
3003432875,2024-07-29,3,,3,3,4,2,3,"non","oui"," 6395 rue Villeneuve","Montréal-Nord",8,"ET","PX","02087656",-73.62216856779887,45.62246086013185,295273.2153162486,5053625.192731707
3003432934,2024-07-29,2,,2,2,2,2,2,"non","non"," 6379 rue Villeneuve","Montréal-Nord",8,"ET","PX","02087649",-73.62250317481286,45.62226060325272,295247.08843361767,5053602.977440369
3003432938,2024-07-29,3,,3,2,3,2,2.6,"non","oui"," 6373 rue Villeneuve","Montréal-Nord",8,"ET","PX","02087643",-73.62279068065487,45.62208351824462,295224.6383160432,5053583.331786724
3003409588,2024-06-19,3,,2,3,5,2,3,"oui","oui"," 6525 av. Papineau","Rosemont - La Petite-Patrie",44,"ET","PX","03065667",-73.59695282160949,45.54357914942105,297228.9603215643,5044856.218743704
3003362044,2024-04-17,1,1,2,2,2,2,1.7,"non","non","  100 rue De Gaspé","Verdun",204,"FR","PX","05009368",-73.54617193590141,45.456155225447404,301188.8522505861,5035137.2250744635
3003362008,2024-04-18,2,2,2,2,2,2,2,"non","non"," 1432 rue Mackay","Ville-Marie",154,"FR","PX","01036933",-73.57804501863185,45.49604007470598,298700.33494319976,5039571.552920553
3003362041,2024-04-17,2,2,2,,2,2,2,"non","non","  700 rue De Gaspé","Verdun",251,"FR","PX","05009368",-73.54617193590141,45.456155225447404,301188.8522505861,5035137.2250744635
3003342194,2024-02-06,2,2,3,2,4,2,2.5,"non","non"," 5975 av. de l' Authion","Mercier - Hochelaga-Maisonneuve",145,"FR","PX","02054082",-73.54674832293166,45.594653531408234,301152.7334627738,5050528.696721284
3003411976,2024-07-03,,,2,2,,2,2,"non","non"," 6350 boul. Léger","Montréal-Nord",24,"ET","PX","02085023",-73.62372726398878,45.621883044552796,295151.56806167116,5053561.164882091
3003411977,2024-07-08,2,,2,2,2,2,2,"non","non"," 6360 boul. Léger","Montréal-Nord",24,"ET","PX","02085027",-73.62342640115234,45.62209671237475,295175.0663432177,5053584.8742203275
3003411978,2024-07-08,2,,3,2,3,2,2.4,"non","non"," 6380 boul. Léger","Montréal-Nord",10,"FR","PX","02085031",-73.62317653376724,45.622257544047976,295194.5787549828,5053602.717926613
3003434220,2024-07-31,2,,4,2,3,3,2.8,"oui","oui"," 6321 rue Villeneuve","Montréal-Nord",8,"ET","PX","02087612",-73.62401269236723,45.62126365133496,295129.2034549267,5053492.364370317
3003434354,2024-08-01,3,,3,3,3,3,3,"non","oui"," 6335 rue Villeneuve","Montréal-Nord",8,"ET","PX","02087620",-73.62362575692951,45.62152039597823,295159.421576516,5053520.850515507
3003411975,2024-07-03,2,2,2,2,2,2,2,"non","non"," 6340 boul. Léger","Montréal-Nord",24,"ET","PX","05063970",-73.6240414684241,45.621676251854254,295127.03038308886,5053538.221294361
3003428056,2024-07-18,2,,3,2,2,2,2.2,"non","non","12435 boul. Langelier","Montréal-Nord",8,"ET","PX","02081277",-73.62002673935821,45.622493051809094,295440.2418482077,5053628.5179718705
3003428060,2024-07-18,2,,3,2,2,2,2.2,"non","non","12465 boul. Langelier","Montréal-Nord",8,"ET","PX","02081278",-73.62016997877065,45.62262850905546,295429.0945189017,5053643.588452906
3003428063,2024-07-18,2,,2,2,2,2,2,"non","non","12475 boul. Langelier","Montréal-Nord",8,"ET","PX","02081279",-73.62030448363296,45.62275570726127,295418.6269881967,5053657.740081475
3003338425,2024-01-23,2,2,2,2,2,2,2,"non","oui"," 1951 boul. De Maisonneuve E","Ville-Marie",103,"FR","PX","01113416",-73.55281892981745,45.52465707511114,300673.9896402205,5042750.172578854
3003338510,2024-01-24,2,2,2,2,2,2,2,"non","non"," 2150 boul. De Maisonneuve O","Ville-Marie",156,"FR","PX","01037610",-73.58382700940852,45.49137376895426,298247.89818248386,5039053.440188206
3003427277,2024-07-17,2,,3,2,4,2,2.6,"oui","oui","12311 boul. Langelier","Montréal-Nord",7,"ET","PX","02081252",-73.61836222082536,45.620924657385224,295569.7846556066,5053454.0248935055
3003427286,2024-07-17,2,,2,2,3,2,2.2,"non","non","12321 boul. Langelier","Montréal-Nord",7,"ET","PX","02081256",-73.61859511722572,45.62114491688621,295551.6589596572,5053478.529789777
3003427291,2024-07-17,2,,4,2,5,2,3,"oui","oui","12355 boul. Langelier","Montréal-Nord",7,"ET","PX","02081261",-73.61882801581659,45.62136517551835,295533.5332351145,5053503.03464345
3003427331,2024-07-17,2,,4,5,4,2,3.4,"non","oui","12375 boul. Langelier","Montréal-Nord",8,"ET","PX","02081267",-73.6192993638481,45.621822441818495,295496.85211932944,5053553.906523503
