categorie,description,sites,superficie_ha_protection,pourcentage_protection
A | Aires protégées,Sites inscrits au RAP (ex : GPE - Parc-nature de la Pointe-aux-Prairies) ,Sites inscrits ,2767,5.53
A | Aires protégées,Sites inscrits au RAP (ex : GPE - Parc-nature de la Pointe-aux-Prairies) ,Sites provisoires ,,
B | Milieux naturels conservés,GPO - Secteur du Bois-de-la-Roche| GPE - Coulée Grou et Ruisseau Pinel ,Sites inscrits ,317,0.63
B | Milieux naturels conservés ,GPO - Secteur du Bois-de-la-Roche\  GPE - Coulée Grou et Ruisseau Pinel ,Sites provisoires ,735,1.47
C | Milieux naturels contributifs à la biodiversité*,,Sites inscrits ,,
C | Milieux naturels contributifs à la biodiversité* ,,Sites provisoires ,en évaluation,en évaluation
