Coups de cœur culturels ,Latitude,Longitude,Étiquette
Graffmap : art urbain Ex : Murale Des filles du Roy ,45.477015,-73.5595694,Présenté le 23 septembre
Grande Bibliothèque (BAnQ),45.515455,-73.562313,Coup de cœur
Hôtel de ville de Montréal,45.508919,-73.554332,Coup de cœur
Identité (Maison de la culture Frontenac),45.532951,-73.551755,Présenté le 23 septembre
INIS,45.513566,-73.562818,Coup de cœur
Installation éphémère Haute saison sur la Place Pasteur,45.5139062,-73.561627,Coup de cœur
"Jam-O-Piano à l'école Msg Richard, Verdun",45.4728026,-73.5654252,Présenté le 23 septembre
Jardin de sculpture du Musée des beaux-arts de Montréal ,45.4991817,-73.5802632,Coup de cœur
Jardin des Premières-Nations,45.561499,-73.559933,Coup de cœur
Jardins extérieurs de la TOHU certifié Mon jardin Espace pour la vie (agriculture urbaine),45.55836,-73.61613,Présenté le 23 septembre
Joe Jack et John,45.5174719,-73.5905491,Présenté le 23 septembre
Kabane 77,45.528212,-73.6001859,Coup de cœur
"La Grue, Péristyle nomade",45.530746,-73.558532,Présenté le 23 septembre
La Saison de la lecture 2014 (FIL),45.5270833,-73.5952694,Présenté le 23 septembre
La Vitrine culturelle,45.509979,-73.563574,Coup de cœur
Laboratoire numérique urbain du Quartier des spectacles ,45.5112811,-73.5644719,Présenté le 23 septembre
Lac aux castors,45.4987479,-73.5974269,Coup de cœur
Laika,45.517036,-73.579613,Coup de cœur
"Le Bovril, ateliers d'artistes ",45.525896, -73.610291,Présenté le 23 septembre
Le cinéma québécois dans la rue (Québec Cinéma / Dans la rue),45.5177314,-73.5649053,Présenté le 23 septembre
"Le Gesù, centre de créativité",45.5057182,-73.5660509,Coup de cœur
"Le Mélomane des artistes Cooke-Sasseville, parc François-Perreault",45.562347,-73.600411,Coup de cœur
Les chaises de Pierre-Paul Savoie,45.494405,-73.631315,Présenté le 23 septembre
Les citoyens au cœur d'Espace pour la vie et l'Esplanade ,45.560295,-73.550371,Présenté le 23 septembre
"Les déclins de verre, Pierre E. Leclerc, Centre des collections muséales",45.495059,-73.560693,Coup de cœur
Les empreintes paternelles à l'Association des familles du Centre-Sud,45.520391,-73.559344,Présenté le 23 septembre
Les soirées de jeux vidéo - Bibliothèque et Maison culturelle et communautaire de Montréal-Nord,45.615771,-73.619912,Présenté le 23 septembre
Lieu historique national du Canal-de-Lachine,45.498595,-73.55205,Coup de cœur
Ligne Bleue,45.5376593,-73.6263422,Présenté le 23 septembre
L'Illusion Théâtre de marionnettes,45.533811,-73.604989,Coup de cœur
LOVE,45.5340803,-73.586596,Présenté le 23 septembre
M.A.I.,45.511579,-73.576241,Coup de cœur
Maison de la culture Ahuntsic-Cartierville,45.553914,-73.6637,Coup de cœur
Maison de la culture Frontenac,45.533018,-73.552613,Coup de cœur
Maison de la culture Le Patro,45.54412,-73.614491,Coup de cœur
Maison de la culture Maisonneuve,45.551134,-73.54069,Coup de cœur
Maison de la culture Marie-Uguay et l'Art numérique dans les quartiers,45.457718,-73.595558,Présenté le 23 septembre
Maison de la culture Mercier,45.595738,-73.523349,Coup de cœur
Maison de la culture Notre-Dame-de-Grâce,45.47551,-73.614579,Coup de cœur
Maison de la culture Rosemont-La Petite-Patrie,45.547363,-73.598298,Coup de cœur
Maison de la danse,45.5259341,-73.587193,Coup de cœur
Maison de la mère des soeurs grises,45.494192,-73.576258,Coup de cœur
Maison du Conseil des arts de Montréal,45.5226045,-73.5654374,Coup de cœur
Maison du Pressoir,45.575787,-73.659287,Coup de cœur
Maison Fontaine du Goethe Institut sur l'îlot Clark,45.509435,-73.564413,Coup de cœur
Maison le petit Fort,45.459796,-73.91233,Coup de cœur
Maison LeBer-LeMoyne,45.4294214,-73.6660012,Coup de cœur
"Maison Nivard-de Saint-Dizier, musée et site archéologique",45.4373593,-73.5828827,Présenté le 23 septembre
Maison Saint-Gabriel,45.475924,-73.556011,Coup de cœur
Maison-Brigon-dit-Lapierre,45.599482,-73.643266,Coup de cœur
Marché des possibles,45.5282228,-73.5990587,Coup de cœur
Marché Jean-Talon,45.536574,-73.6145304,Coup de cœur
Marché Maisonneuve ,45.5540612,-73.539091,Coup de cœur
Médiation culturelle autour de l'œuvre d'art La Vélocité des lieux,45.596008,-73.642609,Présenté le 23 septembre
Mobilier urbain à l'intersection des rues Fairmount et Saint-Urbain,45.522642,-73.595712,Coup de cœur
Montréal Complètement Cirque,45.55835,-73.61612,Présenté le 23 septembre
Moulin Fleming,45.4258,-73.659692,Coup de cœur
"Murale des jeunes du 1410, ruePierce",45.4945423,-73.5787568,Coup de cœur
Musée de Lachine,45.43005,-73.666877,Coup de cœur
Musée de Pointe-à-Callière,45.502651,-73.554167,Coup de cœur
Musée des beaux-arts de Montréal,45.498522,-73.5794,Coup de cœur
Musée des sœurs de Saint-Anne,45.44204,-73.681995,Coup de cœur
Musée en plein air au parc René-Levesque,45.4301178,-73.6670594,Coup de cœur
OBORO,45.521471,-73.574417,Coup de cœur
Œuvre d'art La façade de l'artiste Guillaume Lachapelle à la bibliothèque Père-Ambroise, 45.522789,-73.56267,Coup de cœur
Œuvre d'art numérique Chorégraphie pour des humains et des étoiles de Daily tous les jours au Planétarium Rio Tinto Alcan,45.560646,-73.550527,Présenté le 23 septembre
"Œuvre d'art public La fermière de l'artiste Alfred Laliberté, place Gennevilliers-Laliberté",45.553567,-73.539744,Coup de cœur
Œuvre d'art public l'Étreinte de Luce Pelletier,45.5114608,-73.5669917,Coup de cœur
Œuvre d'art public Milieu humide de l'Atelier In situ au carrefour giratoire de l'entrée de l'Île-des-Sœurs ,45.467893,-73.546269,Coup de cœur
"Œuvre Give Peace a Chance, entrée Peel du parc du mont Royal",45.504989 ,-73.583714,Coup de cœur
"Oeuvres d'art de la Ville de Montréal du 801, rue Brennan",45.495955,-73.55351,Coup de cœur
Orgue Casavant de l'Église Saints-Anges,45.4317933,-73.6767187,Coup de cœur
Oxy-Jeunes ,45.522294,-73.562182,Coup de cœur
"Papillons en liberté, du Jardin botanique ",45.5598626,-73.5628367,Coup de cœur
Parc Ahuntsic,45.5548646,-73.6640321,Coup de cœur
Parc Beaubien à Outremont ,45.5158753,-73.608442,Coup de cœur
Parc de la gare Dalhousie (parc Dalousie),45.5117666,-73.5510201,Coup de cœur
Parc de la Promenade-Bellerive,45.603506,-73.509789,Coup de cœur
Parc de la Visitation,45.5755578,-73.6633806,Coup de cœur
Parc des Faubourgs,45.526078,-73.555572,Coup de cœur
Parc des sculptures de Glen LeMesurier ,45.527997,-73.607236,Coup de cœur
Parc du mont Royal,45.505565,-73.588228,Coup de cœur
Parc Jarry,45.535296,-73.62847,Coup de cœur
Parc Molson,45.5499851,-73.5938711,Coup de cœur
Parc Outremont,45.518178,-73.604628,Coup de cœur
Parc Place-de-L'Acadie,45.5326653,-73.6806012,Présenté le 23 septembre
Parc Sir-Wilfrid-Laurier,45.5323,-73.587518,Coup de cœur
Parc Tolhurst,45.54407,-73.665592,Coup de cœur
Parc Toussaint-Laverdure,45.5117678,-73.5674894,Coup de cœur
Parc-nature de l'Île-de-la-Visitation,45.5766916,-73.6586153,Coup de cœur
Parcours d'art public au parc Jean-Drapeau,45.503785,-73.528983,Coup de cœur
Parcours Gouin,45.556775,-73.670214,Coup de cœur
Parcours M rue Masson,45.5480901,-73.5749064,Coup de cœur
Parcours riverain (site Internet et données ouvertes) Ex: Vue sur l'île Jasmin et présence amérindienne,45.4898369,-73.8612652,Présenté le 23 septembre
Parvis de l'Église Sainte-Cécile,45.5375246,-73.6184632,Coup de cœur
Patrimoine industriel du Mile-Ex,45.529235,-73.612395,Coup de cœur
Photothèque du bureau du cinéma et de la télévision de Montréal,45.495955,-73.55351,Présenté le 23 septembre
"Pied Carré, le Regroupement des créateurs du secteur St-Viateur Est",45.5311643,-73.5981188,Coup de cœur
Piste cyclable le lond de la rue Des carrières ,45.530984,-73.595179,Coup de cœur
Place de la Paix,45.5094353,-73.5621324,Coup de cœur
Place du Village-de-la-Pointe-aux-Trembles,45.639772,-73.489173,Présenté le 23 septembre
Place Jacques-Cartier,45.5080848,-73.5534982,Coup de cœur
Place Jean-Paul-Riopelle,45.5032599,-73.5614764,Coup de cœur
Place Josep-Venne,45.5316223,-73.5537243,Coup de cœur
Place Kate-McGarrigle,45.517596,-73.597278,Coup de cœur
Place Marcelle-Feron,45.509748,-73.556881,Coup de cœur
Place Roy,45.521561,-73.570418,Coup de cœur
Place Shamrock,45.5349709,-73.6159797,Présenté le 23 septembre
Place Simon-Valois,45.5476149,-73.5437035,Coup de cœur
Planétarium Rio Tinto Alcan,45.560646,-73.550527,Coup de cœur
Pôle de création des Faubourgs,45.530342,-73.558018,Coup de cœur
Pôle du Mile-End - Ateliers d'artistes,45.527322,-73.596616,Coup de cœur
PRIM,45.531484,-73.557429,Coup de cœur
Projet BC en fête (Fête de quartier du Centre d'action bénévole de Bordeaux-Cartierville,45.5361482,-73.675992,Présenté le 23 septembre
"Projet quai des arts, MU et EN MASSE, Théâtre de l'ESPACE GO",45.5220341,-73.5905985,Coup de cœur
Projets d'art urbain de Patsy Van Roost dans le Mile-End http://patsyvanroost.com/,45.5226907,-73.598933,Coup de cœur
P'Tit Bar du Carré,45.517664,-73.56821,Coup de cœur
Quai des brumes ,45.523903,-73.582509,Coup de cœur
"Quand le géant de fer sera crée, une œuvre de Gestion multisports Saint-Léonard",45.585929,-73.595687,Présenté le 23 septembre
Regroupement des arts et culture de Rosemont-La-Petite-Patrie (RACRPP),45.5344267,-73.600192,Coup de cœur
Regroupement pi2,45.5270833,-73.5952694,Coup de cœur
Restaurant Espace Lafontaine,45.525208,-73.569484,Coup de cœur
Réverbères bleus sur la rue Partenais,45.531321,-73.560127,Présenté le 23 septembre
RIDM en milieu carcéral ,45.5450806,-73.68707,Présenté le 23 septembre
Rue Piétonne de la Place d'Youville,45.5017441,-73.5551786,Coup de cœur
"Ruelle verte de Jeanne-Mance, dans MIlton Parc",45.510534,-73.572870,Coup de cœur
"Ruelle verte parallèle à St-Hubert (à l'Est), entre Viger et de la Gauchetière",45.513936,-73.554696,Coup de cœur
Sala Rosa,45.521802,-73.590332,Coup de cœur
Salle de diffusion de Parc-Extension,45.531174,-73.628497,Coup de cœur
Salle de spectacle l'Entrepôt,45.4335583,-73.6899227,Coup de cœur
Scène Ouverte,45.5523496,-73.5713962,Coup de cœur
Série de concerts et activités à l'Église anglicane Saint-James-the-Apostle,45.496527,-73.57641,Coup de cœur
Square Saint-Louis,45.516863,-73.570018,Coup de cœur
St. James United Church (Église St-James),45.5054,-73.5686,Coup de cœur
Suite Culturelle du Centre Gabriel et Marcel Lapalme,45.5523496,-73.5713962,Coup de cœur
Théâtre aphasique,45.514825,-73.568647,Coup de cœur
Théâtre aux Écuries,45.550105,-73.608078,Coup de cœur
Theatre Corona,45.482867,-73.574972,Coup de cœur
Théâtre de Verdure au parc Lafontaine,45.5252,-73.5673,Coup de cœur
Théâtre Desjardins Jean-Grimaldi,45.4364598,-73.6053918,Coup de cœur
Théâtre Empress,45.4716865,-73.6129954,Coup de cœur
Théâtre Outremont,45.520055,-73.60839,Coup de cœur
Théâtre Paradoxe,45.4587147,-73.5963086,Coup de cœur
"TOHU, Cité des arts du cirque",45.55835,-73.61612,Coup de cœur
Toma Objets et Code Souvenir Montréal,45.52708,-73.597337,Présenté le 23 septembre
Troupe Atout-Coeur,45.5596137,-73.6107401,Présenté le 23 septembre
Une culture signée Plateau (Plan d'action),45.5232988,-73.585786,Présenté le 23 septembre
Vélopousse Maisonneuve,45.5434106,-73.5456902,Présenté le 23 septembre
Viaduc Notre-Dame,45.513561,-73.550590,Présenté le 23 septembre
Vieux-Moulin de Pointe-aux-Trembles,45.6368862,-73.4962765,Coup de cœur
Vieux-Port de Montréal,45.5074763,-73.5510581,Coup de cœur
Village éphémère 2014,45.525811,-73.544796,Coup de cœur
Village sault-au-Récollet,45.5741276,-73.6497258,Coup de cœur
Vitrines des Casteliers à la patisserie Lescurier tradition gourmande,45.520956,-73.614756,Présenté le 23 septembre
Vous faites partie de l'histoire du Centre d'histoire de Montréal,45.50105,-73.55548,Présenté le 23 septembre
