Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,64655,9279,243,0,24248,1033,6720,1851,13103,35968,63490,8521,37552,45.390687526,152.01899294
Situation familiale,Couples sans enfants,4221,203,34,0,3612,52,1637,829,2010,4055,4067,225,2888,53.302388574,159.01908397
Situation familiale,Familles monoparentales,9812,1340,10374,1237,667,110,1237,782,4940,21043,2497,2260,9099,37.216185217,111.82166525
Situation familiale,Couples avec enfants,12190,310,455,420,937,40,3107,1489,4870,7193,7159,614,5997,40.857371795,105.77821906
Situation familiale,Conjoint d'étudiant,158,10,9,11,4,0,2,63,78,129,63,15,105,36.911458333,65.541666667
Sexe,Hommes,53876,5389,705,214,16566,526,6825,1798,11193,0,77276,5507,30183,44.862479942,142.5869869
Sexe,Femmes,37160,5753,10410,1454,12902,709,5878,3216,13808,68388,0,6128,25458,43.138226005,139.72482014
Âge,Moins de 20 ans,1088,216,308,0,0,2,417,87,70,915,699,1614,1570,18.550185874,8.5669144981
Âge,De 20 à 24 ans,7054,867,2062,7,0,31,1382,363,574,5213,4808,10021,6070,22.266141104,32.091008881
Âge,De 25 à 29 ans,10207,1214,2980,76,0,42,1828,378,1026,7551,6968,0,7723,27.085956333,54.061918865
Âge,De 30 à 34 ans,11269,1270,2629,202,0,45,2140,556,1608,7812,7603,0,7718,31.990269218,73.491728836
Âge,De 35 à 39 ans,12671,1387,1860,383,0,87,2143,728,2236,8105,8283,0,7517,37.04484989,99.645777398
Âge,De 40 à 44 ans,12964,1539,940,433,0,158,1621,608,2772,7587,8447,0,6510,41.947611326,129.48596732
Âge,De 45 à 49 ans,12332,1462,276,314,0,234,1094,381,3174,6583,8035,0,5147,47.006019975,163.92919688
Âge,De 50 à 54 ans,13829,1862,48,198,0,352,694,281,3802,6946,9343,0,4619,52.039535883,198.84867088
Âge,55 ans et plus,9622,1325,12,55,29468,284,1384,1632,9739,17676,23090,0,8767,60.417627435,220.19099249
Âge,35 ans et moins,32002,3801,8390,357,0,142,6225,1516,3666,23132,21560,11635,24597,27.941577911,56.544370357
Âge,36 ans et plus,59034,7341,2725,1311,29468,1093,6478,3498,21335,45256,55716,0,31044,51.184140158,178.73244068
Scolarité,Primaire,5060,474,541,66,2642,49,32,700,2782,4334,4498,810,2373,46.628509964,178.24966033
Scolarité,Secondaire I à IV,38584,4571,5370,650,9717,573,32,457,5718,25972,33493,6115,19078,42.08445304,170.30873623
Scolarité,Secondaire V,18295,3264,2077,425,7357,311,54,460,5353,14921,16808,1149,11190,46.423587255,153.82227615
Scolarité,Collégiale,5326,1182,596,125,2054,101,21,181,2227,4544,4840,185,3634,47.044011083,133.87095055
Scolarité,Universitaire,4495,670,356,99,2220,48,65,705,3582,3615,4273,22,3166,49.528017241,116.01280426
Scolarité,Inconnue,19276,981,2175,303,5478,153,12499,2511,5339,15002,13364,3354,16200,42.214023831,64.174081647
Diplôme maximum obtenu,Aucun diplôme,47878,5563,6264,819,14748,678,105,1398,11155,33956,41994,7205,23651,43.310941409,170.39985517
Diplôme maximum obtenu,Secondaire - DES,12043,2388,1521,279,4051,226,12,219,2585,9880,10628,879,7731,44.983664911,143.43748781
Diplôme maximum obtenu,Secondaire - DEP,3544,705,402,76,1361,62,1,21,580,2648,3502,92,2303,47.166178862,167.44455285
Diplôme maximum obtenu,Secondaire - ASP,328,48,24,9,148,5,0,1,49,199,363,4,182,48.379003559,193.90391459
Diplôme maximum obtenu,Collégial - AEC,995,268,100,31,393,23,2,24,384,888,922,10,790,47.632044199,129.00718232
Diplôme maximum obtenu,Collégial - DEC général,769,182,64,8,321,13,0,13,263,611,746,18,504,47.758290346,135
Diplôme maximum obtenu,Collégial - DEC professionnel,1136,281,109,30,464,19,2,33,420,1017,1022,16,813,48.225110348,122.28690535
Diplôme maximum obtenu,Universitaire - Certificat,401,63,25,3,206,4,0,11,256,345,357,0,247,50.333333333,132.34330484
Diplôme maximum obtenu,Universitaire - Baccalauréat,1768,286,149,42,885,23,15,257,1417,1517,1636,6,1305,49.52553124,107.74373612
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,517,67,40,9,210,1,7,86,502,358,486,0,361,49.597156398,91.139810427
Diplôme maximum obtenu,Inconnu,21657,1291,2417,362,6681,181,12559,2951,7390,16969,15620,3405,17754,43.112000982,72.914971309
Durée cumulative,Premier mois,368,49,52,2,55,2,174,78,43,263,265,178,528,34.763257576,1
Durée cumulative,De 2 à 5 mois,3361,439,372,5,274,17,1802,403,385,2066,2402,1413,4468,33.126678603,3.8303491495
Durée cumulative,De 6 à 11 mois,6293,1000,957,18,640,17,5327,439,487,4353,4572,2009,8925,35.38487395,8.328627451
Durée cumulative,De 12 à 23 mois,6773,1152,1502,56,1022,30,3990,1070,920,5357,5178,2152,10535,36.33763645,16.969909824
Durée cumulative,De 24 à 47 mois,10498,1581,2277,110,2091,83,1283,2494,2411,8347,8293,3289,7581,37.765444712,35.283894231
Durée cumulative,De 48 à 119 mois,24256,2961,3963,432,4983,226,84,530,8108,17227,19594,2594,12576,40.171098015,80.971646615
Durée cumulative,120 mois et plus,39487,3960,1992,1045,20403,860,43,0,12647,30775,36972,0,11028,50.841823254,247.01786057
Types de contraintes,Sans contraintes,91036,0,0,0,0,0,10808,2900,14459,37160,53876,8142,37271,40.276967354,127.61770069
Types de contraintes,État de santé,0,11142,0,0,0,0,56,119,1068,5753,5389,1083,6406,40.656704362,108.30829295
Types de contraintes,Grossesse ou enfant à charge,0,0,11115,0,0,0,770,496,1634,10410,705,2370,5448,30.576248313,69.211605938
Types de contraintes,Enfant handicapé,0,0,0,1668,0,0,5,28,434,1454,214,7,360,41.516786571,159.02098321
Types de contraintes,Âge,0,0,0,0,29468,0,1058,1447,7281,12902,16566,0,5938,62.088910004,219.33510927
Types de contraintes,Autres,0,0,0,0,0,1235,6,24,125,709,526,33,218,47.399190283,203.70526316
Région,01 - Bas-Saint-Laurent,1407,315,163,37,614,38,0,16,26,1117,1457,212,885,44.916472416,174.33799534
Région,02 - Saguenay - Lac-St-Jean,2452,380,264,49,1038,46,0,2,37,1930,2299,329,1405,44.763064554,182.92433199
Région,03 - Capitale-Nationale,4718,816,524,104,1745,95,2,321,743,3444,4558,542,2761,45.035991002,164.43339165
Région,04 - Mauricie,4193,492,542,77,1344,64,0,64,168,3034,3678,652,2040,43.293504172,176.22228844
Région,05 - Estrie,3517,619,423,57,1065,54,1,304,510,2568,3167,609,2094,42.582040105,143.5956408
Région,06 - Île-de-Montréal,38378,2655,3783,579,11712,330,12685,2640,18254,27442,29995,4122,25102,44.476609154,121.88681512
Région,07 - Outaouais,4549,604,811,60,1238,61,4,221,714,3553,3770,685,2345,42.557285266,138.45418544
Région,08 - Abitibi-Témiscamingue,1235,185,177,17,390,17,0,1,11,908,1113,186,828,43.242949035,156.49678377
Région,09 - Côte-Nord,618,75,100,10,234,7,0,0,8,472,572,87,408,44.479885057,171.84099617
Région,10 - Nord-du-Québec,548,15,92,2,60,4,0,0,5,332,389,103,371,40.088765603,121.27600555
Région,11 - Gaspésie - Îles-de-la-Madeleine,783,172,94,21,358,47,0,0,8,664,811,114,476,45.125423729,190.75525424
Région,12 - Chaudières-Appalaches,2103,418,242,44,695,33,0,9,74,1564,1971,287,1386,43.900990099,154.34738331
Région,13 - Laval,2834,374,334,55,1431,44,4,597,1772,2639,2433,286,1689,47.478312303,124.38268927
Région,14 - Lanaudière,4194,761,722,111,1468,109,2,79,314,3620,3745,655,2556,43.700746775,158.34650373
Région,15 - Laurentides,4886,993,720,120,1712,73,1,105,391,3863,4641,645,3037,43.763052681,148.71131232
Région,16 - Montérégie,11957,1845,1781,283,3571,181,4,565,1831,9312,10306,1660,6687,43.231674992,146.74243042
Région,17 - Centre-du-Québec,2660,421,343,42,791,32,0,90,133,1923,2366,459,1568,42.628351597,154.68850548
Région,99 - Central,4,2,0,0,2,0,0,0,2,3,5,2,3,40.75,99.75
