ï»¿Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,66661,5176,218,0,23877,861,14538,2186,12398,34668,62125,7742,42455,45.268841755,144.05032389
Situation familiale,Couples sans enfants,4846,97,78,0,3651,34,2938,1035,2035,4347,4359,424,4360,50.978061107,121.84286699
Situation familiale,Familles monoparentales,10187,721,7461,1108,605,92,1775,850,4147,18090,2084,1350,8645,37.981560424,109.55358382
Situation familiale,Couples avec enfants,13833,134,438,310,799,30,7646,975,3551,7794,7750,621,9771,38.879310345,72.722593927
Situation familiale,Conjoint d'Ã©tudiant,56,5,4,4,4,0,2,11,32,37,36,3,29,38.808219178,83.739726027
Sexe,Hommes,56524,2962,404,180,15851,433,15828,1619,9851,0,76354,5259,36211,44.180069152,129.54069204
Sexe,Femmes,39059,3171,7795,1242,13085,584,11071,3438,12312,64936,0,4881,29049,43.513767402,130.27479364
Ãge,Moins de 20 ans,1074,132,156,0,0,3,718,82,30,663,702,1365,1341,18.610989011,6.2212454212
Ãge,De 20 Ã  24 ans,7009,484,1244,8,0,30,3334,437,358,4218,4557,8775,6524,22.27954416,21.227236467
Ãge,De 25 Ã  29 ans,11703,723,2246,56,0,43,5064,448,814,7239,7532,0,9791,27.155168912,41.775979961
Ãge,De 30 Ã  34 ans,14052,756,2141,165,0,53,5481,546,1282,8327,8840,0,10665,31.975767461,58.656375604
Ãge,De 35 Ã  39 ans,13960,758,1453,294,0,72,4423,639,1713,7737,8800,0,9439,37.002418818,82.498699885
Ãge,De 40 Ã  44 ans,13871,832,746,379,0,123,2999,470,2263,7197,8754,0,7665,41.95410946,117.09378722
Ãge,De 45 Ã  49 ans,12482,835,185,274,0,189,1798,372,2589,6342,7623,0,5635,46.928607232,153.64267812
Ãge,De 50 Ã  54 ans,12629,939,19,185,0,264,1092,252,3177,6021,8015,0,4589,52.054716443,194.03498148
Ãge,55 ans et plus,8803,674,9,61,28936,240,1990,1811,9937,17192,21531,0,9611,60.968261757,217.71420086
