Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,71769,9265,356,0,25269,1114,7577,2056,14043,38617,69156,9465,45403,45.036020153,146.27139451
Situation familiale,Couples sans enfants,4768,217,36,0,3764,57,1824,857,2106,4418,4424,258,3470,52.6655734,154.38859986
Situation familiale,Familles monoparentales,10858,1379,10680,1317,695,130,1377,838,5244,22313,2746,2426,10721,37.196615986,109.19174748
Situation familiale,Couples avec enfants,13864,322,530,450,991,45,3832,1636,5288,8119,8083,716,7632,40.540488829,100.22151586
Situation familiale,Conjoint d'étudiant,176,14,13,11,6,0,1,68,97,138,82,17,118,37.322727273,63.259090909
Sexe,Hommes,60256,5371,751,230,17323,560,7918,2023,12175,0,84491,6148,36845,44.494952125,136.58276029
Sexe,Femmes,41179,5826,10864,1548,13402,786,6693,3432,14603,73605,0,6734,30499,42.892072549,135.35954079
Âge,Moins de 20 ans,1189,232,361,0,0,3,492,77,76,1015,770,1785,1742,18.579831933,7.5467787115
Âge,De 20 à 24 ans,7950,873,2232,7,0,35,1536,399,635,5719,5378,11097,6945,22.265206813,31.060647022
Âge,De 25 à 29 ans,11696,1246,3124,82,0,50,2095,453,1169,8292,7906,0,9399,27.088838128,51.279046796
Âge,De 30 à 34 ans,12836,1260,2706,218,0,52,2535,649,1807,8493,8579,0,9442,31.987699157,70.127635895
Âge,De 35 à 39 ans,14342,1422,1906,406,0,98,2567,807,2502,8821,9353,0,9256,37.039947177,95.544239023
Âge,De 40 à 44 ans,14380,1499,971,465,0,172,1922,647,3023,8220,9267,0,7958,41.9500772,124.9559101
Âge,De 45 à 49 ans,13717,1471,255,333,0,251,1293,436,3447,7144,8883,0,6473,47.018593623,158.64927934
Âge,De 50 à 54 ans,15019,1885,49,206,0,382,769,300,4034,7443,10098,0,5674,52.05803546,194.56068639
Âge,55 ans et plus,10306,1309,11,61,30725,303,1402,1687,10085,18458,24257,0,10455,60.351422217,216.32164345
Âge,35 ans et moins,36369,3854,8856,388,0,160,7193,1741,4113,25280,24347,12882,29356,27.943377597,54.015999355
Âge,36 ans et plus,65066,7343,2759,1390,30725,1186,7418,3714,22665,48325,60144,0,37988,50.979985065,173.52885156
Scolarité,Primaire,5406,478,560,71,2712,59,37,744,2868,4537,4749,871,2707,46.404049106,176.2504846
Scolarité,Secondaire I à IV,42338,4522,5558,690,10085,606,31,515,6116,27580,36219,6752,22961,41.819699368,165.53909936
Scolarité,Secondaire V,20743,3296,2187,473,7727,347,60,521,5808,16256,18517,1318,14064,46.070945849,148.17993846
Scolarité,Collégiale,6108,1207,625,136,2193,116,29,211,2440,5015,5370,242,4570,46.723062109,127.97534906
Scolarité,Universitaire,5191,686,384,101,2370,52,84,774,3936,4010,4774,27,3988,49.18579235,110.63729508
Scolarité,Inconnue,21649,1008,2301,307,5638,166,14370,2690,5610,16207,14862,3672,19054,41.785670604,59.600856159
Diplôme maximum obtenu,Aucun diplôme,52395,5538,6467,882,15304,730,115,1527,11849,36045,45271,7939,28345,43.049043239,166.05923803
Diplôme maximum obtenu,Secondaire - DES,13675,2398,1608,304,4278,246,13,257,2832,10784,11725,1019,9654,44.665644853,137.568617
Diplôme maximum obtenu,Secondaire - DEP,4176,713,438,83,1416,71,0,25,638,2935,3962,100,3033,46.597506162,159.39930405
Diplôme maximum obtenu,Secondaire - ASP,374,48,28,10,153,6,0,1,56,215,404,5,244,47.68174475,182.73667205
Diplôme maximum obtenu,Collégial - AEC,1183,271,111,35,427,27,2,27,434,991,1063,12,1033,47.462025316,124.3466407
Diplôme maximum obtenu,Collégial - DEC général,867,187,62,12,351,15,1,15,289,678,816,27,644,47.540160643,130.06760375
Diplôme maximum obtenu,Collégial - DEC professionnel,1306,298,119,29,493,21,3,42,467,1138,1128,27,1024,47.848631951,115.23433363
Diplôme maximum obtenu,Universitaire - Certificat,484,62,27,4,223,3,0,12,294,401,402,0,353,50.03985056,124.80946451
Diplôme maximum obtenu,Universitaire - Baccalauréat,2083,284,171,44,952,24,23,314,1547,1708,1850,8,1673,49.09584036,101.77627881
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,599,80,43,10,224,4,11,92,571,405,555,0,480,49.198958333,84.438541667
Diplôme maximum obtenu,Inconnu,24293,1318,2541,365,6904,199,14443,3143,7801,18305,17315,3745,20861,42.689724874,68.405502527
Durée cumulative,Premier mois,1236,126,102,2,87,3,416,153,182,740,816,532,1556,32.379820051,1
Durée cumulative,De 2 à 5 mois,5633,880,731,11,471,36,4627,401,446,3569,4193,1844,7762,34.519582582,3.458773512
Durée cumulative,De 6 à 11 mois,6498,879,1012,23,638,23,4977,562,551,4494,4579,1884,9073,35.617877218,8.2577978618
Durée cumulative,De 12 à 23 mois,7167,1062,1488,61,1053,32,3529,1150,1057,5383,5480,2091,10863,36.520666483,17.157323023
Durée cumulative,De 24 à 47 mois,12148,1584,2393,119,2192,97,941,2675,2787,9085,9448,3794,9343,37.384988939,34.983542869
Durée cumulative,De 48 à 119 mois,26703,2846,3982,469,5271,246,79,514,8634,18243,21274,2736,15288,40.238302503,80.803983096
Durée cumulative,120 mois et plus,42050,3820,1907,1093,21013,909,42,0,13121,32091,38701,1,13459,50.787264098,245.3944796
