Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,70246,9349,349,0,24887,1086,7485,2018,13810,37848,68069,9324,43467,45.044676492,147.3166064
Situation familiale,Couples sans enfants,4644,212,40,0,3713,55,1817,863,2060,4332,4332,242,3311,52.755771006,154.77077562
Situation familiale,Familles monoparentales,10617,1364,10653,1286,698,122,1350,823,5183,22047,2693,2366,10297,37.218270008,110.15210186
Situation familiale,Couples avec enfants,13581,320,495,443,978,43,3761,1608,5162,7950,7910,713,7297,40.560214376,100.83291299
Situation familiale,Conjoint d'étudiant,171,11,12,11,5,0,2,67,87,138,72,19,110,36.738095238,64.638095238
Sexe,Hommes,59038,5453,744,226,17065,550,7817,1991,11924,0,83076,6060,35366,44.504357456,137.59363715
Sexe,Femmes,40221,5803,10805,1514,13216,756,6598,3388,14378,72315,0,6604,29116,42.904086289,136.23017355
Âge,Moins de 20 ans,1195,225,343,0,0,4,474,83,73,995,772,1767,1720,18.565930956,7.857385399
Âge,De 20 à 24 ans,7783,895,2179,7,0,33,1513,403,623,5609,5288,10897,6792,22.260163348,31.239974305
Âge,De 25 à 29 ans,11406,1252,3129,76,0,42,2078,440,1122,8128,7777,0,9059,27.086576548,51.968311852
Âge,De 30 à 34 ans,12544,1283,2695,214,0,52,2481,618,1778,8360,8428,0,9093,31.984274482,70.746664284
Âge,De 35 à 39 ans,14056,1420,1907,401,0,95,2535,786,2438,8713,9166,0,8867,37.037921584,96.591699759
Âge,De 40 à 44 ans,14065,1523,972,450,0,167,1881,636,2961,8027,9150,0,7624,41.950282354,125.91564301
Âge,De 45 à 49 ans,13428,1475,260,330,0,244,1269,426,3378,7022,8715,0,6129,47.017029929,160.01887272
Âge,De 50 à 54 ans,14647,1879,52,204,0,378,765,298,3956,7291,9869,0,5358,52.056002331,195.26730769
Âge,55 ans et plus,10135,1304,12,58,30281,291,1419,1689,9973,18170,23911,0,9840,60.377486276,217.55274352
Âge,35 ans et moins,35578,3901,8787,375,0,149,7084,1694,4022,24858,23932,12664,28434,27.942078295,54.564418938
Âge,36 ans et plus,63681,7355,2762,1365,30281,1157,7331,3685,22280,47457,59144,0,36048,50.999136969,174.67018133
Scolarité,Primaire,5321,477,561,69,2689,55,35,732,2847,4483,4689,861,2617,46.425534235,176.66833842
Scolarité,Secondaire I à IV,41573,4560,5536,677,9943,598,30,504,6021,27179,35708,6619,21994,41.822427529,166.49410848
Scolarité,Secondaire V,20122,3329,2170,459,7597,327,63,512,5695,15878,18126,1289,13252,46.113427832,149.52834961
Scolarité,Collégiale,5860,1197,624,131,2140,114,30,195,2377,4848,5218,224,4256,46.781045102,129.51072919
Scolarité,Universitaire,4972,674,379,101,2301,51,84,762,3814,3878,4600,25,3698,49.253125737,112.26798773
Scolarité,Inconnue,21411,1019,2279,303,5611,161,14173,2674,5548,16049,14735,3646,18665,41.821855509,60.143970894
Diplôme maximum obtenu,Aucun diplôme,51460,5590,6454,866,15099,711,114,1497,11685,35534,44646,7803,27172,43.050885508,166.88432277
Diplôme maximum obtenu,Secondaire - DES,13248,2415,1586,296,4195,236,14,253,2764,10505,11471,982,9085,44.719193666,139.06202221
Diplôme maximum obtenu,Secondaire - DEP,3996,711,433,79,1400,68,0,23,622,2841,3846,98,2823,46.716464782,161.69149095
Diplôme maximum obtenu,Secondaire - ASP,361,48,28,9,151,6,0,1,54,213,390,5,223,47.817578773,186.14759536
Diplôme maximum obtenu,Collégial - AEC,1119,277,108,33,406,28,2,26,414,957,1014,11,949,47.348046677,125.13292745
Diplôme maximum obtenu,Collégial - DEC général,826,184,64,10,336,14,0,12,282,651,783,24,582,47.621338912,132.60460251
Diplôme maximum obtenu,Collégial - DEC professionnel,1245,294,115,29,485,21,3,36,456,1095,1094,19,949,47.987665601,117.37642759
Diplôme maximum obtenu,Universitaire - Certificat,458,66,27,4,211,4,1,12,287,383,387,0,314,50.015584416,126.03766234
Diplôme maximum obtenu,Universitaire - Baccalauréat,1975,277,167,44,925,23,20,297,1499,1642,1769,8,1538,49.180299033,103.52066843
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,570,73,44,10,221,3,10,94,546,394,527,0,441,49.28990228,86.637350706
Diplôme maximum obtenu,Inconnu,24001,1321,2523,360,6852,192,14251,3128,7693,18100,17149,3714,20406,42.717183466,68.888308888
Durée cumulative,Premier mois,644,50,56,1,61,5,260,110,75,380,437,272,817,33.438188494,1
Durée cumulative,De 2 à 5 mois,5469,787,632,6,415,24,3904,441,482,3371,3962,1953,7333,33.845629347,3.5882994682
Durée cumulative,De 6 à 11 mois,6637,935,1034,25,639,28,5275,516,566,4572,4726,1956,9298,35.550978705,8.3382447838
Durée cumulative,De 12 à 23 mois,7156,1088,1510,59,1056,28,3781,1145,1015,5395,5502,2099,10897,36.529503533,17.121593099
Durée cumulative,De 24 à 47 mois,11756,1611,2362,112,2158,87,1074,2629,2660,8896,9190,3679,8870,37.425688378,35.074643371
Durée cumulative,De 48 à 119 mois,26136,2918,4004,453,5155,232,78,538,8494,17969,20929,2704,14564,40.150367628,80.838372153
Durée cumulative,120 mois et plus,41461,3867,1951,1084,20797,902,43,0,13010,31732,38330,1,12703,50.770446176,245.67054894
Types de contraintes,Sans contraintes,99259,0,0,0,0,0,12441,3172,15505,40221,59038,8978,44348,40.085564029,123.18048741
Types de contraintes,État de santé,0,11256,0,0,0,0,62,128,1082,5803,5453,1120,6823,40.523098792,104.95309168
Types de contraintes,Grossesse ou enfant à charge,0,0,11549,0,0,0,835,535,1681,10805,744,2522,6036,30.444454065,66.572084163
Types de contraintes,Enfant handicapé,0,0,0,1740,0,0,5,28,445,1514,226,7,400,41.50862069,158.70747126
Types de contraintes,Âge,0,0,0,0,30281,0,1066,1486,7452,13216,17065,0,6606,62.061193488,216.81130082
Types de contraintes,Autres,0,0,0,0,0,1306,6,30,137,756,550,37,269,47.296324655,202.01761103
Région,01 - Bas-Saint-Laurent,1557,325,167,42,642,42,0,18,26,1186,1589,233,1052,44.604684685,169.60972973
Région,02 - Saguenay - Lac-St-Jean,2744,395,275,50,1069,47,0,2,38,2029,2551,366,1669,44.497379913,177.51659389
Région,03 - Capitale-Nationale,5135,823,542,110,1781,97,2,322,787,3630,4858,605,3212,44.74893968,160.19757304
Région,04 - Mauricie,4497,503,550,77,1382,74,0,67,178,3162,3921,709,2316,43.061697021,172.94253847
Région,05 - Estrie,3801,594,441,60,1079,56,1,320,527,2709,3322,658,2365,42.291493948,140.02387664
Région,06 - Île-de-Montréal,42130,2715,3961,599,12044,344,14396,2871,19245,29254,32539,4513,29125,44.118379104,117.0289515
Région,07 - Outaouais,4834,615,837,64,1263,63,5,229,751,3706,3970,716,2662,42.302892131,134.84822824
Région,08 - Abitibi-Témiscamingue,1345,193,202,18,406,17,0,3,10,992,1189,192,983,43.047226043,151.42182485
Région,09 - Côte-Nord,671,84,99,10,239,12,0,0,8,499,616,91,474,44.262780269,168.7793722
Région,10 - Nord-du-Québec,556,14,92,2,57,6,0,0,6,341,386,107,401,39.81568088,119.25859697
Région,11 - Gaspésie - Îles-de-la-Madeleine,848,176,100,22,369,52,0,0,10,694,873,136,557,44.976388003,186.66177409
