Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,70469,8642,354,0,25020,1127,7498,1937,13660,38047,67565,9009,43271,45.172878082,148.04851721
Situation familiale,Couples sans enfants,4716,213,37,0,3688,60,1814,807,2064,4353,4361,227,3361,52.683612577,156.20920358
Situation familiale,Familles monoparentales,11024,1349,10445,1314,688,132,1407,819,5181,22222,2730,2451,10686,37.08704713,108.87848669
Situation familiale,Couples avec enfants,13789,323,497,457,982,44,3862,1546,5280,8062,8030,723,7477,40.516157097,100.40883669
Situation familiale,Conjoint d'étudiant,164,11,12,10,6,0,1,63,87,133,70,15,102,37.068965517,63.300492611
Sexe,Hommes,59124,5063,727,228,17053,561,7865,1914,11803,0,82756,5867,35150,44.568260912,138.06096235
Sexe,Femmes,41038,5475,10618,1553,13331,802,6717,3258,14469,72817,0,6558,29747,42.936388481,136.18933765
Âge,Moins de 20 ans,1004,228,359,0,0,2,510,56,50,955,638,1593,1533,18.618330195,8.3873195229
Âge,De 20 à 24 ans,7732,819,2237,5,0,39,1528,371,605,5603,5229,10832,6541,22.270033235,31.677252585
Âge,De 25 à 29 ans,11600,1201,3059,87,0,50,2084,452,1153,8243,7754,0,9194,27.084828405,51.599987498
Âge,De 30 à 34 ans,12652,1189,2632,222,0,60,2559,623,1762,8388,8367,0,9217,32.000298418,70.458549687
Âge,De 35 à 39 ans,14239,1298,1857,409,0,99,2560,745,2463,8726,9176,0,8990,37.027036085,96.146575802
Âge,De 40 à 44 ans,14252,1433,922,478,0,169,1921,623,2955,8186,9068,0,7710,41.94621537,125.77100962
Âge,De 45 à 49 ans,13546,1366,221,322,0,256,1286,402,3370,7006,8705,0,6165,47.032015785,160.50143212
Âge,De 50 à 54 ans,14963,1777,45,205,0,379,725,290,3949,7412,9957,0,5545,52.062007024,196.3791813
Âge,55 ans et plus,10174,1227,13,53,30384,309,1409,1610,9965,18298,23862,0,10002,60.357637571,217.17239089
Âge,35 ans et moins,35694,3668,8723,389,0,164,7227,1663,3991,24934,23704,12425,28294,27.991775978,54.527303754
Âge,36 ans et plus,64468,6870,2622,1392,30384,1199,7355,3509,22281,47883,59052,0,36603,50.99664282,174.7806892
