Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,74235,9143,372,0,25585,1204,5542,1929,14533,39537,71002,10273,44762,44.972625046,146.98851989
Situation familiale,Couples sans enfants,4941,263,45,0,3693,60,1637,701,2238,4498,4504,242,3479,52.288935792,160.09442346
Situation familiale,Familles monoparentales,11552,1390,11328,1337,724,139,1211,838,5587,23511,2959,2668,10840,37.077975066,110.98398187
Situation familiale,Couples avec enfants,14836,377,603,475,1040,49,3197,1971,5899,8704,8676,884,7606,40.374050633,103.12433832
Situation familiale,Conjoint d'étudiant,250,8,15,13,12,1,1,130,103,191,108,27,176,37.595317726,53.515050167
Sexe,Hommes,62957,5240,871,222,17355,604,6224,2152,12896,0,87249,6711,36365,44.352898027,137.18636317
Sexe,Femmes,42857,5941,11492,1603,13699,849,5364,3417,15464,76441,0,7383,30498,42.733402232,136.91355424
Âge,Moins de 20 ans,1216,252,374,0,0,2,368,88,68,1045,799,1844,1772,18.685466377,11.956073753
Âge,De 20 à 24 ans,8859,858,2472,16,0,45,1134,505,733,6338,5912,12250,7134,22.241632653,32.625959184
Âge,De 25 à 29 ans,12239,1162,3356,78,0,59,1648,506,1333,8630,8264,0,9414,27.07860779,52.222860187
Âge,De 30 à 34 ans,13042,1188,2806,234,0,67,2133,707,1944,8720,8617,0,9177,32.015573629,72.21168599
Âge,De 35 à 39 ans,14912,1417,1994,429,0,113,2153,860,2742,9126,9739,0,9180,37.032282004,98.909567983
Âge,De 40 à 44 ans,14489,1500,1030,437,0,153,1534,680,3192,8317,9292,0,7668,41.957294565,128.23908229
Âge,De 45 à 49 ans,14205,1499,269,363,0,266,913,474,3791,7413,9189,0,6216,47.050475846,162.95271654
Âge,De 50 à 54 ans,16185,1984,52,217,0,428,580,322,4158,7992,10874,0,5941,52.074048553,195.63548182
Âge,55 ans et plus,10667,1321,10,51,31054,320,1125,1427,10399,18860,24563,0,10361,60.242106718,215.5306865
Âge,35 ans et moins,38185,3728,9466,400,0,192,5718,1987,4556,26543,25428,14094,29324,27.843335706,55.381982259
Âge,36 ans et plus,67629,7453,2897,1425,31054,1261,5870,3582,23804,49898,61821,0,37539,50.924945622,175.05460128
Scolarité,Primaire,6001,463,579,72,2930,61,55,831,3062,4913,5193,1033,2825,46.244607164,174.53878884
Scolarité,Secondaire I à IV,45818,4500,5955,723,10176,668,69,606,6446,29554,38286,8043,24027,41.376090802,161.88562795
Scolarité,Secondaire V,22598,3336,2366,482,7816,393,124,617,6181,17361,19630,1605,15033,45.772214863,145.632343
Scolarité,Collégiale,6627,1139,666,127,2177,110,43,251,2524,5252,5594,285,4729,46.380601143,126.48948921
Scolarité,Universitaire,5773,708,402,95,2453,55,152,941,4121,4264,5222,48,4299,48.73582121,108.81140628
Scolarité,Inconnue,18997,1035,2395,326,5502,166,11145,2323,6026,15097,13324,3080,15950,42.346011752,66.77442736
Diplôme maximum obtenu,Aucun diplôme,57134,5534,6989,917,15699,795,229,1777,12614,38849,48219,9471,30014,42.647482428,162.46971333
Diplôme maximum obtenu,Secondaire - DES,14662,2392,1664,297,4324,264,21,282,2944,11306,12297,1174,10116,44.485489133,135.87976105
Diplôme maximum obtenu,Secondaire - DEP,4555,726,472,91,1360,98,2,29,656,3137,4165,173,3170,46.185154752,156.04820597
Diplôme maximum obtenu,Secondaire - ASP,423,53,32,10,153,5,0,5,65,247,429,19,252,46.958579882,176.95118343
Diplôme maximum obtenu,Collégial - AEC,1197,226,127,28,411,24,1,23,398,984,1029,16,974,47.172379533,125.73025335
Diplôme maximum obtenu,Collégial - DEC général,949,178,50,17,340,11,1,14,304,672,873,30,661,47.633009709,133.5579288
Diplôme maximum obtenu,Collégial - DEC professionnel,1392,310,144,34,506,25,2,66,508,1227,1184,31,1095,47.223973455,113.04935711
Diplôme maximum obtenu,Universitaire - Certificat,555,95,44,4,238,6,0,25,336,478,464,4,436,49.089171975,120.32696391
Diplôme maximum obtenu,Universitaire - Baccalauréat,2279,305,158,40,974,26,18,392,1600,1781,2001,11,1731,48.658646219,99.752776309
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,682,71,46,9,251,5,11,134,602,441,623,0,544,48.931390977,81.742481203
Diplôme maximum obtenu,Inconnu,21986,1291,2637,378,6798,194,11303,2822,8333,17319,15965,3165,17870,43.245403197,75.514511477
Durée cumulative,Premier mois,929,223,145,5,96,5,910,48,76,658,745,334,1403,34.627940128,1
Durée cumulative,De 2 à 5 mois,3689,857,623,15,345,28,3467,179,283,2620,2937,1233,5557,34.65323016,3.4950512867
Durée cumulative,De 6 à 11 mois,5355,711,947,25,577,19,4129,409,497,3782,3852,1493,7634,35.727665706,8.2326434373
Durée cumulative,De 12 à 23 mois,9139,1087,1676,55,1160,44,2668,1732,1496,6565,6596,3335,13161,35.278778208,17.437276803
Durée cumulative,De 24 à 47 mois,13550,1527,2642,110,1960,95,279,2790,3085,9556,10328,4614,9842,36.068799034,34.947746932
Durée cumulative,De 48 à 119 mois,28682,2814,4264,496,5526,266,91,411,9495,19446,22602,3084,15573,40.229071537,80.551203387
Durée cumulative,120 mois et plus,44470,3962,2066,1119,21390,996,44,0,13428,33814,40189,1,13693,50.665324379,243.77523884
Types de contraintes,Sans contraintes,105814,0,0,0,0,0,9817,3591,17217,42857,62957,10075,46115,40.060899314,124.36357193
Types de contraintes,État de santé,0,11181,0,0,0,0,51,127,1037,5941,5240,1110,6767,40.854843037,105.93784098
Types de contraintes,Grossesse ou enfant à charge,0,0,12363,0,0,0,828,557,1790,11492,871,2846,6320,30.275984793,66.645069967
Types de contraintes,Enfant handicapé,0,0,0,1825,0,0,5,35,473,1603,222,16,419,41.376986301,156.26739726
Types de contraintes,Âge,0,0,0,0,31054,0,881,1237,7691,13699,17355,0,6913,61.904714369,215.58201842
Types de contraintes,Autres,0,0,0,0,0,1453,6,22,152,849,604,47,329,47.022711631,197.85203028
Région,01 - Bas-Saint-Laurent,1722,320,183,43,686,57,0,24,29,1299,1712,266,1193,44.445366988,166.5586184
Région,02 - Saguenay - Lac-St-Jean,3083,393,338,53,1111,61,0,1,43,2260,2779,457,1885,44.019448303,171.95118079
Région,03 - Capitale-Nationale,5797,874,564,104,1862,110,1,439,817,4002,5309,723,3550,44.415744818,157.95392546
Région,04 - Mauricie,4931,518,584,75,1463,92,0,114,199,3412,4251,838,2530,42.873156727,167.79003001
Région,05 - Estrie,4128,580,472,63,1142,59,4,364,540,2876,3568,752,2510,42.223463687,138.16883923
Région,06 - Île-de-Montréal,42973,2689,4266,648,12148,373,11571,2821,20982,29978,33119,4538,28580,44.149325641,120.61785822
Région,07 - Outaouais,5293,632,876,75,1269,64,2,287,805,3934,4275,882,2887,42.039347058,132.6891217
Région,08 - Abitibi-Témiscamingue,1329,201,175,15,415,28,0,1,21,998,1165,189,923,43.562644475,156.7272307
Région,09 - Côte-Nord,766,95,102,15,245,12,0,0,10,545,690,110,537,43.827530364,163.91093117
Région,10 - Nord-du-Québec,578,14,110,2,59,4,0,0,5,358,409,121,465,38.898305085,110.88005215
Région,11 - Gaspésie - Îles-de-la-Madeleine,970,177,115,23,429,56,0,0,8,786,984,159,636,44.987570621,187.16101695
Région,12 - Chaudières-Appalaches,2466,422,281,46,782,30,0,5,90,1802,2225,354,1679,43.829898187,148.90985846
Région,13 - Laval,3418,395,383,57,1490,61,5,611,1974,2947,2857,380,2146,46.484838043,119.22036527
Région,14 - Lanaudière,5143,750,776,115,1552,124,1,104,341,4118,4342,793,3195,43.299172577,150.59172577
Région,15 - Laurentides,5809,974,831,140,1852,85,0,98,397,4463,5228,900,3970,43.151996698,141.02651945
Région,16 - Montérégie,14195,1768,1930,312,3696,199,4,541,1963,10462,11638,2081,8237,42.547963801,140.72561086
Région,17 - Centre-du-Québec,3206,378,375,39,853,38,0,159,136,2196,2693,548,1930,42.238290039,147.30231131
Région,99 - Central,7,1,2,0,0,0,0,0,0,5,5,3,10,29.3,24.1
