Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,70777,8559,357,0,25084,1140,7302,1928,13762,38132,67785,9068,43222,45.175977416,148.15133548
Situation familiale,Couples sans enfants,4702,234,36,0,3681,65,1738,817,2114,4359,4359,218,3345,52.757283781,157.62296398
Situation familiale,Familles monoparentales,11134,1376,10344,1327,691,130,1404,822,5211,22290,2712,2459,10616,37.085673146,109.20110391
Situation familiale,Couples avec enfants,13759,326,528,455,963,47,3795,1569,5311,8055,8023,718,7392,40.500248787,100.68547083
Situation familiale,Conjoint d'étudiant,165,11,12,11,7,0,1,73,82,137,69,16,107,36.927184466,61.786407767
Sexe,Hommes,59332,5004,713,232,17097,570,7690,1930,11920,0,82948,5893,35050,44.587114819,138.24195882
Sexe,Femmes,41205,5502,10564,1561,13329,812,6550,3279,14560,72973,0,6586,29632,42.925684842,136.49984241
Âge,Moins de 20 ans,979,226,363,0,0,4,490,54,45,931,641,1572,1510,18.624045802,8.7061068702
Âge,De 20 à 24 ans,7796,828,2239,5,0,39,1490,386,610,5655,5252,10907,6569,22.271935454,31.923810397
Âge,De 25 à 29 ans,11680,1180,3029,87,0,48,2027,445,1180,8270,7754,0,9135,27.082314029,51.834186221
Âge,De 30 à 34 ans,12723,1166,2614,223,0,73,2545,638,1790,8431,8368,0,9222,31.998988035,70.470027978
Âge,De 35 à 39 ans,14192,1335,1854,415,0,100,2494,750,2479,8723,9173,0,8904,37.024307108,96.740109522
Âge,De 40 à 44 ans,14237,1406,906,477,0,161,1900,610,2960,8136,9051,0,7612,41.95176587,126.12160354
Âge,De 45 à 49 ans,13586,1377,217,324,0,257,1233,422,3416,7042,8719,0,6136,47.030328025,161.06541463
Âge,De 50 à 54 ans,15080,1763,42,209,0,393,704,302,3968,7462,10025,0,5561,52.061702979,196.12454967
