Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,96100,9992,494,0,26861,1387,1423,3233,18062,47972,86862,17203,57781,43.577087382,135.393558
Situation familiale,Couples sans enfants,5876,345,52,0,4022,67,257,890,2726,5168,5194,434,3437,51.656147462,172.88409573
Situation familiale,Familles monoparentales,14763,1541,15296,1422,768,185,247,1204,7507,30129,3846,4156,13838,36.5467844,107.75387785
Situation familiale,Couples avec enfants,19943,494,876,590,1109,52,435,4415,8555,11552,11512,1577,9787,39.551075269,100.28178113
Situation familiale,Conjoint d'étudiant,571,14,35,19,7,0,1,342,188,445,201,40,406,36.417956656,43.589783282
Sexe,Hommes,81198,5886,1224,286,18313,708,1313,4352,17085,0,107615,11332,46647,43.090991033,126.62437393
Sexe,Femmes,56055,6500,15529,1745,14454,983,1050,5732,19953,95266,0,12078,38602,41.474460983,130.3969307
Âge,Moins de 20 ans,3763,200,635,0,0,8,46,285,227,2375,2231,4606,4471,18.572948328,10.411419887
Âge,De 20 à 24 ans,14015,902,3855,8,0,24,255,905,1187,9703,9101,18804,11405,22.106041268,28.60056371
Âge,De 25 à 29 ans,15241,1092,4360,88,0,59,370,1109,2123,10586,10254,0,11645,26.962380038,49.761036468
Âge,De 30 à 34 ans,16423,1316,3622,332,0,78,415,1831,3038,10874,10897,0,11102,32.031555739,73.851499701
Âge,De 35 à 39 ans,18066,1528,2543,523,0,144,356,2038,4083,11286,11518,0,10559,36.969698299,100.20242063
Âge,De 40 à 44 ans,17299,1547,1293,470,0,188,268,1518,4672,9888,10909,0,8773,41.969851421,128.02351301
Âge,De 45 à 49 ans,18752,1973,360,343,0,333,157,831,5212,9683,12078,0,8113,47.033821975,159.74293461
Âge,De 50 à 54 ans,20987,2425,71,204,0,499,127,451,5165,10219,13967,0,7829,52.019515422,190.14682047
Âge,55 ans et plus,12707,1403,14,63,32767,358,369,1116,11331,20652,26660,0,11352,59.822201556,207.04888823
Âge,35 ans et moins,53061,3804,13047,540,0,193,1162,4567,7300,35814,34831,23410,40813,27.211041121,51.55753415
Âge,36 ans et plus,84192,8582,3706,1491,32767,1498,1201,5517,29738,59452,72784,0,44436,50.410016939,169.44549139
Scolarité,Primaire,7929,489,808,74,3553,81,14,922,3702,6231,6703,1626,4057,45.471238596,169.28946961
Scolarité,Secondaire I à IV,60940,4919,8033,842,10377,780,26,862,7987,37653,48238,14083,33536,39.788708945,146.22901119
Scolarité,Secondaire V,30664,3690,3389,488,8076,432,41,1018,7760,22165,24574,2898,20957,44.414899763,131.90885556
Scolarité,Collégiale,9273,1151,875,150,2303,120,11,690,3131,6683,7189,430,6716,45.268959054,113.83239619
Scolarité,Universitaire,9530,779,669,112,2675,61,31,2444,5683,6242,7584,99,7409,46.422609576,90.449515406
Scolarité,Inconnue,18917,1358,2979,365,5783,217,2240,4148,8775,16292,13327,4274,12574,41.764002836,77.81505115
Diplôme maximum obtenu,Aucun diplôme,76572,6100,9594,1036,16650,930,74,2378,15725,49784,61098,16419,42506,41.15047528,147.52939161
Diplôme maximum obtenu,Secondaire - DES,19328,2494,2296,330,4470,282,7,401,3579,14100,15100,2010,13620,43.288869863,124.98462329
Diplôme maximum obtenu,Secondaire - DEP,6220,827,611,83,1354,111,0,105,810,3958,5248,348,4240,45.076363241,143.70486639
Diplôme maximum obtenu,Secondaire - ASP,569,61,49,11,168,8,0,13,95,326,540,31,364,46.202078522,156.5334873
Diplôme maximum obtenu,Collégial - AEC,1651,230,143,21,448,28,0,56,462,1206,1315,28,1297,46.457358191,114.72471242
Diplôme maximum obtenu,Collégial - DEC général,3362,476,279,54,899,37,2,257,998,2489,2618,113,2531,45.960054827,106.89778735
Diplôme maximum obtenu,Collégial - DEC professionnel,865,100,64,6,255,8,0,72,491,629,669,4,681,47.370570108,101.52234206
Diplôme maximum obtenu,Universitaire - Certificat,3912,362,275,50,1070,26,5,1029,2235,2659,3036,39,3229,46.058121159,81.570324846
Diplôme maximum obtenu,Universitaire - Baccalauréat,1063,71,83,9,270,6,0,349,770,644,858,0,918,46.336218375,64.758322237
Diplôme maximum obtenu,Universitaire - Maîtrise ou Doctorat,1,0,0,0,6,1,0,0,4,0,8,0,2,60.125,194.5
Diplôme maximum obtenu,Inconnu,23710,1665,3359,431,7177,254,2275,5424,11869,19471,17125,4418,15861,42.648759427,83.407366925
Durée cumulative,Premier mois,1354,178,197,2,86,6,234,347,197,899,924,628,1823,31.931431706,1
Durée cumulative,De 2 à 5 mois,5375,661,794,12,395,29,752,1399,866,3517,3749,2584,7266,32.004679328,3.4229287091
Durée cumulative,De 6 à 11 mois,8047,781,1223,23,465,30,571,2233,1190,4904,5665,3764,10569,31.818052796,8.5031696471
Durée cumulative,De 12 à 23 mois,12805,1208,2215,57,989,64,309,2677,2357,8179,9159,5768,17338,32.8055139,17.320855923
Durée cumulative,De 24 à 47 mois,19386,1705,3975,154,2071,90,188,2809,4644,13003,14378,7441,13296,34.832730726,34.684598809
Durée cumulative,De 48 à 119 mois,35947,3279,5710,569,6336,337,255,619,12779,24226,27952,3224,19147,40.561156043,80.395990647
Durée cumulative,120 mois et plus,54339,4574,2639,1214,22425,1135,54,0,15005,40538,45788,1,15810,50.070245349,237.32829043
Types de contraintes,Sans contraintes,137253,0,0,0,0,0,1882,8102,24369,56055,81198,17778,61903,39.321909175,117.10626362
Types de contraintes,État de santé,0,12386,0,0,0,0,9,130,1125,6500,5886,1102,7301,41.551106088,109.62788632
Types de contraintes,Grossesse ou enfant à charge,0,0,16753,0,0,0,157,874,2760,15529,1224,4490,8179,29.783441772,65.11168149
Types de contraintes,Enfant handicapé,0,0,0,2031,0,0,2,40,498,1745,286,8,466,40.638109306,152.19842442
Types de contraintes,Âge,0,0,0,0,32767,0,310,914,8113,14454,18313,0,7009,61.503952147,210.32358776
Types de contraintes,Autres,0,0,0,0,0,1691,3,24,173,983,708,32,391,47.216439976,193.04257836
Région,01 - Bas-Saint-Laurent,2423,342,240,44,755,69,0,6,41,1666,2207,460,1582,43.263103537,154.31990705
Région,02 - Saguenay - Lac-St-Jean,4405,437,453,56,1206,76,1,8,60,3011,3622,924,2885,42.243178049,153.93472034
Région,03 - Capitale-Nationale,7839,970,776,117,2070,120,3,830,1011,5236,6656,1257,5252,43.204927682,142.95871174
Région,04 - Mauricie,6592,643,808,85,1660,103,0,166,227,4419,5472,1483,3703,41.488727126,151.87139824
Région,05 - Estrie,5505,677,674,96,1279,83,1,546,689,3741,4573,1242,3687,40.930959827,123.72516238
Région,06 - Île-de-Montréal,50497,3007,5438,708,12166,451,2336,5771,27712,34494,37773,6212,29112,43.464817967,121.82251927
Région,07 - Outaouais,7175,711,1163,87,1327,60,2,536,1016,5126,5397,1560,4730,40.415090754,114.58357883
Région,08 - Abitibi-Témiscamingue,2037,215,305,20,491,32,0,1,26,1430,1670,416,1507,41.362903226,136.64064516
Région,09 - Côte-Nord,1097,115,148,12,286,19,0,0,8,740,937,210,842,42.174120453,149.70721527
Région,10 - Nord-du-Québec,502,33,158,3,69,5,0,3,3,386,384,146,483,38.324675325,113.00649351
Région,11 - Gaspésie - Îles-de-la-Madeleine,1515,198,201,30,487,76,0,1,9,1121,1386,325,948,43.371759075,172.24690866
Région,12 - Chaudières-Appalaches,3069,488,391,50,1016,36,0,22,88,2366,2684,561,2182,43.481188119,142.81188119
Région,13 - Laval,5011,395,583,64,1399,63,7,713,2523,3810,3705,754,3317,43.48835662,103.17737858
Région,14 - Lanaudière,7311,761,1069,143,1603,134,4,137,437,5337,5684,1499,4526,41.410216859,133.16023954
Région,15 - Laurentides,8242,1066,1106,138,1933,93,0,133,490,5805,6773,1631,5552,41.560025441,124.47479727
Région,16 - Montérégie,19682,1893,2732,334,4068,221,9,1002,2506,13680,15250,3824,12280,41.036985828,125.25395783
Région,17 - Centre-du-Québec,4339,430,506,44,950,50,0,209,187,2887,3432,902,2650,40.99889223,133.1424276
Région,99 - Central,12,5,2,0,2,0,0,0,5,11,10,4,11,37.285714286,84.333333333
