Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,71693,8664,356,0,25132,1128,7678,2017,13896,38406,68567,9202,44758,45.103773849,146.87168725
Situation familiale,Couples sans enfants,4766,207,37,0,3721,59,1830,827,2096,4390,4400,247,3467,52.667576792,154.77189989
Situation familiale,Familles monoparentales,10999,1340,10646,1308,693,130,1415,835,5237,22352,2764,2458,10857,37.131111642,108.62724956
Situation familiale,Couples avec enfants,13860,313,525,456,995,43,3865,1587,5306,8113,8079,722,7605,40.517477767,100.06824358
Situation familiale,Conjoint d'étudiant,171,14,12,11,4,0,1,69,90,137,75,15,110,37.051886792,64.221698113
Sexe,Hommes,60153,5036,745,230,17167,554,8030,1989,12062,0,83885,5998,36386,44.518185611,136.90899446
Sexe,Femmes,41336,5502,10831,1545,13378,806,6759,3346,14563,73398,0,6646,30411,42.915678901,135.55329845
Âge,Moins de 20 ans,1058,224,368,0,0,2,506,70,58,961,691,1652,1602,18.605326877,7.9255447942
Âge,De 20 à 24 ans,7877,825,2246,7,0,37,1561,380,611,5685,5307,10992,6771,22.266011645,31.281477438
Âge,De 25 à 29 ans,11740,1184,3111,84,0,51,2139,472,1180,8289,7881,0,9412,27.086827458,51.187012987
Âge,De 30 à 34 ans,12840,1186,2700,220,0,55,2591,641,1791,8482,8519,0,9434,31.993529792,69.967237221
Âge,De 35 à 39 ans,14381,1323,1895,402,0,100,2604,771,2493,8783,9318,0,9225,37.033202585,95.704491465
Âge,De 40 à 44 ans,14407,1434,962,473,0,174,1917,627,3019,8240,9210,0,7943,41.95025788,125.22028653
Âge,De 45 à 49 ans,13717,1377,234,328,0,253,1300,422,3435,7090,8819,0,6392,47.032748759,159.10233201
Âge,De 50 à 54 ans,15073,1778,49,206,0,381,758,301,3989,7444,10043,0,5662,52.052896437,194.95002001
Âge,55 ans et plus,10396,1207,11,55,30545,307,1413,1651,10049,18424,24097,0,10356,60.348298488,216.41341925
Âge,35 ans et moins,36252,3653,8855,391,0,161,7343,1727,4064,25168,24144,12644,29070,27.980917424,54.122525957
Âge,36 ans et plus,65237,6885,2721,1384,30545,1199,7446,3608,22561,48230,59741,0,37727,50.981633957,173.79724185
Scolarité,Primaire,5420,442,565,70,2710,58,34,741,2853,4528,4737,872,2681,46.453103076,176.90070157
Scolarité,Secondaire I à IV,42407,4261,5549,692,10009,614,36,519,6106,27594,35938,6676,22775,41.816328779,165.683624
Scolarité,Secondaire V,20848,3120,2176,474,7666,352,64,519,5792,16238,18398,1324,14020,46.078271163,148.29452015
Scolarité,Collégiale,6169,1120,614,136,2163,117,30,212,2421,5010,5309,232,4497,46.710727784,128.25622638
Scolarité,Universitaire,5147,647,385,97,2372,55,84,758,3902,3972,4731,27,3911,49.235436057,111.28266115
Scolarité,Inconnue,21498,948,2287,306,5625,164,14541,2586,5551,16056,14772,3513,18913,41.870993902,59.700823926
Diplôme maximum obtenu,Aucun diplôme,52503,5213,6462,884,15196,740,119,1537,11818,36054,44944,7859,28097,43.054124793,166.26680906
Diplôme maximum obtenu,Secondaire - DES,13749,2266,1589,302,4245,246,15,247,2819,10764,11633,1018,9621,44.690940751,137.81019779
Diplôme maximum obtenu,Secondaire - DEP,4188,678,440,83,1407,74,0,24,633,2924,3946,108,3025,46.577001456,159.25429403
Diplôme maximum obtenu,Secondaire - ASP,380,44,28,10,156,5,0,1,56,216,407,7,248,47.621187801,181.37078652
Diplôme maximum obtenu,Collégial - AEC,1201,243,111,35,417,28,2,26,429,991,1044,11,1016,47.383783784,124.56019656
Diplôme maximum obtenu,Collégial - DEC général,870,174,65,12,351,14,1,16,292,679,807,25,638,47.562584118,130.4192463
Diplôme maximum obtenu,Collégial - DEC professionnel,1326,278,119,28,491,22,3,50,461,1141,1123,25,1026,47.774293286,115.14973498
Diplôme maximum obtenu,Universitaire - Certificat,491,59,28,4,225,5,0,13,293,410,402,0,360,50.00862069,122.64408867
Diplôme maximum obtenu,Universitaire - Baccalauréat,2062,276,165,43,952,26,20,313,1531,1686,1838,8,1639,49.116912599,102.11861521
Diplôme maximum obtenu,Universitaire - Maîtrise ou doctorat,592,77,45,9,229,3,11,91,570,402,553,0,480,49.294240838,85.191623037
Diplôme maximum obtenu,Inconnu,24127,1230,2524,365,6876,197,14618,3017,7723,18131,17188,3583,20647,42.764630935,68.639372576
Durée cumulative,Premier mois,1423,205,155,0,118,9,952,127,154,826,1084,487,1910,34.185863874,1
Durée cumulative,De 2 à 5 mois,5519,877,756,13,461,36,4829,389,386,3636,4026,1749,7662,34.842599843,3.4565387627
Durée cumulative,De 6 à 11 mois,6194,789,1001,23,606,15,4635,524,539,4269,4359,1805,8628,35.383171071,8.2254288363
Durée cumulative,De 12 à 23 mois,7040,1000,1470,59,1052,38,3395,1130,1061,5315,5344,2013,10659,36.641617413,17.19757951
Durée cumulative,De 24 à 47 mois,12263,1437,2372,119,2151,87,855,2658,2791,9035,9394,3863,9267,37.189863802,34.90601769
Durée cumulative,De 48 à 119 mois,26735,2695,3946,467,5239,256,82,507,8613,18241,21097,2726,15196,40.257333876,80.771696578
Durée cumulative,120 mois et plus,42315,3535,1876,1094,20918,919,41,0,13081,32076,38581,1,13475,50.769350524,245.27789179
Types de contraintes,Sans contraintes,101489,0,0,0,0,0,12773,3132,15836,41336,60153,8935,46276,40.143562357,122.77114761
Types de contraintes,État de santé,0,10538,0,0,0,0,59,136,1013,5502,5036,1049,6624,40.516321883,102.50132853
Types de contraintes,Grossesse ou enfant à charge,0,0,11576,0,0,0,878,541,1706,10831,745,2614,6237,30.311506565,64.886575674
Types de contraintes,Enfant handicapé,0,0,0,1775,0,0,6,31,453,1545,230,7,433,41.367323944,157.61352113
Types de contraintes,Âge,0,0,0,0,30545,0,1066,1462,7470,13378,17167,0,6924,62.033000491,215.86979866
Types de contraintes,Autres,0,0,0,0,0,1360,7,33,147,806,554,39,303,47.155147059,197.96911765
Région,01 - Bas-Saint-Laurent,1601,296,166,43,657,42,0,19,29,1207,1598,233,1092,44.741889483,169.36684492
Région,02 - Saguenay - Lac-St-Jean,2795,367,280,50,1080,50,0,2,38,2062,2560,357,1722,44.578970143,177.71202942
Région,03 - Capitale-Nationale,5248,770,541,110,1800,101,2,323,771,3661,4909,576,3286,44.889964994,160.84842474
Région,04 - Mauricie,4619,456,546,78,1424,78,0,70,182,3212,3989,723,2439,43.075961672,171.65643661
Région,05 - Estrie,3886,559,450,60,1097,54,1,311,523,2750,3356,646,2453,42.382410744,139.35899116
Région,06 - Île-de-Montréal,43166,2526,4004,616,12113,365,14768,2872,19576,29688,33102,4582,30280,44.049307215,115.8892021
Région,07 - Outaouais,4920,567,820,69,1265,60,4,238,741,3722,3979,714,2709,42.382417868,134.51551747
Région,08 - Abitibi-Témiscamingue,1354,175,204,18,412,19,0,2,10,993,1189,193,1004,43.168652612,151.57791017
Région,09 - Côte-Nord,679,77,98,9,241,9,0,1,10,502,611,89,489,44.232704403,168.33153639
Région,10 - Nord-du-Québec,553,14,87,2,62,4,0,0,6,340,382,101,406,40.049861496,120.53185596
Région,11 - Gaspésie - Îles-de-la-Madeleine,903,151,93,23,380,57,0,0,10,710,897,132,593,45.197261979,187.22962041
Région,12 - Chaudières-Appalaches,2332,409,259,47,734,35,0,11,78,1685,2131,298,1641,43.876048218,150.3692348
Région,13 - Laval,3094,350,352,54,1475,57,7,617,1844,2775,2607,307,2018,47.169453735,122.09717577
Région,14 - Lanaudière,4756,731,778,123,1528,119,2,88,344,3992,4043,714,3154,43.404355943,151.83895457
Région,15 - Laurentides,5442,927,727,127,1822,78,0,110,413,4176,4947,691,3738,43.647374767,144.35865395
Région,16 - Montérégie,13174,1787,1801,301,3631,196,4,556,1904,9845,11045,1789,7921,42.962422212,143.2933461
Région,17 - Centre-du-Québec,2963,374,369,45,823,36,1,115,145,2076,2534,499,1846,42.478524946,149.83861171
Région,99 - Central,4,2,1,0,1,0,0,0,1,2,6,0,6,41.375,164.125
