ï»¿Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,59024,5752,178,0,23448,901,5944,1377,12216,32548,56755,6068,30550,46.272185705,159.1353146
Situation familiale,Couples sans enfants,3273,128,25,0,3436,36,1241,609,2012,3450,3448,156,2199,54.704117135,163.91968687
Situation familiale,Familles monoparentales,9158,805,7611,1100,632,93,828,563,4182,17348,2051,1431,6489,37.9132945,116.88679829
Situation familiale,Couples avec enfants,9214,185,298,334,838,23,2593,653,3929,5460,5432,373,4155,41.163973559,111.03947852
Situation familiale,Conjoint d'Ã©tudiant,72,2,7,6,6,0,3,18,44,55,38,6,33,37.838709677,77.032258065
Sexe,Hommes,47520,3319,481,192,15768,444,5788,1115,9926,0,67724,3876,23986,45.631076133,149.5444008
Sexe,Femmes,33221,3553,7638,1248,12592,609,4821,2105,12457,58861,0,4158,19440,44.284534751,147.77742478
Ãge,Moins de 20 ans,583,137,180,0,0,6,261,31,32,503,403,906,865,18.663355408,8.8554083885
Ãge,De 20 Ã  24 ans,5269,523,1306,7,0,23,1160,275,435,3655,3473,7128,4287,22.27483165,28.982042649
Ãge,De 25 Ã  29 ans,8764,782,2187,64,0,43,1770,247,813,6007,5833,0,5914,27.119510135,54.03902027
Ãge,De 30 Ã  34 ans,10540,747,2034,162,0,51,2004,307,1257,6881,6653,0,6246,31.964829319,74.079872913
Ãge,De 35 Ã  39 ans,11111,831,1402,307,0,74,1581,386,1785,6645,7080,0,5620,37.01726776,102.69020036
Ãge,De 40 Ã  44 ans,11890,930,791,378,0,130,1171,310,2285,6524,7595,0,5016,41.968553014,134.83065373
Ãge,De 45 Ã  49 ans,11323,964,171,276,0,189,718,225,2667,5850,7073,0,4088,46.960999768,168.304728
Ãge,De 50 Ã  54 ans,12467,1150,38,195,0,283,510,202,3343,6090,8043,0,3677,52.061699568,202.92528126
Ãge,55 ans et plus,8794,808,10,51,28360,254,1434,1237,9766,16706,21571,0,7713,60.72260104,225.01773911
Ãge,35 ans et moins,27306,2331,6052,285,0,134,5549,941,2844,18355,17753,8034,18481,28.356347624,58.218178797
Ãge,36 ans et plus,53435,4541,2067,1155,28360,919,5060,2279,19539,40506,49971,0,24945,51.649148402,184.84178299
ScolaritÃ©,Primaire,4513,303,472,78,2456,38,18,504,2660,3918,3942,643,2169,46.975699746,178.32722646
ScolaritÃ©,Secondaire I Ã  IV,35122,2788,3982,577,9465,484,18,251,5045,22743,29675,4088,15876,43.06703804,178.43963906
ScolaritÃ©,Secondaire V,16692,2066,1553,351,6989,263,31,275,4743,12856,15058,761,9081,47.199613097,159.54524611
ScolaritÃ©,CollÃ©giale,4903,712,418,107,1951,95,15,90,1883,3950,4236,121,2850,47.704984119,139.98228683
ScolaritÃ©,Universitaire,3543,424,262,78,2095,43,55,323,3044,2933,3512,18,2188,50.817998448,125.2772692
ScolaritÃ©,Inconnue,15968,579,1432,249,5404,130,10472,1777,5008,12461,11301,2403,11262,43.543009848,70.032741352
