Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Situation familiale,Personnes seules,92555,9973,437,0,26710,1377,1387,3058,17718,46771,84281,16407,54626,43.785581296,137.62886488
Situation familiale,Couples sans enfants,5700,328,52,0,3991,71,246,872,2774,5063,5079,428,3326,51.920627095,174.32518241
Situation familiale,Familles monoparentales,15516,1638,12857,1452,715,175,248,1175,7138,28680,3673,3942,12864,36.557197169,108.59203165
Situation familiale,Couples avec enfants,19363,517,796,591,1080,57,467,4243,8265,11224,11180,1506,9459,39.576191751,100.67943224
Situation familiale,Conjoint d'étudiant,608,14,38,19,8,1,0,370,199,461,227,38,444,36.684593023,43.674418605
Sexe,Hommes,78446,5900,909,290,18193,702,1293,4186,16641,0,104440,10869,44197,43.272740329,128.52991191
Sexe,Femmes,55296,6570,13271,1772,14311,979,1055,5532,19453,92199,0,11452,36522,41.649052593,132.10368876
Âge,Moins de 20 ans,3595,210,598,0,0,7,45,275,222,2277,2133,4410,4276,18.560090703,10.353287982
Âge,De 20 à 24 ans,13522,879,3473,9,0,28,265,877,1130,9175,8736,17911,10581,22.11255653,29.162469991
Âge,De 25 à 29 ans,14929,1127,3713,95,0,52,376,1060,1998,10139,9777,0,10864,26.966358707,50.36960233
Âge,De 30 à 34 ans,16054,1354,3011,313,0,80,399,1741,2906,10425,10387,0,10377,32.04458966,74.695848549
Âge,De 35 à 39 ans,17746,1555,2056,550,0,138,361,1967,3912,10934,11111,0,10036,36.975459288,101.20204128
Âge,De 40 à 44 ans,16806,1582,1032,463,0,192,247,1423,4516,9552,10523,0,8308,41.97384807,129.386401
Âge,De 45 à 49 ans,18157,1976,238,364,0,330,165,809,5035,9340,11725,0,7703,47.036790885,160.55380964
Âge,De 50 à 54 ans,20429,2380,45,204,0,501,123,445,5093,9969,13590,0,7484,52.01634195,191.60919394
Âge,55 ans et plus,12504,1407,14,64,32504,353,367,1121,11282,20388,26458,0,11090,59.844853349,208.19613201
Âge,35 ans et moins,51576,3870,11298,520,0,191,1157,4325,6958,34222,33233,22321,38124,27.219509302,52.310384701
Âge,36 ans et plus,82166,8600,2882,1542,32504,1490,1191,5393,29136,57977,71207,0,42595,50.496299851,170.87948198
Scolarité,Primaire,7858,477,708,69,3486,76,12,902,3646,6085,6589,1612,3946,45.444768818,169.73891431
Scolarité,Secondaire I à IV,59738,4984,6871,848,10330,759,24,848,7820,36589,46941,13464,31765,39.953525679,148.02883994
Scolarité,Secondaire V,29606,3765,2823,509,8062,439,36,967,7576,21407,23797,2720,19733,44.63220069,134.01429077
Scolarité,Collégiale,8970,1161,700,156,2269,127,8,666,3054,6422,6961,411,6324,45.443547785,115.65276844
Scolarité,Universitaire,9140,730,557,123,2663,62,32,2365,5473,5960,7315,94,6995,46.638116761,92.255291902
Scolarité,Inconnue,18430,1353,2521,357,5694,218,2236,3970,8525,15736,12837,4020,11956,42.042312673,78.987855668
Diplôme maximum obtenu,Aucun diplôme,75033,6182,8213,1036,16551,901,64,2306,15428,48398,59518,15740,40379,41.300270581,149.2069202
Diplôme maximum obtenu,Secondaire - DES,18694,2521,1894,348,4463,297,9,397,3476,13586,14631,1889,12833,43.509976255,126.91196796
Diplôme maximum obtenu,Secondaire - DEP,5959,854,525,90,1327,104,0,97,786,3830,5029,326,3950,45.275651879,146.16265944
Diplôme maximum obtenu,Secondaire - ASP,574,61,40,11,165,11,0,14,94,324,538,37,357,46.216937355,158.53480278
Diplôme maximum obtenu,Collégial - AEC,1561,255,113,22,429,31,0,53,449,1173,1238,28,1188,46.547905433,117.34964745
Diplôme maximum obtenu,Collégial - DEC général,3256,459,217,55,902,39,2,252,975,2367,2561,107,2402,46.232548701,108.37743506
Diplôme maximum obtenu,Collégial - DEC professionnel,825,93,45,7,259,7,2,73,469,587,649,6,633,47.662621359,104.30097087
Diplôme maximum obtenu,Universitaire - Certificat,3747,336,236,55,1064,26,5,1008,2132,2536,2928,36,3036,46.296669107,82.936127379
Diplôme maximum obtenu,Universitaire - Baccalauréat,1008,58,81,11,272,4,1,327,751,613,821,0,860,46.615760112,66.767782427
Diplôme maximum obtenu,Universitaire - Maîtrise ou Doctorat,1,0,0,0,6,1,0,0,4,0,8,0,2,60.375,196.5
Diplôme maximum obtenu,Inconnu,23084,1651,2816,427,7066,260,2265,5191,11530,18785,16519,4152,15079,42.899444822,84.768893043
Durée cumulative,Premier mois,1421,166,147,3,113,8,185,411,173,869,989,611,1858,32.923573735,1
Durée cumulative,De 2 à 5 mois,5451,763,732,20,369,32,905,1424,841,3530,3837,2568,7367,31.92968644,3.4282611647
Durée cumulative,De 6 à 11 mois,7045,743,1061,25,465,32,493,1928,1112,4454,4917,3313,9371,32.050261445,8.5384697471
Durée cumulative,De 12 à 23 mois,11963,1175,1950,57,952,64,298,2619,2243,7566,8595,5365,16161,32.93181115,17.216075738
Durée cumulative,De 24 à 47 mois,18835,1692,3468,158,2022,108,167,2775,4414,12485,13798,7268,12426,34.856561275,34.694745653
Durée cumulative,De 48 à 119 mois,35383,3273,4696,582,6258,313,243,561,12441,23493,27012,3195,18156,40.569428769,80.381843382
Durée cumulative,120 mois et plus,53644,4658,2126,1217,22325,1124,57,0,14870,39802,45292,1,15380,50.125273227,237.93179308
Types de contraintes,Sans contraintes,133742,0,0,0,0,0,1888,7810,23929,55296,78446,17117,58666,39.348918066,118.41325836
Types de contraintes,État de santé,0,12470,0,0,0,0,10,135,1066,6570,5900,1089,7292,41.456054531,110.23889334
Types de contraintes,Grossesse ou enfant à charge,0,0,14180,0,0,0,135,793,2294,13271,909,4071,6989,29.386812412,63.263610719
Types de contraintes,Enfant handicapé,0,0,0,2062,0,0,2,43,508,1772,290,9,481,40.677982541,150.58535403
Types de contraintes,Âge,0,0,0,0,32504,0,310,911,8131,14311,18193,0,6894,61.525781442,211.1133399
Types de contraintes,Autres,0,0,0,0,0,1681,3,26,166,979,702,35,397,47.251041047,191.77513385
Région,01 - Bas-Saint-Laurent,2317,376,195,46,758,66,0,7,41,1615,2143,433,1525,43.642362959,157.17110165
Région,02 - Saguenay - Lac-St-Jean,4271,425,391,55,1188,72,1,9,55,2892,3510,878,2714,42.434083099,156.02155576
Région,03 - Capitale-Nationale,7666,985,675,118,2046,124,2,807,1009,5082,6532,1227,5013,43.280092991,144.66170139
Région,04 - Mauricie,6398,645,700,84,1651,111,0,161,234,4327,5262,1454,3470,41.647199917,154.08687037
Région,05 - Estrie,5410,692,565,90,1283,90,1,556,652,3642,4488,1195,3567,41.054858549,124.39667897
Région,06 - Île-de-Montréal,49075,3004,4594,720,12071,435,2327,5493,26938,33371,36528,5888,27673,43.677348746,123.55849154
Région,07 - Outaouais,7057,673,993,91,1325,63,0,521,976,4915,5287,1497,4414,40.584689277,117.00754754
Région,08 - Abitibi-Témiscamingue,1949,209,248,15,483,29,0,1,24,1354,1579,388,1362,41.522673031,139.14012956
Région,09 - Côte-Nord,1083,104,124,15,292,17,0,0,8,718,917,199,802,42.318042813,150.79510703
Région,10 - Nord-du-Québec,513,29,125,3,66,5,0,1,3,365,376,129,458,38.848852901,116.84210526
Région,11 - Gaspésie - Îles-de-la-Madeleine,1465,201,176,29,492,72,0,0,17,1116,1319,309,868,43.582340862,174.47843943
Région,12 - Chaudières-Appalaches,2995,538,335,52,970,36,0,19,84,2308,2618,529,2074,43.49228583,144.30227365
Région,13 - Laval,4861,394,503,64,1416,66,7,710,2478,3708,3596,708,3157,43.874041621,105.15909091
Région,14 - Lanaudière,7078,832,906,142,1585,134,3,124,438,5130,5547,1426,4274,41.554462864,134.76688208
Région,15 - Laurentides,8052,1063,936,138,1904,92,0,128,480,5616,6569,1567,5296,41.651538777,126.2512105
Région,16 - Montérégie,19328,1870,2282,359,4028,214,7,967,2470,13221,14860,3630,11552,41.190805171,126.84384459
Région,17 - Centre-du-Québec,4214,428,430,41,943,55,0,214,185,2812,3299,862,2492,41.200949108,135.60562919
Région,99 - Central,10,2,2,0,3,0,0,0,2,7,10,2,8,38.647058824,107
