Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Région,02 - Saguenay - Lac-St-Jean,3139,387,349,52,1121,60,0,2,43,2315,2793,485,1879,43.938919342,171.00528583
Région,03 - Capitale-Nationale,5907,877,560,105,1856,106,1,468,827,4066,5345,783,3587,44.270003188,156.77919456
Région,04 - Mauricie,4979,510,575,74,1487,96,0,120,196,3430,4291,871,2538,42.856883823,167.31679834
Région,05 - Estrie,4213,549,457,64,1158,61,3,381,554,2931,3571,761,2572,42.248538911,137.54337127
Région,06 - Île-de-Montréal,43627,2695,4194,647,12170,377,11371,2916,21322,30321,33389,4613,28825,44.103327578,120.08317376
Région,07 - Outaouais,5392,621,890,74,1263,72,3,284,819,3999,4313,946,2960,41.85045717,131.12295476
Région,08 - Abitibi-Témiscamingue,1355,173,182,14,413,25,0,1,17,1006,1156,204,899,43.491674376,157.00231267
Région,09 - Côte-Nord,775,79,110,14,250,12,0,0,9,561,679,108,529,43.885483871,163.55
Région,10 - Nord-du-Québec,579,18,110,2,62,4,0,0,5,370,405,120,476,38.981935484,110.41419355
Région,11 - Gaspésie - Îles-de-la-Madeleine,1010,191,114,22,437,59,0,0,9,827,1006,163,686,44.944353519,184.64429896
Région,12 - Chaudières-Appalaches,2468,446,290,46,795,31,0,4,87,1810,2266,353,1697,43.811334642,149.65112856
Région,13 - Laval,3522,389,381,60,1490,55,6,630,1994,3013,2884,417,2186,46.294726132,118.05477361
Région,14 - Lanaudière,5321,732,772,120,1559,118,2,109,351,4213,4409,829,3256,43.080027836,149.24808629
Région,15 - Laurentides,5909,976,834,133,1843,88,1,102,386,4509,5274,908,3985,43.109271185,140.77491567
Région,16 - Montérégie,14432,1765,1934,312,3696,199,3,568,1993,10568,11770,2158,8308,42.471662638,139.83637747
Région,17 - Centre-du-Québec,3262,345,369,40,856,41,0,168,138,2208,2705,571,1915,42.089558315,147.16324038
Région,99 - Central,5,3,1,0,1,0,0,0,2,8,2,2,5,32.6,71.1
