Caracteristique,Valeur,Sans_contraintes,Etat_de_sante,Gross_enfant_charge,Enfant_handicape,Age,Autres,Demandeurs_asile,NHC_moins_5ans,NHC_5ans_et_plus,Femmes,Hommes,Moins_de_25ans,Durcon_moins_2ans,Age_moyen,Duree_cumul_moyenne
Région,02 - Saguenay - Lac-St-Jean,2606,390,273,50,1053,45,0,2,37,1988,2429,360,1540,44.576409328,180.02829975
Région,03 - Capitale-Nationale,4946,812,535,109,1773,95,2,333,760,3555,4715,594,3021,44.872067715,161.73881499
Région,04 - Mauricie,4354,501,553,75,1361,66,0,64,175,3090,3820,688,2184,43.148480463,174.38075253
Région,05 - Estrie,3660,609,425,59,1063,55,1,312,523,2626,3245,632,2228,42.428717425,141.54164538
Région,06 - Île-de-Montréal,40338,2676,3884,593,11865,336,13694,2768,18721,28424,31268,4336,27183,44.257505193,119.00663405
Région,07 - Outaouais,4699,619,823,61,1247,62,5,221,734,3629,3882,703,2516,42.381440554,136.54386899
Région,08 - Abitibi-Témiscamingue,1286,192,190,18,399,19,0,1,10,950,1154,187,905,43.160171103,154.03279468
Région,09 - Côte-Nord,643,74,101,10,235,8,0,0,8,478,593,86,429,44.400560224,171.14379085
Région,10 - Nord-du-Québec,549,16,89,2,60,5,0,0,6,335,386,103,385,39.987517337,120.90291262
Région,11 - Gaspésie - Îles-de-la-Madeleine,822,172,100,21,365,51,0,0,8,683,848,125,521,45.023514043,188.63879817
Région,12 - Chaudières-Appalaches,2184,420,251,46,698,33,0,9,78,1594,2038,306,1462,43.727422907,152.14895374
Région,13 - Laval,2918,378,338,55,1459,46,4,599,1802,2678,2516,293,1803,47.449942241,124.07585676
Région,14 - Lanaudière,4430,746,733,115,1495,110,2,89,323,3734,3895,695,2765,43.556429414,156.20946389
Région,15 - Laurentides,5103,980,735,121,1736,75,1,106,397,3965,4785,672,3278,43.642514286,146.6264
Région,16 - Montérégie,12451,1864,1821,288,3618,183,3,580,1872,9532,10693,1764,7200,43.025957973,144.82660074
Région,17 - Centre-du-Québec,2769,414,348,43,799,33,0,95,134,1964,2442,482,1670,42.467771221,152.79913754
Région,99 - Central,4,2,0,0,2,0,0,0,1,4,4,2,4,40.125,114.625
