"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2020,"Féminin","Moins de 40 ans","01 - Bas-Saint-Laurent",24,2003.48
2020,"Féminin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",36,1797.64
2020,"Féminin","Moins de 40 ans","03 - Capitale-Nationale",66,1644.66
2020,"Féminin","Moins de 40 ans","04 - Mauricie",31,1878.92
2020,"Féminin","Moins de 40 ans","05 - Estrie",45,1826.23
2020,"Féminin","Moins de 40 ans","06 - Montréal",214,2103.82
2020,"Féminin","Moins de 40 ans","07 - Outaouais",41,1747.77
2020,"Féminin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",19,1586.66
2020,"Féminin","Moins de 40 ans","11 - Gaspésie - Îles-de-la-Madeleine",24,1951.57
2020,"Féminin","Moins de 40 ans","12 - Chaudière-Appalaches",41,1738.04
2020,"Féminin","Moins de 40 ans","13 - Laval",52,2134.95
2020,"Féminin","Moins de 40 ans","14 - Lanaudière",84,2115.69
2020,"Féminin","Moins de 40 ans","15 - Laurentides",66,1919.95
2020,"Féminin","Moins de 40 ans","16 - Montérégie",168,1950.34
2020,"Féminin","Moins de 40 ans","17 - Centre-du-Québec",38,1871.91
2020,"Féminin","40 à 54 ans","01 - Bas-Saint-Laurent",124,2087.77
2020,"Féminin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",196,2139.46
2020,"Féminin","40 à 54 ans","03 - Capitale-Nationale",411,2070.24
2020,"Féminin","40 à 54 ans","04 - Mauricie",215,2138.33
2020,"Féminin","40 à 54 ans","05 - Estrie",352,2100.11
2020,"Féminin","40 à 54 ans","06 - Montréal",1052,2283.45
2020,"Féminin","40 à 54 ans","07 - Outaouais",283,2137.83
2020,"Féminin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",181,2154.77
2020,"Féminin","40 à 54 ans","11 - Gaspésie - Îles-de-la-Madeleine",147,2236.39
2020,"Féminin","40 à 54 ans","12 - Chaudière-Appalaches",242,2092.08
2020,"Féminin","40 à 54 ans","13 - Laval",337,2211.67
2020,"Féminin","40 à 54 ans","14 - Lanaudière",468,2195.40
2020,"Féminin","40 à 54 ans","15 - Laurentides",477,2150.82
2020,"Féminin","40 à 54 ans","16 - Montérégie",949,2123.46
2020,"Féminin","40 à 54 ans","17 - Centre-du-Québec",169,2123.07
2020,"Féminin","55 à 64 ans","01 - Bas-Saint-Laurent",238,2042.48
2020,"Féminin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",344,2007.57
2020,"Féminin","55 à 64 ans","03 - Capitale-Nationale",660,1966.38
2020,"Féminin","55 à 64 ans","04 - Mauricie",346,2034.80
2020,"Féminin","55 à 64 ans","05 - Estrie",511,2081.14
2020,"Féminin","55 à 64 ans","06 - Montréal",1590,2185.98
2020,"Féminin","55 à 64 ans","07 - Outaouais",441,2112.23
2020,"Féminin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",248,2121.85
2020,"Féminin","55 à 64 ans","11 - Gaspésie - Îles-de-la-Madeleine",215,2215.94
2020,"Féminin","55 à 64 ans","12 - Chaudière-Appalaches",444,1966.81
2020,"Féminin","55 à 64 ans","13 - Laval",474,2228.91
2020,"Féminin","55 à 64 ans","14 - Lanaudière",631,2056.00
2020,"Féminin","55 à 64 ans","15 - Laurentides",634,2112.53
2020,"Féminin","55 à 64 ans","16 - Montérégie",1368,2072.38
2020,"Féminin","55 à 64 ans","17 - Centre-du-Québec",293,2174.65
2020,"Féminin","65 ans et plus","01 - Bas-Saint-Laurent",498,2081.60
2020,"Féminin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",673,1993.65
2020,"Féminin","65 ans et plus","03 - Capitale-Nationale",1378,1926.27
2020,"Féminin","65 ans et plus","04 - Mauricie",622,2048.31
2020,"Féminin","65 ans et plus","05 - Estrie",1002,2052.59
2020,"Féminin","65 ans et plus","06 - Montréal",2727,2020.51
2020,"Féminin","65 ans et plus","07 - Outaouais",618,1959.82
2020,"Féminin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",472,2130.36
2020,"Féminin","65 ans et plus","11 - Gaspésie - Îles-de-la-Madeleine",367,2284.97
2020,"Féminin","65 ans et plus","12 - Chaudière-Appalaches",957,2050.80
2020,"Féminin","65 ans et plus","13 - Laval",746,2029.69
2020,"Féminin","65 ans et plus","14 - Lanaudière",895,2078.63
2020,"Féminin","65 ans et plus","15 - Laurentides",1057,2046.31
2020,"Féminin","65 ans et plus","16 - Montérégie",2456,1994.58
2020,"Féminin","65 ans et plus","17 - Centre-du-Québec",500,2102.38
2020,"Masculin","Moins de 40 ans","01 - Bas-Saint-Laurent",24,2002.36
2020,"Masculin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",30,1965.61
2020,"Masculin","Moins de 40 ans","03 - Capitale-Nationale",68,1852.72
2020,"Masculin","Moins de 40 ans","04 - Mauricie",20,1761.36
2020,"Masculin","Moins de 40 ans","05 - Estrie",33,2211.90
2020,"Masculin","Moins de 40 ans","06 - Montréal",165,2078.50
2020,"Masculin","Moins de 40 ans","07 - Outaouais",35,1997.15
2020,"Masculin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",30,1899.49
2020,"Masculin","Moins de 40 ans","11 - Gaspésie - Îles-de-la-Madeleine",22,2520.83
2020,"Masculin","Moins de 40 ans","12 - Chaudière-Appalaches",33,1864.77
2020,"Masculin","Moins de 40 ans","13 - Laval",59,2188.08
2020,"Masculin","Moins de 40 ans","14 - Lanaudière",84,2096.67
2020,"Masculin","Moins de 40 ans","15 - Laurentides",66,2163.19
2020,"Masculin","Moins de 40 ans","16 - Montérégie",135,2009.39
2020,"Masculin","Moins de 40 ans","17 - Centre-du-Québec",20,1981.49
2020,"Masculin","40 à 54 ans","01 - Bas-Saint-Laurent",111,2176.56
2020,"Masculin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",148,2246.79
2020,"Masculin","40 à 54 ans","03 - Capitale-Nationale",299,2131.68
2020,"Masculin","40 à 54 ans","04 - Mauricie",146,2209.79
2020,"Masculin","40 à 54 ans","05 - Estrie",260,2207.33
2020,"Masculin","40 à 54 ans","06 - Montréal",706,2192.33
2020,"Masculin","40 à 54 ans","07 - Outaouais",167,2205.16
2020,"Masculin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",157,2262.01
2020,"Masculin","40 à 54 ans","11 - Gaspésie - Îles-de-la-Madeleine",99,2197.49
2020,"Masculin","40 à 54 ans","12 - Chaudière-Appalaches",227,2070.68
2020,"Masculin","40 à 54 ans","13 - Laval",216,2357.74
