"Annee_imposition","Genre","Age","Region_administrative","Nombre_de_particuliers","Credit_moyen"
2020,"Masculin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",176,1402.70
2020,"Masculin","40 à 54 ans","03 - Capitale-Nationale",338,1438.31
2020,"Masculin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",337,1474.93
2020,"Masculin","40 à 54 ans","05 - Estrie",191,1456.15
2020,"Masculin","40 à 54 ans","06 - Montréal",2036,1533.16
2020,"Masculin","40 à 54 ans","07 - Outaouais",239,1450.38
2020,"Masculin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",160,1449.22
2020,"Masculin","40 à 54 ans","12 - Chaudière-Appalaches",252,1498.02
2020,"Masculin","40 à 54 ans","13 - Laval",733,1499.05
2020,"Masculin","40 à 54 ans","14 - Lanaudière",494,1491.65
2020,"Masculin","40 à 54 ans","15 - Laurentides",476,1469.28
2020,"Masculin","40 à 54 ans","16 - Montérégie",1154,1500.22
2020,"Masculin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",255,1387.25
2020,"Masculin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",158,1378.88
2020,"Masculin","55 à 64 ans","03 - Capitale-Nationale",291,1350.95
2020,"Masculin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",260,1337.30
2020,"Masculin","55 à 64 ans","05 - Estrie",192,1380.21
2020,"Masculin","55 à 64 ans","06 - Montréal",1215,1383.94
2020,"Masculin","55 à 64 ans","07 - Outaouais",186,1410.30
2020,"Masculin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",149,1392.62
2020,"Masculin","55 à 64 ans","12 - Chaudière-Appalaches",248,1365.93
2020,"Masculin","55 à 64 ans","13 - Laval",444,1407.91
2020,"Masculin","55 à 64 ans","14 - Lanaudière",368,1376.07
2020,"Masculin","55 à 64 ans","15 - Laurentides",339,1362.26
2020,"Masculin","55 à 64 ans","16 - Montérégie",757,1397.29
2020,"Masculin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",71,1355.63
2020,"Masculin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",48,1354.17
2020,"Masculin","65 ans et plus","03 - Capitale-Nationale",66,1335.23
2020,"Masculin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",58,1239.22
2020,"Masculin","65 ans et plus","05 - Estrie",52,1298.08
2020,"Masculin","65 ans et plus","06 - Montréal",396,1275.33
2020,"Masculin","65 ans et plus","07 - Outaouais",35,1392.86
2020,"Masculin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",38,1282.89
2020,"Masculin","65 ans et plus","12 - Chaudière-Appalaches",54,1297.45
2020,"Masculin","65 ans et plus","13 - Laval",111,1383.56
2020,"Masculin","65 ans et plus","14 - Lanaudière",73,1318.49
2020,"Masculin","65 ans et plus","15 - Laurentides",91,1298.08
2020,"Masculin","65 ans et plus","16 - Montérégie",208,1272.05
2021,"Féminin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",32,1542.94
2021,"Féminin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",13,1363.38
2021,"Féminin","Moins de 40 ans","03 - Capitale-Nationale",43,1421.70
2021,"Féminin","Moins de 40 ans","04+17 - Mauricie + Centre-du-Québec",26,1314.69
2021,"Féminin","Moins de 40 ans","05 - Estrie",37,1608.16
2021,"Féminin","Moins de 40 ans","06 - Montréal",449,1467.57
2021,"Féminin","Moins de 40 ans","07 - Outaouais",35,1374.51
2021,"Féminin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",39,1428.31
2021,"Féminin","Moins de 40 ans","12 - Chaudière-Appalaches",24,1477.00
2021,"Féminin","Moins de 40 ans","13 - Laval",149,1440.18
2021,"Féminin","Moins de 40 ans","14 - Lanaudière",95,1345.79
2021,"Féminin","Moins de 40 ans","15 - Laurentides",69,1339.39
2021,"Féminin","Moins de 40 ans","16 - Montérégie",222,1391.46
2021,"Féminin","40 à 54 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",258,1467.19
2021,"Féminin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",143,1460.77
2021,"Féminin","40 à 54 ans","03 - Capitale-Nationale",354,1439.45
2021,"Féminin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",270,1444.18
2021,"Féminin","40 à 54 ans","05 - Estrie",230,1425.63
2021,"Féminin","40 à 54 ans","06 - Montréal",2151,1517.29
2021,"Féminin","40 à 54 ans","07 - Outaouais",309,1443.86
2021,"Féminin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",176,1496.18
2021,"Féminin","40 à 54 ans","12 - Chaudière-Appalaches",165,1453.98
2021,"Féminin","40 à 54 ans","13 - Laval",746,1475.48
2021,"Féminin","40 à 54 ans","14 - Lanaudière",612,1445.63
2021,"Féminin","40 à 54 ans","15 - Laurentides",562,1429.68
2021,"Féminin","40 à 54 ans","16 - Montérégie",1315,1500.64
2021,"Féminin","55 à 64 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",284,1390.58
2021,"Féminin","55 à 64 ans","02 - Saguenay - Lac-Saint-Jean",155,1331.34
2021,"Féminin","55 à 64 ans","03 - Capitale-Nationale",317,1378.24
2021,"Féminin","55 à 64 ans","04+17 - Mauricie + Centre-du-Québec",265,1406.87
2021,"Féminin","55 à 64 ans","05 - Estrie",225,1344.77
2021,"Féminin","55 à 64 ans","06 - Montréal",1377,1393.51
2021,"Féminin","55 à 64 ans","07 - Outaouais",277,1388.56
2021,"Féminin","55 à 64 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",170,1362.81
2021,"Féminin","55 à 64 ans","12 - Chaudière-Appalaches",180,1346.88
2021,"Féminin","55 à 64 ans","13 - Laval",479,1394.85
2021,"Féminin","55 à 64 ans","14 - Lanaudière",444,1361.75
2021,"Féminin","55 à 64 ans","15 - Laurentides",434,1352.02
2021,"Féminin","55 à 64 ans","16 - Montérégie",915,1378.76
2021,"Féminin","65 ans et plus","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",80,1329.30
2021,"Féminin","65 ans et plus","02 - Saguenay - Lac-Saint-Jean",58,1276.64
2021,"Féminin","65 ans et plus","03 - Capitale-Nationale",96,1331.94
2021,"Féminin","65 ans et plus","04+17 - Mauricie + Centre-du-Québec",115,1310.03
2021,"Féminin","65 ans et plus","05 - Estrie",84,1333.82
2021,"Féminin","65 ans et plus","06 - Montréal",474,1299.91
2021,"Féminin","65 ans et plus","07 - Outaouais",70,1266.00
2021,"Féminin","65 ans et plus","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",42,1296.14
2021,"Féminin","65 ans et plus","12 - Chaudière-Appalaches",40,1234.35
2021,"Féminin","65 ans et plus","13 - Laval",137,1321.33
2021,"Féminin","65 ans et plus","14 - Lanaudière",116,1331.48
2021,"Féminin","65 ans et plus","15 - Laurentides",154,1315.32
2021,"Féminin","65 ans et plus","16 - Montérégie",257,1350.17
2021,"Masculin","Moins de 40 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",52,1558.15
2021,"Masculin","Moins de 40 ans","02 - Saguenay - Lac-Saint-Jean",26,1412.08
2021,"Masculin","Moins de 40 ans","03 - Capitale-Nationale",57,1370.65
2021,"Masculin","Moins de 40 ans","04+17 - Mauricie + Centre-du-Québec",68,1452.18
2021,"Masculin","Moins de 40 ans","05 - Estrie",37,1539.73
2021,"Masculin","Moins de 40 ans","06 - Montréal",465,1459.34
2021,"Masculin","Moins de 40 ans","07 - Outaouais",36,1406.67
2021,"Masculin","Moins de 40 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",36,1547.33
2021,"Masculin","Moins de 40 ans","12 - Chaudière-Appalaches",38,1432.58
2021,"Masculin","Moins de 40 ans","13 - Laval",148,1535.45
2021,"Masculin","Moins de 40 ans","14 - Lanaudière",103,1368.43
2021,"Masculin","Moins de 40 ans","15 - Laurentides",81,1406.67
2021,"Masculin","Moins de 40 ans","16 - Montérégie",236,1437.66
2021,"Masculin","40 à 54 ans","01+11 - Bas-Saint-Laurent + Gaspésie - Îles-de-la-Madeleine",399,1513.49
2021,"Masculin","40 à 54 ans","02 - Saguenay - Lac-Saint-Jean",165,1515.36
2021,"Masculin","40 à 54 ans","03 - Capitale-Nationale",392,1483.98
2021,"Masculin","40 à 54 ans","04+17 - Mauricie + Centre-du-Québec",357,1510.43
2021,"Masculin","40 à 54 ans","05 - Estrie",205,1503.76
2021,"Masculin","40 à 54 ans","06 - Montréal",2112,1559.86
2021,"Masculin","40 à 54 ans","07 - Outaouais",249,1494.73
2021,"Masculin","40 à 54 ans","08+09+10 - Abitibi-Témiscamingue + Côte-Nord + Nord-du-Québec",165,1442.47
