ï»¿ID,TOPONYMIE,NOROUTE,NUMEROCIVIQUEORIGINEGAUCHE,NUMEROCIVIQUEORIGINEDROITE,NUMEROCIVIQUEDESTINATIONGAUCHE,NUMEROCIVIQUEDESTINATIONDROITE,NOMGENERIQUE,TYPERUE,TYPESEGMENTRUE,VITESSE,TYPESENSUNIQUE,MUNICIPALITE,OBJECTID,SHAPE__Length,CIRCULATIONLOURDE
1,Rue Oliva-Turgeon,,0,0,0,0,OLIVA-TURGEON,Rue,Locale,50,Pas de sens unique,43027,1,114.778145270108,Interdite en tout temps
9,Rue Melville,,0,0,0,0,MELVILLE,Rue,Locale,50,Pas de sens unique,43027,2,114.444126872804,Interdite en tout temps
18,Rue Saint-FÃ©lix,,0,0,0,0,SAINT-FELIX,Rue,Locale,50,Pas de sens unique,43027,3,115.163423259698,Interdite en tout temps
19,Rue Saint-FÃ©lix,,0,140,0,140,SAINT-FELIX,Rue,Locale,50,Pas de sens unique,43027,4,122.126112858884,Permise en tout temps
26,Rue David-Bruneau,,0,0,0,0,DAVID-BRUNEAU,Rue,Locale,50,Pas de sens unique,43027,5,113.184274368207,Permise en tout temps
27,Rue David-Bruneau,,0,0,0,0,DAVID-BRUNEAU,Rue,Locale,50,Pas de sens unique,43027,6,115.779009159751,Permise en tout temps
28,Rue Ernest-Bergeron,,0,0,0,0,ERNEST-BERGERON,Rue,Locale,50,Pas de sens unique,43027,7,103.839501869292,Permise en tout temps
30,Rue Ernest-Bergeron,,0,0,0,0,ERNEST-BERGERON,Rue,Locale,50,Pas de sens unique,43027,8,64.2249428425497,Permise en tout temps
64,CÃ´te de Beauvoir,,0,0,0,0,BEAUVOIR,CÃ´te,Locale,80,Pas de sens unique,43027,9,25.3688457323896,Interdite en tout temps
66,,,0,0,0,0,LAVAL,Rue,ArtÃ¨re,80,Pas de sens unique,43027,10,12.1948366555583,Avec restrictions
75,Rue Beaudoin,,0,0,0,0,BEAUDOIN,Rue,Locale,30,Pas de sens unique,43027,11,115.616290858942,Interdite en tout temps
76,Rue Paquin,,0,0,0,0,PAQUIN,Rue,Locale,50,Pas de sens unique,43027,12,114.8426593179,Interdite en tout temps
83,Rue Beaudoin,,0,0,0,0,BEAUDOIN,Rue,Locale,30,Pas de sens unique,43027,13,115.415078830444,Interdite en tout temps
86,,,0,0,0,0,LAVAL E. N.,EntrÃ©e,Autoroute,50,Pas de sens unique,43027,14,121.618331024563,Permise en tout temps
93,Chemin Bibeau,,0,0,0,0,BIBEAU,Chemin,Locale,50,Pas de sens unique,43027,15,97.0720434238516,Interdite en tout temps
17600,Rue de la Caravelle,,0,0,0,0,CARAVELLE,Rue,Locale,50,Pas de sens unique,43027,16,17.6567322913363,Interdite en tout temps
118,,,0,0,0,0,BRETELLE,Bretelle,Locale,50,Pas de sens unique,43027,17,42.9106103860784,Interdite en tout temps
128,Rue DesprÃ©s,,0,0,0,0,DESPRES,Rue,Locale,50,Pas de sens unique,43027,18,22.9907186571669,Interdite en tout temps
139,Rue de Montpellier,,0,0,0,0,MONTPELLIER,Rue,Locale,50,Pas de sens unique,43027,19,11.6785972964364,Interdite en tout temps
141,Rue des Paysans,,0,0,0,0,PAYSANS,Rue,Locale,50,Pas de sens unique,43027,20,7.46431646262152,Interdite en tout temps
